# rhwp-ir-field-sweep-baseline-v2 complete-normalized-path-counts
lane	sample	path	count
hwp5rb	20250130-hongbo_saved.hwp	doc_info.bullet_count	1
hwp5rb	20250130-hongbo_saved.hwp	sections[].paragraphs[].controls[].cells[].paragraphs[].controls[].img_dim[]	8
hwp5rb	20250130-hongbo_saved.hwp	sections[].paragraphs[].controls[].cells[].paragraphs[].controls[].raw_picture_extra.len	4
hwp5rb	HWP5-nopassword-123456.hwp	sections[].paragraphs[].line_segs[].vertical_pos	295
hwp5rb	basic/BookReview.hwp	sections[].paragraphs[].controls[][].drawing.fill.solid	3
hwp5rb	eq-002.hwp	sections[].paragraphs[].char_count	1
hwp5rb	eq-002.hwp	sections[].paragraphs[].char_offsets.len	1
hwp5rb	eq-002.hwp	sections[].paragraphs[].char_offsets[]	2
hwp5rb	eq-002.hwp	sections[].paragraphs[].text	1
hwp5rb	exam_math.hwp	sections[].section_def.master_pages.len	2
hwp5rb	exam_math_8.hwp	sections[].section_def.master_pages.len	1
hwp5rb	exam_science.hwp	sections[].section_def.master_pages.len	1
hwp5rb	honbo-save.hwp	doc_info.bullet_count	1
hwp5rb	honbo-save.hwp	sections[].paragraphs[].controls[].cells[].paragraphs[].controls[].img_dim[]	8
hwp5rb	honbo-save.hwp	sections[].paragraphs[].controls[].cells[].paragraphs[].controls[].raw_picture_extra.len	4
hwp5rb	hwp3-sample10-hwp5.hwp	sections[].paragraphs[].line_segs[].vertical_pos	54
hwp5rb	hwp3-sample11-hwp5.hwp	sections[].paragraphs[].controls[].children[].children[].children[].children[].children[].children[].children[].children[].children[][].drawing.fill.solid	192
hwp5rb	hwp3-sample11-hwp5.hwp	sections[].paragraphs[].controls[].children[].children[].children[].children[].children[].children[].children[].children[][].drawing.fill.solid	128
hwp5rb	hwp3-sample11-hwp5.hwp	sections[].paragraphs[].controls[].children[].children[].children[].children[].children[].children[].children[][].drawing.fill.solid	72
hwp5rb	hwp3-sample11-hwp5.hwp	sections[].paragraphs[].controls[].children[].children[].children[].children[].children[].children[][].drawing.fill.solid	48
hwp5rb	hwp3-sample11-hwp5.hwp	sections[].paragraphs[].controls[].children[].children[].children[].children[].children[][].drawing.fill.solid	42
hwp5rb	hwp3-sample11-hwp5.hwp	sections[].paragraphs[].controls[].children[].children[].children[].children[][].drawing.fill.solid	99
hwp5rb	hwp3-sample11-hwp5.hwp	sections[].paragraphs[].controls[].children[].children[].children[][].drawing.fill.solid	51
hwp5rb	hwp3-sample11-hwp5.hwp	sections[].paragraphs[].controls[].children[].children[][].drawing.fill.solid	110
hwp5rb	hwp3-sample11-hwp5.hwp	sections[].paragraphs[].controls[].children[][].drawing.fill.solid	39
hwp5rb	hwp3-sample11-hwp5.hwp	sections[].paragraphs[].controls[][].drawing.fill.solid	3
hwp5rb	hwp3-sample11-hwp5.hwp	sections[].paragraphs[].line_segs[].vertical_pos	12
hwp5rb	hwp3-sample16-hwp5-2010.hwp	sections[].paragraphs[].controls[][].drawing.fill.solid	3
hwp5rb	hwp3-sample16-hwp5-2010.hwp	sections[].paragraphs[].line_segs[].vertical_pos	926
hwp5rb	hwp3-sample16-hwp5-2018.hwp	sections[].paragraphs[].controls[][].drawing.fill.solid	3
hwp5rb	hwp3-sample16-hwp5-2018.hwp	sections[].paragraphs[].line_segs[].vertical_pos	1106
hwp5rb	hwp3-sample16-hwp5-2022.hwp	sections[].paragraphs[].controls[][].drawing.fill.solid	3
hwp5rb	hwp3-sample16-hwp5-2022.hwp	sections[].paragraphs[].line_segs[].vertical_pos	927
hwp5rb	hwp3-sample16-hwp5-2024.hwp	sections[].paragraphs[].controls[][].drawing.fill.solid	3
hwp5rb	hwp3-sample16-hwp5-2024.hwp	sections[].paragraphs[].line_segs[].vertical_pos	1106
hwp5rb	hwp3-sample16-hwp5.hwp	sections[].paragraphs[].controls[][].drawing.fill.solid	3
hwp5rb	hwp3-sample16-hwp5.hwp	sections[].paragraphs[].line_segs[].vertical_pos	926
hwp5rb	hwpctl_API_v2.4.hwp	sections[].paragraphs[].field_ranges[].inner_slot_count	1
hwp5rb	hwpctl_Action_Table__v1.1.hwp	sections[].section_def.master_pages.len	1
hwp5rb	hwpctl_ParameterSetID_Item_v1.2.hwp	sections[].section_def.master_pages.len	1
