page	next_page	pi	ci	rows	cols	next_rows	next_cols	bbox	next_bbox	signals	page_text_delta_chars	next_page_text_delta_chars	page_bottom_gap_px	next_page_bottom_gap_px	note
2	3	13	0	31	17	31	17	75.6,107.6,656.1,909.6	75.6,75.6,656.1,971.5	same_pi_ci_adjacent_fragment	20	16	105.3	75.4	candidate only; does not assert PDF table row owner or fragment correctness
6	7	50	0	4	4	4	4	75.6,839.5,635.0,186.8	75.6,75.6,635.0,202.5	same_pi_ci_adjacent_fragment	0	0	96.2	844.4	candidate only; does not assert PDF table row owner or fragment correctness
13	14	0	0	13	2	13	2	92.6,363.6,612.3,487.0	92.6,80.3,612.3,746.8	same_pi_ci_adjacent_fragment	236	432	271.9	295.4	candidate only; does not assert PDF table row owner or fragment correctness
13	14	111	0	1	1	1	1	79.4,340.2,635.0,704.0	79.4,75.6,635.0,962.1	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	236	432	78.3	84.8	candidate only; does not assert PDF table row owner or fragment correctness
14	15	0	0	13	2	13	2	92.6,80.3,612.3,746.8	92.6,80.3,612.3,1111.0	same_pi_ci_adjacent_fragment|next_page_table_footer|next_page_table_outside_frame|next_page_bottom_near_material_text_delta	432	498	295.4	-68.8	candidate only; does not assert PDF table row owner or fragment correctness
14	15	111	0	1	1	1	1	79.4,75.6,635.0,962.1	79.4,75.6,635.0,1116.1	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_table_footer|next_page_table_outside_frame|next_page_bottom_near_material_text_delta	432	498	84.8	-69.2	candidate only; does not assert PDF table row owner or fragment correctness
15	-	118	0	2	3	-	-	94.5,991.0,619.9,77.3	-	page_table_footer|page_bottom_near_material_text_delta	498	-	54.2	-	candidate only; does not assert PDF table row owner or fragment correctness
16	17	122	1	1	1	1	1	75.6,279.0,638.8,754.1	75.6,75.6,638.8,667.7	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta	81	81	89.4	379.2	candidate only; does not assert PDF table row owner or fragment correctness
18	19	128	0	1	1	1	1	75.6,210.0,638.8,803.7	75.6,75.6,638.8,923.7	same_pi_ci_adjacent_fragment	7	0	108.8	123.2	candidate only; does not assert PDF table row owner or fragment correctness
19	20	128	0	1	1	1	1	75.6,75.6,638.8,923.7	75.6,75.6,638.8,53.3	same_pi_ci_adjacent_fragment	0	7	123.2	993.6	candidate only; does not assert PDF table row owner or fragment correctness
25	26	0	1	1	1	1	1	211.2,604.0,499.0,51.3	213.4,77.1,487.9,942.5	same_pi_ci_adjacent_fragment|next_page_bottom_near_material_text_delta	0	415	467.2	102.9	candidate only; does not assert PDF table row owner or fragment correctness
25	26	0	1	1	1	1	1	213.7,675.6,487.6,362.3	213.4,77.1,487.9,942.5	same_pi_ci_adjacent_fragment|next_page_bottom_near_material_text_delta	0	415	84.6	102.9	candidate only; does not assert PDF table row owner or fragment correctness
25	26	197	0	18	4	18	4	75.6,230.1,635.0,809.6	75.6,75.6,635.0,949.7	same_pi_ci_adjacent_fragment|next_page_bottom_near_material_text_delta	0	415	82.8	97.2	candidate only; does not assert PDF table row owner or fragment correctness
26	27	0	1	1	1	1	1	213.4,77.1,487.9,942.5	213.4,77.1,487.9,797.8	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta	415	1080	102.9	247.6	candidate only; does not assert PDF table row owner or fragment correctness
26	27	15	0	3	11	3	11	218.4,451.8,478.1,87.1	218.4,-494.7,478.1,59.0	same_pi_ci_adjacent_fragment|next_page_table_outside_frame	415	1080	583.6	1558.2	candidate only; does not assert PDF table row owner or fragment correctness
26	27	16	0	3	12	3	12	218.4,545.5,478.3,83.3	218.4,-401.0,478.3,83.3	same_pi_ci_adjacent_fragment|next_page_table_outside_frame	415	1080	493.7	1440.2	candidate only; does not assert PDF table row owner or fragment correctness
26	27	197	0	18	4	18	4	75.6,75.6,635.0,949.7	75.6,75.6,635.0,822.4	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta	415	1080	97.2	224.5	candidate only; does not assert PDF table row owner or fragment correctness
26	27	21	0	3	8	3	8	213.7,711.5,478.3,77.8	213.7,-235.0,478.3,77.8	same_pi_ci_adjacent_fragment|next_page_table_outside_frame	415	1080	333.2	1279.7	candidate only; does not assert PDF table row owner or fragment correctness
26	27	25	0	3	12	3	12	213.7,851.4,478.3,107.3	213.7,-95.1,478.3,107.3	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_table_outside_frame	415	1080	163.8	1110.3	candidate only; does not assert PDF table row owner or fragment correctness
27	28	0	1	1	1	1	1	213.4,77.1,487.9,797.8	211.2,356.4,499.0,51.3	same_pi_ci_adjacent_fragment	1080	46	247.6	714.8	candidate only; does not assert PDF table row owner or fragment correctness
27	28	0	1	1	1	1	1	213.4,77.1,487.9,797.8	213.7,428.0,487.6,616.2	same_pi_ci_adjacent_fragment|next_page_bottom_near_material_text_delta	1080	46	247.6	78.3	candidate only; does not assert PDF table row owner or fragment correctness
27	28	16	0	3	12	12	3	218.4,-401.0,478.3,83.3	215.6,1028.4,469.6,31.5	same_pi_ci_adjacent_fragment|page_table_outside_frame|next_page_table_footer|next_page_bottom_near_material_text_delta	1080	46	1440.2	62.6	candidate only; does not assert PDF table row owner or fragment correctness
27	28	208	0	18	4	18	4	75.6,934.8,635.0,93.4	75.6,75.6,635.0,970.3	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	1080	46	94.3	76.6	candidate only; does not assert PDF table row owner or fragment correctness
28	29	0	1	1	1	1	1	211.2,356.4,499.0,51.3	213.7,77.1,487.6,945.7	same_pi_ci_adjacent_fragment|next_page_bottom_near_material_text_delta	46	517	714.8	99.7	candidate only; does not assert PDF table row owner or fragment correctness
28	29	0	1	1	1	1	1	213.7,428.0,487.6,616.2	213.7,77.1,487.6,945.7	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	46	517	78.3	99.7	candidate only; does not assert PDF table row owner or fragment correctness
28	29	16	0	12	3	12	3	215.6,1028.4,469.6,31.5	215.6,61.3,469.6,303.3	same_pi_ci_adjacent_fragment|page_table_footer|page_bottom_near_material_text_delta	46	517	62.6	757.9	candidate only; does not assert PDF table row owner or fragment correctness
28	29	208	0	18	4	18	4	75.6,75.6,635.0,970.3	75.6,75.6,635.0,952.9	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	46	517	76.6	94.0	candidate only; does not assert PDF table row owner or fragment correctness
29	30	0	1	1	1	1	1	213.7,77.1,487.6,945.7	213.4,77.1,487.9,954.6	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	517	713	99.7	90.8	candidate only; does not assert PDF table row owner or fragment correctness
29	30	16	0	12	3	12	3	215.6,61.3,469.6,303.3	215.6,-872.6,469.6,303.3	same_pi_ci_adjacent_fragment|next_page_table_outside_frame	517	713	757.9	1691.8	candidate only; does not assert PDF table row owner or fragment correctness
29	30	17	0	18	3	18	3	215.6,399.7,479.0,29.6	215.6,-534.2,479.0,38.5	same_pi_ci_adjacent_fragment|next_page_table_outside_frame	517	713	693.2	1618.2	candidate only; does not assert PDF table row owner or fragment correctness
29	30	208	0	18	4	18	4	75.6,75.6,635.0,952.9	75.6,75.6,635.0,961.8	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	517	713	94.0	85.1	candidate only; does not assert PDF table row owner or fragment correctness
30	31	0	1	1	1	1	1	213.4,77.1,487.9,954.6	213.4,77.1,487.9,353.2	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta	713	1640	90.8	692.2	candidate only; does not assert PDF table row owner or fragment correctness
30	31	0	1	1	1	1	1	213.4,77.1,487.9,954.6	211.8,641.0,487.6,79.5	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta	713	1640	90.8	402.0	candidate only; does not assert PDF table row owner or fragment correctness
30	31	16	0	12	3	12	3	215.6,-872.6,469.6,303.3	215.6,-1819.4,469.6,303.3	same_pi_ci_adjacent_fragment|page_table_outside_frame|next_page_table_outside_frame	713	1640	1691.8	2638.6	candidate only; does not assert PDF table row owner or fragment correctness
30	31	17	0	18	3	18	3	215.6,-534.2,479.0,38.5	215.6,-1481.0,479.0,519.5	same_pi_ci_adjacent_fragment|page_table_outside_frame|next_page_table_outside_frame	713	1640	1618.2	2084.0	candidate only; does not assert PDF table row owner or fragment correctness
30	31	208	0	18	4	18	4	75.6,75.6,635.0,961.8	75.6,75.6,635.0,377.7	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta	713	1640	85.1	669.2	candidate only; does not assert PDF table row owner or fragment correctness
30	31	23	0	3	11	3	11	218.4,194.4,478.1,87.1	218.4,-752.4,478.1,87.1	same_pi_ci_adjacent_fragment|next_page_table_outside_frame	713	1640	841.0	1787.8	candidate only; does not assert PDF table row owner or fragment correctness
30	31	25	0	3	12	3	12	218.4,308.2,478.3,83.3	218.4,-638.7,478.3,83.3	same_pi_ci_adjacent_fragment|next_page_table_outside_frame	713	1640	731.0	1677.9	candidate only; does not assert PDF table row owner or fragment correctness
30	31	30	0	3	8	3	8	213.7,474.2,478.3,77.8	213.7,-472.7,478.3,77.8	same_pi_ci_adjacent_fragment|next_page_table_outside_frame	713	1640	570.5	1517.4	candidate only; does not assert PDF table row owner or fragment correctness
30	31	37	0	3	12	3	12	213.7,818.5,478.3,107.3	213.7,-128.4,478.3,107.3	same_pi_ci_adjacent_fragment|next_page_table_outside_frame	713	1640	196.7	1143.6	candidate only; does not assert PDF table row owner or fragment correctness
30	31	40	0	13	7	13	7	219.1,1010.5,478.6,64.0	219.1,63.7,478.6,340.6	same_pi_ci_adjacent_fragment|page_table_footer|page_bottom_near_material_text_delta	713	1640	48.0	718.2	candidate only; does not assert PDF table row owner or fragment correctness
