page	reference_only	svg_only	reference_only_chars	svg_only_chars	note
1	0	0			-
2	15	5	U+110B:\u110b×5,U+AE30:\uae30×1,U+B825:\ub825×1,U+C0AC:\uc0ac×1,U+C2E4:\uc2e4×1,U+C744:\uc744×2,U+C774:\uc774×1,U+D1B5:\ud1b5×1,U+D3D0:\ud3d0×1,U+D574:\ud574×1	U+3147:\u3147×5	-
3	3	13	U+110B:\u110b×3	U+3147:\u3147×3,U+AE30:\uae30×1,U+B825:\ub825×1,U+C0AC:\uc0ac×1,U+C2E4:\uc2e4×1,U+C744:\uc744×2,U+C774:\uc774×1,U+D1B5:\ud1b5×1,U+D3D0:\ud3d0×1,U+D574:\ud574×1	-
4	0	0			-
5	0	0			-
6	0	0			-
7	0	0			-
8	0	0			-
9	0	0			-
10	0	0			-
11	0	0			-
12	0	0			-
