page	x	baseline_y	font_size	band_top	band_bottom	edges	clipped_top_px	clipped_bottom_px	visible_height_ratio	clip_ids	clip_rect	text	note
23	152.3	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	접	candidate only; visible glyph band is partially cut by SVG clip
23	165.6	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	지	candidate only; visible glyph band is partially cut by SVG clip
23	178.9	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	는	candidate only; visible glyph band is partially cut by SVG clip
23	199.3	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	S	candidate only; visible glyph band is partially cut by SVG clip
23	207.7	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	E	candidate only; visible glyph band is partially cut by SVG clip
23	216.4	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	L	candidate only; visible glyph band is partially cut by SVG clip
23	223.6	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	V	candidate only; visible glyph band is partially cut by SVG clip
23	239.3	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	보	candidate only; visible glyph band is partially cut by SVG clip
23	252.6	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	호	candidate only; visible glyph band is partially cut by SVG clip
23	273.1	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	충	candidate only; visible glyph band is partially cut by SVG clip
23	286.4	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	전	candidate only; visible glyph band is partially cut by SVG clip
23	299.8	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	회	candidate only; visible glyph band is partially cut by SVG clip
23	313.1	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	로	candidate only; visible glyph band is partially cut by SVG clip
23	326.4	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	에	candidate only; visible glyph band is partially cut by SVG clip
23	339.8	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	는	candidate only; visible glyph band is partially cut by SVG clip
23	360.3	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	필	candidate only; visible glyph band is partially cut by SVG clip
23	373.6	724.8	13.3	714.1	727.5	bottom	0.0	4.4	0.667	body-clip-3,cell-clip-6,cell-clip-22	114.2,465.2,677.5,723.0	요	candidate only; visible glyph band is partially cut by SVG clip
