page	pi	ci	rows	cols	row	col	candidate_kind	cell_bbox	node_type	line_bbox	text_bbox	edges	edge_clearance_px	max_overflow_px	left_px	right_px	top_px	bottom_px	text	note
23	409	0	6	1	4	0	line_boundary_overflow	114.2,465.2,563.3,257.8	TextLine	121.0,707.8,549.7,20.1	121.0,707.8,549.7,20.1	bottom	0.0	4.9	0.0	0.0	0.0	4.9	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
29	483	0	6	2	4	0	line_boundary_overflow	101.0,370.9,589.7,249.1	TextLine	139.7,611.4,544.2,13.3	139.7,611.4,544.2,13.3	bottom	0.0	4.7	0.0	0.0	0.0	4.7	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
41	20	0	26	9	0	0	line_boundary_overflow	89.9,109.3,100.0,15.4	TextLine	95.1,113.1,89.6,16.0	95.1,113.1,89.6,16.0	bottom	0.0	4.4	0.0	0.0	0.0	4.4	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
41	20	0	26	9	0	1	line_boundary_overflow	189.9,109.3,206.7,15.4	TextLine	195.2,113.1,196.2,16.0	195.2,113.1,196.2,16.0	bottom	0.0	4.4	0.0	0.0	0.0	4.4	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
41	20	0	26	9	0	6	line_boundary_overflow	396.6,109.3,197.7,15.4	TextLine	401.8,113.1,187.2,16.0	401.8,113.1,187.2,16.0	bottom	0.0	4.4	0.0	0.0	0.0	4.4	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
41	20	0	26	9	0	8	line_boundary_overflow	594.3,109.3,111.3,15.4	TextLine	599.6,113.1,100.8,16.0	599.6,113.1,100.8,16.0	bottom	0.0	4.4	0.0	0.0	0.0	4.4	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
42	20	0	26	9	9	0	line_boundary_overflow	89.9,-403.1,100.0,38.9	TextLine	118.2,-375.9,66.5,14.7	118.2,-375.9,66.5,14.7	bottom	0.0	3.0	0.0	0.0	0.0	3.0	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
42	20	0	26	9	13	6	line_boundary_overflow	396.6,-59.2,98.9,255.1	TextLine	401.8,192.6,88.4,13.3	401.8,192.6,88.4,13.3	bottom	0.0	10.0	0.0	0.0	0.0	10.0	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
42	20	0	26	9	21	8	line_boundary_overflow	594.3,750.2,111.3,191.5	TextLine	599.6,935.3,100.8,13.3	599.6,935.3,100.8,13.3	bottom	0.0	6.9	0.0	0.0	0.0	6.9	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
43	20	0	26	9	9	0	line_boundary_overflow	89.9,-1088.2,100.0,38.9	TextLine	118.2,-1061.0,66.5,14.7	118.2,-1061.0,66.5,14.7	bottom	0.0	3.0	0.0	0.0	0.0	3.0	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
43	20	0	26	9	19	6	line_boundary_overflow	396.6,-315.5,197.7,362.2	TextLine	401.8,43.0,187.2,13.3	401.8,43.0,187.2,13.3	bottom	0.0	9.6	0.0	0.0	0.0	9.6	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
43	20	0	26	9	21	8	line_boundary_overflow	594.3,65.1,111.3,191.5	TextLine	599.6,250.2,100.8,13.3	599.6,250.2,100.8,13.3	bottom	0.0	6.9	0.0	0.0	0.0	6.9	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
45	20	0	26	9	9	0	line_boundary_overflow	89.9,-2465.9,100.0,38.9	TextLine	118.2,-2438.7,66.5,14.7	118.2,-2438.7,66.5,14.7	bottom	0.0	3.0	0.0	0.0	0.0	3.0	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
45	20	0	26	9	21	8	line_boundary_overflow	594.3,-1312.7,111.3,191.5	TextLine	599.6,-1127.5,100.8,13.3	599.6,-1127.5,100.8,13.3	bottom	0.0	7.0	0.0	0.0	0.0	7.0	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
45	20	0	26	9	25	6	line_boundary_overflow	396.6,-128.3,197.7,191.5	TextLine	401.8,59.4,187.2,13.3	401.8,59.4,187.2,13.3	bottom	0.0	9.5	0.0	0.0	0.0	9.5	painted line	candidate only; line crosses Cell or visible-ending natural width exceeds it
