page	next_page	pi	ci	rows	cols	next_rows	next_cols	bbox	next_bbox	signals	page_text_delta_chars	next_page_text_delta_chars	page_bottom_gap_px	next_page_bottom_gap_px	note
1	2	0	3	5	1	5	1	75.6,75.6,638.7,985.2	75.6,75.6,638.7,986.2	same_pi_ci_adjacent_fragment	0	0	61.7	60.7	candidate only; does not assert PDF table row owner or fragment correctness
2	3	0	3	5	1	5	1	75.6,75.6,638.7,986.2	75.6,75.6,638.7,992.8	same_pi_ci_adjacent_fragment	0	6	60.7	54.1	candidate only; does not assert PDF table row owner or fragment correctness
3	4	0	3	5	1	5	1	75.6,75.6,638.7,992.8	75.6,75.6,638.7,972.0	same_pi_ci_adjacent_fragment	6	0	54.1	74.9	candidate only; does not assert PDF table row owner or fragment correctness
4	5	0	3	5	1	5	1	75.6,75.6,638.7,972.0	75.6,75.6,638.7,1006.1	same_pi_ci_adjacent_fragment	0	0	74.9	40.8	candidate only; does not assert PDF table row owner or fragment correctness
5	6	0	3	5	1	5	1	75.6,75.6,638.7,1006.1	75.6,75.6,638.7,1005.4	same_pi_ci_adjacent_fragment	0	0	40.8	41.5	candidate only; does not assert PDF table row owner or fragment correctness
6	7	0	3	5	1	5	1	75.6,75.6,638.7,1005.4	75.6,75.6,638.7,1000.8	same_pi_ci_adjacent_fragment	0	0	41.5	46.1	candidate only; does not assert PDF table row owner or fragment correctness
7	8	0	3	5	1	5	1	75.6,75.6,638.7,1000.8	75.6,75.6,638.7,1006.4	same_pi_ci_adjacent_fragment	0	0	46.1	40.5	candidate only; does not assert PDF table row owner or fragment correctness
8	9	0	3	5	1	5	1	75.6,75.6,638.7,1006.4	75.6,75.6,638.7,987.5	same_pi_ci_adjacent_fragment	0	0	40.5	59.4	candidate only; does not assert PDF table row owner or fragment correctness
9	10	0	3	5	1	5	1	75.6,75.6,638.7,987.5	75.6,75.6,638.7,984.6	same_pi_ci_adjacent_fragment	0	0	59.4	62.3	candidate only; does not assert PDF table row owner or fragment correctness
10	11	0	3	5	1	5	1	75.6,75.6,638.7,984.6	75.6,75.6,638.7,1000.0	same_pi_ci_adjacent_fragment	0	0	62.3	46.9	candidate only; does not assert PDF table row owner or fragment correctness
11	12	0	3	5	1	5	1	75.6,75.6,638.7,1000.0	75.6,75.6,638.7,1003.2	same_pi_ci_adjacent_fragment	0	0	46.9	43.7	candidate only; does not assert PDF table row owner or fragment correctness
12	13	0	3	5	1	5	1	75.6,75.6,638.7,1003.2	75.6,75.6,638.7,991.5	same_pi_ci_adjacent_fragment	0	0	43.7	55.4	candidate only; does not assert PDF table row owner or fragment correctness
13	14	0	3	5	1	5	1	75.6,75.6,638.7,991.5	75.6,75.6,638.7,984.3	same_pi_ci_adjacent_fragment	0	0	55.4	62.6	candidate only; does not assert PDF table row owner or fragment correctness
14	15	0	3	5	1	5	1	75.6,75.6,638.7,984.3	75.6,75.6,638.7,998.7	same_pi_ci_adjacent_fragment	0	0	62.6	48.2	candidate only; does not assert PDF table row owner or fragment correctness
15	16	0	3	5	1	5	1	75.6,75.6,638.7,998.7	75.6,75.6,638.7,1004.3	same_pi_ci_adjacent_fragment	0	0	48.2	42.6	candidate only; does not assert PDF table row owner or fragment correctness
16	17	0	3	5	1	5	1	75.6,75.6,638.7,1004.3	75.6,75.6,638.7,722.7	same_pi_ci_adjacent_fragment	0	0	42.6	324.2	candidate only; does not assert PDF table row owner or fragment correctness
17	18	0	3	5	1	5	1	75.6,75.6,638.7,722.7	75.6,75.6,638.7,994.1	same_pi_ci_adjacent_fragment|next_page_bottom_near_material_text_delta	0	60	324.2	52.8	candidate only; does not assert PDF table row owner or fragment correctness
18	19	0	3	5	1	5	1	75.6,75.6,638.7,994.1	75.6,75.6,638.7,982.7	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	60	159	52.8	64.2	candidate only; does not assert PDF table row owner or fragment correctness
18	19	324	0	5	3	5	3	115.8,941.2,558.2,119.9	115.8,77.5,558.2,54.1	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta	60	159	61.4	990.9	candidate only; does not assert PDF table row owner or fragment correctness
19	20	0	3	5	1	5	1	75.6,75.6,638.7,982.7	75.6,75.6,638.7,1004.3	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	159	115	64.2	42.6	candidate only; does not assert PDF table row owner or fragment correctness
20	21	0	3	5	1	5	1	75.6,75.6,638.7,1004.3	75.6,75.6,638.7,998.6	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	115	147	42.6	48.3	candidate only; does not assert PDF table row owner or fragment correctness
21	22	0	3	5	1	5	1	75.6,75.6,638.7,998.6	75.6,75.6,638.7,968.6	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	147	179	48.3	78.3	candidate only; does not assert PDF table row owner or fragment correctness
22	23	0	3	5	1	5	1	75.6,75.6,638.7,968.6	75.6,75.6,638.7,994.1	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	179	135	78.3	52.8	candidate only; does not assert PDF table row owner or fragment correctness
23	24	0	3	5	1	5	1	75.6,75.6,638.7,994.1	75.6,75.6,638.7,979.8	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	135	141	52.8	67.1	candidate only; does not assert PDF table row owner or fragment correctness
24	25	0	3	5	1	5	1	75.6,75.6,638.7,979.8	75.6,75.6,638.7,996.6	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	141	115	67.1	50.3	candidate only; does not assert PDF table row owner or fragment correctness
25	26	0	3	5	1	5	1	75.6,75.6,638.7,996.6	75.6,75.6,638.7,999.3	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	115	99	50.3	47.6	candidate only; does not assert PDF table row owner or fragment correctness
26	27	0	3	5	1	5	1	75.6,75.6,638.7,999.3	75.6,75.6,638.7,992.9	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	99	133	47.6	54.0	candidate only; does not assert PDF table row owner or fragment correctness
26	27	462	0	10	2	10	2	96.3,917.0,597.3,165.7	96.3,77.5,597.3,175.3	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta	99	133	39.8	869.7	candidate only; does not assert PDF table row owner or fragment correctness
27	28	0	3	5	1	5	1	75.6,75.6,638.7,992.9	75.6,75.6,638.7,764.9	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta	133	97	54.0	282.0	candidate only; does not assert PDF table row owner or fragment correctness
28	29	0	3	5	1	5	1	75.6,75.6,638.7,764.9	75.6,75.6,638.7,990.4	same_pi_ci_adjacent_fragment|next_page_bottom_near_material_text_delta	97	324	282.0	56.5	candidate only; does not assert PDF table row owner or fragment correctness
28	29	483	0	6	2	6	2	101.0,508.1,589.7,323.8	101.0,79.3,589.7,578.4	same_pi_ci_adjacent_fragment	97	324	290.6	464.8	candidate only; does not assert PDF table row owner or fragment correctness
29	30	0	3	5	1	5	1	75.6,75.6,638.7,990.4	75.6,75.6,638.7,981.1	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	324	304	56.5	65.8	candidate only; does not assert PDF table row owner or fragment correctness
30	31	0	3	5	1	5	1	75.6,75.6,638.7,981.1	75.6,75.6,638.7,979.8	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	304	286	65.8	67.1	candidate only; does not assert PDF table row owner or fragment correctness
31	32	0	3	5	1	5	1	75.6,75.6,638.7,979.8	75.6,75.6,638.7,998.7	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	286	244	67.1	48.2	candidate only; does not assert PDF table row owner or fragment correctness
32	33	0	3	5	1	5	1	75.6,75.6,638.7,998.7	75.6,75.6,638.7,985.4	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	244	254	48.2	61.5	candidate only; does not assert PDF table row owner or fragment correctness
33	34	0	3	5	1	5	1	75.6,75.6,638.7,985.4	75.6,75.6,638.7,986.4	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	254	304	61.5	60.5	candidate only; does not assert PDF table row owner or fragment correctness
34	35	0	3	5	1	5	1	75.6,75.6,638.7,986.4	75.6,75.6,638.7,989.7	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	304	253	60.5	57.2	candidate only; does not assert PDF table row owner or fragment correctness
35	-	607	0	2	1	-	-	110.5,771.7,570.8,237.6	-	page_bottom_near_material_text_delta	253	-	113.2	-	candidate only; does not assert PDF table row owner or fragment correctness
35	36	0	3	5	1	5	1	75.6,75.6,638.7,989.7	75.6,75.6,638.7,949.4	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	253	110	57.2	97.5	candidate only; does not assert PDF table row owner or fragment correctness
36	37	0	3	5	1	5	1	75.6,75.6,638.7,949.4	75.6,75.6,638.7,990.8	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	110	257	97.5	56.1	candidate only; does not assert PDF table row owner or fragment correctness
37	38	0	3	5	1	5	1	75.6,75.6,638.7,990.8	75.6,75.6,638.7,1008.7	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	257	317	56.1	38.2	candidate only; does not assert PDF table row owner or fragment correctness
37	38	629	0	70	5	70	5	87.8,783.4,616.1,297.3	87.8,79.4,616.1,1004.7	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	257	317	41.8	38.4	candidate only; does not assert PDF table row owner or fragment correctness
38	39	0	3	5	1	5	1	75.6,75.6,638.7,1008.7	75.6,75.6,638.7,982.1	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_bottom_near_material_text_delta	317	348	38.2	64.8	candidate only; does not assert PDF table row owner or fragment correctness
38	39	629	0	70	5	70	5	87.8,79.4,616.1,1004.7	87.8,79.4,616.1,639.3	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta	317	348	38.4	403.8	candidate only; does not assert PDF table row owner or fragment correctness
39	40	0	3	5	1	5	1	75.6,75.6,638.7,982.1	75.6,75.6,638.7,1495.5	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_table_footer|next_page_table_outside_frame|next_page_bottom_near_material_text_delta	348	623	64.8	-448.6	candidate only; does not assert PDF table row owner or fragment correctness
40	41	0	3	5	1	5	1	75.6,75.6,638.7,1495.5	75.6,75.6,638.7,1002.1	same_pi_ci_adjacent_fragment|page_table_footer|page_table_outside_frame|page_bottom_near_material_text_delta	623	13	-448.6	44.8	candidate only; does not assert PDF table row owner or fragment correctness
40	41	652	0	1	1	1	1	81.2,79.3,631.2,985.6	81.2,79.3,631.2,994.3	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta	623	13	57.6	48.9	candidate only; does not assert PDF table row owner or fragment correctness
41	42	0	3	5	1	5	1	75.6,75.6,638.7,1002.1	75.6,75.6,638.7,819.7	same_pi_ci_adjacent_fragment	13	1958	44.8	227.2	candidate only; does not assert PDF table row owner or fragment correctness
41	42	20	0	26	9	26	9	89.9,109.3,615.7,15.4	89.9,-896.5,615.7,3022.5	same_pi_ci_adjacent_fragment|next_page_table_footer|next_page_table_outside_frame|next_page_bottom_near_material_text_delta	13	1958	997.8	-1003.5	candidate only; does not assert PDF table row owner or fragment correctness
41	42	652	0	1	1	1	1	81.2,79.3,631.2,994.3	81.2,79.3,631.2,811.9	same_pi_ci_adjacent_fragment	13	1958	48.9	231.3	candidate only; does not assert PDF table row owner or fragment correctness
42	43	0	3	5	1	5	1	75.6,75.6,638.7,819.7	75.6,75.6,638.7,684.6	same_pi_ci_adjacent_fragment	1958	1977	227.2	362.3	candidate only; does not assert PDF table row owner or fragment correctness
42	43	20	0	26	9	26	9	89.9,-896.5,615.7,3022.5	89.9,-1581.6,615.7,3022.5	same_pi_ci_adjacent_fragment|page_table_footer|page_table_outside_frame|page_bottom_near_material_text_delta|next_page_table_footer|next_page_table_outside_frame|next_page_bottom_near_material_text_delta	1958	1977	-1003.5	-318.4	candidate only; does not assert PDF table row owner or fragment correctness
42	43	652	0	1	1	1	1	81.2,79.3,631.2,811.9	81.2,79.3,631.2,676.9	same_pi_ci_adjacent_fragment	1958	1977	231.3	366.3	candidate only; does not assert PDF table row owner or fragment correctness
43	44	0	3	5	1	5	1	75.6,75.6,638.7,684.6	75.6,75.6,638.7,1393.8	same_pi_ci_adjacent_fragment|next_page_table_footer|next_page_table_outside_frame|next_page_bottom_near_material_text_delta	1977	751	362.3	-346.9	candidate only; does not assert PDF table row owner or fragment correctness
43	44	20	0	26	9	26	9	89.9,-1581.6,615.7,3022.5	89.9,-2070.9,615.7,404.6	same_pi_ci_adjacent_fragment|page_table_footer|page_table_outside_frame|page_bottom_near_material_text_delta|next_page_table_outside_frame	1977	751	-318.4	2788.8	candidate only; does not assert PDF table row owner or fragment correctness
43	44	652	0	1	1	1	1	81.2,79.3,631.2,676.9	81.2,79.3,631.2,1386.0	same_pi_ci_adjacent_fragment|next_page_table_footer|next_page_table_outside_frame|next_page_bottom_near_material_text_delta	1977	751	366.3	-342.8	candidate only; does not assert PDF table row owner or fragment correctness
