page	reference_only	svg_only	reference_only_chars	svg_only_chars	note
1	0	0			-
2	0	0			-
3	3	3	U+E0EA:\ue0ea×1,U+E0EB:\ue0eb×1,U+E0EF:\ue0ef×1	U+0066:f×1,U+0067:g×1,U+006B:k×1	-
4	0	0			-
5	0	0			-
6	0	0			-
7	0	0			-
8	0	0			-
9	0	0			-
10	0	0			-
11	0	0			-
12	0	0			-
13	0	0			-
14	0	0			-
15	0	0			-
16	0	0			-
17	0	0			-
18	0	60		U+0028:(×1,U+0029:)×1,U+002E:.×3,U+0030:0×7,U+0032:2×2,U+0033:3×1,U+0035:5×5,U+0045:E×1,U+004C:L×1,U+0053:S×1,U+0056:V×4,U+005B:[×1,U+005D:]×1,U+2264:\u2264×1,U+2265:\u2265×2,U+33C1:\u33c1×2,U+ACF5:\uacf5×1,U+AE30:\uae30×1,U+B85C:\ub85c×1,U+B958:\ub958×1,U+BE44:\ube44×1,U+C124:\uc124×1,U+C2DC:\uc2dc×1,U+C555:\uc555×2,U+C5F0:\uc5f0×2,U+C758:\uc758×1,U+C800:\uc800×2,U+C804:\uc804×3,U+C808:\uc808×2,U+C9C1:\uc9c1×1,U+CE6D:\uce6d×1,U+D45C:\ud45c×1,U+D56D:\ud56d×2,U+D5D8:\ud5d8×1,U+D68C:\ud68c×1	-
