page	x	baseline_y	font_size	band_top	band_bottom	edges	clipped_top_px	clipped_bottom_px	visible_height_ratio	clip_ids	clip_rect	text	note
14	100.8	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	보	candidate only; visible glyph band is partially cut by SVG clip
14	113.5	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	보	candidate only; visible glyph band is partially cut by SVG clip
14	126.1	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	호	candidate only; visible glyph band is partially cut by SVG clip
14	145.1	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	등	candidate only; visible glyph band is partially cut by SVG clip
14	157.8	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	에	candidate only; visible glyph band is partially cut by SVG clip
14	176.8	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	관	candidate only; visible glyph band is partially cut by SVG clip
14	189.5	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	한	candidate only; visible glyph band is partially cut by SVG clip
14	208.5	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	법	candidate only; visible glyph band is partially cut by SVG clip
14	221.1	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	률	candidate only; visible glyph band is partially cut by SVG clip
14	233.8	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	」	candidate only; visible glyph band is partially cut by SVG clip
14	246.8	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	에	candidate only; visible glyph band is partially cut by SVG clip
14	265.8	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	따	candidate only; visible glyph band is partially cut by SVG clip
14	278.5	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	른	candidate only; visible glyph band is partially cut by SVG clip
14	297.5	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	정	candidate only; visible glyph band is partially cut by SVG clip
14	310.1	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	보	candidate only; visible glyph band is partially cut by SVG clip
14	322.8	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	통	candidate only; visible glyph band is partially cut by SVG clip
14	335.5	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	신	candidate only; visible glyph band is partially cut by SVG clip
14	348.1	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	망	candidate only; visible glyph band is partially cut by SVG clip
14	360.8	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	을	candidate only; visible glyph band is partially cut by SVG clip
14	379.8	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	이	candidate only; visible glyph band is partially cut by SVG clip
14	392.5	118.1	13.3	107.5	120.8	top	12.7	0.0	0.050	body-clip-3,cell-clip-6,cell-clip-8,cell-clip-10	80.7,120.1,715.6,472.5	용	candidate only; visible glyph band is partially cut by SVG clip
