page	next_page	pi	ci	rows	cols	next_rows	next_cols	bbox	next_bbox	signals	page_text_delta_chars	next_page_text_delta_chars	page_bottom_gap_px	next_page_bottom_gap_px	note
2	3	2	1	2	1	2	1	75.6,113.4,653.9,883.3	75.6,113.4,653.9,713.7	same_pi_ci_adjacent_fragment	2	0	125.8	295.4	candidate only; does not assert PDF table row owner or fragment correctness
2	3	3	0	9	2	9	2	99.4,620.8,597.2,372.3	99.4,115.3,597.2,711.7	same_pi_ci_adjacent_fragment	2	0	129.4	295.5	candidate only; does not assert PDF table row owner or fragment correctness
5	6	0	2	1	1	1	1	75.6,115.3,643.2,885.1	75.6,115.3,643.2,825.2	same_pi_ci_adjacent_fragment	0	0	122.1	182.0	candidate only; does not assert PDF table row owner or fragment correctness
5	6	7	1	1	1	1	1	74.6,113.4,647.3,894.4	74.6,113.4,647.3,894.4	same_pi_ci_adjacent_fragment	0	0	114.7	114.7	candidate only; does not assert PDF table row owner or fragment correctness
6	7	0	2	1	1	1	1	75.6,115.3,643.2,825.2	75.6,115.3,643.2,872.1	same_pi_ci_adjacent_fragment	0	0	182.0	135.1	candidate only; does not assert PDF table row owner or fragment correctness
6	7	7	1	1	1	1	1	74.6,113.4,647.3,894.4	74.6,113.4,647.3,894.4	same_pi_ci_adjacent_fragment	0	0	114.7	114.7	candidate only; does not assert PDF table row owner or fragment correctness
7	8	0	2	1	1	1	1	75.6,115.3,643.2,872.1	75.6,115.3,643.2,888.0	same_pi_ci_adjacent_fragment|next_page_bottom_near_material_text_delta	0	48	135.1	119.2	candidate only; does not assert PDF table row owner or fragment correctness
7	8	7	1	1	1	1	1	74.6,113.4,647.3,894.4	74.6,113.4,647.3,894.4	same_pi_ci_adjacent_fragment|next_page_bottom_near_material_text_delta	0	48	114.7	114.7	candidate only; does not assert PDF table row owner or fragment correctness
8	-	72	0	7	3	-	-	80.5,147.9,634.9,839.4	-	page_bottom_near_material_text_delta	48	-	135.2	-	candidate only; does not assert PDF table row owner or fragment correctness
8	9	0	2	1	1	1	1	75.6,115.3,643.2,888.0	75.6,115.3,643.2,895.4	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_table_footer|next_page_bottom_near_material_text_delta	48	94	119.2	111.8	candidate only; does not assert PDF table row owner or fragment correctness
8	9	7	1	1	1	1	1	74.6,113.4,647.3,894.4	74.6,113.4,647.3,897.3	same_pi_ci_adjacent_fragment|page_bottom_near_material_text_delta|next_page_table_footer|next_page_bottom_near_material_text_delta	48	94	114.7	111.8	candidate only; does not assert PDF table row owner or fragment correctness
9	-	79	0	8	4	-	-	80.5,273.7,634.9,720.1	-	page_bottom_near_material_text_delta	94	-	128.7	-	candidate only; does not assert PDF table row owner or fragment correctness
9	10	0	2	1	1	1	1	75.6,115.3,643.2,895.4	75.6,115.3,643.2,879.9	same_pi_ci_adjacent_fragment|page_table_footer|page_bottom_near_material_text_delta	94	4	111.8	127.3	candidate only; does not assert PDF table row owner or fragment correctness
9	10	7	1	1	1	1	1	74.6,113.4,647.3,897.3	74.6,113.4,647.3,894.4	same_pi_ci_adjacent_fragment|page_table_footer|page_bottom_near_material_text_delta	94	4	111.8	114.7	candidate only; does not assert PDF table row owner or fragment correctness
10	11	0	2	1	1	1	1	75.6,115.3,643.2,879.9	75.6,115.3,643.2,858.6	same_pi_ci_adjacent_fragment	4	6	127.3	148.6	candidate only; does not assert PDF table row owner or fragment correctness
10	11	7	1	1	1	1	1	74.6,113.4,647.3,894.4	74.6,113.4,647.3,894.4	same_pi_ci_adjacent_fragment	4	6	114.7	114.7	candidate only; does not assert PDF table row owner or fragment correctness
10	11	84	0	1	1	1	1	80.8,188.7,635.0,805.6	80.8,118.3,635.0,477.3	same_pi_ci_adjacent_fragment	4	6	128.2	526.9	candidate only; does not assert PDF table row owner or fragment correctness
