case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_armor-000000	armor	signal	CLEAN	samples/법제처/2016/armor-000000.hwp	법제처	2016	hwp	0	0		
u_armor-000001	armor	signal	CLEAN	samples/행정안전부/2016/armor-000001.hwpx	행정안전부	2016	hwpx	0	0		
u_armor-000002	armor	signal	CLEAN	samples/국세청/2016/armor-000002.hwp	국세청	2016	hwp	0	0		
u_armor-000003	armor	signal	ANOMALY	samples/대법원/2016/armor-000003.hwpx	대법원	2016	hwpx	4	1		
u_armor-000004	armor	signal	ANOMALY	samples/특허청/2016/armor-000004.hwp	특허청	2016	hwp	5	1		
u_armor-000005	armor	signal	ANOMALY	samples/교육부/2016/armor-000005.hwpx	교육부	2016	hwpx	6	1		
u_armor-000006	armor	signal	SIGNAL_LIE	samples/보건복지부/2016/armor-000006.hwp	보건복지부	2016	hwp	7	0		
u_armor-000007	armor	signal	CLEAN	samples/국토교통부/2016/armor-000007.hwpx	국토교통부	2016	hwpx	0	0		
u_armor-000008	armor	signal	CLEAN	samples/고용노동부/2016/armor-000008.hwp	고용노동부	2016	hwp	0	0		
u_armor-000009	armor	signal	CLEAN	samples/외교부/2016/armor-000009.hwpx	외교부	2016	hwpx	0	0		
u_armor-000010	armor	signal	ANOMALY	samples/기획재정부/2016/armor-000010.hwp	기획재정부	2016	hwp	2	1		
u_armor-000011	armor	signal	ANOMALY	samples/공정거래위원회/2016/armor-000011.hwpx	공정거래위원회	2016	hwpx	3	1		
u_armor-000012	armor	signal	ANOMALY	samples/금융위원회/2016/armor-000012.hwp	금융위원회	2016	hwp	4	1		
u_armor-000013	armor	signal	SIGNAL_LIE	samples/통계청/2016/armor-000013.hwpx	통계청	2016	hwpx	5	0		
u_armor-000014	armor	signal	CLEAN	samples/기상청/2016/armor-000014.hwp	기상청	2016	hwp	0	0		
u_armor-000015	armor	signal	CLEAN	samples/관세청/2016/armor-000015.hwpx	관세청	2016	hwpx	0	0		
u_armor-000016	armor	signal	CLEAN	samples/검찰청/2016/armor-000016.hwp	검찰청	2016	hwp	0	0		
u_armor-000017	armor	signal	ANOMALY	samples/경찰청/2016/armor-000017.hwpx	경찰청	2016	hwpx	9	1		
u_armor-000018	armor	signal	ANOMALY	samples/소방청/2016/armor-000018.hwp	소방청	2016	hwp	1	1		
u_armor-000019	armor	signal	ANOMALY	samples/병무청/2016/armor-000019.hwpx	병무청	2016	hwpx	2	1		
u_armor-000020	armor	signal	SIGNAL_LIE	samples/산림청/2016/armor-000020.hwp	산림청	2016	hwp	3	0		
u_armor-000021	armor	signal	CLEAN	samples/중소벤처기업부/2016/armor-000021.hwpx	중소벤처기업부	2016	hwpx	0	0		
u_armor-000022	armor	signal	CLEAN	samples/과학기술정보통신부/2016/armor-000022.hwp	과학기술정보통신부	2016	hwp	0	0		
u_armor-000023	armor	signal	CLEAN	samples/문화체육관광부/2016/armor-000023.hwpx	문화체육관광부	2016	hwpx	0	0		
u_armor-000024	armor	signal	ANOMALY	samples/환경부/2016/armor-000024.hwp	환경부	2016	hwp	7	1		
u_armor-000025	armor	signal	ANOMALY	samples/해양수산부/2016/armor-000025.hwpx	해양수산부	2016	hwpx	8	1		
u_armor-000026	armor	signal	ANOMALY	samples/서울특별시/2016/armor-000026.hwp	서울특별시	2016	hwp	9	1		
u_armor-000027	armor	signal	SIGNAL_LIE	samples/경기도/2016/armor-000027.hwpx	경기도	2016	hwpx	1	0		
u_armor-000028	armor	signal	CLEAN	samples/부산광역시/2016/armor-000028.hwp	부산광역시	2016	hwp	0	0		
u_armor-000029	armor	signal	CLEAN	samples/제주특별자치도/2016/armor-000029.hwpx	제주특별자치도	2016	hwpx	0	0		
u_armor-000030	armor	signal	CLEAN	samples/법제처/2017/armor-000030.hwp	법제처	2017	hwp	0	0		
u_armor-000031	armor	signal	ANOMALY	samples/행정안전부/2017/armor-000031.hwpx	행정안전부	2017	hwpx	5	1		
u_armor-000032	armor	signal	ANOMALY	samples/국세청/2017/armor-000032.hwp	국세청	2017	hwp	6	1		
u_armor-000033	armor	signal	ANOMALY	samples/대법원/2017/armor-000033.hwpx	대법원	2017	hwpx	7	1		
u_armor-000034	armor	signal	SIGNAL_LIE	samples/특허청/2017/armor-000034.hwp	특허청	2017	hwp	8	0		
u_armor-000035	armor	signal	CLEAN	samples/교육부/2017/armor-000035.hwpx	교육부	2017	hwpx	0	0		
