case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_audit-000000	audit	rate	RATE_OK	samples/법제처/2016/audit-000000.hwp	법제처	2016	hwp	1	1		
u_audit-000001	audit	rate	RATE_OK	samples/행정안전부/2016/audit-000001.hwpx	행정안전부	2016	hwpx	2	2		
u_audit-000002	audit	rate	RATE_OK	samples/국세청/2016/audit-000002.hwp	국세청	2016	hwp	3	3		
u_audit-000003	audit	rate	RATE_OK	samples/대법원/2016/audit-000003.hwpx	대법원	2016	hwpx	4	4		
u_audit-000004	audit	rate	RATE_OK	samples/특허청/2016/audit-000004.hwp	특허청	2016	hwp	4	5		
u_audit-000005	audit	rate	RATE_OK	samples/교육부/2016/audit-000005.hwpx	교육부	2016	hwpx	5	6		
u_audit-000006	audit	rate	RATE_IMPOSSIBLE	samples/보건복지부/2016/audit-000006.hwp	보건복지부	2016	hwp	8	7		
u_audit-000007	audit	rate	RATE_OK	samples/국토교통부/2016/audit-000007.hwpx	국토교통부	2016	hwpx	8	8		
u_audit-000008	audit	rate	RATE_OK	samples/고용노동부/2016/audit-000008.hwp	고용노동부	2016	hwp	9	9		
u_audit-000009	audit	rate	RATE_OK	samples/외교부/2016/audit-000009.hwpx	외교부	2016	hwpx	10	10		
u_audit-000010	audit	rate	RATE_OK	samples/기획재정부/2016/audit-000010.hwp	기획재정부	2016	hwp	11	11		
u_audit-000011	audit	rate	RATE_OK	samples/공정거래위원회/2016/audit-000011.hwpx	공정거래위원회	2016	hwpx	11	12		
u_audit-000012	audit	rate	RATE_OK	samples/금융위원회/2016/audit-000012.hwp	금융위원회	2016	hwp	12	13		
u_audit-000013	audit	rate	RATE_IMPOSSIBLE	samples/통계청/2016/audit-000013.hwpx	통계청	2016	hwpx	15	14		
u_audit-000014	audit	rate	RATE_OK	samples/기상청/2016/audit-000014.hwp	기상청	2016	hwp	15	15		
u_audit-000015	audit	rate	RATE_OK	samples/관세청/2016/audit-000015.hwpx	관세청	2016	hwpx	16	16		
u_audit-000016	audit	rate	RATE_OK	samples/검찰청/2016/audit-000016.hwp	검찰청	2016	hwp	17	17		
u_audit-000017	audit	rate	RATE_OK	samples/경찰청/2016/audit-000017.hwpx	경찰청	2016	hwpx	18	18		
u_audit-000018	audit	rate	RATE_OK	samples/소방청/2016/audit-000018.hwp	소방청	2016	hwp	18	19		
u_audit-000019	audit	rate	RATE_OK	samples/병무청/2016/audit-000019.hwpx	병무청	2016	hwpx	19	20		
u_audit-000020	audit	rate	RATE_IMPOSSIBLE	samples/산림청/2016/audit-000020.hwp	산림청	2016	hwp	2	1		
u_audit-000021	audit	rate	RATE_OK	samples/중소벤처기업부/2016/audit-000021.hwpx	중소벤처기업부	2016	hwpx	2	2		
u_audit-000022	audit	rate	RATE_OK	samples/과학기술정보통신부/2016/audit-000022.hwp	과학기술정보통신부	2016	hwp	3	3		
u_audit-000023	audit	rate	RATE_OK	samples/문화체육관광부/2016/audit-000023.hwpx	문화체육관광부	2016	hwpx	4	4		
u_audit-000024	audit	rate	RATE_OK	samples/환경부/2016/audit-000024.hwp	환경부	2016	hwp	5	5		
u_audit-000025	audit	rate	RATE_OK	samples/해양수산부/2016/audit-000025.hwpx	해양수산부	2016	hwpx	1	6		
u_audit-000026	audit	rate	RATE_OK	samples/서울특별시/2016/audit-000026.hwp	서울특별시	2016	hwp	5	7		
u_audit-000027	audit	rate	RATE_IMPOSSIBLE	samples/경기도/2016/audit-000027.hwpx	경기도	2016	hwpx	9	8		
u_audit-000028	audit	rate	RATE_OK	samples/부산광역시/2016/audit-000028.hwp	부산광역시	2016	hwp	9	9		
u_audit-000029	audit	rate	RATE_OK	samples/제주특별자치도/2016/audit-000029.hwpx	제주특별자치도	2016	hwpx	10	10		
u_audit-000030	audit	rate	RATE_OK	samples/법제처/2017/audit-000030.hwp	법제처	2017	hwp	11	11		
u_audit-000031	audit	rate	RATE_OK	samples/행정안전부/2017/audit-000031.hwpx	행정안전부	2017	hwpx	12	12		
u_audit-000032	audit	rate	RATE_OK	samples/국세청/2017/audit-000032.hwp	국세청	2017	hwp	6	13		
u_audit-000033	audit	rate	RATE_OK	samples/대법원/2017/audit-000033.hwpx	대법원	2017	hwpx	5	14		
u_audit-000034	audit	rate	RATE_IMPOSSIBLE	samples/특허청/2017/audit-000034.hwp	특허청	2017	hwp	16	15		
u_audit-000035	audit	rate	RATE_OK	samples/교육부/2017/audit-000035.hwpx	교육부	2017	hwpx	16	16		
u_audit-000036	audit	rate	RATE_OK	samples/보건복지부/2017/audit-000036.hwp	보건복지부	2017	hwp	17	17		
u_audit-000037	audit	rate	RATE_OK	samples/국토교통부/2017/audit-000037.hwpx	국토교통부	2017	hwpx	18	18		
u_audit-000038	audit	rate	RATE_OK	samples/고용노동부/2017/audit-000038.hwp	고용노동부	2017	hwp	19	19		
u_audit-000039	audit	rate	RATE_OK	samples/외교부/2017/audit-000039.hwpx	외교부	2017	hwpx	19	20		
u_audit-000040	audit	rate	RATE_OK	samples/기획재정부/2017/audit-000040.hwp	기획재정부	2017	hwp	0	1		
u_audit-000041	audit	rate	RATE_IMPOSSIBLE	samples/공정거래위원회/2017/audit-000041.hwpx	공정거래위원회	2017	hwpx	3	2		
u_audit-000042	audit	rate	RATE_OK	samples/금융위원회/2017/audit-000042.hwp	금융위원회	2017	hwp	3	3		
u_audit-000043	audit	rate	RATE_OK	samples/통계청/2017/audit-000043.hwpx	통계청	2017	hwpx	4	4		
u_audit-000044	audit	rate	RATE_OK	samples/기상청/2017/audit-000044.hwp	기상청	2017	hwp	5	5		
u_audit-000045	audit	rate	RATE_OK	samples/관세청/2017/audit-000045.hwpx	관세청	2017	hwpx	6	6		
u_audit-000046	audit	rate	RATE_OK	samples/검찰청/2017/audit-000046.hwp	검찰청	2017	hwp	4	7		
u_audit-000047	audit	rate	RATE_OK	samples/경찰청/2017/audit-000047.hwpx	경찰청	2017	hwpx	7	8		
u_audit-000048	audit	rate	RATE_IMPOSSIBLE	samples/소방청/2017/audit-000048.hwp	소방청	2017	hwp	10	9		
u_audit-000049	audit	rate	RATE_OK	samples/병무청/2017/audit-000049.hwpx	병무청	2017	hwpx	10	10		
u_audit-000050	audit	rate	RATE_OK	samples/산림청/2017/audit-000050.hwp	산림청	2017	hwp	11	11		
u_audit-000051	audit	rate	RATE_OK	samples/중소벤처기업부/2017/audit-000051.hwpx	중소벤처기업부	2017	hwpx	12	12		
u_audit-000052	audit	rate	RATE_OK	samples/과학기술정보통신부/2017/audit-000052.hwp	과학기술정보통신부	2017	hwp	13	13		
u_audit-000053	audit	rate	RATE_OK	samples/문화체육관광부/2017/audit-000053.hwpx	문화체육관광부	2017	hwpx	11	14		
u_audit-000054	audit	rate	RATE_OK	samples/환경부/2017/audit-000054.hwp	환경부	2017	hwp	9	15		
u_audit-000055	audit	rate	RATE_IMPOSSIBLE	samples/해양수산부/2017/audit-000055.hwpx	해양수산부	2017	hwpx	17	16		
u_audit-000056	audit	rate	RATE_OK	samples/서울특별시/2017/audit-000056.hwp	서울특별시	2017	hwp	17	17		
u_audit-000057	audit	rate	RATE_OK	samples/경기도/2017/audit-000057.hwpx	경기도	2017	hwpx	18	18		
u_audit-000058	audit	rate	RATE_OK	samples/부산광역시/2017/audit-000058.hwp	부산광역시	2017	hwp	19	19		
u_audit-000059	audit	rate	RATE_OK	samples/제주특별자치도/2017/audit-000059.hwpx	제주특별자치도	2017	hwpx	20	20		
u_audit-000060	audit	rate	RATE_OK	samples/법제처/2018/audit-000060.hwp	법제처	2018	hwp	0	1		
u_audit-000061	audit	rate	RATE_OK	samples/행정안전부/2018/audit-000061.hwpx	행정안전부	2018	hwpx	1	2		
u_audit-000062	audit	rate	RATE_IMPOSSIBLE	samples/국세청/2018/audit-000062.hwp	국세청	2018	hwp	4	3		
u_audit-000063	audit	rate	RATE_OK	samples/대법원/2018/audit-000063.hwpx	대법원	2018	hwpx	4	4		
u_audit-000064	audit	rate	RATE_OK	samples/특허청/2018/audit-000064.hwp	특허청	2018	hwp	5	5		
u_audit-000065	audit	rate	RATE_OK	samples/교육부/2018/audit-000065.hwpx	교육부	2018	hwpx	6	6		
u_audit-000066	audit	rate	RATE_OK	samples/보건복지부/2018/audit-000066.hwp	보건복지부	2018	hwp	7	7		
u_audit-000067	audit	rate	RATE_OK	samples/국토교통부/2018/audit-000067.hwpx	국토교통부	2018	hwpx	3	8		
u_audit-000068	audit	rate	RATE_OK	samples/고용노동부/2018/audit-000068.hwp	고용노동부	2018	hwp	5	9		
u_audit-000069	audit	rate	RATE_IMPOSSIBLE	samples/외교부/2018/audit-000069.hwpx	외교부	2018	hwpx	11	10		
u_audit-000070	audit	rate	RATE_OK	samples/기획재정부/2018/audit-000070.hwp	기획재정부	2018	hwp	11	11		
u_audit-000071	audit	rate	RATE_OK	samples/공정거래위원회/2018/audit-000071.hwpx	공정거래위원회	2018	hwpx	12	12		
u_audit-000072	audit	rate	RATE_OK	samples/금융위원회/2018/audit-000072.hwp	금융위원회	2018	hwp	13	13		
u_audit-000073	audit	rate	RATE_OK	samples/통계청/2018/audit-000073.hwpx	통계청	2018	hwpx	14	14		
u_audit-000074	audit	rate	RATE_OK	samples/기상청/2018/audit-000074.hwp	기상청	2018	hwp	14	15		
u_audit-000075	audit	rate	RATE_OK	samples/관세청/2018/audit-000075.hwpx	관세청	2018	hwpx	11	16		
u_audit-000076	audit	rate	RATE_IMPOSSIBLE	samples/검찰청/2018/audit-000076.hwp	검찰청	2018	hwp	18	17		
u_audit-000077	audit	rate	RATE_OK	samples/경찰청/2018/audit-000077.hwpx	경찰청	2018	hwpx	18	18		
u_audit-000078	audit	rate	RATE_OK	samples/소방청/2018/audit-000078.hwp	소방청	2018	hwp	19	19		
u_audit-000079	audit	rate	RATE_OK	samples/병무청/2018/audit-000079.hwpx	병무청	2018	hwpx	20	20		
u_audit-000080	audit	rate	RATE_OK	samples/산림청/2018/audit-000080.hwp	산림청	2018	hwp	1	1		
u_audit-000081	audit	rate	RATE_OK	samples/중소벤처기업부/2018/audit-000081.hwpx	중소벤처기업부	2018	hwpx	1	2		
u_audit-000082	audit	rate	RATE_OK	samples/과학기술정보통신부/2018/audit-000082.hwp	과학기술정보통신부	2018	hwp	1	3		
u_audit-000083	audit	rate	RATE_IMPOSSIBLE	samples/문화체육관광부/2018/audit-000083.hwpx	문화체육관광부	2018	hwpx	5	4		
u_audit-000084	audit	rate	RATE_OK	samples/환경부/2018/audit-000084.hwp	환경부	2018	hwp	5	5		
u_audit-000085	audit	rate	RATE_OK	samples/해양수산부/2018/audit-000085.hwpx	해양수산부	2018	hwpx	6	6		
u_audit-000086	audit	rate	RATE_OK	samples/서울특별시/2018/audit-000086.hwp	서울특별시	2018	hwp	7	7		
u_audit-000087	audit	rate	RATE_OK	samples/경기도/2018/audit-000087.hwpx	경기도	2018	hwpx	8	8		
u_audit-000088	audit	rate	RATE_OK	samples/부산광역시/2018/audit-000088.hwp	부산광역시	2018	hwp	7	9		
u_audit-000089	audit	rate	RATE_OK	samples/제주특별자치도/2018/audit-000089.hwpx	제주특별자치도	2018	hwpx	9	10		
u_audit-000090	audit	rate	RATE_IMPOSSIBLE	samples/법제처/2019/audit-000090.hwp	법제처	2019	hwp	12	11		
u_audit-000091	audit	rate	RATE_OK	samples/행정안전부/2019/audit-000091.hwpx	행정안전부	2019	hwpx	12	12		
u_audit-000092	audit	rate	RATE_OK	samples/국세청/2019/audit-000092.hwp	국세청	2019	hwp	13	13		
