case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_batch-010000	batch	isolate	ISOLATED	samples/기획재정부/2019/batch-010000.hwp	기획재정부	2019	hwp	4	3	1	0
u_batch-010001	batch	isolate	COUNT_DRIFT	samples/공정거래위원회/2019/batch-010001.hwpx	공정거래위원회	2019	hwpx	6	4	1	0
u_batch-010002	batch	isolate	POISON	samples/금융위원회/2019/batch-010002.hwp	금융위원회	2019	hwp	6	5	1	1
u_batch-010003	batch	isolate	ISOLATED	samples/통계청/2019/batch-010003.hwpx	통계청	2019	hwpx	6	6	0	0
u_batch-010004	batch	isolate	ISOLATED	samples/기상청/2019/batch-010004.hwp	기상청	2019	hwp	7	7	0	0
u_batch-010005	batch	isolate	ISOLATED	samples/관세청/2019/batch-010005.hwpx	관세청	2019	hwpx	8	8	0	0
u_batch-010006	batch	isolate	ISOLATED	samples/검찰청/2019/batch-010006.hwp	검찰청	2019	hwp	9	9	0	0
u_batch-010007	batch	isolate	ISOLATED	samples/경찰청/2019/batch-010007.hwpx	경찰청	2019	hwpx	11	10	1	0
u_batch-010008	batch	isolate	COUNT_DRIFT	samples/소방청/2019/batch-010008.hwp	소방청	2019	hwp	5	3	1	0
u_batch-010009	batch	isolate	POISON	samples/병무청/2019/batch-010009.hwpx	병무청	2019	hwpx	5	4	1	1
u_batch-010010	batch	isolate	ISOLATED	samples/산림청/2019/batch-010010.hwp	산림청	2019	hwp	5	5	0	0
u_batch-010011	batch	isolate	ISOLATED	samples/중소벤처기업부/2019/batch-010011.hwpx	중소벤처기업부	2019	hwpx	6	6	0	0
u_batch-010012	batch	isolate	ISOLATED	samples/과학기술정보통신부/2019/batch-010012.hwp	과학기술정보통신부	2019	hwp	7	7	0	0
u_batch-010013	batch	isolate	ISOLATED	samples/문화체육관광부/2019/batch-010013.hwpx	문화체육관광부	2019	hwpx	8	8	0	0
u_batch-010014	batch	isolate	ISOLATED	samples/환경부/2019/batch-010014.hwp	환경부	2019	hwp	10	9	1	0
u_batch-010015	batch	isolate	COUNT_DRIFT	samples/해양수산부/2019/batch-010015.hwpx	해양수산부	2019	hwpx	12	10	1	0
u_batch-010016	batch	isolate	POISON	samples/서울특별시/2019/batch-010016.hwp	서울특별시	2019	hwp	4	3	1	1
u_batch-010017	batch	isolate	ISOLATED	samples/경기도/2019/batch-010017.hwpx	경기도	2019	hwpx	4	4	0	0
u_batch-010018	batch	isolate	ISOLATED	samples/부산광역시/2019/batch-010018.hwp	부산광역시	2019	hwp	5	5	0	0
u_batch-010019	batch	isolate	ISOLATED	samples/제주특별자치도/2019/batch-010019.hwpx	제주특별자치도	2019	hwpx	6	6	0	0
u_batch-010020	batch	isolate	ISOLATED	samples/법제처/2020/batch-010020.hwp	법제처	2020	hwp	7	7	0	0
u_batch-010021	batch	isolate	ISOLATED	samples/행정안전부/2020/batch-010021.hwpx	행정안전부	2020	hwpx	9	8	1	0
u_batch-010022	batch	isolate	COUNT_DRIFT	samples/국세청/2020/batch-010022.hwp	국세청	2020	hwp	11	9	1	0
u_batch-010023	batch	isolate	POISON	samples/대법원/2020/batch-010023.hwpx	대법원	2020	hwpx	11	10	1	1
u_batch-010024	batch	isolate	ISOLATED	samples/특허청/2020/batch-010024.hwp	특허청	2020	hwp	3	3	0	0
u_batch-010025	batch	isolate	ISOLATED	samples/교육부/2020/batch-010025.hwpx	교육부	2020	hwpx	4	4	0	0
u_batch-010026	batch	isolate	ISOLATED	samples/보건복지부/2020/batch-010026.hwp	보건복지부	2020	hwp	5	5	0	0
u_batch-010027	batch	isolate	ISOLATED	samples/국토교통부/2020/batch-010027.hwpx	국토교통부	2020	hwpx	6	6	0	0
u_batch-010028	batch	isolate	ISOLATED	samples/고용노동부/2020/batch-010028.hwp	고용노동부	2020	hwp	8	7	1	0
u_batch-010029	batch	isolate	COUNT_DRIFT	samples/외교부/2020/batch-010029.hwpx	외교부	2020	hwpx	10	8	1	0
u_batch-010030	batch	isolate	POISON	samples/기획재정부/2020/batch-010030.hwp	기획재정부	2020	hwp	10	9	1	1
u_batch-010031	batch	isolate	ISOLATED	samples/공정거래위원회/2020/batch-010031.hwpx	공정거래위원회	2020	hwpx	10	10	0	0
u_batch-010032	batch	isolate	ISOLATED	samples/금융위원회/2020/batch-010032.hwp	금융위원회	2020	hwp	3	3	0	0
u_batch-010033	batch	isolate	ISOLATED	samples/통계청/2020/batch-010033.hwpx	통계청	2020	hwpx	4	4	0	0
u_batch-010034	batch	isolate	ISOLATED	samples/기상청/2020/batch-010034.hwp	기상청	2020	hwp	5	5	0	0
u_batch-010035	batch	isolate	ISOLATED	samples/관세청/2020/batch-010035.hwpx	관세청	2020	hwpx	7	6	1	0
u_batch-010036	batch	isolate	COUNT_DRIFT	samples/검찰청/2020/batch-010036.hwp	검찰청	2020	hwp	9	7	1	0
u_batch-010037	batch	isolate	POISON	samples/경찰청/2020/batch-010037.hwpx	경찰청	2020	hwpx	9	8	1	1
u_batch-010038	batch	isolate	ISOLATED	samples/소방청/2020/batch-010038.hwp	소방청	2020	hwp	9	9	0	0
u_batch-010039	batch	isolate	ISOLATED	samples/병무청/2020/batch-010039.hwpx	병무청	2020	hwpx	10	10	0	0
u_batch-010040	batch	isolate	ISOLATED	samples/산림청/2020/batch-010040.hwp	산림청	2020	hwp	3	3	0	0
u_batch-010041	batch	isolate	ISOLATED	samples/중소벤처기업부/2020/batch-010041.hwpx	중소벤처기업부	2020	hwpx	4	4	0	0
u_batch-010042	batch	isolate	ISOLATED	samples/과학기술정보통신부/2020/batch-010042.hwp	과학기술정보통신부	2020	hwp	6	5	1	0
u_batch-010043	batch	isolate	COUNT_DRIFT	samples/문화체육관광부/2020/batch-010043.hwpx	문화체육관광부	2020	hwpx	8	6	1	0
u_batch-010044	batch	isolate	POISON	samples/환경부/2020/batch-010044.hwp	환경부	2020	hwp	8	7	1	1
u_batch-010045	batch	isolate	ISOLATED	samples/해양수산부/2020/batch-010045.hwpx	해양수산부	2020	hwpx	8	8	0	0
u_batch-010046	batch	isolate	ISOLATED	samples/서울특별시/2020/batch-010046.hwp	서울특별시	2020	hwp	9	9	0	0
u_batch-010047	batch	isolate	ISOLATED	samples/경기도/2020/batch-010047.hwpx	경기도	2020	hwpx	10	10	0	0
u_batch-010048	batch	isolate	ISOLATED	samples/부산광역시/2020/batch-010048.hwp	부산광역시	2020	hwp	3	3	0	0
u_batch-010049	batch	isolate	ISOLATED	samples/제주특별자치도/2020/batch-010049.hwpx	제주특별자치도	2020	hwpx	5	4	1	0
u_batch-010050	batch	isolate	COUNT_DRIFT	samples/법제처/2021/batch-010050.hwp	법제처	2021	hwp	7	5	1	0
u_batch-010051	batch	isolate	POISON	samples/행정안전부/2021/batch-010051.hwpx	행정안전부	2021	hwpx	7	6	1	1
u_batch-010052	batch	isolate	ISOLATED	samples/국세청/2021/batch-010052.hwp	국세청	2021	hwp	7	7	0	0
u_batch-010053	batch	isolate	ISOLATED	samples/대법원/2021/batch-010053.hwpx	대법원	2021	hwpx	8	8	0	0
u_batch-010054	batch	isolate	ISOLATED	samples/특허청/2021/batch-010054.hwp	특허청	2021	hwp	9	9	0	0
u_batch-010055	batch	isolate	ISOLATED	samples/교육부/2021/batch-010055.hwpx	교육부	2021	hwpx	10	10	0	0
u_batch-010056	batch	isolate	ISOLATED	samples/보건복지부/2021/batch-010056.hwp	보건복지부	2021	hwp	4	3	1	0
u_batch-010057	batch	isolate	COUNT_DRIFT	samples/국토교통부/2021/batch-010057.hwpx	국토교통부	2021	hwpx	6	4	1	0
u_batch-010058	batch	isolate	POISON	samples/고용노동부/2021/batch-010058.hwp	고용노동부	2021	hwp	6	5	1	1
u_batch-010059	batch	isolate	ISOLATED	samples/외교부/2021/batch-010059.hwpx	외교부	2021	hwpx	6	6	0	0
u_batch-010060	batch	isolate	ISOLATED	samples/기획재정부/2021/batch-010060.hwp	기획재정부	2021	hwp	7	7	0	0
u_batch-010061	batch	isolate	ISOLATED	samples/공정거래위원회/2021/batch-010061.hwpx	공정거래위원회	2021	hwpx	8	8	0	0
u_batch-010062	batch	isolate	ISOLATED	samples/금융위원회/2021/batch-010062.hwp	금융위원회	2021	hwp	9	9	0	0
u_batch-010063	batch	isolate	ISOLATED	samples/통계청/2021/batch-010063.hwpx	통계청	2021	hwpx	11	10	1	0
u_batch-010064	batch	isolate	COUNT_DRIFT	samples/기상청/2021/batch-010064.hwp	기상청	2021	hwp	5	3	1	0
u_batch-010065	batch	isolate	POISON	samples/관세청/2021/batch-010065.hwpx	관세청	2021	hwpx	5	4	1	1
u_batch-010066	batch	isolate	ISOLATED	samples/검찰청/2021/batch-010066.hwp	검찰청	2021	hwp	5	5	0	0
u_batch-010067	batch	isolate	ISOLATED	samples/경찰청/2021/batch-010067.hwpx	경찰청	2021	hwpx	6	6	0	0
u_batch-010068	batch	isolate	ISOLATED	samples/소방청/2021/batch-010068.hwp	소방청	2021	hwp	7	7	0	0
u_batch-010069	batch	isolate	ISOLATED	samples/병무청/2021/batch-010069.hwpx	병무청	2021	hwpx	8	8	0	0
u_batch-010070	batch	isolate	ISOLATED	samples/산림청/2021/batch-010070.hwp	산림청	2021	hwp	10	9	1	0
u_batch-010071	batch	isolate	COUNT_DRIFT	samples/중소벤처기업부/2021/batch-010071.hwpx	중소벤처기업부	2021	hwpx	12	10	1	0
u_batch-010072	batch	isolate	POISON	samples/과학기술정보통신부/2021/batch-010072.hwp	과학기술정보통신부	2021	hwp	4	3	1	1
u_batch-010073	batch	isolate	ISOLATED	samples/문화체육관광부/2021/batch-010073.hwpx	문화체육관광부	2021	hwpx	4	4	0	0
u_batch-010074	batch	isolate	ISOLATED	samples/환경부/2021/batch-010074.hwp	환경부	2021	hwp	5	5	0	0
u_batch-010075	batch	isolate	ISOLATED	samples/해양수산부/2021/batch-010075.hwpx	해양수산부	2021	hwpx	6	6	0	0
u_batch-010076	batch	isolate	ISOLATED	samples/서울특별시/2021/batch-010076.hwp	서울특별시	2021	hwp	7	7	0	0
u_batch-010077	batch	isolate	ISOLATED	samples/경기도/2021/batch-010077.hwpx	경기도	2021	hwpx	9	8	1	0
u_batch-010078	batch	isolate	COUNT_DRIFT	samples/부산광역시/2021/batch-010078.hwp	부산광역시	2021	hwp	11	9	1	0
u_batch-010079	batch	isolate	POISON	samples/제주특별자치도/2021/batch-010079.hwpx	제주특별자치도	2021	hwpx	11	10	1	1
u_batch-010080	batch	isolate	ISOLATED	samples/법제처/2022/batch-010080.hwp	법제처	2022	hwp	3	3	0	0
u_batch-010081	batch	isolate	ISOLATED	samples/행정안전부/2022/batch-010081.hwpx	행정안전부	2022	hwpx	4	4	0	0
u_batch-010082	batch	isolate	ISOLATED	samples/국세청/2022/batch-010082.hwp	국세청	2022	hwp	5	5	0	0
u_batch-010083	batch	isolate	ISOLATED	samples/대법원/2022/batch-010083.hwpx	대법원	2022	hwpx	6	6	0	0
u_batch-010084	batch	isolate	ISOLATED	samples/특허청/2022/batch-010084.hwp	특허청	2022	hwp	8	7	1	0
u_batch-010085	batch	isolate	COUNT_DRIFT	samples/교육부/2022/batch-010085.hwpx	교육부	2022	hwpx	10	8	1	0
u_batch-010086	batch	isolate	POISON	samples/보건복지부/2022/batch-010086.hwp	보건복지부	2022	hwp	10	9	1	1
