case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_boundary_path-015000	boundary-path	path	BREACH	samples/법제처/2021/boundary-path-015000.hwp	법제처	2021	hwp	0	1		
u_boundary_path-015001	boundary-path	path	PATH_OK	samples/행정안전부/2021/boundary-path-015001.hwpx	행정안전부	2021	hwpx	0	0		
u_boundary_path-015002	boundary-path	path	PATH_OK	samples/국세청/2021/boundary-path-015002.hwp	국세청	2021	hwp	0	0		
u_boundary_path-015003	boundary-path	path	PATH_OK	samples/대법원/2021/boundary-path-015003.hwpx	대법원	2021	hwpx	0	0		
u_boundary_path-015004	boundary-path	path	PATH_OK	samples/특허청/2021/boundary-path-015004.hwp	특허청	2021	hwp	0	0		
u_boundary_path-015005	boundary-path	path	PATH_OK	samples/교육부/2021/boundary-path-015005.hwpx	교육부	2021	hwpx	0	0		
u_boundary_path-015006	boundary-path	path	ESCAPE	samples/보건복지부/2021/boundary-path-015006.hwp	보건복지부	2021	hwp	1	0		
u_boundary_path-015007	boundary-path	path	BREACH	samples/국토교통부/2021/boundary-path-015007.hwpx	국토교통부	2021	hwpx	0	1		
u_boundary_path-015008	boundary-path	path	PATH_OK	samples/고용노동부/2021/boundary-path-015008.hwp	고용노동부	2021	hwp	0	0		
u_boundary_path-015009	boundary-path	path	PATH_OK	samples/외교부/2021/boundary-path-015009.hwpx	외교부	2021	hwpx	0	0		
u_boundary_path-015010	boundary-path	path	PATH_OK	samples/기획재정부/2021/boundary-path-015010.hwp	기획재정부	2021	hwp	0	0		
u_boundary_path-015011	boundary-path	path	PATH_OK	samples/공정거래위원회/2021/boundary-path-015011.hwpx	공정거래위원회	2021	hwpx	0	0		
u_boundary_path-015012	boundary-path	path	PATH_OK	samples/금융위원회/2021/boundary-path-015012.hwp	금융위원회	2021	hwp	0	0		
u_boundary_path-015013	boundary-path	path	ESCAPE	samples/통계청/2021/boundary-path-015013.hwpx	통계청	2021	hwpx	1	0		
u_boundary_path-015014	boundary-path	path	BREACH	samples/기상청/2021/boundary-path-015014.hwp	기상청	2021	hwp	0	1		
u_boundary_path-015015	boundary-path	path	PATH_OK	samples/관세청/2021/boundary-path-015015.hwpx	관세청	2021	hwpx	0	0		
u_boundary_path-015016	boundary-path	path	PATH_OK	samples/검찰청/2021/boundary-path-015016.hwp	검찰청	2021	hwp	0	0		
u_boundary_path-015017	boundary-path	path	PATH_OK	samples/경찰청/2021/boundary-path-015017.hwpx	경찰청	2021	hwpx	0	0		
u_boundary_path-015018	boundary-path	path	PATH_OK	samples/소방청/2021/boundary-path-015018.hwp	소방청	2021	hwp	0	0		
u_boundary_path-015019	boundary-path	path	PATH_OK	samples/병무청/2021/boundary-path-015019.hwpx	병무청	2021	hwpx	0	0		
u_boundary_path-015020	boundary-path	path	ESCAPE	samples/산림청/2021/boundary-path-015020.hwp	산림청	2021	hwp	1	0		
u_boundary_path-015021	boundary-path	path	BREACH	samples/중소벤처기업부/2021/boundary-path-015021.hwpx	중소벤처기업부	2021	hwpx	0	1		
u_boundary_path-015022	boundary-path	path	PATH_OK	samples/과학기술정보통신부/2021/boundary-path-015022.hwp	과학기술정보통신부	2021	hwp	0	0		
u_boundary_path-015023	boundary-path	path	PATH_OK	samples/문화체육관광부/2021/boundary-path-015023.hwpx	문화체육관광부	2021	hwpx	0	0		
u_boundary_path-015024	boundary-path	path	PATH_OK	samples/환경부/2021/boundary-path-015024.hwp	환경부	2021	hwp	0	0		
u_boundary_path-015025	boundary-path	path	PATH_OK	samples/해양수산부/2021/boundary-path-015025.hwpx	해양수산부	2021	hwpx	0	0		
u_boundary_path-015026	boundary-path	path	PATH_OK	samples/서울특별시/2021/boundary-path-015026.hwp	서울특별시	2021	hwp	0	0		
u_boundary_path-015027	boundary-path	path	ESCAPE	samples/경기도/2021/boundary-path-015027.hwpx	경기도	2021	hwpx	1	0		
u_boundary_path-015028	boundary-path	path	BREACH	samples/부산광역시/2021/boundary-path-015028.hwp	부산광역시	2021	hwp	0	1		
