case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_build_from_ingest-000000	build-from-ingest	count_eq	COUNT_OK	samples/법제처/2016/build-from-ingest-000000.hwp	법제처	2016	hwp	0	0		
u_build_from_ingest-000001	build-from-ingest	count_eq	COUNT_OK	samples/행정안전부/2016/build-from-ingest-000001.hwpx	행정안전부	2016	hwpx	1	1		
u_build_from_ingest-000002	build-from-ingest	count_eq	COUNT_OK	samples/국세청/2016/build-from-ingest-000002.hwp	국세청	2016	hwp	2	2		
u_build_from_ingest-000003	build-from-ingest	count_eq	COUNT_OK	samples/대법원/2016/build-from-ingest-000003.hwpx	대법원	2016	hwpx	3	3		
u_build_from_ingest-000004	build-from-ingest	count_eq	COUNT_OK	samples/특허청/2016/build-from-ingest-000004.hwp	특허청	2016	hwp	4	4		
u_build_from_ingest-000005	build-from-ingest	count_eq	COUNT_DRIFT	samples/교육부/2016/build-from-ingest-000005.hwpx	교육부	2016	hwpx	5	6		
u_build_from_ingest-000006	build-from-ingest	count_eq	COUNT_DRIFT	samples/보건복지부/2016/build-from-ingest-000006.hwp	보건복지부	2016	hwp	6	5		
u_build_from_ingest-000007	build-from-ingest	count_eq	COUNT_OK	samples/국토교통부/2016/build-from-ingest-000007.hwpx	국토교통부	2016	hwpx	7	7		
u_build_from_ingest-000008	build-from-ingest	count_eq	COUNT_OK	samples/고용노동부/2016/build-from-ingest-000008.hwp	고용노동부	2016	hwp	8	8		
u_build_from_ingest-000009	build-from-ingest	count_eq	COUNT_OK	samples/외교부/2016/build-from-ingest-000009.hwpx	외교부	2016	hwpx	9	9		
u_build_from_ingest-000010	build-from-ingest	count_eq	COUNT_OK	samples/기획재정부/2016/build-from-ingest-000010.hwp	기획재정부	2016	hwp	10	10		
u_build_from_ingest-000011	build-from-ingest	count_eq	COUNT_OK	samples/공정거래위원회/2016/build-from-ingest-000011.hwpx	공정거래위원회	2016	hwpx	11	11		
u_build_from_ingest-000012	build-from-ingest	count_eq	COUNT_DRIFT	samples/금융위원회/2016/build-from-ingest-000012.hwp	금융위원회	2016	hwp	12	13		
u_build_from_ingest-000013	build-from-ingest	count_eq	COUNT_DRIFT	samples/통계청/2016/build-from-ingest-000013.hwpx	통계청	2016	hwpx	13	12		
u_build_from_ingest-000014	build-from-ingest	count_eq	COUNT_OK	samples/기상청/2016/build-from-ingest-000014.hwp	기상청	2016	hwp	14	14		
u_build_from_ingest-000015	build-from-ingest	count_eq	COUNT_OK	samples/관세청/2016/build-from-ingest-000015.hwpx	관세청	2016	hwpx	15	15		
u_build_from_ingest-000016	build-from-ingest	count_eq	COUNT_OK	samples/검찰청/2016/build-from-ingest-000016.hwp	검찰청	2016	hwp	16	16		
u_build_from_ingest-000017	build-from-ingest	count_eq	COUNT_OK	samples/경찰청/2016/build-from-ingest-000017.hwpx	경찰청	2016	hwpx	17	17		
u_build_from_ingest-000018	build-from-ingest	count_eq	COUNT_OK	samples/소방청/2016/build-from-ingest-000018.hwp	소방청	2016	hwp	18	18		
u_build_from_ingest-000019	build-from-ingest	count_eq	COUNT_DRIFT	samples/병무청/2016/build-from-ingest-000019.hwpx	병무청	2016	hwpx	19	20		
u_build_from_ingest-000020	build-from-ingest	count_eq	COUNT_DRIFT	samples/산림청/2016/build-from-ingest-000020.hwp	산림청	2016	hwp	20	19		
u_build_from_ingest-000021	build-from-ingest	count_eq	COUNT_OK	samples/중소벤처기업부/2016/build-from-ingest-000021.hwpx	중소벤처기업부	2016	hwpx	21	21		
u_build_from_ingest-000022	build-from-ingest	count_eq	COUNT_OK	samples/과학기술정보통신부/2016/build-from-ingest-000022.hwp	과학기술정보통신부	2016	hwp	22	22		
u_build_from_ingest-000023	build-from-ingest	count_eq	COUNT_OK	samples/문화체육관광부/2016/build-from-ingest-000023.hwpx	문화체육관광부	2016	hwpx	23	23		
u_build_from_ingest-000024	build-from-ingest	count_eq	COUNT_OK	samples/환경부/2016/build-from-ingest-000024.hwp	환경부	2016	hwp	0	0		
