case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_capabilities-015000	capabilities	avail	EXIT_UNKNOWN	samples/법제처/2021/capabilities-015000.hwp	법제처	2021	hwp	1	9		
u_capabilities-015001	capabilities	avail	UNAVAIL_OK	samples/행정안전부/2021/capabilities-015001.hwpx	행정안전부	2021	hwpx	0	2		
u_capabilities-015002	capabilities	avail	UNAVAIL_LIE	samples/국세청/2021/capabilities-015002.hwp	국세청	2021	hwp	0	0		
u_capabilities-015003	capabilities	avail	UNAVAIL_LIE	samples/대법원/2021/capabilities-015003.hwpx	대법원	2021	hwpx	0	1		
u_capabilities-015004	capabilities	avail	AVAIL_RUN	samples/특허청/2021/capabilities-015004.hwp	특허청	2021	hwp	1	0		
u_capabilities-015005	capabilities	avail	AVAIL_RUN	samples/교육부/2021/capabilities-015005.hwpx	교육부	2021	hwpx	1	3		
u_capabilities-015006	capabilities	avail	FALSE_UNAVAIL	samples/보건복지부/2021/capabilities-015006.hwp	보건복지부	2021	hwp	1	2		
u_capabilities-015007	capabilities	avail	EXIT_UNKNOWN	samples/국토교통부/2021/capabilities-015007.hwpx	국토교통부	2021	hwpx	1	9		
u_capabilities-015008	capabilities	avail	UNAVAIL_OK	samples/고용노동부/2021/capabilities-015008.hwp	고용노동부	2021	hwp	0	2		
u_capabilities-015009	capabilities	avail	UNAVAIL_LIE	samples/외교부/2021/capabilities-015009.hwpx	외교부	2021	hwpx	0	0		
u_capabilities-015010	capabilities	avail	UNAVAIL_LIE	samples/기획재정부/2021/capabilities-015010.hwp	기획재정부	2021	hwp	0	1		
u_capabilities-015011	capabilities	avail	AVAIL_RUN	samples/공정거래위원회/2021/capabilities-015011.hwpx	공정거래위원회	2021	hwpx	1	0		
u_capabilities-015012	capabilities	avail	AVAIL_RUN	samples/금융위원회/2021/capabilities-015012.hwp	금융위원회	2021	hwp	1	3		
u_capabilities-015013	capabilities	avail	FALSE_UNAVAIL	samples/통계청/2021/capabilities-015013.hwpx	통계청	2021	hwpx	1	2		
u_capabilities-015014	capabilities	avail	EXIT_UNKNOWN	samples/기상청/2021/capabilities-015014.hwp	기상청	2021	hwp	1	9		
u_capabilities-015015	capabilities	avail	UNAVAIL_OK	samples/관세청/2021/capabilities-015015.hwpx	관세청	2021	hwpx	0	2		
u_capabilities-015016	capabilities	avail	UNAVAIL_LIE	samples/검찰청/2021/capabilities-015016.hwp	검찰청	2021	hwp	0	0		
u_capabilities-015017	capabilities	avail	UNAVAIL_LIE	samples/경찰청/2021/capabilities-015017.hwpx	경찰청	2021	hwpx	0	1		
u_capabilities-015018	capabilities	avail	AVAIL_RUN	samples/소방청/2021/capabilities-015018.hwp	소방청	2021	hwp	1	0		
u_capabilities-015019	capabilities	avail	AVAIL_RUN	samples/병무청/2021/capabilities-015019.hwpx	병무청	2021	hwpx	1	3		
u_capabilities-015020	capabilities	avail	FALSE_UNAVAIL	samples/산림청/2021/capabilities-015020.hwp	산림청	2021	hwp	1	2		
u_capabilities-015021	capabilities	avail	EXIT_UNKNOWN	samples/중소벤처기업부/2021/capabilities-015021.hwpx	중소벤처기업부	2021	hwpx	1	9		
u_capabilities-015022	capabilities	avail	UNAVAIL_OK	samples/과학기술정보통신부/2021/capabilities-015022.hwp	과학기술정보통신부	2021	hwp	0	2		
u_capabilities-015023	capabilities	avail	UNAVAIL_LIE	samples/문화체육관광부/2021/capabilities-015023.hwpx	문화체육관광부	2021	hwpx	0	0		
u_capabilities-015024	capabilities	avail	UNAVAIL_LIE	samples/환경부/2021/capabilities-015024.hwp	환경부	2021	hwp	0	1		
u_capabilities-015025	capabilities	avail	AVAIL_RUN	samples/해양수산부/2021/capabilities-015025.hwpx	해양수산부	2021	hwpx	1	0		
u_capabilities-015026	capabilities	avail	AVAIL_RUN	samples/서울특별시/2021/capabilities-015026.hwp	서울특별시	2021	hwp	1	3		
u_capabilities-015027	capabilities	avail	FALSE_UNAVAIL	samples/경기도/2021/capabilities-015027.hwpx	경기도	2021	hwpx	1	2		
u_capabilities-015028	capabilities	avail	EXIT_UNKNOWN	samples/부산광역시/2021/capabilities-015028.hwp	부산광역시	2021	hwp	1	9		
u_capabilities-015029	capabilities	avail	UNAVAIL_OK	samples/제주특별자치도/2021/capabilities-015029.hwpx	제주특별자치도	2021	hwpx	0	2		
u_capabilities-015030	capabilities	avail	UNAVAIL_LIE	samples/법제처/2022/capabilities-015030.hwp	법제처	2022	hwp	0	0		
u_capabilities-015031	capabilities	avail	UNAVAIL_LIE	samples/행정안전부/2022/capabilities-015031.hwpx	행정안전부	2022	hwpx	0	1		
u_capabilities-015032	capabilities	avail	AVAIL_RUN	samples/국세청/2022/capabilities-015032.hwp	국세청	2022	hwp	1	0		
u_capabilities-015033	capabilities	avail	AVAIL_RUN	samples/대법원/2022/capabilities-015033.hwpx	대법원	2022	hwpx	1	3		
u_capabilities-015034	capabilities	avail	FALSE_UNAVAIL	samples/특허청/2022/capabilities-015034.hwp	특허청	2022	hwp	1	2		
