case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_charshape_hwpx-000000	charshape-hwpx	round	ROUND_OK	samples/법제처/2016/charshape-hwpx-000000.hwp	법제처	2016	hwp	1	1	1	
u_charshape_hwpx-000001	charshape-hwpx	round	ROUND_OK	samples/행정안전부/2016/charshape-hwpx-000001.hwpx	행정안전부	2016	hwpx	2	2	1	
u_charshape_hwpx-000002	charshape-hwpx	round	ROUND_OK	samples/국세청/2016/charshape-hwpx-000002.hwp	국세청	2016	hwp	3	3	1	
u_charshape_hwpx-000003	charshape-hwpx	round	ROUND_OK	samples/대법원/2016/charshape-hwpx-000003.hwpx	대법원	2016	hwpx	4	4	1	
u_charshape_hwpx-000004	charshape-hwpx	round	FORMAT_NA	samples/특허청/2016/charshape-hwpx-000004.hwp	특허청	2016	hwp	5	5	0	
u_charshape_hwpx-000005	charshape-hwpx	round	ROUND_DRIFT	samples/교육부/2016/charshape-hwpx-000005.hwpx	교육부	2016	hwpx	6	7	1	
u_charshape_hwpx-000006	charshape-hwpx	round	ROUND_DRIFT	samples/보건복지부/2016/charshape-hwpx-000006.hwp	보건복지부	2016	hwp	7	6	1	
u_charshape_hwpx-000007	charshape-hwpx	round	ROUND_OK	samples/국토교통부/2016/charshape-hwpx-000007.hwpx	국토교통부	2016	hwpx	8	8	1	
u_charshape_hwpx-000008	charshape-hwpx	round	ROUND_OK	samples/고용노동부/2016/charshape-hwpx-000008.hwp	고용노동부	2016	hwp	9	9	1	
u_charshape_hwpx-000009	charshape-hwpx	round	ROUND_OK	samples/외교부/2016/charshape-hwpx-000009.hwpx	외교부	2016	hwpx	10	10	1	
u_charshape_hwpx-000010	charshape-hwpx	round	ROUND_OK	samples/기획재정부/2016/charshape-hwpx-000010.hwp	기획재정부	2016	hwp	11	11	1	
u_charshape_hwpx-000011	charshape-hwpx	round	FORMAT_NA	samples/공정거래위원회/2016/charshape-hwpx-000011.hwpx	공정거래위원회	2016	hwpx	12	12	0	
u_charshape_hwpx-000012	charshape-hwpx	round	ROUND_DRIFT	samples/금융위원회/2016/charshape-hwpx-000012.hwp	금융위원회	2016	hwp	13	14	1	
u_charshape_hwpx-000013	charshape-hwpx	round	ROUND_DRIFT	samples/통계청/2016/charshape-hwpx-000013.hwpx	통계청	2016	hwpx	14	13	1	
u_charshape_hwpx-000014	charshape-hwpx	round	ROUND_OK	samples/기상청/2016/charshape-hwpx-000014.hwp	기상청	2016	hwp	15	15	1	
u_charshape_hwpx-000015	charshape-hwpx	round	ROUND_OK	samples/관세청/2016/charshape-hwpx-000015.hwpx	관세청	2016	hwpx	16	16	1	
u_charshape_hwpx-000016	charshape-hwpx	round	ROUND_OK	samples/검찰청/2016/charshape-hwpx-000016.hwp	검찰청	2016	hwp	17	17	1	
u_charshape_hwpx-000017	charshape-hwpx	round	ROUND_OK	samples/경찰청/2016/charshape-hwpx-000017.hwpx	경찰청	2016	hwpx	18	18	1	
u_charshape_hwpx-000018	charshape-hwpx	round	FORMAT_NA	samples/소방청/2016/charshape-hwpx-000018.hwp	소방청	2016	hwp	19	19	0	
u_charshape_hwpx-000019	charshape-hwpx	round	ROUND_DRIFT	samples/병무청/2016/charshape-hwpx-000019.hwpx	병무청	2016	hwpx	20	21	1	
u_charshape_hwpx-000020	charshape-hwpx	round	ROUND_DRIFT	samples/산림청/2016/charshape-hwpx-000020.hwp	산림청	2016	hwp	21	20	1	
u_charshape_hwpx-000021	charshape-hwpx	round	ROUND_OK	samples/중소벤처기업부/2016/charshape-hwpx-000021.hwpx	중소벤처기업부	2016	hwpx	22	22	1	
u_charshape_hwpx-000022	charshape-hwpx	round	ROUND_OK	samples/과학기술정보통신부/2016/charshape-hwpx-000022.hwp	과학기술정보통신부	2016	hwp	23	23	1	
