case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_compat_anchor-005000	compat-anchor	count_eq	COUNT_OK	samples/산림청/2017/compat-anchor-005000.hwp	산림청	2017	hwp	8	8		
u_compat_anchor-005001	compat-anchor	count_eq	COUNT_OK	samples/중소벤처기업부/2017/compat-anchor-005001.hwpx	중소벤처기업부	2017	hwpx	9	9		
u_compat_anchor-005002	compat-anchor	count_eq	COUNT_OK	samples/과학기술정보통신부/2017/compat-anchor-005002.hwp	과학기술정보통신부	2017	hwp	10	10		
u_compat_anchor-005003	compat-anchor	count_eq	COUNT_DRIFT	samples/문화체육관광부/2017/compat-anchor-005003.hwpx	문화체육관광부	2017	hwpx	11	12		
u_compat_anchor-005004	compat-anchor	count_eq	COUNT_DRIFT	samples/환경부/2017/compat-anchor-005004.hwp	환경부	2017	hwp	12	11		
u_compat_anchor-005005	compat-anchor	count_eq	COUNT_OK	samples/해양수산부/2017/compat-anchor-005005.hwpx	해양수산부	2017	hwpx	13	13		
u_compat_anchor-005006	compat-anchor	count_eq	COUNT_OK	samples/서울특별시/2017/compat-anchor-005006.hwp	서울특별시	2017	hwp	14	14		
u_compat_anchor-005007	compat-anchor	count_eq	COUNT_OK	samples/경기도/2017/compat-anchor-005007.hwpx	경기도	2017	hwpx	15	15		
u_compat_anchor-005008	compat-anchor	count_eq	COUNT_OK	samples/부산광역시/2017/compat-anchor-005008.hwp	부산광역시	2017	hwp	16	16		
u_compat_anchor-005009	compat-anchor	count_eq	COUNT_OK	samples/제주특별자치도/2017/compat-anchor-005009.hwpx	제주특별자치도	2017	hwpx	17	17		
u_compat_anchor-005010	compat-anchor	count_eq	COUNT_DRIFT	samples/법제처/2018/compat-anchor-005010.hwp	법제처	2018	hwp	18	19		
u_compat_anchor-005011	compat-anchor	count_eq	COUNT_DRIFT	samples/행정안전부/2018/compat-anchor-005011.hwpx	행정안전부	2018	hwpx	19	18		
u_compat_anchor-005012	compat-anchor	count_eq	COUNT_OK	samples/국세청/2018/compat-anchor-005012.hwp	국세청	2018	hwp	20	20		
u_compat_anchor-005013	compat-anchor	count_eq	COUNT_OK	samples/대법원/2018/compat-anchor-005013.hwpx	대법원	2018	hwpx	21	21		
u_compat_anchor-005014	compat-anchor	count_eq	COUNT_OK	samples/특허청/2018/compat-anchor-005014.hwp	특허청	2018	hwp	22	22		
u_compat_anchor-005015	compat-anchor	count_eq	COUNT_OK	samples/교육부/2018/compat-anchor-005015.hwpx	교육부	2018	hwpx	23	23		
u_compat_anchor-005016	compat-anchor	count_eq	COUNT_OK	samples/보건복지부/2018/compat-anchor-005016.hwp	보건복지부	2018	hwp	0	0		
u_compat_anchor-005017	compat-anchor	count_eq	COUNT_DRIFT	samples/국토교통부/2018/compat-anchor-005017.hwpx	국토교통부	2018	hwpx	1	2		
u_compat_anchor-005018	compat-anchor	count_eq	COUNT_DRIFT	samples/고용노동부/2018/compat-anchor-005018.hwp	고용노동부	2018	hwp	2	1		
u_compat_anchor-005019	compat-anchor	count_eq	COUNT_OK	samples/외교부/2018/compat-anchor-005019.hwpx	외교부	2018	hwpx	3	3		
u_compat_anchor-005020	compat-anchor	count_eq	COUNT_OK	samples/기획재정부/2018/compat-anchor-005020.hwp	기획재정부	2018	hwp	4	4		
u_compat_anchor-005021	compat-anchor	count_eq	COUNT_OK	samples/공정거래위원회/2018/compat-anchor-005021.hwpx	공정거래위원회	2018	hwpx	5	5		
u_compat_anchor-005022	compat-anchor	count_eq	COUNT_OK	samples/금융위원회/2018/compat-anchor-005022.hwp	금융위원회	2018	hwp	6	6		
u_compat_anchor-005023	compat-anchor	count_eq	COUNT_OK	samples/통계청/2018/compat-anchor-005023.hwpx	통계청	2018	hwpx	7	7		
u_compat_anchor-005024	compat-anchor	count_eq	COUNT_DRIFT	samples/기상청/2018/compat-anchor-005024.hwp	기상청	2018	hwp	8	9		
u_compat_anchor-005025	compat-anchor	count_eq	COUNT_DRIFT	samples/관세청/2018/compat-anchor-005025.hwpx	관세청	2018	hwpx	9	8		
u_compat_anchor-005026	compat-anchor	count_eq	COUNT_OK	samples/검찰청/2018/compat-anchor-005026.hwp	검찰청	2018	hwp	10	10		
u_compat_anchor-005027	compat-anchor	count_eq	COUNT_OK	samples/경찰청/2018/compat-anchor-005027.hwpx	경찰청	2018	hwpx	11	11		
