case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_conformance-015000	conformance	level	LEVEL_UNKNOWN	samples/법제처/2021/conformance-015000.hwp	법제처	2021	hwp	L9			
u_conformance-015001	conformance	level	LEVEL_OK	samples/행정안전부/2021/conformance-015001.hwpx	행정안전부	2021	hwpx	L1			
u_conformance-015002	conformance	level	LEVEL_OK	samples/국세청/2021/conformance-015002.hwp	국세청	2021	hwp	L2			
u_conformance-015003	conformance	level	LEVEL_OK	samples/대법원/2021/conformance-015003.hwpx	대법원	2021	hwpx	L3			
u_conformance-015004	conformance	level	LEVEL_OK	samples/특허청/2021/conformance-015004.hwp	특허청	2021	hwp	L4			
u_conformance-015005	conformance	level	LEVEL_OK	samples/교육부/2021/conformance-015005.hwpx	교육부	2021	hwpx	L5			
u_conformance-015006	conformance	level	LEVEL_OK	samples/보건복지부/2021/conformance-015006.hwp	보건복지부	2021	hwp	L5			
u_conformance-015007	conformance	level	LEVEL_UNKNOWN	samples/국토교통부/2021/conformance-015007.hwpx	국토교통부	2021	hwpx	L9			
u_conformance-015008	conformance	level	LEVEL_OK	samples/고용노동부/2021/conformance-015008.hwp	고용노동부	2021	hwp	L1			
u_conformance-015009	conformance	level	LEVEL_OK	samples/외교부/2021/conformance-015009.hwpx	외교부	2021	hwpx	L2			
u_conformance-015010	conformance	level	LEVEL_OK	samples/기획재정부/2021/conformance-015010.hwp	기획재정부	2021	hwp	L3			
u_conformance-015011	conformance	level	LEVEL_OK	samples/공정거래위원회/2021/conformance-015011.hwpx	공정거래위원회	2021	hwpx	L4			
u_conformance-015012	conformance	level	LEVEL_OK	samples/금융위원회/2021/conformance-015012.hwp	금융위원회	2021	hwp	L5			
u_conformance-015013	conformance	level	LEVEL_OK	samples/통계청/2021/conformance-015013.hwpx	통계청	2021	hwpx	L5			
u_conformance-015014	conformance	level	LEVEL_UNKNOWN	samples/기상청/2021/conformance-015014.hwp	기상청	2021	hwp	L9			
u_conformance-015015	conformance	level	LEVEL_OK	samples/관세청/2021/conformance-015015.hwpx	관세청	2021	hwpx	L1			
u_conformance-015016	conformance	level	LEVEL_OK	samples/검찰청/2021/conformance-015016.hwp	검찰청	2021	hwp	L2			
u_conformance-015017	conformance	level	LEVEL_OK	samples/경찰청/2021/conformance-015017.hwpx	경찰청	2021	hwpx	L3			
u_conformance-015018	conformance	level	LEVEL_OK	samples/소방청/2021/conformance-015018.hwp	소방청	2021	hwp	L4			
u_conformance-015019	conformance	level	LEVEL_OK	samples/병무청/2021/conformance-015019.hwpx	병무청	2021	hwpx	L5			
u_conformance-015020	conformance	level	LEVEL_OK	samples/산림청/2021/conformance-015020.hwp	산림청	2021	hwp	L5			
u_conformance-015021	conformance	level	LEVEL_UNKNOWN	samples/중소벤처기업부/2021/conformance-015021.hwpx	중소벤처기업부	2021	hwpx	L9			
u_conformance-015022	conformance	level	LEVEL_OK	samples/과학기술정보통신부/2021/conformance-015022.hwp	과학기술정보통신부	2021	hwp	L1			
u_conformance-015023	conformance	level	LEVEL_OK	samples/문화체육관광부/2021/conformance-015023.hwpx	문화체육관광부	2021	hwpx	L2			
u_conformance-015024	conformance	level	LEVEL_OK	samples/환경부/2021/conformance-015024.hwp	환경부	2021	hwp	L3			
