case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_convert-010000	convert	round	FORMAT_NA	samples/기획재정부/2019/convert-010000.hwp	기획재정부	2019	hwp	1	1	0	
u_convert-010001	convert	round	ROUND_DRIFT	samples/공정거래위원회/2019/convert-010001.hwpx	공정거래위원회	2019	hwpx	2	3	1	
u_convert-010002	convert	round	ROUND_DRIFT	samples/금융위원회/2019/convert-010002.hwp	금융위원회	2019	hwp	3	2	1	
u_convert-010003	convert	round	ROUND_OK	samples/통계청/2019/convert-010003.hwpx	통계청	2019	hwpx	4	4	1	
u_convert-010004	convert	round	ROUND_OK	samples/기상청/2019/convert-010004.hwp	기상청	2019	hwp	5	5	1	
u_convert-010005	convert	round	ROUND_OK	samples/관세청/2019/convert-010005.hwpx	관세청	2019	hwpx	6	6	1	
u_convert-010006	convert	round	ROUND_OK	samples/검찰청/2019/convert-010006.hwp	검찰청	2019	hwp	7	7	1	
u_convert-010007	convert	round	FORMAT_NA	samples/경찰청/2019/convert-010007.hwpx	경찰청	2019	hwpx	8	8	0	
u_convert-010008	convert	round	ROUND_DRIFT	samples/소방청/2019/convert-010008.hwp	소방청	2019	hwp	9	10	1	
u_convert-010009	convert	round	ROUND_DRIFT	samples/병무청/2019/convert-010009.hwpx	병무청	2019	hwpx	10	9	1	
u_convert-010010	convert	round	ROUND_OK	samples/산림청/2019/convert-010010.hwp	산림청	2019	hwp	11	11	1	
u_convert-010011	convert	round	ROUND_OK	samples/중소벤처기업부/2019/convert-010011.hwpx	중소벤처기업부	2019	hwpx	12	12	1	
u_convert-010012	convert	round	ROUND_OK	samples/과학기술정보통신부/2019/convert-010012.hwp	과학기술정보통신부	2019	hwp	13	13	1	
u_convert-010013	convert	round	ROUND_OK	samples/문화체육관광부/2019/convert-010013.hwpx	문화체육관광부	2019	hwpx	14	14	1	
u_convert-010014	convert	round	FORMAT_NA	samples/환경부/2019/convert-010014.hwp	환경부	2019	hwp	15	15	0	
u_convert-010015	convert	round	ROUND_DRIFT	samples/해양수산부/2019/convert-010015.hwpx	해양수산부	2019	hwpx	16	17	1	
u_convert-010016	convert	round	ROUND_DRIFT	samples/서울특별시/2019/convert-010016.hwp	서울특별시	2019	hwp	17	16	1	
u_convert-010017	convert	round	ROUND_OK	samples/경기도/2019/convert-010017.hwpx	경기도	2019	hwpx	18	18	1	
u_convert-010018	convert	round	ROUND_OK	samples/부산광역시/2019/convert-010018.hwp	부산광역시	2019	hwp	19	19	1	
u_convert-010019	convert	round	ROUND_OK	samples/제주특별자치도/2019/convert-010019.hwpx	제주특별자치도	2019	hwpx	20	20	1	
u_convert-010020	convert	round	ROUND_OK	samples/법제처/2020/convert-010020.hwp	법제처	2020	hwp	21	21	1	
u_convert-010021	convert	round	FORMAT_NA	samples/행정안전부/2020/convert-010021.hwpx	행정안전부	2020	hwpx	22	22	0	
u_convert-010022	convert	round	ROUND_DRIFT	samples/국세청/2020/convert-010022.hwp	국세청	2020	hwp	23	24	1	
u_convert-010023	convert	round	ROUND_DRIFT	samples/대법원/2020/convert-010023.hwpx	대법원	2020	hwpx	24	23	1	
u_convert-010024	convert	round	ROUND_OK	samples/특허청/2020/convert-010024.hwp	특허청	2020	hwp	25	25	1	
u_convert-010025	convert	round	ROUND_OK	samples/교육부/2020/convert-010025.hwpx	교육부	2020	hwpx	26	26	1	
