case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_csv_to_chart-005000	csv-to-chart	dims	DIM_OK	samples/산림청/2017/csv-to-chart-005000.hwp	산림청	2017	hwp	10	2	10	2
u_csv_to_chart-005001	csv-to-chart	dims	DIM_OK	samples/중소벤처기업부/2017/csv-to-chart-005001.hwpx	중소벤처기업부	2017	hwpx	11	2	11	2
u_csv_to_chart-005002	csv-to-chart	dims	DIM_OK	samples/과학기술정보통신부/2017/csv-to-chart-005002.hwp	과학기술정보통신부	2017	hwp	12	3	12	3
u_csv_to_chart-005003	csv-to-chart	dims	DIM_DRIFT	samples/문화체육관광부/2017/csv-to-chart-005003.hwpx	문화체육관광부	2017	hwpx	13	3	14	3
u_csv_to_chart-005004	csv-to-chart	dims	DIM_DRIFT	samples/환경부/2017/csv-to-chart-005004.hwp	환경부	2017	hwp	2	4	3	5
u_csv_to_chart-005005	csv-to-chart	dims	DIM_OK	samples/해양수산부/2017/csv-to-chart-005005.hwpx	해양수산부	2017	hwpx	3	4	3	4
u_csv_to_chart-005006	csv-to-chart	dims	DIM_OK	samples/서울특별시/2017/csv-to-chart-005006.hwp	서울특별시	2017	hwp	4	5	4	5
u_csv_to_chart-005007	csv-to-chart	dims	DIM_OK	samples/경기도/2017/csv-to-chart-005007.hwpx	경기도	2017	hwpx	5	5	5	5
u_csv_to_chart-005008	csv-to-chart	dims	DIM_OK	samples/부산광역시/2017/csv-to-chart-005008.hwp	부산광역시	2017	hwp	6	6	6	6
u_csv_to_chart-005009	csv-to-chart	dims	DIM_OK	samples/제주특별자치도/2017/csv-to-chart-005009.hwpx	제주특별자치도	2017	hwpx	7	6	7	6
u_csv_to_chart-005010	csv-to-chart	dims	DIM_DRIFT	samples/법제처/2018/csv-to-chart-005010.hwp	법제처	2018	hwp	8	7	9	7
u_csv_to_chart-005011	csv-to-chart	dims	DIM_DRIFT	samples/행정안전부/2018/csv-to-chart-005011.hwpx	행정안전부	2018	hwpx	9	7	10	8
u_csv_to_chart-005012	csv-to-chart	dims	DIM_OK	samples/국세청/2018/csv-to-chart-005012.hwp	국세청	2018	hwp	10	8	10	8
u_csv_to_chart-005013	csv-to-chart	dims	DIM_OK	samples/대법원/2018/csv-to-chart-005013.hwpx	대법원	2018	hwpx	11	8	11	8
