case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_csv_to_table-010000	csv-to-table	dims	DIM_OK	samples/기획재정부/2019/csv-to-table-010000.hwp	기획재정부	2019	hwp	6	2	6	2
u_csv_to_table-010001	csv-to-table	dims	DIM_DRIFT	samples/공정거래위원회/2019/csv-to-table-010001.hwpx	공정거래위원회	2019	hwpx	7	2	8	2
u_csv_to_table-010002	csv-to-table	dims	DIM_DRIFT	samples/금융위원회/2019/csv-to-table-010002.hwp	금융위원회	2019	hwp	8	3	9	4
u_csv_to_table-010003	csv-to-table	dims	DIM_OK	samples/통계청/2019/csv-to-table-010003.hwpx	통계청	2019	hwpx	9	3	9	3
u_csv_to_table-010004	csv-to-table	dims	DIM_OK	samples/기상청/2019/csv-to-table-010004.hwp	기상청	2019	hwp	10	4	10	4
u_csv_to_table-010005	csv-to-table	dims	DIM_OK	samples/관세청/2019/csv-to-table-010005.hwpx	관세청	2019	hwpx	11	4	11	4
u_csv_to_table-010006	csv-to-table	dims	DIM_OK	samples/검찰청/2019/csv-to-table-010006.hwp	검찰청	2019	hwp	12	5	12	5
u_csv_to_table-010007	csv-to-table	dims	DIM_OK	samples/경찰청/2019/csv-to-table-010007.hwpx	경찰청	2019	hwpx	13	5	13	5
u_csv_to_table-010008	csv-to-table	dims	DIM_DRIFT	samples/소방청/2019/csv-to-table-010008.hwp	소방청	2019	hwp	2	6	3	6
u_csv_to_table-010009	csv-to-table	dims	DIM_DRIFT	samples/병무청/2019/csv-to-table-010009.hwpx	병무청	2019	hwpx	3	6	4	7
u_csv_to_table-010010	csv-to-table	dims	DIM_OK	samples/산림청/2019/csv-to-table-010010.hwp	산림청	2019	hwp	4	7	4	7
u_csv_to_table-010011	csv-to-table	dims	DIM_OK	samples/중소벤처기업부/2019/csv-to-table-010011.hwpx	중소벤처기업부	2019	hwpx	5	7	5	7
u_csv_to_table-010012	csv-to-table	dims	DIM_OK	samples/과학기술정보통신부/2019/csv-to-table-010012.hwp	과학기술정보통신부	2019	hwp	6	8	6	8
u_csv_to_table-010013	csv-to-table	dims	DIM_OK	samples/문화체육관광부/2019/csv-to-table-010013.hwpx	문화체육관광부	2019	hwpx	7	8	7	8
u_csv_to_table-010014	csv-to-table	dims	DIM_OK	samples/환경부/2019/csv-to-table-010014.hwp	환경부	2019	hwp	8	9	8	9
u_csv_to_table-010015	csv-to-table	dims	DIM_DRIFT	samples/해양수산부/2019/csv-to-table-010015.hwpx	해양수산부	2019	hwpx	9	9	10	9
u_csv_to_table-010016	csv-to-table	dims	DIM_DRIFT	samples/서울특별시/2019/csv-to-table-010016.hwp	서울특별시	2019	hwp	10	10	11	11
u_csv_to_table-010017	csv-to-table	dims	DIM_OK	samples/경기도/2019/csv-to-table-010017.hwpx	경기도	2019	hwpx	11	10	11	10
u_csv_to_table-010018	csv-to-table	dims	DIM_OK	samples/부산광역시/2019/csv-to-table-010018.hwp	부산광역시	2019	hwp	12	11	12	11
u_csv_to_table-010019	csv-to-table	dims	DIM_OK	samples/제주특별자치도/2019/csv-to-table-010019.hwpx	제주특별자치도	2019	hwpx	13	11	13	11
u_csv_to_table-010020	csv-to-table	dims	DIM_OK	samples/법제처/2020/csv-to-table-010020.hwp	법제처	2020	hwp	2	2	2	2
u_csv_to_table-010021	csv-to-table	dims	DIM_OK	samples/행정안전부/2020/csv-to-table-010021.hwpx	행정안전부	2020	hwpx	3	2	3	2
u_csv_to_table-010022	csv-to-table	dims	DIM_DRIFT	samples/국세청/2020/csv-to-table-010022.hwp	국세청	2020	hwp	4	3	5	3
u_csv_to_table-010023	csv-to-table	dims	DIM_DRIFT	samples/대법원/2020/csv-to-table-010023.hwpx	대법원	2020	hwpx	5	3	6	4
u_csv_to_table-010024	csv-to-table	dims	DIM_OK	samples/특허청/2020/csv-to-table-010024.hwp	특허청	2020	hwp	6	4	6	4
u_csv_to_table-010025	csv-to-table	dims	DIM_OK	samples/교육부/2020/csv-to-table-010025.hwpx	교육부	2020	hwpx	7	4	7	4
u_csv_to_table-010026	csv-to-table	dims	DIM_OK	samples/보건복지부/2020/csv-to-table-010026.hwp	보건복지부	2020	hwp	8	5	8	5
u_csv_to_table-010027	csv-to-table	dims	DIM_OK	samples/국토교통부/2020/csv-to-table-010027.hwpx	국토교통부	2020	hwpx	9	5	9	5
u_csv_to_table-010028	csv-to-table	dims	DIM_OK	samples/고용노동부/2020/csv-to-table-010028.hwp	고용노동부	2020	hwp	10	6	10	6
u_csv_to_table-010029	csv-to-table	dims	DIM_DRIFT	samples/외교부/2020/csv-to-table-010029.hwpx	외교부	2020	hwpx	11	6	12	6
u_csv_to_table-010030	csv-to-table	dims	DIM_DRIFT	samples/기획재정부/2020/csv-to-table-010030.hwp	기획재정부	2020	hwp	12	7	13	8
u_csv_to_table-010031	csv-to-table	dims	DIM_OK	samples/공정거래위원회/2020/csv-to-table-010031.hwpx	공정거래위원회	2020	hwpx	13	7	13	7
u_csv_to_table-010032	csv-to-table	dims	DIM_OK	samples/금융위원회/2020/csv-to-table-010032.hwp	금융위원회	2020	hwp	2	8	2	8
u_csv_to_table-010033	csv-to-table	dims	DIM_OK	samples/통계청/2020/csv-to-table-010033.hwpx	통계청	2020	hwpx	3	8	3	8
u_csv_to_table-010034	csv-to-table	dims	DIM_OK	samples/기상청/2020/csv-to-table-010034.hwp	기상청	2020	hwp	4	9	4	9
u_csv_to_table-010035	csv-to-table	dims	DIM_OK	samples/관세청/2020/csv-to-table-010035.hwpx	관세청	2020	hwpx	5	9	5	9
u_csv_to_table-010036	csv-to-table	dims	DIM_DRIFT	samples/검찰청/2020/csv-to-table-010036.hwp	검찰청	2020	hwp	6	10	7	10
u_csv_to_table-010037	csv-to-table	dims	DIM_DRIFT	samples/경찰청/2020/csv-to-table-010037.hwpx	경찰청	2020	hwpx	7	10	8	11
u_csv_to_table-010038	csv-to-table	dims	DIM_OK	samples/소방청/2020/csv-to-table-010038.hwp	소방청	2020	hwp	8	11	8	11
u_csv_to_table-010039	csv-to-table	dims	DIM_OK	samples/병무청/2020/csv-to-table-010039.hwpx	병무청	2020	hwpx	9	11	9	11
u_csv_to_table-010040	csv-to-table	dims	DIM_OK	samples/산림청/2020/csv-to-table-010040.hwp	산림청	2020	hwp	10	2	10	2
u_csv_to_table-010041	csv-to-table	dims	DIM_OK	samples/중소벤처기업부/2020/csv-to-table-010041.hwpx	중소벤처기업부	2020	hwpx	11	2	11	2
u_csv_to_table-010042	csv-to-table	dims	DIM_OK	samples/과학기술정보통신부/2020/csv-to-table-010042.hwp	과학기술정보통신부	2020	hwp	12	3	12	3
u_csv_to_table-010043	csv-to-table	dims	DIM_DRIFT	samples/문화체육관광부/2020/csv-to-table-010043.hwpx	문화체육관광부	2020	hwpx	13	3	14	3
u_csv_to_table-010044	csv-to-table	dims	DIM_DRIFT	samples/환경부/2020/csv-to-table-010044.hwp	환경부	2020	hwp	2	4	3	5
u_csv_to_table-010045	csv-to-table	dims	DIM_OK	samples/해양수산부/2020/csv-to-table-010045.hwpx	해양수산부	2020	hwpx	3	4	3	4
u_csv_to_table-010046	csv-to-table	dims	DIM_OK	samples/서울특별시/2020/csv-to-table-010046.hwp	서울특별시	2020	hwp	4	5	4	5
u_csv_to_table-010047	csv-to-table	dims	DIM_OK	samples/경기도/2020/csv-to-table-010047.hwpx	경기도	2020	hwpx	5	5	5	5
u_csv_to_table-010048	csv-to-table	dims	DIM_OK	samples/부산광역시/2020/csv-to-table-010048.hwp	부산광역시	2020	hwp	6	6	6	6
u_csv_to_table-010049	csv-to-table	dims	DIM_OK	samples/제주특별자치도/2020/csv-to-table-010049.hwpx	제주특별자치도	2020	hwpx	7	6	7	6
u_csv_to_table-010050	csv-to-table	dims	DIM_DRIFT	samples/법제처/2021/csv-to-table-010050.hwp	법제처	2021	hwp	8	7	9	7
u_csv_to_table-010051	csv-to-table	dims	DIM_DRIFT	samples/행정안전부/2021/csv-to-table-010051.hwpx	행정안전부	2021	hwpx	9	7	10	8
u_csv_to_table-010052	csv-to-table	dims	DIM_OK	samples/국세청/2021/csv-to-table-010052.hwp	국세청	2021	hwp	10	8	10	8
