case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_diag-000000	diag	signal	CLEAN	samples/법제처/2016/diag-000000.hwp	법제처	2016	hwp	0	0		
u_diag-000001	diag	signal	CLEAN	samples/행정안전부/2016/diag-000001.hwpx	행정안전부	2016	hwpx	0	0		
u_diag-000002	diag	signal	CLEAN	samples/국세청/2016/diag-000002.hwp	국세청	2016	hwp	0	0		
u_diag-000003	diag	signal	ANOMALY	samples/대법원/2016/diag-000003.hwpx	대법원	2016	hwpx	4	1		
u_diag-000004	diag	signal	ANOMALY	samples/특허청/2016/diag-000004.hwp	특허청	2016	hwp	5	1		
u_diag-000005	diag	signal	ANOMALY	samples/교육부/2016/diag-000005.hwpx	교육부	2016	hwpx	6	1		
u_diag-000006	diag	signal	SIGNAL_LIE	samples/보건복지부/2016/diag-000006.hwp	보건복지부	2016	hwp	7	0		
u_diag-000007	diag	signal	CLEAN	samples/국토교통부/2016/diag-000007.hwpx	국토교통부	2016	hwpx	0	0		
u_diag-000008	diag	signal	CLEAN	samples/고용노동부/2016/diag-000008.hwp	고용노동부	2016	hwp	0	0		
u_diag-000009	diag	signal	CLEAN	samples/외교부/2016/diag-000009.hwpx	외교부	2016	hwpx	0	0		
u_diag-000010	diag	signal	ANOMALY	samples/기획재정부/2016/diag-000010.hwp	기획재정부	2016	hwp	2	1		
u_diag-000011	diag	signal	ANOMALY	samples/공정거래위원회/2016/diag-000011.hwpx	공정거래위원회	2016	hwpx	3	1		
u_diag-000012	diag	signal	ANOMALY	samples/금융위원회/2016/diag-000012.hwp	금융위원회	2016	hwp	4	1		
u_diag-000013	diag	signal	SIGNAL_LIE	samples/통계청/2016/diag-000013.hwpx	통계청	2016	hwpx	5	0		
u_diag-000014	diag	signal	CLEAN	samples/기상청/2016/diag-000014.hwp	기상청	2016	hwp	0	0		
u_diag-000015	diag	signal	CLEAN	samples/관세청/2016/diag-000015.hwpx	관세청	2016	hwpx	0	0		
u_diag-000016	diag	signal	CLEAN	samples/검찰청/2016/diag-000016.hwp	검찰청	2016	hwp	0	0		
u_diag-000017	diag	signal	ANOMALY	samples/경찰청/2016/diag-000017.hwpx	경찰청	2016	hwpx	9	1		
u_diag-000018	diag	signal	ANOMALY	samples/소방청/2016/diag-000018.hwp	소방청	2016	hwp	1	1		
u_diag-000019	diag	signal	ANOMALY	samples/병무청/2016/diag-000019.hwpx	병무청	2016	hwpx	2	1		
u_diag-000020	diag	signal	SIGNAL_LIE	samples/산림청/2016/diag-000020.hwp	산림청	2016	hwp	3	0		
