case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_digest-005000	digest	bound	BOUND_FALSE_POS	samples/산림청/2017/digest-005000.hwp	산림청	2017	hwp	60	54	1	
u_digest-005001	digest	bound	BOUND_FALSE_POS	samples/중소벤처기업부/2017/digest-005001.hwpx	중소벤처기업부	2017	hwpx	61	54	1	
u_digest-005002	digest	bound	BOUND_LIE	samples/과학기술정보통신부/2017/digest-005002.hwp	과학기술정보통신부	2017	hwp	62	70	0	
u_digest-005003	digest	bound	BOUND_OK	samples/문화체육관광부/2017/digest-005003.hwpx	문화체육관광부	2017	hwpx	63	72	1	
u_digest-005004	digest	bound	BOUND_OK	samples/환경부/2017/digest-005004.hwp	환경부	2017	hwp	64	64	0	
u_digest-005005	digest	bound	BOUND_OK	samples/해양수산부/2017/digest-005005.hwpx	해양수산부	2017	hwpx	65	63	0	
u_digest-005006	digest	bound	BOUND_OK	samples/서울특별시/2017/digest-005006.hwp	서울특별시	2017	hwp	66	63	0	
u_digest-005007	digest	bound	BOUND_FALSE_POS	samples/경기도/2017/digest-005007.hwpx	경기도	2017	hwpx	67	63	1	
u_digest-005008	digest	bound	BOUND_FALSE_POS	samples/부산광역시/2017/digest-005008.hwp	부산광역시	2017	hwp	68	63	1	
u_digest-005009	digest	bound	BOUND_LIE	samples/제주특별자치도/2017/digest-005009.hwpx	제주특별자치도	2017	hwpx	69	75	0	
u_digest-005010	digest	bound	BOUND_OK	samples/법제처/2018/digest-005010.hwp	법제처	2018	hwp	70	77	1	
u_digest-005011	digest	bound	BOUND_OK	samples/행정안전부/2018/digest-005011.hwpx	행정안전부	2018	hwpx	71	71	0	
u_digest-005012	digest	bound	BOUND_OK	samples/국세청/2018/digest-005012.hwp	국세청	2018	hwp	72	63	0	
u_digest-005013	digest	bound	BOUND_OK	samples/대법원/2018/digest-005013.hwpx	대법원	2018	hwpx	73	72	0	
u_digest-005014	digest	bound	BOUND_FALSE_POS	samples/특허청/2018/digest-005014.hwp	특허청	2018	hwp	74	72	1	
u_digest-005015	digest	bound	BOUND_FALSE_POS	samples/교육부/2018/digest-005015.hwpx	교육부	2018	hwpx	75	72	1	
u_digest-005016	digest	bound	BOUND_LIE	samples/보건복지부/2018/digest-005016.hwp	보건복지부	2018	hwp	76	80	0	
u_digest-005017	digest	bound	BOUND_OK	samples/국토교통부/2018/digest-005017.hwpx	국토교통부	2018	hwpx	77	82	1	
u_digest-005018	digest	bound	BOUND_OK	samples/고용노동부/2018/digest-005018.hwp	고용노동부	2018	hwp	78	78	0	
u_digest-005019	digest	bound	BOUND_OK	samples/외교부/2018/digest-005019.hwpx	외교부	2018	hwpx	79	72	0	
u_digest-005020	digest	bound	BOUND_OK	samples/기획재정부/2018/digest-005020.hwp	기획재정부	2018	hwp	80	72	0	
u_digest-005021	digest	bound	BOUND_FALSE_POS	samples/공정거래위원회/2018/digest-005021.hwpx	공정거래위원회	2018	hwpx	81	72	1	
u_digest-005022	digest	bound	BOUND_FALSE_POS	samples/금융위원회/2018/digest-005022.hwp	금융위원회	2018	hwp	82	81	1	
u_digest-005023	digest	bound	BOUND_LIE	samples/통계청/2018/digest-005023.hwpx	통계청	2018	hwpx	83	85	0	
u_digest-005024	digest	bound	BOUND_OK	samples/기상청/2018/digest-005024.hwp	기상청	2018	hwp	84	87	1	
u_digest-005025	digest	bound	BOUND_OK	samples/관세청/2018/digest-005025.hwpx	관세청	2018	hwpx	85	85	0	
u_digest-005026	digest	bound	BOUND_OK	samples/검찰청/2018/digest-005026.hwp	검찰청	2018	hwp	86	81	0	
u_digest-005027	digest	bound	BOUND_OK	samples/경찰청/2018/digest-005027.hwpx	경찰청	2018	hwpx	87	81	0	
u_digest-005028	digest	bound	BOUND_FALSE_POS	samples/소방청/2018/digest-005028.hwp	소방청	2018	hwp	88	81	1	
u_digest-005029	digest	bound	BOUND_FALSE_POS	samples/병무청/2018/digest-005029.hwpx	병무청	2018	hwpx	89	81	1	
u_digest-005030	digest	bound	BOUND_LIE	samples/산림청/2018/digest-005030.hwp	산림청	2018	hwp	90	99	0	
u_digest-005031	digest	bound	BOUND_OK	samples/중소벤처기업부/2018/digest-005031.hwpx	중소벤처기업부	2018	hwpx	91	92	1	
u_digest-005032	digest	bound	BOUND_OK	samples/과학기술정보통신부/2018/digest-005032.hwp	과학기술정보통신부	2018	hwp	92	92	0	
u_digest-005033	digest	bound	BOUND_OK	samples/문화체육관광부/2018/digest-005033.hwpx	문화체육관광부	2018	hwpx	93	90	0	
u_digest-005034	digest	bound	BOUND_OK	samples/환경부/2018/digest-005034.hwp	환경부	2018	hwp	94	90	0	
u_digest-005035	digest	bound	BOUND_FALSE_POS	samples/해양수산부/2018/digest-005035.hwpx	해양수산부	2018	hwpx	95	90	1	
u_digest-005036	digest	bound	BOUND_FALSE_POS	samples/서울특별시/2018/digest-005036.hwp	서울특별시	2018	hwp	96	90	1	
u_digest-005037	digest	bound	BOUND_LIE	samples/경기도/2018/digest-005037.hwpx	경기도	2018	hwpx	97	104	0	
u_digest-005038	digest	bound	BOUND_OK	samples/부산광역시/2018/digest-005038.hwp	부산광역시	2018	hwp	98	106	1	
u_digest-005039	digest	bound	BOUND_OK	samples/제주특별자치도/2018/digest-005039.hwpx	제주특별자치도	2018	hwpx	99	99	0	
u_digest-005040	digest	bound	BOUND_OK	samples/법제처/2019/digest-005040.hwp	법제처	2019	hwp	20	19	0	
u_digest-005041	digest	bound	BOUND_OK	samples/행정안전부/2019/digest-005041.hwpx	행정안전부	2019	hwpx	21	19	0	
u_digest-005042	digest	bound	BOUND_FALSE_POS	samples/국세청/2019/digest-005042.hwp	국세청	2019	hwp	22	19	1	
u_digest-005043	digest	bound	BOUND_FALSE_POS	samples/대법원/2019/digest-005043.hwpx	대법원	2019	hwpx	23	19	1	
u_digest-005044	digest	bound	BOUND_LIE	samples/특허청/2019/digest-005044.hwp	특허청	2019	hwp	24	29	0	
u_digest-005045	digest	bound	BOUND_OK	samples/교육부/2019/digest-005045.hwpx	교육부	2019	hwpx	25	31	1	
u_digest-005046	digest	bound	BOUND_OK	samples/보건복지부/2019/digest-005046.hwp	보건복지부	2019	hwp	26	26	0	
u_digest-005047	digest	bound	BOUND_OK	samples/국토교통부/2019/digest-005047.hwpx	국토교통부	2019	hwpx	27	19	0	
u_digest-005048	digest	bound	BOUND_OK	samples/고용노동부/2019/digest-005048.hwp	고용노동부	2019	hwp	28	19	0	
u_digest-005049	digest	bound	BOUND_FALSE_POS	samples/외교부/2019/digest-005049.hwpx	외교부	2019	hwpx	29	28	1	
u_digest-005050	digest	bound	BOUND_FALSE_POS	samples/기획재정부/2019/digest-005050.hwp	기획재정부	2019	hwp	30	28	1	
u_digest-005051	digest	bound	BOUND_LIE	samples/공정거래위원회/2019/digest-005051.hwpx	공정거래위원회	2019	hwpx	31	34	0	
u_digest-005052	digest	bound	BOUND_OK	samples/금융위원회/2019/digest-005052.hwp	금융위원회	2019	hwp	32	36	1	
u_digest-005053	digest	bound	BOUND_OK	samples/통계청/2019/digest-005053.hwpx	통계청	2019	hwpx	33	33	0	
u_digest-005054	digest	bound	BOUND_OK	samples/기상청/2019/digest-005054.hwp	기상청	2019	hwp	34	28	0	
u_digest-005055	digest	bound	BOUND_OK	samples/관세청/2019/digest-005055.hwpx	관세청	2019	hwpx	35	28	0	
u_digest-005056	digest	bound	BOUND_FALSE_POS	samples/검찰청/2019/digest-005056.hwp	검찰청	2019	hwp	36	28	1	
u_digest-005057	digest	bound	BOUND_FALSE_POS	samples/경찰청/2019/digest-005057.hwpx	경찰청	2019	hwpx	37	28	1	
u_digest-005058	digest	bound	BOUND_LIE	samples/소방청/2019/digest-005058.hwp	소방청	2019	hwp	38	39	0	
u_digest-005059	digest	bound	BOUND_OK	samples/병무청/2019/digest-005059.hwpx	병무청	2019	hwpx	39	41	1	
u_digest-005060	digest	bound	BOUND_OK	samples/산림청/2019/digest-005060.hwp	산림청	2019	hwp	40	40	0	
u_digest-005061	digest	bound	BOUND_OK	samples/중소벤처기업부/2019/digest-005061.hwpx	중소벤처기업부	2019	hwpx	41	37	0	
u_digest-005062	digest	bound	BOUND_OK	samples/과학기술정보통신부/2019/digest-005062.hwp	과학기술정보통신부	2019	hwp	42	37	0	
u_digest-005063	digest	bound	BOUND_FALSE_POS	samples/문화체육관광부/2019/digest-005063.hwpx	문화체육관광부	2019	hwpx	43	37	1	
u_digest-005064	digest	bound	BOUND_FALSE_POS	samples/환경부/2019/digest-005064.hwp	환경부	2019	hwp	44	37	1	
u_digest-005065	digest	bound	BOUND_LIE	samples/해양수산부/2019/digest-005065.hwpx	해양수산부	2019	hwpx	45	53	0	
u_digest-005066	digest	bound	BOUND_OK	samples/서울특별시/2019/digest-005066.hwp	서울특별시	2019	hwp	46	55	1	
u_digest-005067	digest	bound	BOUND_OK	samples/경기도/2019/digest-005067.hwpx	경기도	2019	hwpx	47	47	0	
u_digest-005068	digest	bound	BOUND_OK	samples/부산광역시/2019/digest-005068.hwp	부산광역시	2019	hwp	48	46	0	
u_digest-005069	digest	bound	BOUND_OK	samples/제주특별자치도/2019/digest-005069.hwpx	제주특별자치도	2019	hwpx	49	46	0	
u_digest-005070	digest	bound	BOUND_FALSE_POS	samples/법제처/2020/digest-005070.hwp	법제처	2020	hwp	50	46	1	
u_digest-005071	digest	bound	BOUND_FALSE_POS	samples/행정안전부/2020/digest-005071.hwpx	행정안전부	2020	hwpx	51	46	1	
u_digest-005072	digest	bound	BOUND_LIE	samples/국세청/2020/digest-005072.hwp	국세청	2020	hwp	52	58	0	
u_digest-005073	digest	bound	BOUND_OK	samples/대법원/2020/digest-005073.hwpx	대법원	2020	hwpx	53	60	1	
u_digest-005074	digest	bound	BOUND_OK	samples/특허청/2020/digest-005074.hwp	특허청	2020	hwp	54	54	0	
u_digest-005075	digest	bound	BOUND_OK	samples/교육부/2020/digest-005075.hwpx	교육부	2020	hwpx	55	46	0	
u_digest-005076	digest	bound	BOUND_OK	samples/보건복지부/2020/digest-005076.hwp	보건복지부	2020	hwp	56	55	0	
u_digest-005077	digest	bound	BOUND_FALSE_POS	samples/국토교통부/2020/digest-005077.hwpx	국토교통부	2020	hwpx	57	55	1	
u_digest-005078	digest	bound	BOUND_FALSE_POS	samples/고용노동부/2020/digest-005078.hwp	고용노동부	2020	hwp	58	55	1	
u_digest-005079	digest	bound	BOUND_LIE	samples/외교부/2020/digest-005079.hwpx	외교부	2020	hwpx	59	63	0	
u_digest-005080	digest	bound	BOUND_OK	samples/기획재정부/2020/digest-005080.hwp	기획재정부	2020	hwp	60	65	1	
u_digest-005081	digest	bound	BOUND_OK	samples/공정거래위원회/2020/digest-005081.hwpx	공정거래위원회	2020	hwpx	61	61	0	
u_digest-005082	digest	bound	BOUND_OK	samples/금융위원회/2020/digest-005082.hwp	금융위원회	2020	hwp	62	55	0	
u_digest-005083	digest	bound	BOUND_OK	samples/통계청/2020/digest-005083.hwpx	통계청	2020	hwpx	63	55	0	
u_digest-005084	digest	bound	BOUND_FALSE_POS	samples/기상청/2020/digest-005084.hwp	기상청	2020	hwp	64	55	1	
u_digest-005085	digest	bound	BOUND_FALSE_POS	samples/관세청/2020/digest-005085.hwpx	관세청	2020	hwpx	65	64	1	
u_digest-005086	digest	bound	BOUND_LIE	samples/검찰청/2020/digest-005086.hwp	검찰청	2020	hwp	66	68	0	
u_digest-005087	digest	bound	BOUND_OK	samples/경찰청/2020/digest-005087.hwpx	경찰청	2020	hwpx	67	70	1	
u_digest-005088	digest	bound	BOUND_OK	samples/소방청/2020/digest-005088.hwp	소방청	2020	hwp	68	68	0	
u_digest-005089	digest	bound	BOUND_OK	samples/병무청/2020/digest-005089.hwpx	병무청	2020	hwpx	69	64	0	
u_digest-005090	digest	bound	BOUND_OK	samples/산림청/2020/digest-005090.hwp	산림청	2020	hwp	70	64	0	
u_digest-005091	digest	bound	BOUND_FALSE_POS	samples/중소벤처기업부/2020/digest-005091.hwpx	중소벤처기업부	2020	hwpx	71	64	1	
u_digest-005092	digest	bound	BOUND_FALSE_POS	samples/과학기술정보통신부/2020/digest-005092.hwp	과학기술정보통신부	2020	hwp	72	64	1	
u_digest-005093	digest	bound	BOUND_LIE	samples/문화체육관광부/2020/digest-005093.hwpx	문화체육관광부	2020	hwpx	73	82	0	
u_digest-005094	digest	bound	BOUND_OK	samples/환경부/2020/digest-005094.hwp	환경부	2020	hwp	74	75	1	
u_digest-005095	digest	bound	BOUND_OK	samples/해양수산부/2020/digest-005095.hwpx	해양수산부	2020	hwpx	75	75	0	
u_digest-005096	digest	bound	BOUND_OK	samples/서울특별시/2020/digest-005096.hwp	서울특별시	2020	hwp	76	73	0	
u_digest-005097	digest	bound	BOUND_OK	samples/경기도/2020/digest-005097.hwpx	경기도	2020	hwpx	77	73	0	
u_digest-005098	digest	bound	BOUND_FALSE_POS	samples/부산광역시/2020/digest-005098.hwp	부산광역시	2020	hwp	78	73	1	
u_digest-005099	digest	bound	BOUND_FALSE_POS	samples/제주특별자치도/2020/digest-005099.hwpx	제주특별자치도	2020	hwpx	79	73	1	
u_digest-005100	digest	bound	BOUND_LIE	samples/법제처/2021/digest-005100.hwp	법제처	2021	hwp	80	87	0	
u_digest-005101	digest	bound	BOUND_OK	samples/행정안전부/2021/digest-005101.hwpx	행정안전부	2021	hwpx	81	89	1	
u_digest-005102	digest	bound	BOUND_OK	samples/국세청/2021/digest-005102.hwp	국세청	2021	hwp	82	82	0	
u_digest-005103	digest	bound	BOUND_OK	samples/대법원/2021/digest-005103.hwpx	대법원	2021	hwpx	83	82	0	
