case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_disclose-000000	disclose	count_eq	COUNT_OK	samples/법제처/2016/disclose-000000.hwp	법제처	2016	hwp	0	0		
u_disclose-000001	disclose	count_eq	COUNT_OK	samples/행정안전부/2016/disclose-000001.hwpx	행정안전부	2016	hwpx	1	1		
u_disclose-000002	disclose	count_eq	COUNT_OK	samples/국세청/2016/disclose-000002.hwp	국세청	2016	hwp	2	2		
u_disclose-000003	disclose	count_eq	COUNT_OK	samples/대법원/2016/disclose-000003.hwpx	대법원	2016	hwpx	3	3		
u_disclose-000004	disclose	count_eq	COUNT_OK	samples/특허청/2016/disclose-000004.hwp	특허청	2016	hwp	4	4		
u_disclose-000005	disclose	count_eq	COUNT_DRIFT	samples/교육부/2016/disclose-000005.hwpx	교육부	2016	hwpx	5	6		
u_disclose-000006	disclose	count_eq	COUNT_DRIFT	samples/보건복지부/2016/disclose-000006.hwp	보건복지부	2016	hwp	6	5		
u_disclose-000007	disclose	count_eq	COUNT_OK	samples/국토교통부/2016/disclose-000007.hwpx	국토교통부	2016	hwpx	7	7		
u_disclose-000008	disclose	count_eq	COUNT_OK	samples/고용노동부/2016/disclose-000008.hwp	고용노동부	2016	hwp	8	8		
u_disclose-000009	disclose	count_eq	COUNT_OK	samples/외교부/2016/disclose-000009.hwpx	외교부	2016	hwpx	9	9		
u_disclose-000010	disclose	count_eq	COUNT_OK	samples/기획재정부/2016/disclose-000010.hwp	기획재정부	2016	hwp	10	10		
u_disclose-000011	disclose	count_eq	COUNT_OK	samples/공정거래위원회/2016/disclose-000011.hwpx	공정거래위원회	2016	hwpx	11	11		
u_disclose-000012	disclose	count_eq	COUNT_DRIFT	samples/금융위원회/2016/disclose-000012.hwp	금융위원회	2016	hwp	12	13		
u_disclose-000013	disclose	count_eq	COUNT_DRIFT	samples/통계청/2016/disclose-000013.hwpx	통계청	2016	hwpx	13	12		
u_disclose-000014	disclose	count_eq	COUNT_OK	samples/기상청/2016/disclose-000014.hwp	기상청	2016	hwp	14	14		
u_disclose-000015	disclose	count_eq	COUNT_OK	samples/관세청/2016/disclose-000015.hwpx	관세청	2016	hwpx	15	15		
u_disclose-000016	disclose	count_eq	COUNT_OK	samples/검찰청/2016/disclose-000016.hwp	검찰청	2016	hwp	16	16		
u_disclose-000017	disclose	count_eq	COUNT_OK	samples/경찰청/2016/disclose-000017.hwpx	경찰청	2016	hwpx	17	17		
