case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_doctor_onboard-010000	doctor-onboard	avail	AVAIL_RUN	samples/기획재정부/2019/doctor-onboard-010000.hwp	기획재정부	2019	hwp	1	3		
u_doctor_onboard-010001	doctor-onboard	avail	FALSE_UNAVAIL	samples/공정거래위원회/2019/doctor-onboard-010001.hwpx	공정거래위원회	2019	hwpx	1	2		
u_doctor_onboard-010002	doctor-onboard	avail	EXIT_UNKNOWN	samples/금융위원회/2019/doctor-onboard-010002.hwp	금융위원회	2019	hwp	1	9		
u_doctor_onboard-010003	doctor-onboard	avail	UNAVAIL_OK	samples/통계청/2019/doctor-onboard-010003.hwpx	통계청	2019	hwpx	0	2		
u_doctor_onboard-010004	doctor-onboard	avail	UNAVAIL_LIE	samples/기상청/2019/doctor-onboard-010004.hwp	기상청	2019	hwp	0	0		
u_doctor_onboard-010005	doctor-onboard	avail	UNAVAIL_LIE	samples/관세청/2019/doctor-onboard-010005.hwpx	관세청	2019	hwpx	0	1		
u_doctor_onboard-010006	doctor-onboard	avail	AVAIL_RUN	samples/검찰청/2019/doctor-onboard-010006.hwp	검찰청	2019	hwp	1	0		
u_doctor_onboard-010007	doctor-onboard	avail	AVAIL_RUN	samples/경찰청/2019/doctor-onboard-010007.hwpx	경찰청	2019	hwpx	1	3		
u_doctor_onboard-010008	doctor-onboard	avail	FALSE_UNAVAIL	samples/소방청/2019/doctor-onboard-010008.hwp	소방청	2019	hwp	1	2		
u_doctor_onboard-010009	doctor-onboard	avail	EXIT_UNKNOWN	samples/병무청/2019/doctor-onboard-010009.hwpx	병무청	2019	hwpx	1	9		
u_doctor_onboard-010010	doctor-onboard	avail	UNAVAIL_OK	samples/산림청/2019/doctor-onboard-010010.hwp	산림청	2019	hwp	0	2		
u_doctor_onboard-010011	doctor-onboard	avail	UNAVAIL_LIE	samples/중소벤처기업부/2019/doctor-onboard-010011.hwpx	중소벤처기업부	2019	hwpx	0	0		
u_doctor_onboard-010012	doctor-onboard	avail	UNAVAIL_LIE	samples/과학기술정보통신부/2019/doctor-onboard-010012.hwp	과학기술정보통신부	2019	hwp	0	1		
u_doctor_onboard-010013	doctor-onboard	avail	AVAIL_RUN	samples/문화체육관광부/2019/doctor-onboard-010013.hwpx	문화체육관광부	2019	hwpx	1	0		
u_doctor_onboard-010014	doctor-onboard	avail	AVAIL_RUN	samples/환경부/2019/doctor-onboard-010014.hwp	환경부	2019	hwp	1	3		
u_doctor_onboard-010015	doctor-onboard	avail	FALSE_UNAVAIL	samples/해양수산부/2019/doctor-onboard-010015.hwpx	해양수산부	2019	hwpx	1	2		
u_doctor_onboard-010016	doctor-onboard	avail	EXIT_UNKNOWN	samples/서울특별시/2019/doctor-onboard-010016.hwp	서울특별시	2019	hwp	1	9		
u_doctor_onboard-010017	doctor-onboard	avail	UNAVAIL_OK	samples/경기도/2019/doctor-onboard-010017.hwpx	경기도	2019	hwpx	0	2		
u_doctor_onboard-010018	doctor-onboard	avail	UNAVAIL_LIE	samples/부산광역시/2019/doctor-onboard-010018.hwp	부산광역시	2019	hwp	0	0		
u_doctor_onboard-010019	doctor-onboard	avail	UNAVAIL_LIE	samples/제주특별자치도/2019/doctor-onboard-010019.hwpx	제주특별자치도	2019	hwpx	0	1		
u_doctor_onboard-010020	doctor-onboard	avail	AVAIL_RUN	samples/법제처/2020/doctor-onboard-010020.hwp	법제처	2020	hwp	1	0		
u_doctor_onboard-010021	doctor-onboard	avail	AVAIL_RUN	samples/행정안전부/2020/doctor-onboard-010021.hwpx	행정안전부	2020	hwpx	1	3		
u_doctor_onboard-010022	doctor-onboard	avail	FALSE_UNAVAIL	samples/국세청/2020/doctor-onboard-010022.hwp	국세청	2020	hwp	1	2		
u_doctor_onboard-010023	doctor-onboard	avail	EXIT_UNKNOWN	samples/대법원/2020/doctor-onboard-010023.hwpx	대법원	2020	hwpx	1	9		
u_doctor_onboard-010024	doctor-onboard	avail	UNAVAIL_OK	samples/특허청/2020/doctor-onboard-010024.hwp	특허청	2020	hwp	0	2		
