case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_dump-005000	dump	count_eq	COUNT_OK	samples/산림청/2017/dump-005000.hwp	산림청	2017	hwp	8	8		
u_dump-005001	dump	count_eq	COUNT_OK	samples/중소벤처기업부/2017/dump-005001.hwpx	중소벤처기업부	2017	hwpx	9	9		
u_dump-005002	dump	count_eq	COUNT_OK	samples/과학기술정보통신부/2017/dump-005002.hwp	과학기술정보통신부	2017	hwp	10	10		
u_dump-005003	dump	count_eq	COUNT_DRIFT	samples/문화체육관광부/2017/dump-005003.hwpx	문화체육관광부	2017	hwpx	11	12		
u_dump-005004	dump	count_eq	COUNT_DRIFT	samples/환경부/2017/dump-005004.hwp	환경부	2017	hwp	12	11		
u_dump-005005	dump	count_eq	COUNT_OK	samples/해양수산부/2017/dump-005005.hwpx	해양수산부	2017	hwpx	13	13		
u_dump-005006	dump	count_eq	COUNT_OK	samples/서울특별시/2017/dump-005006.hwp	서울특별시	2017	hwp	14	14		
u_dump-005007	dump	count_eq	COUNT_OK	samples/경기도/2017/dump-005007.hwpx	경기도	2017	hwpx	15	15		
u_dump-005008	dump	count_eq	COUNT_OK	samples/부산광역시/2017/dump-005008.hwp	부산광역시	2017	hwp	16	16		
u_dump-005009	dump	count_eq	COUNT_OK	samples/제주특별자치도/2017/dump-005009.hwpx	제주특별자치도	2017	hwpx	17	17		
u_dump-005010	dump	count_eq	COUNT_DRIFT	samples/법제처/2018/dump-005010.hwp	법제처	2018	hwp	18	19		
u_dump-005011	dump	count_eq	COUNT_DRIFT	samples/행정안전부/2018/dump-005011.hwpx	행정안전부	2018	hwpx	19	18		
u_dump-005012	dump	count_eq	COUNT_OK	samples/국세청/2018/dump-005012.hwp	국세청	2018	hwp	20	20		
u_dump-005013	dump	count_eq	COUNT_OK	samples/대법원/2018/dump-005013.hwpx	대법원	2018	hwpx	21	21		
u_dump-005014	dump	count_eq	COUNT_OK	samples/특허청/2018/dump-005014.hwp	특허청	2018	hwp	22	22		
u_dump-005015	dump	count_eq	COUNT_OK	samples/교육부/2018/dump-005015.hwpx	교육부	2018	hwpx	23	23		
u_dump-005016	dump	count_eq	COUNT_OK	samples/보건복지부/2018/dump-005016.hwp	보건복지부	2018	hwp	0	0		
u_dump-005017	dump	count_eq	COUNT_DRIFT	samples/국토교통부/2018/dump-005017.hwpx	국토교통부	2018	hwpx	1	2		
u_dump-005018	dump	count_eq	COUNT_DRIFT	samples/고용노동부/2018/dump-005018.hwp	고용노동부	2018	hwp	2	1		
u_dump-005019	dump	count_eq	COUNT_OK	samples/외교부/2018/dump-005019.hwpx	외교부	2018	hwpx	3	3		
u_dump-005020	dump	count_eq	COUNT_OK	samples/기획재정부/2018/dump-005020.hwp	기획재정부	2018	hwp	4	4		
u_dump-005021	dump	count_eq	COUNT_OK	samples/공정거래위원회/2018/dump-005021.hwpx	공정거래위원회	2018	hwpx	5	5		
u_dump-005022	dump	count_eq	COUNT_OK	samples/금융위원회/2018/dump-005022.hwp	금융위원회	2018	hwp	6	6		
u_dump-005023	dump	count_eq	COUNT_OK	samples/통계청/2018/dump-005023.hwpx	통계청	2018	hwpx	7	7		
u_dump-005024	dump	count_eq	COUNT_DRIFT	samples/기상청/2018/dump-005024.hwp	기상청	2018	hwp	8	9		
u_dump-005025	dump	count_eq	COUNT_DRIFT	samples/관세청/2018/dump-005025.hwpx	관세청	2018	hwpx	9	8		
u_dump-005026	dump	count_eq	COUNT_OK	samples/검찰청/2018/dump-005026.hwp	검찰청	2018	hwp	10	10		
u_dump-005027	dump	count_eq	COUNT_OK	samples/경찰청/2018/dump-005027.hwpx	경찰청	2018	hwpx	11	11		
u_dump-005028	dump	count_eq	COUNT_OK	samples/소방청/2018/dump-005028.hwp	소방청	2018	hwp	12	12		
u_dump-005029	dump	count_eq	COUNT_OK	samples/병무청/2018/dump-005029.hwpx	병무청	2018	hwpx	13	13		
u_dump-005030	dump	count_eq	COUNT_OK	samples/산림청/2018/dump-005030.hwp	산림청	2018	hwp	14	14		
u_dump-005031	dump	count_eq	COUNT_DRIFT	samples/중소벤처기업부/2018/dump-005031.hwpx	중소벤처기업부	2018	hwpx	15	16		
u_dump-005032	dump	count_eq	COUNT_DRIFT	samples/과학기술정보통신부/2018/dump-005032.hwp	과학기술정보통신부	2018	hwp	16	15		
u_dump-005033	dump	count_eq	COUNT_OK	samples/문화체육관광부/2018/dump-005033.hwpx	문화체육관광부	2018	hwpx	17	17		
u_dump-005034	dump	count_eq	COUNT_OK	samples/환경부/2018/dump-005034.hwp	환경부	2018	hwp	18	18		
u_dump-005035	dump	count_eq	COUNT_OK	samples/해양수산부/2018/dump-005035.hwpx	해양수산부	2018	hwpx	19	19		
u_dump-005036	dump	count_eq	COUNT_OK	samples/서울특별시/2018/dump-005036.hwp	서울특별시	2018	hwp	20	20		
u_dump-005037	dump	count_eq	COUNT_OK	samples/경기도/2018/dump-005037.hwpx	경기도	2018	hwpx	21	21		
u_dump-005038	dump	count_eq	COUNT_DRIFT	samples/부산광역시/2018/dump-005038.hwp	부산광역시	2018	hwp	22	23		
u_dump-005039	dump	count_eq	COUNT_DRIFT	samples/제주특별자치도/2018/dump-005039.hwpx	제주특별자치도	2018	hwpx	23	22		
u_dump-005040	dump	count_eq	COUNT_OK	samples/법제처/2019/dump-005040.hwp	법제처	2019	hwp	0	0		
u_dump-005041	dump	count_eq	COUNT_OK	samples/행정안전부/2019/dump-005041.hwpx	행정안전부	2019	hwpx	1	1		
u_dump-005042	dump	count_eq	COUNT_OK	samples/국세청/2019/dump-005042.hwp	국세청	2019	hwp	2	2		
u_dump-005043	dump	count_eq	COUNT_OK	samples/대법원/2019/dump-005043.hwpx	대법원	2019	hwpx	3	3		
u_dump-005044	dump	count_eq	COUNT_OK	samples/특허청/2019/dump-005044.hwp	특허청	2019	hwp	4	4		
u_dump-005045	dump	count_eq	COUNT_DRIFT	samples/교육부/2019/dump-005045.hwpx	교육부	2019	hwpx	5	6		
u_dump-005046	dump	count_eq	COUNT_DRIFT	samples/보건복지부/2019/dump-005046.hwp	보건복지부	2019	hwp	6	5		
u_dump-005047	dump	count_eq	COUNT_OK	samples/국토교통부/2019/dump-005047.hwpx	국토교통부	2019	hwpx	7	7		
u_dump-005048	dump	count_eq	COUNT_OK	samples/고용노동부/2019/dump-005048.hwp	고용노동부	2019	hwp	8	8		
u_dump-005049	dump	count_eq	COUNT_OK	samples/외교부/2019/dump-005049.hwpx	외교부	2019	hwpx	9	9		
u_dump-005050	dump	count_eq	COUNT_OK	samples/기획재정부/2019/dump-005050.hwp	기획재정부	2019	hwp	10	10		
u_dump-005051	dump	count_eq	COUNT_OK	samples/공정거래위원회/2019/dump-005051.hwpx	공정거래위원회	2019	hwpx	11	11		
u_dump-005052	dump	count_eq	COUNT_DRIFT	samples/금융위원회/2019/dump-005052.hwp	금융위원회	2019	hwp	12	13		
u_dump-005053	dump	count_eq	COUNT_DRIFT	samples/통계청/2019/dump-005053.hwpx	통계청	2019	hwpx	13	12		
u_dump-005054	dump	count_eq	COUNT_OK	samples/기상청/2019/dump-005054.hwp	기상청	2019	hwp	14	14		
u_dump-005055	dump	count_eq	COUNT_OK	samples/관세청/2019/dump-005055.hwpx	관세청	2019	hwpx	15	15		
u_dump-005056	dump	count_eq	COUNT_OK	samples/검찰청/2019/dump-005056.hwp	검찰청	2019	hwp	16	16		
u_dump-005057	dump	count_eq	COUNT_OK	samples/경찰청/2019/dump-005057.hwpx	경찰청	2019	hwpx	17	17		
u_dump-005058	dump	count_eq	COUNT_OK	samples/소방청/2019/dump-005058.hwp	소방청	2019	hwp	18	18		
u_dump-005059	dump	count_eq	COUNT_DRIFT	samples/병무청/2019/dump-005059.hwpx	병무청	2019	hwpx	19	20		
u_dump-005060	dump	count_eq	COUNT_DRIFT	samples/산림청/2019/dump-005060.hwp	산림청	2019	hwp	20	19		
u_dump-005061	dump	count_eq	COUNT_OK	samples/중소벤처기업부/2019/dump-005061.hwpx	중소벤처기업부	2019	hwpx	21	21		
