case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_dump_extents-005000	dump-extents	count_eq	COUNT_OK	samples/산림청/2017/dump-extents-005000.hwp	산림청	2017	hwp	8	8		
u_dump_extents-005001	dump-extents	count_eq	COUNT_OK	samples/중소벤처기업부/2017/dump-extents-005001.hwpx	중소벤처기업부	2017	hwpx	9	9		
u_dump_extents-005002	dump-extents	count_eq	COUNT_OK	samples/과학기술정보통신부/2017/dump-extents-005002.hwp	과학기술정보통신부	2017	hwp	10	10		
u_dump_extents-005003	dump-extents	count_eq	COUNT_DRIFT	samples/문화체육관광부/2017/dump-extents-005003.hwpx	문화체육관광부	2017	hwpx	11	12		
u_dump_extents-005004	dump-extents	count_eq	COUNT_DRIFT	samples/환경부/2017/dump-extents-005004.hwp	환경부	2017	hwp	12	11		
u_dump_extents-005005	dump-extents	count_eq	COUNT_OK	samples/해양수산부/2017/dump-extents-005005.hwpx	해양수산부	2017	hwpx	13	13		
u_dump_extents-005006	dump-extents	count_eq	COUNT_OK	samples/서울특별시/2017/dump-extents-005006.hwp	서울특별시	2017	hwp	14	14		
u_dump_extents-005007	dump-extents	count_eq	COUNT_OK	samples/경기도/2017/dump-extents-005007.hwpx	경기도	2017	hwpx	15	15		
u_dump_extents-005008	dump-extents	count_eq	COUNT_OK	samples/부산광역시/2017/dump-extents-005008.hwp	부산광역시	2017	hwp	16	16		
u_dump_extents-005009	dump-extents	count_eq	COUNT_OK	samples/제주특별자치도/2017/dump-extents-005009.hwpx	제주특별자치도	2017	hwpx	17	17		
u_dump_extents-005010	dump-extents	count_eq	COUNT_DRIFT	samples/법제처/2018/dump-extents-005010.hwp	법제처	2018	hwp	18	19		
u_dump_extents-005011	dump-extents	count_eq	COUNT_DRIFT	samples/행정안전부/2018/dump-extents-005011.hwpx	행정안전부	2018	hwpx	19	18		
u_dump_extents-005012	dump-extents	count_eq	COUNT_OK	samples/국세청/2018/dump-extents-005012.hwp	국세청	2018	hwp	20	20		
u_dump_extents-005013	dump-extents	count_eq	COUNT_OK	samples/대법원/2018/dump-extents-005013.hwpx	대법원	2018	hwpx	21	21		
u_dump_extents-005014	dump-extents	count_eq	COUNT_OK	samples/특허청/2018/dump-extents-005014.hwp	특허청	2018	hwp	22	22		
u_dump_extents-005015	dump-extents	count_eq	COUNT_OK	samples/교육부/2018/dump-extents-005015.hwpx	교육부	2018	hwpx	23	23		
u_dump_extents-005016	dump-extents	count_eq	COUNT_OK	samples/보건복지부/2018/dump-extents-005016.hwp	보건복지부	2018	hwp	0	0		
u_dump_extents-005017	dump-extents	count_eq	COUNT_DRIFT	samples/국토교통부/2018/dump-extents-005017.hwpx	국토교통부	2018	hwpx	1	2		
u_dump_extents-005018	dump-extents	count_eq	COUNT_DRIFT	samples/고용노동부/2018/dump-extents-005018.hwp	고용노동부	2018	hwp	2	1		
u_dump_extents-005019	dump-extents	count_eq	COUNT_OK	samples/외교부/2018/dump-extents-005019.hwpx	외교부	2018	hwpx	3	3		
u_dump_extents-005020	dump-extents	count_eq	COUNT_OK	samples/기획재정부/2018/dump-extents-005020.hwp	기획재정부	2018	hwp	4	4		
u_dump_extents-005021	dump-extents	count_eq	COUNT_OK	samples/공정거래위원회/2018/dump-extents-005021.hwpx	공정거래위원회	2018	hwpx	5	5		
u_dump_extents-005022	dump-extents	count_eq	COUNT_OK	samples/금융위원회/2018/dump-extents-005022.hwp	금융위원회	2018	hwp	6	6		
u_dump_extents-005023	dump-extents	count_eq	COUNT_OK	samples/통계청/2018/dump-extents-005023.hwpx	통계청	2018	hwpx	7	7		
u_dump_extents-005024	dump-extents	count_eq	COUNT_DRIFT	samples/기상청/2018/dump-extents-005024.hwp	기상청	2018	hwp	8	9		
u_dump_extents-005025	dump-extents	count_eq	COUNT_DRIFT	samples/관세청/2018/dump-extents-005025.hwpx	관세청	2018	hwpx	9	8		
u_dump_extents-005026	dump-extents	count_eq	COUNT_OK	samples/검찰청/2018/dump-extents-005026.hwp	검찰청	2018	hwp	10	10		
u_dump_extents-005027	dump-extents	count_eq	COUNT_OK	samples/경찰청/2018/dump-extents-005027.hwpx	경찰청	2018	hwpx	11	11		
u_dump_extents-005028	dump-extents	count_eq	COUNT_OK	samples/소방청/2018/dump-extents-005028.hwp	소방청	2018	hwp	12	12		
u_dump_extents-005029	dump-extents	count_eq	COUNT_OK	samples/병무청/2018/dump-extents-005029.hwpx	병무청	2018	hwpx	13	13		
u_dump_extents-005030	dump-extents	count_eq	COUNT_OK	samples/산림청/2018/dump-extents-005030.hwp	산림청	2018	hwp	14	14		
u_dump_extents-005031	dump-extents	count_eq	COUNT_DRIFT	samples/중소벤처기업부/2018/dump-extents-005031.hwpx	중소벤처기업부	2018	hwpx	15	16		
u_dump_extents-005032	dump-extents	count_eq	COUNT_DRIFT	samples/과학기술정보통신부/2018/dump-extents-005032.hwp	과학기술정보통신부	2018	hwp	16	15		
u_dump_extents-005033	dump-extents	count_eq	COUNT_OK	samples/문화체육관광부/2018/dump-extents-005033.hwpx	문화체육관광부	2018	hwpx	17	17		
u_dump_extents-005034	dump-extents	count_eq	COUNT_OK	samples/환경부/2018/dump-extents-005034.hwp	환경부	2018	hwp	18	18		
u_dump_extents-005035	dump-extents	count_eq	COUNT_OK	samples/해양수산부/2018/dump-extents-005035.hwpx	해양수산부	2018	hwpx	19	19		
u_dump_extents-005036	dump-extents	count_eq	COUNT_OK	samples/서울특별시/2018/dump-extents-005036.hwp	서울특별시	2018	hwp	20	20		
u_dump_extents-005037	dump-extents	count_eq	COUNT_OK	samples/경기도/2018/dump-extents-005037.hwpx	경기도	2018	hwpx	21	21		
u_dump_extents-005038	dump-extents	count_eq	COUNT_DRIFT	samples/부산광역시/2018/dump-extents-005038.hwp	부산광역시	2018	hwp	22	23		
u_dump_extents-005039	dump-extents	count_eq	COUNT_DRIFT	samples/제주특별자치도/2018/dump-extents-005039.hwpx	제주특별자치도	2018	hwpx	23	22		
u_dump_extents-005040	dump-extents	count_eq	COUNT_OK	samples/법제처/2019/dump-extents-005040.hwp	법제처	2019	hwp	0	0		
u_dump_extents-005041	dump-extents	count_eq	COUNT_OK	samples/행정안전부/2019/dump-extents-005041.hwpx	행정안전부	2019	hwpx	1	1		
u_dump_extents-005042	dump-extents	count_eq	COUNT_OK	samples/국세청/2019/dump-extents-005042.hwp	국세청	2019	hwp	2	2		
u_dump_extents-005043	dump-extents	count_eq	COUNT_OK	samples/대법원/2019/dump-extents-005043.hwpx	대법원	2019	hwpx	3	3		
u_dump_extents-005044	dump-extents	count_eq	COUNT_OK	samples/특허청/2019/dump-extents-005044.hwp	특허청	2019	hwp	4	4		
u_dump_extents-005045	dump-extents	count_eq	COUNT_DRIFT	samples/교육부/2019/dump-extents-005045.hwpx	교육부	2019	hwpx	5	6		
u_dump_extents-005046	dump-extents	count_eq	COUNT_DRIFT	samples/보건복지부/2019/dump-extents-005046.hwp	보건복지부	2019	hwp	6	5		
u_dump_extents-005047	dump-extents	count_eq	COUNT_OK	samples/국토교통부/2019/dump-extents-005047.hwpx	국토교통부	2019	hwpx	7	7		
u_dump_extents-005048	dump-extents	count_eq	COUNT_OK	samples/고용노동부/2019/dump-extents-005048.hwp	고용노동부	2019	hwp	8	8		
u_dump_extents-005049	dump-extents	count_eq	COUNT_OK	samples/외교부/2019/dump-extents-005049.hwpx	외교부	2019	hwpx	9	9		
u_dump_extents-005050	dump-extents	count_eq	COUNT_OK	samples/기획재정부/2019/dump-extents-005050.hwp	기획재정부	2019	hwp	10	10		
u_dump_extents-005051	dump-extents	count_eq	COUNT_OK	samples/공정거래위원회/2019/dump-extents-005051.hwpx	공정거래위원회	2019	hwpx	11	11		
u_dump_extents-005052	dump-extents	count_eq	COUNT_DRIFT	samples/금융위원회/2019/dump-extents-005052.hwp	금융위원회	2019	hwp	12	13		
u_dump_extents-005053	dump-extents	count_eq	COUNT_DRIFT	samples/통계청/2019/dump-extents-005053.hwpx	통계청	2019	hwpx	13	12		
u_dump_extents-005054	dump-extents	count_eq	COUNT_OK	samples/기상청/2019/dump-extents-005054.hwp	기상청	2019	hwp	14	14		
u_dump_extents-005055	dump-extents	count_eq	COUNT_OK	samples/관세청/2019/dump-extents-005055.hwpx	관세청	2019	hwpx	15	15		
u_dump_extents-005056	dump-extents	count_eq	COUNT_OK	samples/검찰청/2019/dump-extents-005056.hwp	검찰청	2019	hwp	16	16		
u_dump_extents-005057	dump-extents	count_eq	COUNT_OK	samples/경찰청/2019/dump-extents-005057.hwpx	경찰청	2019	hwpx	17	17		
u_dump_extents-005058	dump-extents	count_eq	COUNT_OK	samples/소방청/2019/dump-extents-005058.hwp	소방청	2019	hwp	18	18		
u_dump_extents-005059	dump-extents	count_eq	COUNT_DRIFT	samples/병무청/2019/dump-extents-005059.hwpx	병무청	2019	hwpx	19	20		
u_dump_extents-005060	dump-extents	count_eq	COUNT_DRIFT	samples/산림청/2019/dump-extents-005060.hwp	산림청	2019	hwp	20	19		
u_dump_extents-005061	dump-extents	count_eq	COUNT_OK	samples/중소벤처기업부/2019/dump-extents-005061.hwpx	중소벤처기업부	2019	hwpx	21	21		
u_dump_extents-005062	dump-extents	count_eq	COUNT_OK	samples/과학기술정보통신부/2019/dump-extents-005062.hwp	과학기술정보통신부	2019	hwp	22	22		
u_dump_extents-005063	dump-extents	count_eq	COUNT_OK	samples/문화체육관광부/2019/dump-extents-005063.hwpx	문화체육관광부	2019	hwpx	23	23		
u_dump_extents-005064	dump-extents	count_eq	COUNT_OK	samples/환경부/2019/dump-extents-005064.hwp	환경부	2019	hwp	0	0		
u_dump_extents-005065	dump-extents	count_eq	COUNT_OK	samples/해양수산부/2019/dump-extents-005065.hwpx	해양수산부	2019	hwpx	1	1		
u_dump_extents-005066	dump-extents	count_eq	COUNT_DRIFT	samples/서울특별시/2019/dump-extents-005066.hwp	서울특별시	2019	hwp	2	3		
u_dump_extents-005067	dump-extents	count_eq	COUNT_DRIFT	samples/경기도/2019/dump-extents-005067.hwpx	경기도	2019	hwpx	3	2		
u_dump_extents-005068	dump-extents	count_eq	COUNT_OK	samples/부산광역시/2019/dump-extents-005068.hwp	부산광역시	2019	hwp	4	4		
u_dump_extents-005069	dump-extents	count_eq	COUNT_OK	samples/제주특별자치도/2019/dump-extents-005069.hwpx	제주특별자치도	2019	hwpx	5	5		
u_dump_extents-005070	dump-extents	count_eq	COUNT_OK	samples/법제처/2020/dump-extents-005070.hwp	법제처	2020	hwp	6	6		
