case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_dump_pages-015000	dump-pages	count_eq	USAGE	samples/법제처/2021/dump-pages-015000.hwp	법제처	2021	hwp	0	-1		
u_dump_pages-015001	dump-pages	count_eq	COUNT_OK	samples/행정안전부/2021/dump-pages-015001.hwpx	행정안전부	2021	hwpx	1	1		
u_dump_pages-015002	dump-pages	count_eq	COUNT_OK	samples/국세청/2021/dump-pages-015002.hwp	국세청	2021	hwp	2	2		
u_dump_pages-015003	dump-pages	count_eq	COUNT_OK	samples/대법원/2021/dump-pages-015003.hwpx	대법원	2021	hwpx	3	3		
u_dump_pages-015004	dump-pages	count_eq	COUNT_OK	samples/특허청/2021/dump-pages-015004.hwp	특허청	2021	hwp	4	4		
u_dump_pages-015005	dump-pages	count_eq	COUNT_OK	samples/교육부/2021/dump-pages-015005.hwpx	교육부	2021	hwpx	5	5		
u_dump_pages-015006	dump-pages	count_eq	COUNT_DRIFT	samples/보건복지부/2021/dump-pages-015006.hwp	보건복지부	2021	hwp	6	7		
u_dump_pages-015007	dump-pages	count_eq	COUNT_DRIFT	samples/국토교통부/2021/dump-pages-015007.hwpx	국토교통부	2021	hwpx	7	6		
u_dump_pages-015008	dump-pages	count_eq	COUNT_OK	samples/고용노동부/2021/dump-pages-015008.hwp	고용노동부	2021	hwp	8	8		
u_dump_pages-015009	dump-pages	count_eq	COUNT_OK	samples/외교부/2021/dump-pages-015009.hwpx	외교부	2021	hwpx	9	9		
u_dump_pages-015010	dump-pages	count_eq	COUNT_OK	samples/기획재정부/2021/dump-pages-015010.hwp	기획재정부	2021	hwp	10	10		
u_dump_pages-015011	dump-pages	count_eq	COUNT_OK	samples/공정거래위원회/2021/dump-pages-015011.hwpx	공정거래위원회	2021	hwpx	11	11		
u_dump_pages-015012	dump-pages	count_eq	COUNT_OK	samples/금융위원회/2021/dump-pages-015012.hwp	금융위원회	2021	hwp	12	12		
u_dump_pages-015013	dump-pages	count_eq	COUNT_DRIFT	samples/통계청/2021/dump-pages-015013.hwpx	통계청	2021	hwpx	13	14		
u_dump_pages-015014	dump-pages	count_eq	COUNT_DRIFT	samples/기상청/2021/dump-pages-015014.hwp	기상청	2021	hwp	14	13		
