case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_edit_dry_run-010000	edit-dry-run	cas	USAGE	samples/기획재정부/2019/edit-dry-run-010000.hwp	기획재정부	2019	hwp	1	0	zz	0aec1507730707c7b7790c22127ff86ceb9c9f1a9bf5d06f29ed06f3d646f5fa
u_edit_dry_run-010001	edit-dry-run	cas	SKIP	samples/공정거래위원회/2019/edit-dry-run-010001.hwpx	공정거래위원회	2019	hwpx	0	0	a5bbf4dc635c46a3ef70c7aa81de98adef834f7fabaae30a83b11865160c6dd4	e75c75e36a7a1b88abb2ddd8c2181c44be0ed5579d8aa66d1dca9af277c902e9
u_edit_dry_run-010002	edit-dry-run	cas	USAGE	samples/금융위원회/2019/edit-dry-run-010002.hwp	금융위원회	2019	hwp	1	1	ed7dc9b9bad0a23f8789e4506d18b226b3390d75a4c99547ff59b050478601de	77584268209f23b7c63073ac8b91c15d281d9f16c3d3255b0392c284d640212d
u_edit_dry_run-010003	edit-dry-run	cas	CAS_OK	samples/통계청/2019/edit-dry-run-010003.hwpx	통계청	2019	hwpx	1	0	dd34ac40bc4fd4a58c7155d6e637cf253393c713cbc0a65208ef31ba2347e3b9	dd34ac40bc4fd4a58c7155d6e637cf253393c713cbc0a65208ef31ba2347e3b9
u_edit_dry_run-010004	edit-dry-run	cas	CAS_OK	samples/기상청/2019/edit-dry-run-010004.hwp	기상청	2019	hwp	1	0	3132ab318ce9ec1226cef6d96d9e92f6347a011d93d4c1c44fd95eed93f36525	3132ab318ce9ec1226cef6d96d9e92f6347a011d93d4c1c44fd95eed93f36525
u_edit_dry_run-010005	edit-dry-run	cas	CAS_OK	samples/관세청/2019/edit-dry-run-010005.hwpx	관세청	2019	hwpx	1	0	633f4f345be319128fa46a15a95ec8d0f5d6b9571bfb84e3b94235b9e7b5ae82	633f4f345be319128fa46a15a95ec8d0f5d6b9571bfb84e3b94235b9e7b5ae82
u_edit_dry_run-010006	edit-dry-run	cas	CAS_MISMATCH	samples/검찰청/2019/edit-dry-run-010006.hwp	검찰청	2019	hwp	1	0	82cd48501b35aa2b132f62f98f9dfb2a65cc1484f1d3c27c6f688c4162249960	4fc1cd51346c083e06e968dc329fe3c324e50070846b837090c011fcc9734d7c
u_edit_dry_run-010007	edit-dry-run	cas	USAGE	samples/경찰청/2019/edit-dry-run-010007.hwpx	경찰청	2019	hwpx	1	0	zz	911f3ca684f437b546be3b7cff63cddd4bcc2bb407d30ddb43f3abb861f394b0
u_edit_dry_run-010008	edit-dry-run	cas	SKIP	samples/소방청/2019/edit-dry-run-010008.hwp	소방청	2019	hwp	0	0	86e15638c5301402e326f1cde83cecdd58ad06a2d5abd4c647dee5d61f8d02c9	5722b998a8cb9f9131f1ca53d561996469c0fd7225a20af82a0fbd281ac895be
u_edit_dry_run-010009	edit-dry-run	cas	USAGE	samples/병무청/2019/edit-dry-run-010009.hwpx	병무청	2019	hwpx	1	1	d29f1c50673ae5dbec27008ccc0513593553a6b8bcce8007cb38542007c18739	24592a983fb168748e13f30a6abbd98630d0b91471e729675ea173f4323d25c9
