case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_edit_redact-010000	edit-redact	redact	NOTHING_TO_CLEAR	samples/기획재정부/2019/edit-redact-010000.hwp	기획재정부	2019	hwp	1	0	0	
u_edit_redact-010001	edit-redact	redact	STILL_PRESENT	samples/공정거래위원회/2019/edit-redact-010001.hwpx	공정거래위원회	2019	hwpx	1	6	1	
u_edit_redact-010002	edit-redact	redact	NOT_EVIDENCE	samples/금융위원회/2019/edit-redact-010002.hwp	금융위원회	2019	hwp	0	1	1	
u_edit_redact-010003	edit-redact	redact	CLEAR_OK	samples/통계청/2019/edit-redact-010003.hwpx	통계청	2019	hwpx	1	2	0	
u_edit_redact-010004	edit-redact	redact	CLEAR_OK	samples/기상청/2019/edit-redact-010004.hwp	기상청	2019	hwp	1	3	0	
u_edit_redact-010005	edit-redact	redact	CLEAR_OK	samples/관세청/2019/edit-redact-010005.hwpx	관세청	2019	hwpx	1	4	0	
u_edit_redact-010006	edit-redact	redact	CLEAR_OK	samples/검찰청/2019/edit-redact-010006.hwp	검찰청	2019	hwp	1	5	0	
u_edit_redact-010007	edit-redact	redact	NOTHING_TO_CLEAR	samples/경찰청/2019/edit-redact-010007.hwpx	경찰청	2019	hwpx	1	0	0	
u_edit_redact-010008	edit-redact	redact	STILL_PRESENT	samples/소방청/2019/edit-redact-010008.hwp	소방청	2019	hwp	1	1	1	
u_edit_redact-010009	edit-redact	redact	NOT_EVIDENCE	samples/병무청/2019/edit-redact-010009.hwpx	병무청	2019	hwpx	0	2	1	
u_edit_redact-010010	edit-redact	redact	CLEAR_OK	samples/산림청/2019/edit-redact-010010.hwp	산림청	2019	hwp	1	3	0	
u_edit_redact-010011	edit-redact	redact	CLEAR_OK	samples/중소벤처기업부/2019/edit-redact-010011.hwpx	중소벤처기업부	2019	hwpx	1	4	0	
u_edit_redact-010012	edit-redact	redact	CLEAR_OK	samples/과학기술정보통신부/2019/edit-redact-010012.hwp	과학기술정보통신부	2019	hwp	1	5	0	
u_edit_redact-010013	edit-redact	redact	CLEAR_OK	samples/문화체육관광부/2019/edit-redact-010013.hwpx	문화체육관광부	2019	hwpx	1	6	0	
u_edit_redact-010014	edit-redact	redact	NOTHING_TO_CLEAR	samples/환경부/2019/edit-redact-010014.hwp	환경부	2019	hwp	1	0	0	
u_edit_redact-010015	edit-redact	redact	STILL_PRESENT	samples/해양수산부/2019/edit-redact-010015.hwpx	해양수산부	2019	hwpx	1	2	1	
u_edit_redact-010016	edit-redact	redact	NOT_EVIDENCE	samples/서울특별시/2019/edit-redact-010016.hwp	서울특별시	2019	hwp	0	3	1	
u_edit_redact-010017	edit-redact	redact	CLEAR_OK	samples/경기도/2019/edit-redact-010017.hwpx	경기도	2019	hwpx	1	4	0	
u_edit_redact-010018	edit-redact	redact	CLEAR_OK	samples/부산광역시/2019/edit-redact-010018.hwp	부산광역시	2019	hwp	1	5	0	
u_edit_redact-010019	edit-redact	redact	CLEAR_OK	samples/제주특별자치도/2019/edit-redact-010019.hwpx	제주특별자치도	2019	hwpx	1	6	0	
