case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_edit_replace-010000	edit-replace	reread	REREAD_OK	samples/기획재정부/2019/edit-replace-010000.hwp	기획재정부	2019	hwp	1	2	2	
u_edit_replace-010001	edit-replace	reread	REREAD_DRIFT	samples/공정거래위원회/2019/edit-replace-010001.hwpx	공정거래위원회	2019	hwpx	1	3	4	
u_edit_replace-010002	edit-replace	reread	NOT_EVIDENCE	samples/금융위원회/2019/edit-replace-010002.hwp	금융위원회	2019	hwp	0	4	5	
u_edit_replace-010003	edit-replace	reread	REREAD_OK	samples/통계청/2019/edit-replace-010003.hwpx	통계청	2019	hwpx	1	5	5	
u_edit_replace-010004	edit-replace	reread	REREAD_OK	samples/기상청/2019/edit-replace-010004.hwp	기상청	2019	hwp	1	6	6	
u_edit_replace-010005	edit-replace	reread	REREAD_OK	samples/관세청/2019/edit-replace-010005.hwpx	관세청	2019	hwpx	1	7	7	
u_edit_replace-010006	edit-replace	reread	REREAD_OK	samples/검찰청/2019/edit-replace-010006.hwp	검찰청	2019	hwp	1	8	8	
u_edit_replace-010007	edit-replace	reread	REREAD_OK	samples/경찰청/2019/edit-replace-010007.hwpx	경찰청	2019	hwpx	1	9	9	
u_edit_replace-010008	edit-replace	reread	REREAD_DRIFT	samples/소방청/2019/edit-replace-010008.hwp	소방청	2019	hwp	1	1	2	
u_edit_replace-010009	edit-replace	reread	NOT_EVIDENCE	samples/병무청/2019/edit-replace-010009.hwpx	병무청	2019	hwpx	0	2	3	
u_edit_replace-010010	edit-replace	reread	REREAD_OK	samples/산림청/2019/edit-replace-010010.hwp	산림청	2019	hwp	1	3	3	
u_edit_replace-010011	edit-replace	reread	REREAD_OK	samples/중소벤처기업부/2019/edit-replace-010011.hwpx	중소벤처기업부	2019	hwpx	1	4	4	
u_edit_replace-010012	edit-replace	reread	REREAD_OK	samples/과학기술정보통신부/2019/edit-replace-010012.hwp	과학기술정보통신부	2019	hwp	1	5	5	
u_edit_replace-010013	edit-replace	reread	REREAD_OK	samples/문화체육관광부/2019/edit-replace-010013.hwpx	문화체육관광부	2019	hwpx	1	6	6	
u_edit_replace-010014	edit-replace	reread	REREAD_OK	samples/환경부/2019/edit-replace-010014.hwp	환경부	2019	hwp	1	7	7	
u_edit_replace-010015	edit-replace	reread	REREAD_DRIFT	samples/해양수산부/2019/edit-replace-010015.hwpx	해양수산부	2019	hwpx	1	8	9	
u_edit_replace-010016	edit-replace	reread	NOT_EVIDENCE	samples/서울특별시/2019/edit-replace-010016.hwp	서울특별시	2019	hwp	0	9	10	
u_edit_replace-010017	edit-replace	reread	REREAD_OK	samples/경기도/2019/edit-replace-010017.hwpx	경기도	2019	hwpx	1	1	1	
u_edit_replace-010018	edit-replace	reread	REREAD_OK	samples/부산광역시/2019/edit-replace-010018.hwp	부산광역시	2019	hwp	1	2	2	
u_edit_replace-010019	edit-replace	reread	REREAD_OK	samples/제주특별자치도/2019/edit-replace-010019.hwpx	제주특별자치도	2019	hwpx	1	3	3	
u_edit_replace-010020	edit-replace	reread	REREAD_OK	samples/법제처/2020/edit-replace-010020.hwp	법제처	2020	hwp	1	4	4	
u_edit_replace-010021	edit-replace	reread	REREAD_OK	samples/행정안전부/2020/edit-replace-010021.hwpx	행정안전부	2020	hwpx	1	5	5	
u_edit_replace-010022	edit-replace	reread	REREAD_DRIFT	samples/국세청/2020/edit-replace-010022.hwp	국세청	2020	hwp	1	6	7	
u_edit_replace-010023	edit-replace	reread	NOT_EVIDENCE	samples/대법원/2020/edit-replace-010023.hwpx	대법원	2020	hwpx	0	7	8	
u_edit_replace-010024	edit-replace	reread	REREAD_OK	samples/특허청/2020/edit-replace-010024.hwp	특허청	2020	hwp	1	8	8	
u_edit_replace-010025	edit-replace	reread	REREAD_OK	samples/교육부/2020/edit-replace-010025.hwpx	교육부	2020	hwpx	1	9	9	
u_edit_replace-010026	edit-replace	reread	REREAD_OK	samples/보건복지부/2020/edit-replace-010026.hwp	보건복지부	2020	hwp	1	1	1	
u_edit_replace-010027	edit-replace	reread	REREAD_OK	samples/국토교통부/2020/edit-replace-010027.hwpx	국토교통부	2020	hwpx	1	2	2	
u_edit_replace-010028	edit-replace	reread	REREAD_OK	samples/고용노동부/2020/edit-replace-010028.hwp	고용노동부	2020	hwp	1	3	3	
u_edit_replace-010029	edit-replace	reread	REREAD_DRIFT	samples/외교부/2020/edit-replace-010029.hwpx	외교부	2020	hwpx	1	4	5	
