case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_edit_sanitize-010000	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/기획재정부/2019/edit-sanitize-010000.hwp	기획재정부	2019	hwp	1	0	0	
u_edit_sanitize-010001	edit-sanitize	redact	STILL_PRESENT	samples/공정거래위원회/2019/edit-sanitize-010001.hwpx	공정거래위원회	2019	hwpx	1	6	1	
u_edit_sanitize-010002	edit-sanitize	redact	NOT_EVIDENCE	samples/금융위원회/2019/edit-sanitize-010002.hwp	금융위원회	2019	hwp	0	1	1	
u_edit_sanitize-010003	edit-sanitize	redact	CLEAR_OK	samples/통계청/2019/edit-sanitize-010003.hwpx	통계청	2019	hwpx	1	2	0	
u_edit_sanitize-010004	edit-sanitize	redact	CLEAR_OK	samples/기상청/2019/edit-sanitize-010004.hwp	기상청	2019	hwp	1	3	0	
u_edit_sanitize-010005	edit-sanitize	redact	CLEAR_OK	samples/관세청/2019/edit-sanitize-010005.hwpx	관세청	2019	hwpx	1	4	0	
u_edit_sanitize-010006	edit-sanitize	redact	CLEAR_OK	samples/검찰청/2019/edit-sanitize-010006.hwp	검찰청	2019	hwp	1	5	0	
u_edit_sanitize-010007	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/경찰청/2019/edit-sanitize-010007.hwpx	경찰청	2019	hwpx	1	0	0	
u_edit_sanitize-010008	edit-sanitize	redact	STILL_PRESENT	samples/소방청/2019/edit-sanitize-010008.hwp	소방청	2019	hwp	1	1	1	
u_edit_sanitize-010009	edit-sanitize	redact	NOT_EVIDENCE	samples/병무청/2019/edit-sanitize-010009.hwpx	병무청	2019	hwpx	0	2	1	
u_edit_sanitize-010010	edit-sanitize	redact	CLEAR_OK	samples/산림청/2019/edit-sanitize-010010.hwp	산림청	2019	hwp	1	3	0	
u_edit_sanitize-010011	edit-sanitize	redact	CLEAR_OK	samples/중소벤처기업부/2019/edit-sanitize-010011.hwpx	중소벤처기업부	2019	hwpx	1	4	0	
u_edit_sanitize-010012	edit-sanitize	redact	CLEAR_OK	samples/과학기술정보통신부/2019/edit-sanitize-010012.hwp	과학기술정보통신부	2019	hwp	1	5	0	
u_edit_sanitize-010013	edit-sanitize	redact	CLEAR_OK	samples/문화체육관광부/2019/edit-sanitize-010013.hwpx	문화체육관광부	2019	hwpx	1	6	0	
u_edit_sanitize-010014	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/환경부/2019/edit-sanitize-010014.hwp	환경부	2019	hwp	1	0	0	
u_edit_sanitize-010015	edit-sanitize	redact	STILL_PRESENT	samples/해양수산부/2019/edit-sanitize-010015.hwpx	해양수산부	2019	hwpx	1	2	1	
u_edit_sanitize-010016	edit-sanitize	redact	NOT_EVIDENCE	samples/서울특별시/2019/edit-sanitize-010016.hwp	서울특별시	2019	hwp	0	3	1	
u_edit_sanitize-010017	edit-sanitize	redact	CLEAR_OK	samples/경기도/2019/edit-sanitize-010017.hwpx	경기도	2019	hwpx	1	4	0	
u_edit_sanitize-010018	edit-sanitize	redact	CLEAR_OK	samples/부산광역시/2019/edit-sanitize-010018.hwp	부산광역시	2019	hwp	1	5	0	
u_edit_sanitize-010019	edit-sanitize	redact	CLEAR_OK	samples/제주특별자치도/2019/edit-sanitize-010019.hwpx	제주특별자치도	2019	hwpx	1	6	0	
u_edit_sanitize-010020	edit-sanitize	redact	CLEAR_OK	samples/법제처/2020/edit-sanitize-010020.hwp	법제처	2020	hwp	1	1	0	
u_edit_sanitize-010021	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/행정안전부/2020/edit-sanitize-010021.hwpx	행정안전부	2020	hwpx	1	0	0	
u_edit_sanitize-010022	edit-sanitize	redact	STILL_PRESENT	samples/국세청/2020/edit-sanitize-010022.hwp	국세청	2020	hwp	1	3	1	
u_edit_sanitize-010023	edit-sanitize	redact	NOT_EVIDENCE	samples/대법원/2020/edit-sanitize-010023.hwpx	대법원	2020	hwpx	0	4	1	
u_edit_sanitize-010024	edit-sanitize	redact	CLEAR_OK	samples/특허청/2020/edit-sanitize-010024.hwp	특허청	2020	hwp	1	5	0	
u_edit_sanitize-010025	edit-sanitize	redact	CLEAR_OK	samples/교육부/2020/edit-sanitize-010025.hwpx	교육부	2020	hwpx	1	6	0	
u_edit_sanitize-010026	edit-sanitize	redact	CLEAR_OK	samples/보건복지부/2020/edit-sanitize-010026.hwp	보건복지부	2020	hwp	1	1	0	
u_edit_sanitize-010027	edit-sanitize	redact	CLEAR_OK	samples/국토교통부/2020/edit-sanitize-010027.hwpx	국토교통부	2020	hwpx	1	2	0	
u_edit_sanitize-010028	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/고용노동부/2020/edit-sanitize-010028.hwp	고용노동부	2020	hwp	1	0	0	
u_edit_sanitize-010029	edit-sanitize	redact	STILL_PRESENT	samples/외교부/2020/edit-sanitize-010029.hwpx	외교부	2020	hwpx	1	4	1	
u_edit_sanitize-010030	edit-sanitize	redact	NOT_EVIDENCE	samples/기획재정부/2020/edit-sanitize-010030.hwp	기획재정부	2020	hwp	0	5	1	
u_edit_sanitize-010031	edit-sanitize	redact	CLEAR_OK	samples/공정거래위원회/2020/edit-sanitize-010031.hwpx	공정거래위원회	2020	hwpx	1	6	0	
u_edit_sanitize-010032	edit-sanitize	redact	CLEAR_OK	samples/금융위원회/2020/edit-sanitize-010032.hwp	금융위원회	2020	hwp	1	1	0	
u_edit_sanitize-010033	edit-sanitize	redact	CLEAR_OK	samples/통계청/2020/edit-sanitize-010033.hwpx	통계청	2020	hwpx	1	2	0	
u_edit_sanitize-010034	edit-sanitize	redact	CLEAR_OK	samples/기상청/2020/edit-sanitize-010034.hwp	기상청	2020	hwp	1	3	0	
u_edit_sanitize-010035	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/관세청/2020/edit-sanitize-010035.hwpx	관세청	2020	hwpx	1	0	0	
u_edit_sanitize-010036	edit-sanitize	redact	STILL_PRESENT	samples/검찰청/2020/edit-sanitize-010036.hwp	검찰청	2020	hwp	1	5	1	
u_edit_sanitize-010037	edit-sanitize	redact	NOT_EVIDENCE	samples/경찰청/2020/edit-sanitize-010037.hwpx	경찰청	2020	hwpx	0	6	1	
u_edit_sanitize-010038	edit-sanitize	redact	CLEAR_OK	samples/소방청/2020/edit-sanitize-010038.hwp	소방청	2020	hwp	1	1	0	
u_edit_sanitize-010039	edit-sanitize	redact	CLEAR_OK	samples/병무청/2020/edit-sanitize-010039.hwpx	병무청	2020	hwpx	1	2	0	
u_edit_sanitize-010040	edit-sanitize	redact	CLEAR_OK	samples/산림청/2020/edit-sanitize-010040.hwp	산림청	2020	hwp	1	3	0	
u_edit_sanitize-010041	edit-sanitize	redact	CLEAR_OK	samples/중소벤처기업부/2020/edit-sanitize-010041.hwpx	중소벤처기업부	2020	hwpx	1	4	0	
u_edit_sanitize-010042	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/과학기술정보통신부/2020/edit-sanitize-010042.hwp	과학기술정보통신부	2020	hwp	1	0	0	
u_edit_sanitize-010043	edit-sanitize	redact	STILL_PRESENT	samples/문화체육관광부/2020/edit-sanitize-010043.hwpx	문화체육관광부	2020	hwpx	1	6	1	
u_edit_sanitize-010044	edit-sanitize	redact	NOT_EVIDENCE	samples/환경부/2020/edit-sanitize-010044.hwp	환경부	2020	hwp	0	1	1	
u_edit_sanitize-010045	edit-sanitize	redact	CLEAR_OK	samples/해양수산부/2020/edit-sanitize-010045.hwpx	해양수산부	2020	hwpx	1	2	0	
u_edit_sanitize-010046	edit-sanitize	redact	CLEAR_OK	samples/서울특별시/2020/edit-sanitize-010046.hwp	서울특별시	2020	hwp	1	3	0	
u_edit_sanitize-010047	edit-sanitize	redact	CLEAR_OK	samples/경기도/2020/edit-sanitize-010047.hwpx	경기도	2020	hwpx	1	4	0	
u_edit_sanitize-010048	edit-sanitize	redact	CLEAR_OK	samples/부산광역시/2020/edit-sanitize-010048.hwp	부산광역시	2020	hwp	1	5	0	
u_edit_sanitize-010049	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/제주특별자치도/2020/edit-sanitize-010049.hwpx	제주특별자치도	2020	hwpx	1	0	0	
u_edit_sanitize-010050	edit-sanitize	redact	STILL_PRESENT	samples/법제처/2021/edit-sanitize-010050.hwp	법제처	2021	hwp	1	1	1	
u_edit_sanitize-010051	edit-sanitize	redact	NOT_EVIDENCE	samples/행정안전부/2021/edit-sanitize-010051.hwpx	행정안전부	2021	hwpx	0	2	1	
u_edit_sanitize-010052	edit-sanitize	redact	CLEAR_OK	samples/국세청/2021/edit-sanitize-010052.hwp	국세청	2021	hwp	1	3	0	
u_edit_sanitize-010053	edit-sanitize	redact	CLEAR_OK	samples/대법원/2021/edit-sanitize-010053.hwpx	대법원	2021	hwpx	1	4	0	
u_edit_sanitize-010054	edit-sanitize	redact	CLEAR_OK	samples/특허청/2021/edit-sanitize-010054.hwp	특허청	2021	hwp	1	5	0	
u_edit_sanitize-010055	edit-sanitize	redact	CLEAR_OK	samples/교육부/2021/edit-sanitize-010055.hwpx	교육부	2021	hwpx	1	6	0	
u_edit_sanitize-010056	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/보건복지부/2021/edit-sanitize-010056.hwp	보건복지부	2021	hwp	1	0	0	
u_edit_sanitize-010057	edit-sanitize	redact	STILL_PRESENT	samples/국토교통부/2021/edit-sanitize-010057.hwpx	국토교통부	2021	hwpx	1	2	1	
u_edit_sanitize-010058	edit-sanitize	redact	NOT_EVIDENCE	samples/고용노동부/2021/edit-sanitize-010058.hwp	고용노동부	2021	hwp	0	3	1	
u_edit_sanitize-010059	edit-sanitize	redact	CLEAR_OK	samples/외교부/2021/edit-sanitize-010059.hwpx	외교부	2021	hwpx	1	4	0	
u_edit_sanitize-010060	edit-sanitize	redact	CLEAR_OK	samples/기획재정부/2021/edit-sanitize-010060.hwp	기획재정부	2021	hwp	1	5	0	
u_edit_sanitize-010061	edit-sanitize	redact	CLEAR_OK	samples/공정거래위원회/2021/edit-sanitize-010061.hwpx	공정거래위원회	2021	hwpx	1	6	0	
u_edit_sanitize-010062	edit-sanitize	redact	CLEAR_OK	samples/금융위원회/2021/edit-sanitize-010062.hwp	금융위원회	2021	hwp	1	1	0	
u_edit_sanitize-010063	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/통계청/2021/edit-sanitize-010063.hwpx	통계청	2021	hwpx	1	0	0	
u_edit_sanitize-010064	edit-sanitize	redact	STILL_PRESENT	samples/기상청/2021/edit-sanitize-010064.hwp	기상청	2021	hwp	1	3	1	
u_edit_sanitize-010065	edit-sanitize	redact	NOT_EVIDENCE	samples/관세청/2021/edit-sanitize-010065.hwpx	관세청	2021	hwpx	0	4	1	
u_edit_sanitize-010066	edit-sanitize	redact	CLEAR_OK	samples/검찰청/2021/edit-sanitize-010066.hwp	검찰청	2021	hwp	1	5	0	
u_edit_sanitize-010067	edit-sanitize	redact	CLEAR_OK	samples/경찰청/2021/edit-sanitize-010067.hwpx	경찰청	2021	hwpx	1	6	0	
u_edit_sanitize-010068	edit-sanitize	redact	CLEAR_OK	samples/소방청/2021/edit-sanitize-010068.hwp	소방청	2021	hwp	1	1	0	
u_edit_sanitize-010069	edit-sanitize	redact	CLEAR_OK	samples/병무청/2021/edit-sanitize-010069.hwpx	병무청	2021	hwpx	1	2	0	
u_edit_sanitize-010070	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/산림청/2021/edit-sanitize-010070.hwp	산림청	2021	hwp	1	0	0	
u_edit_sanitize-010071	edit-sanitize	redact	STILL_PRESENT	samples/중소벤처기업부/2021/edit-sanitize-010071.hwpx	중소벤처기업부	2021	hwpx	1	4	1	
u_edit_sanitize-010072	edit-sanitize	redact	NOT_EVIDENCE	samples/과학기술정보통신부/2021/edit-sanitize-010072.hwp	과학기술정보통신부	2021	hwp	0	5	1	
u_edit_sanitize-010073	edit-sanitize	redact	CLEAR_OK	samples/문화체육관광부/2021/edit-sanitize-010073.hwpx	문화체육관광부	2021	hwpx	1	6	0	
u_edit_sanitize-010074	edit-sanitize	redact	CLEAR_OK	samples/환경부/2021/edit-sanitize-010074.hwp	환경부	2021	hwp	1	1	0	
u_edit_sanitize-010075	edit-sanitize	redact	CLEAR_OK	samples/해양수산부/2021/edit-sanitize-010075.hwpx	해양수산부	2021	hwpx	1	2	0	
u_edit_sanitize-010076	edit-sanitize	redact	CLEAR_OK	samples/서울특별시/2021/edit-sanitize-010076.hwp	서울특별시	2021	hwp	1	3	0	
u_edit_sanitize-010077	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/경기도/2021/edit-sanitize-010077.hwpx	경기도	2021	hwpx	1	0	0	
u_edit_sanitize-010078	edit-sanitize	redact	STILL_PRESENT	samples/부산광역시/2021/edit-sanitize-010078.hwp	부산광역시	2021	hwp	1	5	1	
u_edit_sanitize-010079	edit-sanitize	redact	NOT_EVIDENCE	samples/제주특별자치도/2021/edit-sanitize-010079.hwpx	제주특별자치도	2021	hwpx	0	6	1	
u_edit_sanitize-010080	edit-sanitize	redact	CLEAR_OK	samples/법제처/2022/edit-sanitize-010080.hwp	법제처	2022	hwp	1	1	0	
u_edit_sanitize-010081	edit-sanitize	redact	CLEAR_OK	samples/행정안전부/2022/edit-sanitize-010081.hwpx	행정안전부	2022	hwpx	1	2	0	
u_edit_sanitize-010082	edit-sanitize	redact	CLEAR_OK	samples/국세청/2022/edit-sanitize-010082.hwp	국세청	2022	hwp	1	3	0	
u_edit_sanitize-010083	edit-sanitize	redact	CLEAR_OK	samples/대법원/2022/edit-sanitize-010083.hwpx	대법원	2022	hwpx	1	4	0	
u_edit_sanitize-010084	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/특허청/2022/edit-sanitize-010084.hwp	특허청	2022	hwp	1	0	0	
u_edit_sanitize-010085	edit-sanitize	redact	STILL_PRESENT	samples/교육부/2022/edit-sanitize-010085.hwpx	교육부	2022	hwpx	1	6	1	
u_edit_sanitize-010086	edit-sanitize	redact	NOT_EVIDENCE	samples/보건복지부/2022/edit-sanitize-010086.hwp	보건복지부	2022	hwp	0	1	1	
u_edit_sanitize-010087	edit-sanitize	redact	CLEAR_OK	samples/국토교통부/2022/edit-sanitize-010087.hwpx	국토교통부	2022	hwpx	1	2	0	
u_edit_sanitize-010088	edit-sanitize	redact	CLEAR_OK	samples/고용노동부/2022/edit-sanitize-010088.hwp	고용노동부	2022	hwp	1	3	0	
u_edit_sanitize-010089	edit-sanitize	redact	CLEAR_OK	samples/외교부/2022/edit-sanitize-010089.hwpx	외교부	2022	hwpx	1	4	0	
u_edit_sanitize-010090	edit-sanitize	redact	CLEAR_OK	samples/기획재정부/2022/edit-sanitize-010090.hwp	기획재정부	2022	hwp	1	5	0	
u_edit_sanitize-010091	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/공정거래위원회/2022/edit-sanitize-010091.hwpx	공정거래위원회	2022	hwpx	1	0	0	
u_edit_sanitize-010092	edit-sanitize	redact	STILL_PRESENT	samples/금융위원회/2022/edit-sanitize-010092.hwp	금융위원회	2022	hwp	1	1	1	
u_edit_sanitize-010093	edit-sanitize	redact	NOT_EVIDENCE	samples/통계청/2022/edit-sanitize-010093.hwpx	통계청	2022	hwpx	0	2	1	
u_edit_sanitize-010094	edit-sanitize	redact	CLEAR_OK	samples/기상청/2022/edit-sanitize-010094.hwp	기상청	2022	hwp	1	3	0	
u_edit_sanitize-010095	edit-sanitize	redact	CLEAR_OK	samples/관세청/2022/edit-sanitize-010095.hwpx	관세청	2022	hwpx	1	4	0	
u_edit_sanitize-010096	edit-sanitize	redact	CLEAR_OK	samples/검찰청/2022/edit-sanitize-010096.hwp	검찰청	2022	hwp	1	5	0	
u_edit_sanitize-010097	edit-sanitize	redact	CLEAR_OK	samples/경찰청/2022/edit-sanitize-010097.hwpx	경찰청	2022	hwpx	1	6	0	
u_edit_sanitize-010098	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/소방청/2022/edit-sanitize-010098.hwp	소방청	2022	hwp	1	0	0	
u_edit_sanitize-010099	edit-sanitize	redact	STILL_PRESENT	samples/병무청/2022/edit-sanitize-010099.hwpx	병무청	2022	hwpx	1	2	1	
u_edit_sanitize-010100	edit-sanitize	redact	NOT_EVIDENCE	samples/산림청/2022/edit-sanitize-010100.hwp	산림청	2022	hwp	0	3	1	
u_edit_sanitize-010101	edit-sanitize	redact	CLEAR_OK	samples/중소벤처기업부/2022/edit-sanitize-010101.hwpx	중소벤처기업부	2022	hwpx	1	4	0	
u_edit_sanitize-010102	edit-sanitize	redact	CLEAR_OK	samples/과학기술정보통신부/2022/edit-sanitize-010102.hwp	과학기술정보통신부	2022	hwp	1	5	0	
u_edit_sanitize-010103	edit-sanitize	redact	CLEAR_OK	samples/문화체육관광부/2022/edit-sanitize-010103.hwpx	문화체육관광부	2022	hwpx	1	6	0	
u_edit_sanitize-010104	edit-sanitize	redact	CLEAR_OK	samples/환경부/2022/edit-sanitize-010104.hwp	환경부	2022	hwp	1	1	0	
u_edit_sanitize-010105	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/해양수산부/2022/edit-sanitize-010105.hwpx	해양수산부	2022	hwpx	1	0	0	
u_edit_sanitize-010106	edit-sanitize	redact	STILL_PRESENT	samples/서울특별시/2022/edit-sanitize-010106.hwp	서울특별시	2022	hwp	1	3	1	
u_edit_sanitize-010107	edit-sanitize	redact	NOT_EVIDENCE	samples/경기도/2022/edit-sanitize-010107.hwpx	경기도	2022	hwpx	0	4	1	
u_edit_sanitize-010108	edit-sanitize	redact	CLEAR_OK	samples/부산광역시/2022/edit-sanitize-010108.hwp	부산광역시	2022	hwp	1	5	0	
u_edit_sanitize-010109	edit-sanitize	redact	CLEAR_OK	samples/제주특별자치도/2022/edit-sanitize-010109.hwpx	제주특별자치도	2022	hwpx	1	6	0	
u_edit_sanitize-010110	edit-sanitize	redact	CLEAR_OK	samples/법제처/2023/edit-sanitize-010110.hwp	법제처	2023	hwp	1	1	0	
u_edit_sanitize-010111	edit-sanitize	redact	CLEAR_OK	samples/행정안전부/2023/edit-sanitize-010111.hwpx	행정안전부	2023	hwpx	1	2	0	
u_edit_sanitize-010112	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/국세청/2023/edit-sanitize-010112.hwp	국세청	2023	hwp	1	0	0	
u_edit_sanitize-010113	edit-sanitize	redact	STILL_PRESENT	samples/대법원/2023/edit-sanitize-010113.hwpx	대법원	2023	hwpx	1	4	1	
u_edit_sanitize-010114	edit-sanitize	redact	NOT_EVIDENCE	samples/특허청/2023/edit-sanitize-010114.hwp	특허청	2023	hwp	0	5	1	
u_edit_sanitize-010115	edit-sanitize	redact	CLEAR_OK	samples/교육부/2023/edit-sanitize-010115.hwpx	교육부	2023	hwpx	1	6	0	
u_edit_sanitize-010116	edit-sanitize	redact	CLEAR_OK	samples/보건복지부/2023/edit-sanitize-010116.hwp	보건복지부	2023	hwp	1	1	0	
u_edit_sanitize-010117	edit-sanitize	redact	CLEAR_OK	samples/국토교통부/2023/edit-sanitize-010117.hwpx	국토교통부	2023	hwpx	1	2	0	
u_edit_sanitize-010118	edit-sanitize	redact	CLEAR_OK	samples/고용노동부/2023/edit-sanitize-010118.hwp	고용노동부	2023	hwp	1	3	0	
u_edit_sanitize-010119	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/외교부/2023/edit-sanitize-010119.hwpx	외교부	2023	hwpx	1	0	0	
u_edit_sanitize-010120	edit-sanitize	redact	STILL_PRESENT	samples/기획재정부/2023/edit-sanitize-010120.hwp	기획재정부	2023	hwp	1	5	1	
u_edit_sanitize-010121	edit-sanitize	redact	NOT_EVIDENCE	samples/공정거래위원회/2023/edit-sanitize-010121.hwpx	공정거래위원회	2023	hwpx	0	6	1	
u_edit_sanitize-010122	edit-sanitize	redact	CLEAR_OK	samples/금융위원회/2023/edit-sanitize-010122.hwp	금융위원회	2023	hwp	1	1	0	
u_edit_sanitize-010123	edit-sanitize	redact	CLEAR_OK	samples/통계청/2023/edit-sanitize-010123.hwpx	통계청	2023	hwpx	1	2	0	
u_edit_sanitize-010124	edit-sanitize	redact	CLEAR_OK	samples/기상청/2023/edit-sanitize-010124.hwp	기상청	2023	hwp	1	3	0	
u_edit_sanitize-010125	edit-sanitize	redact	CLEAR_OK	samples/관세청/2023/edit-sanitize-010125.hwpx	관세청	2023	hwpx	1	4	0	
u_edit_sanitize-010126	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/검찰청/2023/edit-sanitize-010126.hwp	검찰청	2023	hwp	1	0	0	
u_edit_sanitize-010127	edit-sanitize	redact	STILL_PRESENT	samples/경찰청/2023/edit-sanitize-010127.hwpx	경찰청	2023	hwpx	1	6	1	
u_edit_sanitize-010128	edit-sanitize	redact	NOT_EVIDENCE	samples/소방청/2023/edit-sanitize-010128.hwp	소방청	2023	hwp	0	1	1	
u_edit_sanitize-010129	edit-sanitize	redact	CLEAR_OK	samples/병무청/2023/edit-sanitize-010129.hwpx	병무청	2023	hwpx	1	2	0	
u_edit_sanitize-010130	edit-sanitize	redact	CLEAR_OK	samples/산림청/2023/edit-sanitize-010130.hwp	산림청	2023	hwp	1	3	0	
u_edit_sanitize-010131	edit-sanitize	redact	CLEAR_OK	samples/중소벤처기업부/2023/edit-sanitize-010131.hwpx	중소벤처기업부	2023	hwpx	1	4	0	
u_edit_sanitize-010132	edit-sanitize	redact	CLEAR_OK	samples/과학기술정보통신부/2023/edit-sanitize-010132.hwp	과학기술정보통신부	2023	hwp	1	5	0	
u_edit_sanitize-010133	edit-sanitize	redact	NOTHING_TO_CLEAR	samples/문화체육관광부/2023/edit-sanitize-010133.hwpx	문화체육관광부	2023	hwpx	1	0	0	
u_edit_sanitize-010134	edit-sanitize	redact	STILL_PRESENT	samples/환경부/2023/edit-sanitize-010134.hwp	환경부	2023	hwp	1	1	1	
