case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_edit_set_cell-015000	edit-set-cell	reread	NOT_EVIDENCE	samples/법제처/2021/edit-set-cell-015000.hwp	법제처	2021	hwp	0	7	8	
u_edit_set_cell-015001	edit-set-cell	reread	REREAD_OK	samples/행정안전부/2021/edit-set-cell-015001.hwpx	행정안전부	2021	hwpx	1	8	8	
u_edit_set_cell-015002	edit-set-cell	reread	REREAD_OK	samples/국세청/2021/edit-set-cell-015002.hwp	국세청	2021	hwp	1	9	9	
u_edit_set_cell-015003	edit-set-cell	reread	REREAD_OK	samples/대법원/2021/edit-set-cell-015003.hwpx	대법원	2021	hwpx	1	1	1	
u_edit_set_cell-015004	edit-set-cell	reread	REREAD_OK	samples/특허청/2021/edit-set-cell-015004.hwp	특허청	2021	hwp	1	2	2	
u_edit_set_cell-015005	edit-set-cell	reread	REREAD_OK	samples/교육부/2021/edit-set-cell-015005.hwpx	교육부	2021	hwpx	1	3	3	
u_edit_set_cell-015006	edit-set-cell	reread	REREAD_DRIFT	samples/보건복지부/2021/edit-set-cell-015006.hwp	보건복지부	2021	hwp	1	4	5	
u_edit_set_cell-015007	edit-set-cell	reread	NOT_EVIDENCE	samples/국토교통부/2021/edit-set-cell-015007.hwpx	국토교통부	2021	hwpx	0	5	6	
u_edit_set_cell-015008	edit-set-cell	reread	REREAD_OK	samples/고용노동부/2021/edit-set-cell-015008.hwp	고용노동부	2021	hwp	1	6	6	
u_edit_set_cell-015009	edit-set-cell	reread	REREAD_OK	samples/외교부/2021/edit-set-cell-015009.hwpx	외교부	2021	hwpx	1	7	7	
u_edit_set_cell-015010	edit-set-cell	reread	REREAD_OK	samples/기획재정부/2021/edit-set-cell-015010.hwp	기획재정부	2021	hwp	1	8	8	
u_edit_set_cell-015011	edit-set-cell	reread	REREAD_OK	samples/공정거래위원회/2021/edit-set-cell-015011.hwpx	공정거래위원회	2021	hwpx	1	9	9	
u_edit_set_cell-015012	edit-set-cell	reread	REREAD_OK	samples/금융위원회/2021/edit-set-cell-015012.hwp	금융위원회	2021	hwp	1	1	1	
u_edit_set_cell-015013	edit-set-cell	reread	REREAD_DRIFT	samples/통계청/2021/edit-set-cell-015013.hwpx	통계청	2021	hwpx	1	2	3	
u_edit_set_cell-015014	edit-set-cell	reread	NOT_EVIDENCE	samples/기상청/2021/edit-set-cell-015014.hwp	기상청	2021	hwp	0	3	4	
u_edit_set_cell-015015	edit-set-cell	reread	REREAD_OK	samples/관세청/2021/edit-set-cell-015015.hwpx	관세청	2021	hwpx	1	4	4	
u_edit_set_cell-015016	edit-set-cell	reread	REREAD_OK	samples/검찰청/2021/edit-set-cell-015016.hwp	검찰청	2021	hwp	1	5	5	
u_edit_set_cell-015017	edit-set-cell	reread	REREAD_OK	samples/경찰청/2021/edit-set-cell-015017.hwpx	경찰청	2021	hwpx	1	6	6	
u_edit_set_cell-015018	edit-set-cell	reread	REREAD_OK	samples/소방청/2021/edit-set-cell-015018.hwp	소방청	2021	hwp	1	7	7	
u_edit_set_cell-015019	edit-set-cell	reread	REREAD_OK	samples/병무청/2021/edit-set-cell-015019.hwpx	병무청	2021	hwpx	1	8	8	
