case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_eq_supsub-005000	eq-supsub	parse	PARSE_OK	samples/산림청/2017/eq-supsub-005000.hwp	산림청	2017	hwp	0	1		
u_eq_supsub-005001	eq-supsub	parse	PARSE_OK	samples/중소벤처기업부/2017/eq-supsub-005001.hwpx	중소벤처기업부	2017	hwpx	1	1		
u_eq_supsub-005002	eq-supsub	parse	PARSE_OK	samples/과학기술정보통신부/2017/eq-supsub-005002.hwp	과학기술정보통신부	2017	hwp	1	1		
u_eq_supsub-005003	eq-supsub	parse	PARSE_DROP	samples/문화체육관광부/2017/eq-supsub-005003.hwpx	문화체육관광부	2017	hwpx	1	0		
u_eq_supsub-005004	eq-supsub	parse	PARSE_DROP	samples/환경부/2017/eq-supsub-005004.hwp	환경부	2017	hwp	1	0		
u_eq_supsub-005005	eq-supsub	parse	PARSE_OK	samples/해양수산부/2017/eq-supsub-005005.hwpx	해양수산부	2017	hwpx	0	1		
u_eq_supsub-005006	eq-supsub	parse	PARSE_OK	samples/서울특별시/2017/eq-supsub-005006.hwp	서울특별시	2017	hwp	0	1		
u_eq_supsub-005007	eq-supsub	parse	PARSE_OK	samples/경기도/2017/eq-supsub-005007.hwpx	경기도	2017	hwpx	0	1		
u_eq_supsub-005008	eq-supsub	parse	PARSE_OK	samples/부산광역시/2017/eq-supsub-005008.hwp	부산광역시	2017	hwp	1	1		
u_eq_supsub-005009	eq-supsub	parse	PARSE_OK	samples/제주특별자치도/2017/eq-supsub-005009.hwpx	제주특별자치도	2017	hwpx	1	1		
u_eq_supsub-005010	eq-supsub	parse	PARSE_DROP	samples/법제처/2018/eq-supsub-005010.hwp	법제처	2018	hwp	1	0		
u_eq_supsub-005011	eq-supsub	parse	PARSE_DROP	samples/행정안전부/2018/eq-supsub-005011.hwpx	행정안전부	2018	hwpx	1	0		
u_eq_supsub-005012	eq-supsub	parse	PARSE_OK	samples/국세청/2018/eq-supsub-005012.hwp	국세청	2018	hwp	0	1		
u_eq_supsub-005013	eq-supsub	parse	PARSE_OK	samples/대법원/2018/eq-supsub-005013.hwpx	대법원	2018	hwpx	0	1		
u_eq_supsub-005014	eq-supsub	parse	PARSE_OK	samples/특허청/2018/eq-supsub-005014.hwp	특허청	2018	hwp	0	1		
u_eq_supsub-005015	eq-supsub	parse	PARSE_OK	samples/교육부/2018/eq-supsub-005015.hwpx	교육부	2018	hwpx	1	1		
u_eq_supsub-005016	eq-supsub	parse	PARSE_OK	samples/보건복지부/2018/eq-supsub-005016.hwp	보건복지부	2018	hwp	1	1		
u_eq_supsub-005017	eq-supsub	parse	PARSE_DROP	samples/국토교통부/2018/eq-supsub-005017.hwpx	국토교통부	2018	hwpx	1	0		
u_eq_supsub-005018	eq-supsub	parse	PARSE_DROP	samples/고용노동부/2018/eq-supsub-005018.hwp	고용노동부	2018	hwp	1	0		
u_eq_supsub-005019	eq-supsub	parse	PARSE_OK	samples/외교부/2018/eq-supsub-005019.hwpx	외교부	2018	hwpx	0	1		
u_eq_supsub-005020	eq-supsub	parse	PARSE_OK	samples/기획재정부/2018/eq-supsub-005020.hwp	기획재정부	2018	hwp	0	1		
u_eq_supsub-005021	eq-supsub	parse	PARSE_OK	samples/공정거래위원회/2018/eq-supsub-005021.hwpx	공정거래위원회	2018	hwpx	0	1		
u_eq_supsub-005022	eq-supsub	parse	PARSE_OK	samples/금융위원회/2018/eq-supsub-005022.hwp	금융위원회	2018	hwp	1	1		
u_eq_supsub-005023	eq-supsub	parse	PARSE_OK	samples/통계청/2018/eq-supsub-005023.hwpx	통계청	2018	hwpx	1	1		
u_eq_supsub-005024	eq-supsub	parse	PARSE_DROP	samples/기상청/2018/eq-supsub-005024.hwp	기상청	2018	hwp	1	0		
u_eq_supsub-005025	eq-supsub	parse	PARSE_DROP	samples/관세청/2018/eq-supsub-005025.hwpx	관세청	2018	hwpx	1	0		
