case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_explain-010000	explain	bound	BOUND_LIE	samples/기획재정부/2019/explain-010000.hwp	기획재정부	2019	hwp	20	22	0	
u_explain-010001	explain	bound	BOUND_OK	samples/공정거래위원회/2019/explain-010001.hwpx	공정거래위원회	2019	hwpx	21	24	1	
u_explain-010002	explain	bound	BOUND_OK	samples/금융위원회/2019/explain-010002.hwp	금융위원회	2019	hwp	22	22	0	
u_explain-010003	explain	bound	BOUND_OK	samples/통계청/2019/explain-010003.hwpx	통계청	2019	hwpx	23	18	0	
u_explain-010004	explain	bound	BOUND_OK	samples/기상청/2019/explain-010004.hwp	기상청	2019	hwp	24	18	0	
u_explain-010005	explain	bound	BOUND_FALSE_POS	samples/관세청/2019/explain-010005.hwpx	관세청	2019	hwpx	25	18	1	
u_explain-010006	explain	bound	BOUND_FALSE_POS	samples/검찰청/2019/explain-010006.hwp	검찰청	2019	hwp	26	18	1	
u_explain-010007	explain	bound	BOUND_LIE	samples/경찰청/2019/explain-010007.hwpx	경찰청	2019	hwpx	27	36	0	
u_explain-010008	explain	bound	BOUND_OK	samples/소방청/2019/explain-010008.hwp	소방청	2019	hwp	28	29	1	
u_explain-010009	explain	bound	BOUND_OK	samples/병무청/2019/explain-010009.hwpx	병무청	2019	hwpx	29	29	0	
u_explain-010010	explain	bound	BOUND_OK	samples/산림청/2019/explain-010010.hwp	산림청	2019	hwp	30	27	0	
u_explain-010011	explain	bound	BOUND_OK	samples/중소벤처기업부/2019/explain-010011.hwpx	중소벤처기업부	2019	hwpx	31	27	0	
u_explain-010012	explain	bound	BOUND_FALSE_POS	samples/과학기술정보통신부/2019/explain-010012.hwp	과학기술정보통신부	2019	hwp	32	27	1	
u_explain-010013	explain	bound	BOUND_FALSE_POS	samples/문화체육관광부/2019/explain-010013.hwpx	문화체육관광부	2019	hwpx	33	27	1	
u_explain-010014	explain	bound	BOUND_LIE	samples/환경부/2019/explain-010014.hwp	환경부	2019	hwp	34	41	0	
u_explain-010015	explain	bound	BOUND_OK	samples/해양수산부/2019/explain-010015.hwpx	해양수산부	2019	hwpx	35	43	1	
u_explain-010016	explain	bound	BOUND_OK	samples/서울특별시/2019/explain-010016.hwp	서울특별시	2019	hwp	36	36	0	
u_explain-010017	explain	bound	BOUND_OK	samples/경기도/2019/explain-010017.hwpx	경기도	2019	hwpx	37	36	0	
u_explain-010018	explain	bound	BOUND_OK	samples/부산광역시/2019/explain-010018.hwp	부산광역시	2019	hwp	38	36	0	
u_explain-010019	explain	bound	BOUND_FALSE_POS	samples/제주특별자치도/2019/explain-010019.hwpx	제주특별자치도	2019	hwpx	39	36	1	
u_explain-010020	explain	bound	BOUND_FALSE_POS	samples/법제처/2020/explain-010020.hwp	법제처	2020	hwp	40	36	1	
u_explain-010021	explain	bound	BOUND_LIE	samples/행정안전부/2020/explain-010021.hwpx	행정안전부	2020	hwpx	41	46	0	
u_explain-010022	explain	bound	BOUND_OK	samples/국세청/2020/explain-010022.hwp	국세청	2020	hwp	42	48	1	
u_explain-010023	explain	bound	BOUND_OK	samples/대법원/2020/explain-010023.hwpx	대법원	2020	hwpx	43	43	0	
u_explain-010024	explain	bound	BOUND_OK	samples/특허청/2020/explain-010024.hwp	특허청	2020	hwp	44	36	0	
u_explain-010025	explain	bound	BOUND_OK	samples/교육부/2020/explain-010025.hwpx	교육부	2020	hwpx	45	36	0	
u_explain-010026	explain	bound	BOUND_FALSE_POS	samples/보건복지부/2020/explain-010026.hwp	보건복지부	2020	hwp	46	45	1	
u_explain-010027	explain	bound	BOUND_FALSE_POS	samples/국토교통부/2020/explain-010027.hwpx	국토교통부	2020	hwpx	47	45	1	
u_explain-010028	explain	bound	BOUND_LIE	samples/고용노동부/2020/explain-010028.hwp	고용노동부	2020	hwp	48	51	0	
u_explain-010029	explain	bound	BOUND_OK	samples/외교부/2020/explain-010029.hwpx	외교부	2020	hwpx	49	53	1	
u_explain-010030	explain	bound	BOUND_OK	samples/기획재정부/2020/explain-010030.hwp	기획재정부	2020	hwp	50	50	0	
u_explain-010031	explain	bound	BOUND_OK	samples/공정거래위원회/2020/explain-010031.hwpx	공정거래위원회	2020	hwpx	51	45	0	
u_explain-010032	explain	bound	BOUND_OK	samples/금융위원회/2020/explain-010032.hwp	금융위원회	2020	hwp	52	45	0	
u_explain-010033	explain	bound	BOUND_FALSE_POS	samples/통계청/2020/explain-010033.hwpx	통계청	2020	hwpx	53	45	1	
u_explain-010034	explain	bound	BOUND_FALSE_POS	samples/기상청/2020/explain-010034.hwp	기상청	2020	hwp	54	45	1	
u_explain-010035	explain	bound	BOUND_LIE	samples/관세청/2020/explain-010035.hwpx	관세청	2020	hwpx	55	56	0	
u_explain-010036	explain	bound	BOUND_OK	samples/검찰청/2020/explain-010036.hwp	검찰청	2020	hwp	56	58	1	
u_explain-010037	explain	bound	BOUND_OK	samples/경찰청/2020/explain-010037.hwpx	경찰청	2020	hwpx	57	57	0	
u_explain-010038	explain	bound	BOUND_OK	samples/소방청/2020/explain-010038.hwp	소방청	2020	hwp	58	54	0	
u_explain-010039	explain	bound	BOUND_OK	samples/병무청/2020/explain-010039.hwpx	병무청	2020	hwpx	59	54	0	
u_explain-010040	explain	bound	BOUND_FALSE_POS	samples/산림청/2020/explain-010040.hwp	산림청	2020	hwp	60	54	1	
u_explain-010041	explain	bound	BOUND_FALSE_POS	samples/중소벤처기업부/2020/explain-010041.hwpx	중소벤처기업부	2020	hwpx	61	54	1	
u_explain-010042	explain	bound	BOUND_LIE	samples/과학기술정보통신부/2020/explain-010042.hwp	과학기술정보통신부	2020	hwp	62	70	0	
u_explain-010043	explain	bound	BOUND_OK	samples/문화체육관광부/2020/explain-010043.hwpx	문화체육관광부	2020	hwpx	63	72	1	
