case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_hml-005000	export-hml	round	ROUND_OK	samples/산림청/2017/export-hml-005000.hwp	산림청	2017	hwp	1	1	1	
u_export_hml-005001	export-hml	round	ROUND_OK	samples/중소벤처기업부/2017/export-hml-005001.hwpx	중소벤처기업부	2017	hwpx	2	2	1	
u_export_hml-005002	export-hml	round	FORMAT_NA	samples/과학기술정보통신부/2017/export-hml-005002.hwp	과학기술정보통신부	2017	hwp	3	3	0	
u_export_hml-005003	export-hml	round	ROUND_DRIFT	samples/문화체육관광부/2017/export-hml-005003.hwpx	문화체육관광부	2017	hwpx	4	5	1	
u_export_hml-005004	export-hml	round	ROUND_DRIFT	samples/환경부/2017/export-hml-005004.hwp	환경부	2017	hwp	5	4	1	
u_export_hml-005005	export-hml	round	ROUND_OK	samples/해양수산부/2017/export-hml-005005.hwpx	해양수산부	2017	hwpx	6	6	1	
u_export_hml-005006	export-hml	round	ROUND_OK	samples/서울특별시/2017/export-hml-005006.hwp	서울특별시	2017	hwp	7	7	1	
u_export_hml-005007	export-hml	round	ROUND_OK	samples/경기도/2017/export-hml-005007.hwpx	경기도	2017	hwpx	8	8	1	
u_export_hml-005008	export-hml	round	ROUND_OK	samples/부산광역시/2017/export-hml-005008.hwp	부산광역시	2017	hwp	9	9	1	
u_export_hml-005009	export-hml	round	FORMAT_NA	samples/제주특별자치도/2017/export-hml-005009.hwpx	제주특별자치도	2017	hwpx	10	10	0	
u_export_hml-005010	export-hml	round	ROUND_DRIFT	samples/법제처/2018/export-hml-005010.hwp	법제처	2018	hwp	11	12	1	
u_export_hml-005011	export-hml	round	ROUND_DRIFT	samples/행정안전부/2018/export-hml-005011.hwpx	행정안전부	2018	hwpx	12	11	1	
u_export_hml-005012	export-hml	round	ROUND_OK	samples/국세청/2018/export-hml-005012.hwp	국세청	2018	hwp	13	13	1	
u_export_hml-005013	export-hml	round	ROUND_OK	samples/대법원/2018/export-hml-005013.hwpx	대법원	2018	hwpx	14	14	1	
u_export_hml-005014	export-hml	round	ROUND_OK	samples/특허청/2018/export-hml-005014.hwp	특허청	2018	hwp	15	15	1	
u_export_hml-005015	export-hml	round	ROUND_OK	samples/교육부/2018/export-hml-005015.hwpx	교육부	2018	hwpx	16	16	1	
u_export_hml-005016	export-hml	round	FORMAT_NA	samples/보건복지부/2018/export-hml-005016.hwp	보건복지부	2018	hwp	17	17	0	
u_export_hml-005017	export-hml	round	ROUND_DRIFT	samples/국토교통부/2018/export-hml-005017.hwpx	국토교통부	2018	hwpx	18	19	1	
u_export_hml-005018	export-hml	round	ROUND_DRIFT	samples/고용노동부/2018/export-hml-005018.hwp	고용노동부	2018	hwp	19	18	1	
u_export_hml-005019	export-hml	round	ROUND_OK	samples/외교부/2018/export-hml-005019.hwpx	외교부	2018	hwpx	20	20	1	
u_export_hml-005020	export-hml	round	ROUND_OK	samples/기획재정부/2018/export-hml-005020.hwp	기획재정부	2018	hwp	21	21	1	
u_export_hml-005021	export-hml	round	ROUND_OK	samples/공정거래위원회/2018/export-hml-005021.hwpx	공정거래위원회	2018	hwpx	22	22	1	
u_export_hml-005022	export-hml	round	ROUND_OK	samples/금융위원회/2018/export-hml-005022.hwp	금융위원회	2018	hwp	23	23	1	
u_export_hml-005023	export-hml	round	FORMAT_NA	samples/통계청/2018/export-hml-005023.hwpx	통계청	2018	hwpx	24	24	0	
u_export_hml-005024	export-hml	round	ROUND_DRIFT	samples/기상청/2018/export-hml-005024.hwp	기상청	2018	hwp	25	26	1	
u_export_hml-005025	export-hml	round	ROUND_DRIFT	samples/관세청/2018/export-hml-005025.hwpx	관세청	2018	hwpx	26	25	1	
u_export_hml-005026	export-hml	round	ROUND_OK	samples/검찰청/2018/export-hml-005026.hwp	검찰청	2018	hwp	27	27	1	
u_export_hml-005027	export-hml	round	ROUND_OK	samples/경찰청/2018/export-hml-005027.hwpx	경찰청	2018	hwpx	28	28	1	
u_export_hml-005028	export-hml	round	ROUND_OK	samples/소방청/2018/export-hml-005028.hwp	소방청	2018	hwp	29	29	1	
u_export_hml-005029	export-hml	round	ROUND_OK	samples/병무청/2018/export-hml-005029.hwpx	병무청	2018	hwpx	30	30	1	
u_export_hml-005030	export-hml	round	FORMAT_NA	samples/산림청/2018/export-hml-005030.hwp	산림청	2018	hwp	31	31	0	
u_export_hml-005031	export-hml	round	ROUND_DRIFT	samples/중소벤처기업부/2018/export-hml-005031.hwpx	중소벤처기업부	2018	hwpx	32	33	1	
u_export_hml-005032	export-hml	round	ROUND_DRIFT	samples/과학기술정보통신부/2018/export-hml-005032.hwp	과학기술정보통신부	2018	hwp	33	32	1	
u_export_hml-005033	export-hml	round	ROUND_OK	samples/문화체육관광부/2018/export-hml-005033.hwpx	문화체육관광부	2018	hwpx	34	34	1	
u_export_hml-005034	export-hml	round	ROUND_OK	samples/환경부/2018/export-hml-005034.hwp	환경부	2018	hwp	35	35	1	
u_export_hml-005035	export-hml	round	ROUND_OK	samples/해양수산부/2018/export-hml-005035.hwpx	해양수산부	2018	hwpx	36	36	1	
u_export_hml-005036	export-hml	round	ROUND_OK	samples/서울특별시/2018/export-hml-005036.hwp	서울특별시	2018	hwp	37	37	1	
u_export_hml-005037	export-hml	round	FORMAT_NA	samples/경기도/2018/export-hml-005037.hwpx	경기도	2018	hwpx	38	38	0	
u_export_hml-005038	export-hml	round	ROUND_DRIFT	samples/부산광역시/2018/export-hml-005038.hwp	부산광역시	2018	hwp	39	40	1	
u_export_hml-005039	export-hml	round	ROUND_DRIFT	samples/제주특별자치도/2018/export-hml-005039.hwpx	제주특별자치도	2018	hwpx	40	39	1	
u_export_hml-005040	export-hml	round	ROUND_OK	samples/법제처/2019/export-hml-005040.hwp	법제처	2019	hwp	1	1	1	
u_export_hml-005041	export-hml	round	ROUND_OK	samples/행정안전부/2019/export-hml-005041.hwpx	행정안전부	2019	hwpx	2	2	1	
u_export_hml-005042	export-hml	round	ROUND_OK	samples/국세청/2019/export-hml-005042.hwp	국세청	2019	hwp	3	3	1	
u_export_hml-005043	export-hml	round	ROUND_OK	samples/대법원/2019/export-hml-005043.hwpx	대법원	2019	hwpx	4	4	1	
u_export_hml-005044	export-hml	round	FORMAT_NA	samples/특허청/2019/export-hml-005044.hwp	특허청	2019	hwp	5	5	0	
u_export_hml-005045	export-hml	round	ROUND_DRIFT	samples/교육부/2019/export-hml-005045.hwpx	교육부	2019	hwpx	6	7	1	
