case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_hwpx-005000	export-hwpx	round	ROUND_OK	samples/산림청/2017/export-hwpx-005000.hwp	산림청	2017	hwp	1	1	1	
u_export_hwpx-005001	export-hwpx	round	ROUND_OK	samples/중소벤처기업부/2017/export-hwpx-005001.hwpx	중소벤처기업부	2017	hwpx	2	2	1	
u_export_hwpx-005002	export-hwpx	round	FORMAT_NA	samples/과학기술정보통신부/2017/export-hwpx-005002.hwp	과학기술정보통신부	2017	hwp	3	3	0	
u_export_hwpx-005003	export-hwpx	round	ROUND_DRIFT	samples/문화체육관광부/2017/export-hwpx-005003.hwpx	문화체육관광부	2017	hwpx	4	5	1	
u_export_hwpx-005004	export-hwpx	round	ROUND_DRIFT	samples/환경부/2017/export-hwpx-005004.hwp	환경부	2017	hwp	5	4	1	
u_export_hwpx-005005	export-hwpx	round	ROUND_OK	samples/해양수산부/2017/export-hwpx-005005.hwpx	해양수산부	2017	hwpx	6	6	1	
u_export_hwpx-005006	export-hwpx	round	ROUND_OK	samples/서울특별시/2017/export-hwpx-005006.hwp	서울특별시	2017	hwp	7	7	1	
u_export_hwpx-005007	export-hwpx	round	ROUND_OK	samples/경기도/2017/export-hwpx-005007.hwpx	경기도	2017	hwpx	8	8	1	
u_export_hwpx-005008	export-hwpx	round	ROUND_OK	samples/부산광역시/2017/export-hwpx-005008.hwp	부산광역시	2017	hwp	9	9	1	
u_export_hwpx-005009	export-hwpx	round	FORMAT_NA	samples/제주특별자치도/2017/export-hwpx-005009.hwpx	제주특별자치도	2017	hwpx	10	10	0	
u_export_hwpx-005010	export-hwpx	round	ROUND_DRIFT	samples/법제처/2018/export-hwpx-005010.hwp	법제처	2018	hwp	11	12	1	
u_export_hwpx-005011	export-hwpx	round	ROUND_DRIFT	samples/행정안전부/2018/export-hwpx-005011.hwpx	행정안전부	2018	hwpx	12	11	1	
u_export_hwpx-005012	export-hwpx	round	ROUND_OK	samples/국세청/2018/export-hwpx-005012.hwp	국세청	2018	hwp	13	13	1	
u_export_hwpx-005013	export-hwpx	round	ROUND_OK	samples/대법원/2018/export-hwpx-005013.hwpx	대법원	2018	hwpx	14	14	1	
u_export_hwpx-005014	export-hwpx	round	ROUND_OK	samples/특허청/2018/export-hwpx-005014.hwp	특허청	2018	hwp	15	15	1	
u_export_hwpx-005015	export-hwpx	round	ROUND_OK	samples/교육부/2018/export-hwpx-005015.hwpx	교육부	2018	hwpx	16	16	1	
u_export_hwpx-005016	export-hwpx	round	FORMAT_NA	samples/보건복지부/2018/export-hwpx-005016.hwp	보건복지부	2018	hwp	17	17	0	
u_export_hwpx-005017	export-hwpx	round	ROUND_DRIFT	samples/국토교통부/2018/export-hwpx-005017.hwpx	국토교통부	2018	hwpx	18	19	1	
u_export_hwpx-005018	export-hwpx	round	ROUND_DRIFT	samples/고용노동부/2018/export-hwpx-005018.hwp	고용노동부	2018	hwp	19	18	1	
u_export_hwpx-005019	export-hwpx	round	ROUND_OK	samples/외교부/2018/export-hwpx-005019.hwpx	외교부	2018	hwpx	20	20	1	
u_export_hwpx-005020	export-hwpx	round	ROUND_OK	samples/기획재정부/2018/export-hwpx-005020.hwp	기획재정부	2018	hwp	21	21	1	
u_export_hwpx-005021	export-hwpx	round	ROUND_OK	samples/공정거래위원회/2018/export-hwpx-005021.hwpx	공정거래위원회	2018	hwpx	22	22	1	
u_export_hwpx-005022	export-hwpx	round	ROUND_OK	samples/금융위원회/2018/export-hwpx-005022.hwp	금융위원회	2018	hwp	23	23	1	
u_export_hwpx-005023	export-hwpx	round	FORMAT_NA	samples/통계청/2018/export-hwpx-005023.hwpx	통계청	2018	hwpx	24	24	0	
u_export_hwpx-005024	export-hwpx	round	ROUND_DRIFT	samples/기상청/2018/export-hwpx-005024.hwp	기상청	2018	hwp	25	26	1	
u_export_hwpx-005025	export-hwpx	round	ROUND_DRIFT	samples/관세청/2018/export-hwpx-005025.hwpx	관세청	2018	hwpx	26	25	1	
u_export_hwpx-005026	export-hwpx	round	ROUND_OK	samples/검찰청/2018/export-hwpx-005026.hwp	검찰청	2018	hwp	27	27	1	
u_export_hwpx-005027	export-hwpx	round	ROUND_OK	samples/경찰청/2018/export-hwpx-005027.hwpx	경찰청	2018	hwpx	28	28	1	
u_export_hwpx-005028	export-hwpx	round	ROUND_OK	samples/소방청/2018/export-hwpx-005028.hwp	소방청	2018	hwp	29	29	1	
u_export_hwpx-005029	export-hwpx	round	ROUND_OK	samples/병무청/2018/export-hwpx-005029.hwpx	병무청	2018	hwpx	30	30	1	
