case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_llm-015000	export-llm	bound	BOUND_OK	samples/법제처/2021/export-llm-015000.hwp	법제처	2021	hwp	60	60	0	
u_export_llm-015001	export-llm	bound	BOUND_OK	samples/행정안전부/2021/export-llm-015001.hwpx	행정안전부	2021	hwpx	61	53	0	
u_export_llm-015002	export-llm	bound	BOUND_OK	samples/국세청/2021/export-llm-015002.hwp	국세청	2021	hwp	62	53	0	
u_export_llm-015003	export-llm	bound	BOUND_FALSE_POS	samples/대법원/2021/export-llm-015003.hwpx	대법원	2021	hwpx	63	62	1	
u_export_llm-015004	export-llm	bound	BOUND_FALSE_POS	samples/특허청/2021/export-llm-015004.hwp	특허청	2021	hwp	64	62	1	
u_export_llm-015005	export-llm	bound	BOUND_LIE	samples/교육부/2021/export-llm-015005.hwpx	교육부	2021	hwpx	65	68	0	
u_export_llm-015006	export-llm	bound	BOUND_OK	samples/보건복지부/2021/export-llm-015006.hwp	보건복지부	2021	hwp	66	70	1	
u_export_llm-015007	export-llm	bound	BOUND_OK	samples/국토교통부/2021/export-llm-015007.hwpx	국토교통부	2021	hwpx	67	67	0	
u_export_llm-015008	export-llm	bound	BOUND_OK	samples/고용노동부/2021/export-llm-015008.hwp	고용노동부	2021	hwp	68	62	0	
u_export_llm-015009	export-llm	bound	BOUND_OK	samples/외교부/2021/export-llm-015009.hwpx	외교부	2021	hwpx	69	62	0	
u_export_llm-015010	export-llm	bound	BOUND_FALSE_POS	samples/기획재정부/2021/export-llm-015010.hwp	기획재정부	2021	hwp	70	62	1	
u_export_llm-015011	export-llm	bound	BOUND_FALSE_POS	samples/공정거래위원회/2021/export-llm-015011.hwpx	공정거래위원회	2021	hwpx	71	62	1	
u_export_llm-015012	export-llm	bound	BOUND_LIE	samples/금융위원회/2021/export-llm-015012.hwp	금융위원회	2021	hwp	72	73	0	
u_export_llm-015013	export-llm	bound	BOUND_OK	samples/통계청/2021/export-llm-015013.hwpx	통계청	2021	hwpx	73	75	1	
u_export_llm-015014	export-llm	bound	BOUND_OK	samples/기상청/2021/export-llm-015014.hwp	기상청	2021	hwp	74	74	0	
u_export_llm-015015	export-llm	bound	BOUND_OK	samples/관세청/2021/export-llm-015015.hwpx	관세청	2021	hwpx	75	71	0	
u_export_llm-015016	export-llm	bound	BOUND_OK	samples/검찰청/2021/export-llm-015016.hwp	검찰청	2021	hwp	76	71	0	
u_export_llm-015017	export-llm	bound	BOUND_FALSE_POS	samples/경찰청/2021/export-llm-015017.hwpx	경찰청	2021	hwpx	77	71	1	
u_export_llm-015018	export-llm	bound	BOUND_FALSE_POS	samples/소방청/2021/export-llm-015018.hwp	소방청	2021	hwp	78	71	1	
u_export_llm-015019	export-llm	bound	BOUND_LIE	samples/병무청/2021/export-llm-015019.hwpx	병무청	2021	hwpx	79	87	0	
u_export_llm-015020	export-llm	bound	BOUND_OK	samples/산림청/2021/export-llm-015020.hwp	산림청	2021	hwp	80	89	1	
u_export_llm-015021	export-llm	bound	BOUND_OK	samples/중소벤처기업부/2021/export-llm-015021.hwpx	중소벤처기업부	2021	hwpx	81	81	0	
u_export_llm-015022	export-llm	bound	BOUND_OK	samples/과학기술정보통신부/2021/export-llm-015022.hwp	과학기술정보통신부	2021	hwp	82	80	0	
u_export_llm-015023	export-llm	bound	BOUND_OK	samples/문화체육관광부/2021/export-llm-015023.hwpx	문화체육관광부	2021	hwpx	83	80	0	
u_export_llm-015024	export-llm	bound	BOUND_FALSE_POS	samples/환경부/2021/export-llm-015024.hwp	환경부	2021	hwp	84	80	1	
u_export_llm-015025	export-llm	bound	BOUND_FALSE_POS	samples/해양수산부/2021/export-llm-015025.hwpx	해양수산부	2021	hwpx	85	80	1	
u_export_llm-015026	export-llm	bound	BOUND_LIE	samples/서울특별시/2021/export-llm-015026.hwp	서울특별시	2021	hwp	86	92	0	
u_export_llm-015027	export-llm	bound	BOUND_OK	samples/경기도/2021/export-llm-015027.hwpx	경기도	2021	hwpx	87	94	1	
u_export_llm-015028	export-llm	bound	BOUND_OK	samples/부산광역시/2021/export-llm-015028.hwp	부산광역시	2021	hwp	88	88	0	
u_export_llm-015029	export-llm	bound	BOUND_OK	samples/제주특별자치도/2021/export-llm-015029.hwpx	제주특별자치도	2021	hwpx	89	80	0	
u_export_llm-015030	export-llm	bound	BOUND_OK	samples/법제처/2022/export-llm-015030.hwp	법제처	2022	hwp	90	89	0	
u_export_llm-015031	export-llm	bound	BOUND_FALSE_POS	samples/행정안전부/2022/export-llm-015031.hwpx	행정안전부	2022	hwpx	91	89	1	
u_export_llm-015032	export-llm	bound	BOUND_FALSE_POS	samples/국세청/2022/export-llm-015032.hwp	국세청	2022	hwp	92	89	1	
u_export_llm-015033	export-llm	bound	BOUND_LIE	samples/대법원/2022/export-llm-015033.hwpx	대법원	2022	hwpx	93	97	0	
u_export_llm-015034	export-llm	bound	BOUND_OK	samples/특허청/2022/export-llm-015034.hwp	특허청	2022	hwp	94	99	1	
u_export_llm-015035	export-llm	bound	BOUND_OK	samples/교육부/2022/export-llm-015035.hwpx	교육부	2022	hwpx	95	95	0	
u_export_llm-015036	export-llm	bound	BOUND_OK	samples/보건복지부/2022/export-llm-015036.hwp	보건복지부	2022	hwp	96	89	0	
u_export_llm-015037	export-llm	bound	BOUND_OK	samples/국토교통부/2022/export-llm-015037.hwpx	국토교통부	2022	hwpx	97	89	0	
u_export_llm-015038	export-llm	bound	BOUND_FALSE_POS	samples/고용노동부/2022/export-llm-015038.hwp	고용노동부	2022	hwp	98	89	1	
u_export_llm-015039	export-llm	bound	BOUND_FALSE_POS	samples/외교부/2022/export-llm-015039.hwpx	외교부	2022	hwpx	99	98	1	
u_export_llm-015040	export-llm	bound	BOUND_LIE	samples/기획재정부/2022/export-llm-015040.hwp	기획재정부	2022	hwp	20	22	0	
u_export_llm-015041	export-llm	bound	BOUND_OK	samples/공정거래위원회/2022/export-llm-015041.hwpx	공정거래위원회	2022	hwpx	21	24	1	
u_export_llm-015042	export-llm	bound	BOUND_OK	samples/금융위원회/2022/export-llm-015042.hwp	금융위원회	2022	hwp	22	22	0	
u_export_llm-015043	export-llm	bound	BOUND_OK	samples/통계청/2022/export-llm-015043.hwpx	통계청	2022	hwpx	23	18	0	
u_export_llm-015044	export-llm	bound	BOUND_OK	samples/기상청/2022/export-llm-015044.hwp	기상청	2022	hwp	24	18	0	
u_export_llm-015045	export-llm	bound	BOUND_FALSE_POS	samples/관세청/2022/export-llm-015045.hwpx	관세청	2022	hwpx	25	18	1	
u_export_llm-015046	export-llm	bound	BOUND_FALSE_POS	samples/검찰청/2022/export-llm-015046.hwp	검찰청	2022	hwp	26	18	1	
u_export_llm-015047	export-llm	bound	BOUND_LIE	samples/경찰청/2022/export-llm-015047.hwpx	경찰청	2022	hwpx	27	36	0	
u_export_llm-015048	export-llm	bound	BOUND_OK	samples/소방청/2022/export-llm-015048.hwp	소방청	2022	hwp	28	29	1	
u_export_llm-015049	export-llm	bound	BOUND_OK	samples/병무청/2022/export-llm-015049.hwpx	병무청	2022	hwpx	29	29	0	
u_export_llm-015050	export-llm	bound	BOUND_OK	samples/산림청/2022/export-llm-015050.hwp	산림청	2022	hwp	30	27	0	
u_export_llm-015051	export-llm	bound	BOUND_OK	samples/중소벤처기업부/2022/export-llm-015051.hwpx	중소벤처기업부	2022	hwpx	31	27	0	
u_export_llm-015052	export-llm	bound	BOUND_FALSE_POS	samples/과학기술정보통신부/2022/export-llm-015052.hwp	과학기술정보통신부	2022	hwp	32	27	1	
u_export_llm-015053	export-llm	bound	BOUND_FALSE_POS	samples/문화체육관광부/2022/export-llm-015053.hwpx	문화체육관광부	2022	hwpx	33	27	1	
u_export_llm-015054	export-llm	bound	BOUND_LIE	samples/환경부/2022/export-llm-015054.hwp	환경부	2022	hwp	34	41	0	
u_export_llm-015055	export-llm	bound	BOUND_OK	samples/해양수산부/2022/export-llm-015055.hwpx	해양수산부	2022	hwpx	35	43	1	
u_export_llm-015056	export-llm	bound	BOUND_OK	samples/서울특별시/2022/export-llm-015056.hwp	서울특별시	2022	hwp	36	36	0	
u_export_llm-015057	export-llm	bound	BOUND_OK	samples/경기도/2022/export-llm-015057.hwpx	경기도	2022	hwpx	37	36	0	
