case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_ontology-000000	export-ontology	count_eq	COUNT_OK	samples/법제처/2016/export-ontology-000000.hwp	법제처	2016	hwp	0	0		
u_export_ontology-000001	export-ontology	count_eq	COUNT_OK	samples/행정안전부/2016/export-ontology-000001.hwpx	행정안전부	2016	hwpx	1	1		
u_export_ontology-000002	export-ontology	count_eq	COUNT_OK	samples/국세청/2016/export-ontology-000002.hwp	국세청	2016	hwp	2	2		
u_export_ontology-000003	export-ontology	count_eq	COUNT_OK	samples/대법원/2016/export-ontology-000003.hwpx	대법원	2016	hwpx	3	3		
u_export_ontology-000004	export-ontology	count_eq	COUNT_OK	samples/특허청/2016/export-ontology-000004.hwp	특허청	2016	hwp	4	4		
u_export_ontology-000005	export-ontology	count_eq	COUNT_DRIFT	samples/교육부/2016/export-ontology-000005.hwpx	교육부	2016	hwpx	5	6		
u_export_ontology-000006	export-ontology	count_eq	COUNT_DRIFT	samples/보건복지부/2016/export-ontology-000006.hwp	보건복지부	2016	hwp	6	5		
u_export_ontology-000007	export-ontology	count_eq	COUNT_OK	samples/국토교통부/2016/export-ontology-000007.hwpx	국토교통부	2016	hwpx	7	7		
u_export_ontology-000008	export-ontology	count_eq	COUNT_OK	samples/고용노동부/2016/export-ontology-000008.hwp	고용노동부	2016	hwp	8	8		
u_export_ontology-000009	export-ontology	count_eq	COUNT_OK	samples/외교부/2016/export-ontology-000009.hwpx	외교부	2016	hwpx	9	9		
u_export_ontology-000010	export-ontology	count_eq	COUNT_OK	samples/기획재정부/2016/export-ontology-000010.hwp	기획재정부	2016	hwp	10	10		
u_export_ontology-000011	export-ontology	count_eq	COUNT_OK	samples/공정거래위원회/2016/export-ontology-000011.hwpx	공정거래위원회	2016	hwpx	11	11		
u_export_ontology-000012	export-ontology	count_eq	COUNT_DRIFT	samples/금융위원회/2016/export-ontology-000012.hwp	금융위원회	2016	hwp	12	13		
u_export_ontology-000013	export-ontology	count_eq	COUNT_DRIFT	samples/통계청/2016/export-ontology-000013.hwpx	통계청	2016	hwpx	13	12		
u_export_ontology-000014	export-ontology	count_eq	COUNT_OK	samples/기상청/2016/export-ontology-000014.hwp	기상청	2016	hwp	14	14		
u_export_ontology-000015	export-ontology	count_eq	COUNT_OK	samples/관세청/2016/export-ontology-000015.hwpx	관세청	2016	hwpx	15	15		
u_export_ontology-000016	export-ontology	count_eq	COUNT_OK	samples/검찰청/2016/export-ontology-000016.hwp	검찰청	2016	hwp	16	16		
u_export_ontology-000017	export-ontology	count_eq	COUNT_OK	samples/경찰청/2016/export-ontology-000017.hwpx	경찰청	2016	hwpx	17	17		
u_export_ontology-000018	export-ontology	count_eq	COUNT_OK	samples/소방청/2016/export-ontology-000018.hwp	소방청	2016	hwp	18	18		
u_export_ontology-000019	export-ontology	count_eq	COUNT_DRIFT	samples/병무청/2016/export-ontology-000019.hwpx	병무청	2016	hwpx	19	20		
u_export_ontology-000020	export-ontology	count_eq	COUNT_DRIFT	samples/산림청/2016/export-ontology-000020.hwp	산림청	2016	hwp	20	19		
u_export_ontology-000021	export-ontology	count_eq	COUNT_OK	samples/중소벤처기업부/2016/export-ontology-000021.hwpx	중소벤처기업부	2016	hwpx	21	21		
u_export_ontology-000022	export-ontology	count_eq	COUNT_OK	samples/과학기술정보통신부/2016/export-ontology-000022.hwp	과학기술정보통신부	2016	hwp	22	22		
u_export_ontology-000023	export-ontology	count_eq	COUNT_OK	samples/문화체육관광부/2016/export-ontology-000023.hwpx	문화체육관광부	2016	hwpx	23	23		
u_export_ontology-000024	export-ontology	count_eq	COUNT_OK	samples/환경부/2016/export-ontology-000024.hwp	환경부	2016	hwp	0	0		
u_export_ontology-000025	export-ontology	count_eq	COUNT_OK	samples/해양수산부/2016/export-ontology-000025.hwpx	해양수산부	2016	hwpx	1	1		
u_export_ontology-000026	export-ontology	count_eq	COUNT_DRIFT	samples/서울특별시/2016/export-ontology-000026.hwp	서울특별시	2016	hwp	2	3		
u_export_ontology-000027	export-ontology	count_eq	COUNT_DRIFT	samples/경기도/2016/export-ontology-000027.hwpx	경기도	2016	hwpx	3	2		
u_export_ontology-000028	export-ontology	count_eq	COUNT_OK	samples/부산광역시/2016/export-ontology-000028.hwp	부산광역시	2016	hwp	4	4		
u_export_ontology-000029	export-ontology	count_eq	COUNT_OK	samples/제주특별자치도/2016/export-ontology-000029.hwpx	제주특별자치도	2016	hwpx	5	5		
u_export_ontology-000030	export-ontology	count_eq	COUNT_OK	samples/법제처/2017/export-ontology-000030.hwp	법제처	2017	hwp	6	6		
u_export_ontology-000031	export-ontology	count_eq	COUNT_OK	samples/행정안전부/2017/export-ontology-000031.hwpx	행정안전부	2017	hwpx	7	7		
u_export_ontology-000032	export-ontology	count_eq	COUNT_OK	samples/국세청/2017/export-ontology-000032.hwp	국세청	2017	hwp	8	8		
u_export_ontology-000033	export-ontology	count_eq	COUNT_DRIFT	samples/대법원/2017/export-ontology-000033.hwpx	대법원	2017	hwpx	9	10		
