case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_pdf-005000	export-pdf	bytes	BYTES_OK	samples/산림청/2017/export-pdf-005000.hwp	산림청	2017	hwp	12	0		
u_export_pdf-005001	export-pdf	bytes	BYTES_OK	samples/중소벤처기업부/2017/export-pdf-005001.hwpx	중소벤처기업부	2017	hwpx	13	0		
u_export_pdf-005002	export-pdf	bytes	BYTES_OK	samples/과학기술정보통신부/2017/export-pdf-005002.hwp	과학기술정보통신부	2017	hwp	14	0		
u_export_pdf-005003	export-pdf	bytes	ZERO_BYTES	samples/문화체육관광부/2017/export-pdf-005003.hwpx	문화체육관광부	2017	hwpx	0	0		
u_export_pdf-005004	export-pdf	bytes	EMPTY_OUTPUT	samples/환경부/2017/export-pdf-005004.hwp	환경부	2017	hwp	0	1		
u_export_pdf-005005	export-pdf	bytes	BYTES_OK	samples/해양수산부/2017/export-pdf-005005.hwpx	해양수산부	2017	hwpx	17	0		
u_export_pdf-005006	export-pdf	bytes	BYTES_OK	samples/서울특별시/2017/export-pdf-005006.hwp	서울특별시	2017	hwp	18	0		
u_export_pdf-005007	export-pdf	bytes	BYTES_OK	samples/경기도/2017/export-pdf-005007.hwpx	경기도	2017	hwpx	19	0		
u_export_pdf-005008	export-pdf	bytes	BYTES_OK	samples/부산광역시/2017/export-pdf-005008.hwp	부산광역시	2017	hwp	20	0		
u_export_pdf-005009	export-pdf	bytes	BYTES_OK	samples/제주특별자치도/2017/export-pdf-005009.hwpx	제주특별자치도	2017	hwpx	21	0		
u_export_pdf-005010	export-pdf	bytes	ZERO_BYTES	samples/법제처/2018/export-pdf-005010.hwp	법제처	2018	hwp	0	0		
u_export_pdf-005011	export-pdf	bytes	EMPTY_OUTPUT	samples/행정안전부/2018/export-pdf-005011.hwpx	행정안전부	2018	hwpx	0	1		
u_export_pdf-005012	export-pdf	bytes	BYTES_OK	samples/국세청/2018/export-pdf-005012.hwp	국세청	2018	hwp	24	0		
u_export_pdf-005013	export-pdf	bytes	BYTES_OK	samples/대법원/2018/export-pdf-005013.hwpx	대법원	2018	hwpx	25	0		
u_export_pdf-005014	export-pdf	bytes	BYTES_OK	samples/특허청/2018/export-pdf-005014.hwp	특허청	2018	hwp	26	0		
u_export_pdf-005015	export-pdf	bytes	BYTES_OK	samples/교육부/2018/export-pdf-005015.hwpx	교육부	2018	hwpx	27	0		
u_export_pdf-005016	export-pdf	bytes	BYTES_OK	samples/보건복지부/2018/export-pdf-005016.hwp	보건복지부	2018	hwp	28	0		
u_export_pdf-005017	export-pdf	bytes	ZERO_BYTES	samples/국토교통부/2018/export-pdf-005017.hwpx	국토교통부	2018	hwpx	0	0		
u_export_pdf-005018	export-pdf	bytes	EMPTY_OUTPUT	samples/고용노동부/2018/export-pdf-005018.hwp	고용노동부	2018	hwp	0	1		
u_export_pdf-005019	export-pdf	bytes	BYTES_OK	samples/외교부/2018/export-pdf-005019.hwpx	외교부	2018	hwpx	31	0		
u_export_pdf-005020	export-pdf	bytes	BYTES_OK	samples/기획재정부/2018/export-pdf-005020.hwp	기획재정부	2018	hwp	32	0		
u_export_pdf-005021	export-pdf	bytes	BYTES_OK	samples/공정거래위원회/2018/export-pdf-005021.hwpx	공정거래위원회	2018	hwpx	33	0		
u_export_pdf-005022	export-pdf	bytes	BYTES_OK	samples/금융위원회/2018/export-pdf-005022.hwp	금융위원회	2018	hwp	34	0		
u_export_pdf-005023	export-pdf	bytes	BYTES_OK	samples/통계청/2018/export-pdf-005023.hwpx	통계청	2018	hwpx	35	0		
u_export_pdf-005024	export-pdf	bytes	ZERO_BYTES	samples/기상청/2018/export-pdf-005024.hwp	기상청	2018	hwp	0	0		
u_export_pdf-005025	export-pdf	bytes	EMPTY_OUTPUT	samples/관세청/2018/export-pdf-005025.hwpx	관세청	2018	hwpx	0	1		
u_export_pdf-005026	export-pdf	bytes	BYTES_OK	samples/검찰청/2018/export-pdf-005026.hwp	검찰청	2018	hwp	38	0		
u_export_pdf-005027	export-pdf	bytes	BYTES_OK	samples/경찰청/2018/export-pdf-005027.hwpx	경찰청	2018	hwpx	39	0		
u_export_pdf-005028	export-pdf	bytes	BYTES_OK	samples/소방청/2018/export-pdf-005028.hwp	소방청	2018	hwp	40	0		
u_export_pdf-005029	export-pdf	bytes	BYTES_OK	samples/병무청/2018/export-pdf-005029.hwpx	병무청	2018	hwpx	41	0		
u_export_pdf-005030	export-pdf	bytes	BYTES_OK	samples/산림청/2018/export-pdf-005030.hwp	산림청	2018	hwp	42	0		
u_export_pdf-005031	export-pdf	bytes	ZERO_BYTES	samples/중소벤처기업부/2018/export-pdf-005031.hwpx	중소벤처기업부	2018	hwpx	0	0		
u_export_pdf-005032	export-pdf	bytes	EMPTY_OUTPUT	samples/과학기술정보통신부/2018/export-pdf-005032.hwp	과학기술정보통신부	2018	hwp	0	1		
u_export_pdf-005033	export-pdf	bytes	BYTES_OK	samples/문화체육관광부/2018/export-pdf-005033.hwpx	문화체육관광부	2018	hwpx	45	0		
u_export_pdf-005034	export-pdf	bytes	BYTES_OK	samples/환경부/2018/export-pdf-005034.hwp	환경부	2018	hwp	46	0		
u_export_pdf-005035	export-pdf	bytes	BYTES_OK	samples/해양수산부/2018/export-pdf-005035.hwpx	해양수산부	2018	hwpx	47	0		
u_export_pdf-005036	export-pdf	bytes	BYTES_OK	samples/서울특별시/2018/export-pdf-005036.hwp	서울특별시	2018	hwp	48	0		
u_export_pdf-005037	export-pdf	bytes	BYTES_OK	samples/경기도/2018/export-pdf-005037.hwpx	경기도	2018	hwpx	49	0		
u_export_pdf-005038	export-pdf	bytes	ZERO_BYTES	samples/부산광역시/2018/export-pdf-005038.hwp	부산광역시	2018	hwp	0	0		
u_export_pdf-005039	export-pdf	bytes	EMPTY_OUTPUT	samples/제주특별자치도/2018/export-pdf-005039.hwpx	제주특별자치도	2018	hwpx	0	1		
u_export_pdf-005040	export-pdf	bytes	BYTES_OK	samples/법제처/2019/export-pdf-005040.hwp	법제처	2019	hwp	52	0		
u_export_pdf-005041	export-pdf	bytes	BYTES_OK	samples/행정안전부/2019/export-pdf-005041.hwpx	행정안전부	2019	hwpx	53	0		
u_export_pdf-005042	export-pdf	bytes	BYTES_OK	samples/국세청/2019/export-pdf-005042.hwp	국세청	2019	hwp	54	0		
u_export_pdf-005043	export-pdf	bytes	BYTES_OK	samples/대법원/2019/export-pdf-005043.hwpx	대법원	2019	hwpx	55	0		
u_export_pdf-005044	export-pdf	bytes	BYTES_OK	samples/특허청/2019/export-pdf-005044.hwp	특허청	2019	hwp	56	0		
u_export_pdf-005045	export-pdf	bytes	ZERO_BYTES	samples/교육부/2019/export-pdf-005045.hwpx	교육부	2019	hwpx	0	0		
u_export_pdf-005046	export-pdf	bytes	EMPTY_OUTPUT	samples/보건복지부/2019/export-pdf-005046.hwp	보건복지부	2019	hwp	0	1		
u_export_pdf-005047	export-pdf	bytes	BYTES_OK	samples/국토교통부/2019/export-pdf-005047.hwpx	국토교통부	2019	hwpx	59	0		
u_export_pdf-005048	export-pdf	bytes	BYTES_OK	samples/고용노동부/2019/export-pdf-005048.hwp	고용노동부	2019	hwp	60	0		
u_export_pdf-005049	export-pdf	bytes	BYTES_OK	samples/외교부/2019/export-pdf-005049.hwpx	외교부	2019	hwpx	61	0		
u_export_pdf-005050	export-pdf	bytes	BYTES_OK	samples/기획재정부/2019/export-pdf-005050.hwp	기획재정부	2019	hwp	62	0		
u_export_pdf-005051	export-pdf	bytes	BYTES_OK	samples/공정거래위원회/2019/export-pdf-005051.hwpx	공정거래위원회	2019	hwpx	63	0		
u_export_pdf-005052	export-pdf	bytes	ZERO_BYTES	samples/금융위원회/2019/export-pdf-005052.hwp	금융위원회	2019	hwp	0	0		
u_export_pdf-005053	export-pdf	bytes	EMPTY_OUTPUT	samples/통계청/2019/export-pdf-005053.hwpx	통계청	2019	hwpx	0	1		
u_export_pdf-005054	export-pdf	bytes	BYTES_OK	samples/기상청/2019/export-pdf-005054.hwp	기상청	2019	hwp	66	0		
u_export_pdf-005055	export-pdf	bytes	BYTES_OK	samples/관세청/2019/export-pdf-005055.hwpx	관세청	2019	hwpx	67	0		
u_export_pdf-005056	export-pdf	bytes	BYTES_OK	samples/검찰청/2019/export-pdf-005056.hwp	검찰청	2019	hwp	68	0		
u_export_pdf-005057	export-pdf	bytes	BYTES_OK	samples/경찰청/2019/export-pdf-005057.hwpx	경찰청	2019	hwpx	69	0		
u_export_pdf-005058	export-pdf	bytes	BYTES_OK	samples/소방청/2019/export-pdf-005058.hwp	소방청	2019	hwp	70	0		
u_export_pdf-005059	export-pdf	bytes	ZERO_BYTES	samples/병무청/2019/export-pdf-005059.hwpx	병무청	2019	hwpx	0	0		
u_export_pdf-005060	export-pdf	bytes	EMPTY_OUTPUT	samples/산림청/2019/export-pdf-005060.hwp	산림청	2019	hwp	0	1		
u_export_pdf-005061	export-pdf	bytes	BYTES_OK	samples/중소벤처기업부/2019/export-pdf-005061.hwpx	중소벤처기업부	2019	hwpx	73	0		
u_export_pdf-005062	export-pdf	bytes	BYTES_OK	samples/과학기술정보통신부/2019/export-pdf-005062.hwp	과학기술정보통신부	2019	hwp	74	0		
u_export_pdf-005063	export-pdf	bytes	BYTES_OK	samples/문화체육관광부/2019/export-pdf-005063.hwpx	문화체육관광부	2019	hwpx	75	0		
u_export_pdf-005064	export-pdf	bytes	BYTES_OK	samples/환경부/2019/export-pdf-005064.hwp	환경부	2019	hwp	76	0		
u_export_pdf-005065	export-pdf	bytes	BYTES_OK	samples/해양수산부/2019/export-pdf-005065.hwpx	해양수산부	2019	hwpx	77	0		
u_export_pdf-005066	export-pdf	bytes	ZERO_BYTES	samples/서울특별시/2019/export-pdf-005066.hwp	서울특별시	2019	hwp	0	0		
u_export_pdf-005067	export-pdf	bytes	EMPTY_OUTPUT	samples/경기도/2019/export-pdf-005067.hwpx	경기도	2019	hwpx	0	1		
u_export_pdf-005068	export-pdf	bytes	BYTES_OK	samples/부산광역시/2019/export-pdf-005068.hwp	부산광역시	2019	hwp	80	0		
u_export_pdf-005069	export-pdf	bytes	BYTES_OK	samples/제주특별자치도/2019/export-pdf-005069.hwpx	제주특별자치도	2019	hwpx	81	0		
u_export_pdf-005070	export-pdf	bytes	BYTES_OK	samples/법제처/2020/export-pdf-005070.hwp	법제처	2020	hwp	82	0		
u_export_pdf-005071	export-pdf	bytes	BYTES_OK	samples/행정안전부/2020/export-pdf-005071.hwpx	행정안전부	2020	hwpx	83	0		
u_export_pdf-005072	export-pdf	bytes	BYTES_OK	samples/국세청/2020/export-pdf-005072.hwp	국세청	2020	hwp	84	0		
u_export_pdf-005073	export-pdf	bytes	ZERO_BYTES	samples/대법원/2020/export-pdf-005073.hwpx	대법원	2020	hwpx	0	0		
u_export_pdf-005074	export-pdf	bytes	EMPTY_OUTPUT	samples/특허청/2020/export-pdf-005074.hwp	특허청	2020	hwp	0	1		
u_export_pdf-005075	export-pdf	bytes	BYTES_OK	samples/교육부/2020/export-pdf-005075.hwpx	교육부	2020	hwpx	87	0		
u_export_pdf-005076	export-pdf	bytes	BYTES_OK	samples/보건복지부/2020/export-pdf-005076.hwp	보건복지부	2020	hwp	88	0		
u_export_pdf-005077	export-pdf	bytes	BYTES_OK	samples/국토교통부/2020/export-pdf-005077.hwpx	국토교통부	2020	hwpx	89	0		
u_export_pdf-005078	export-pdf	bytes	BYTES_OK	samples/고용노동부/2020/export-pdf-005078.hwp	고용노동부	2020	hwp	90	0		
u_export_pdf-005079	export-pdf	bytes	BYTES_OK	samples/외교부/2020/export-pdf-005079.hwpx	외교부	2020	hwpx	91	0		
u_export_pdf-005080	export-pdf	bytes	ZERO_BYTES	samples/기획재정부/2020/export-pdf-005080.hwp	기획재정부	2020	hwp	0	0		
u_export_pdf-005081	export-pdf	bytes	EMPTY_OUTPUT	samples/공정거래위원회/2020/export-pdf-005081.hwpx	공정거래위원회	2020	hwpx	0	1		
u_export_pdf-005082	export-pdf	bytes	BYTES_OK	samples/금융위원회/2020/export-pdf-005082.hwp	금융위원회	2020	hwp	94	0		
u_export_pdf-005083	export-pdf	bytes	BYTES_OK	samples/통계청/2020/export-pdf-005083.hwpx	통계청	2020	hwpx	95	0		
u_export_pdf-005084	export-pdf	bytes	BYTES_OK	samples/기상청/2020/export-pdf-005084.hwp	기상청	2020	hwp	96	0		
u_export_pdf-005085	export-pdf	bytes	BYTES_OK	samples/관세청/2020/export-pdf-005085.hwpx	관세청	2020	hwpx	97	0		
u_export_pdf-005086	export-pdf	bytes	BYTES_OK	samples/검찰청/2020/export-pdf-005086.hwp	검찰청	2020	hwp	98	0		
u_export_pdf-005087	export-pdf	bytes	ZERO_BYTES	samples/경찰청/2020/export-pdf-005087.hwpx	경찰청	2020	hwpx	0	0		
u_export_pdf-005088	export-pdf	bytes	EMPTY_OUTPUT	samples/소방청/2020/export-pdf-005088.hwp	소방청	2020	hwp	0	1		
u_export_pdf-005089	export-pdf	bytes	BYTES_OK	samples/병무청/2020/export-pdf-005089.hwpx	병무청	2020	hwpx	101	0		
u_export_pdf-005090	export-pdf	bytes	BYTES_OK	samples/산림청/2020/export-pdf-005090.hwp	산림청	2020	hwp	102	0		
u_export_pdf-005091	export-pdf	bytes	BYTES_OK	samples/중소벤처기업부/2020/export-pdf-005091.hwpx	중소벤처기업부	2020	hwpx	103	0		
u_export_pdf-005092	export-pdf	bytes	BYTES_OK	samples/과학기술정보통신부/2020/export-pdf-005092.hwp	과학기술정보통신부	2020	hwp	104	0		
u_export_pdf-005093	export-pdf	bytes	BYTES_OK	samples/문화체육관광부/2020/export-pdf-005093.hwpx	문화체육관광부	2020	hwpx	105	0		
