case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_plan_schema-015000	export-plan-schema	count_eq	USAGE	samples/법제처/2021/export-plan-schema-015000.hwp	법제처	2021	hwp	0	-1		
u_export_plan_schema-015001	export-plan-schema	count_eq	COUNT_OK	samples/행정안전부/2021/export-plan-schema-015001.hwpx	행정안전부	2021	hwpx	1	1		
u_export_plan_schema-015002	export-plan-schema	count_eq	COUNT_OK	samples/국세청/2021/export-plan-schema-015002.hwp	국세청	2021	hwp	2	2		
u_export_plan_schema-015003	export-plan-schema	count_eq	COUNT_OK	samples/대법원/2021/export-plan-schema-015003.hwpx	대법원	2021	hwpx	3	3		
u_export_plan_schema-015004	export-plan-schema	count_eq	COUNT_OK	samples/특허청/2021/export-plan-schema-015004.hwp	특허청	2021	hwp	4	4		
u_export_plan_schema-015005	export-plan-schema	count_eq	COUNT_OK	samples/교육부/2021/export-plan-schema-015005.hwpx	교육부	2021	hwpx	5	5		
u_export_plan_schema-015006	export-plan-schema	count_eq	COUNT_DRIFT	samples/보건복지부/2021/export-plan-schema-015006.hwp	보건복지부	2021	hwp	6	7		
u_export_plan_schema-015007	export-plan-schema	count_eq	COUNT_DRIFT	samples/국토교통부/2021/export-plan-schema-015007.hwpx	국토교통부	2021	hwpx	7	6		
u_export_plan_schema-015008	export-plan-schema	count_eq	COUNT_OK	samples/고용노동부/2021/export-plan-schema-015008.hwp	고용노동부	2021	hwp	8	8		
u_export_plan_schema-015009	export-plan-schema	count_eq	COUNT_OK	samples/외교부/2021/export-plan-schema-015009.hwpx	외교부	2021	hwpx	9	9		
u_export_plan_schema-015010	export-plan-schema	count_eq	COUNT_OK	samples/기획재정부/2021/export-plan-schema-015010.hwp	기획재정부	2021	hwp	10	10		
u_export_plan_schema-015011	export-plan-schema	count_eq	COUNT_OK	samples/공정거래위원회/2021/export-plan-schema-015011.hwpx	공정거래위원회	2021	hwpx	11	11		
u_export_plan_schema-015012	export-plan-schema	count_eq	COUNT_OK	samples/금융위원회/2021/export-plan-schema-015012.hwp	금융위원회	2021	hwp	12	12		
u_export_plan_schema-015013	export-plan-schema	count_eq	COUNT_DRIFT	samples/통계청/2021/export-plan-schema-015013.hwpx	통계청	2021	hwpx	13	14		
u_export_plan_schema-015014	export-plan-schema	count_eq	COUNT_DRIFT	samples/기상청/2021/export-plan-schema-015014.hwp	기상청	2021	hwp	14	13		
u_export_plan_schema-015015	export-plan-schema	count_eq	COUNT_OK	samples/관세청/2021/export-plan-schema-015015.hwpx	관세청	2021	hwpx	15	15		
u_export_plan_schema-015016	export-plan-schema	count_eq	COUNT_OK	samples/검찰청/2021/export-plan-schema-015016.hwp	검찰청	2021	hwp	16	16		
u_export_plan_schema-015017	export-plan-schema	count_eq	COUNT_OK	samples/경찰청/2021/export-plan-schema-015017.hwpx	경찰청	2021	hwpx	17	17		
u_export_plan_schema-015018	export-plan-schema	count_eq	COUNT_OK	samples/소방청/2021/export-plan-schema-015018.hwp	소방청	2021	hwp	18	18		
u_export_plan_schema-015019	export-plan-schema	count_eq	COUNT_OK	samples/병무청/2021/export-plan-schema-015019.hwpx	병무청	2021	hwpx	19	19		
u_export_plan_schema-015020	export-plan-schema	count_eq	COUNT_DRIFT	samples/산림청/2021/export-plan-schema-015020.hwp	산림청	2021	hwp	20	21		
u_export_plan_schema-015021	export-plan-schema	count_eq	COUNT_DRIFT	samples/중소벤처기업부/2021/export-plan-schema-015021.hwpx	중소벤처기업부	2021	hwpx	21	20		
u_export_plan_schema-015022	export-plan-schema	count_eq	COUNT_OK	samples/과학기술정보통신부/2021/export-plan-schema-015022.hwp	과학기술정보통신부	2021	hwp	22	22		
u_export_plan_schema-015023	export-plan-schema	count_eq	COUNT_OK	samples/문화체육관광부/2021/export-plan-schema-015023.hwpx	문화체육관광부	2021	hwpx	23	23		
u_export_plan_schema-015024	export-plan-schema	count_eq	COUNT_OK	samples/환경부/2021/export-plan-schema-015024.hwp	환경부	2021	hwp	0	0		
u_export_plan_schema-015025	export-plan-schema	count_eq	COUNT_OK	samples/해양수산부/2021/export-plan-schema-015025.hwpx	해양수산부	2021	hwpx	1	1		
u_export_plan_schema-015026	export-plan-schema	count_eq	COUNT_OK	samples/서울특별시/2021/export-plan-schema-015026.hwp	서울특별시	2021	hwp	2	2		
u_export_plan_schema-015027	export-plan-schema	count_eq	COUNT_DRIFT	samples/경기도/2021/export-plan-schema-015027.hwpx	경기도	2021	hwpx	3	4		
u_export_plan_schema-015028	export-plan-schema	count_eq	COUNT_DRIFT	samples/부산광역시/2021/export-plan-schema-015028.hwp	부산광역시	2021	hwp	4	3		
u_export_plan_schema-015029	export-plan-schema	count_eq	COUNT_OK	samples/제주특별자치도/2021/export-plan-schema-015029.hwpx	제주특별자치도	2021	hwpx	5	5		
u_export_plan_schema-015030	export-plan-schema	count_eq	COUNT_OK	samples/법제처/2022/export-plan-schema-015030.hwp	법제처	2022	hwp	6	6		
u_export_plan_schema-015031	export-plan-schema	count_eq	COUNT_OK	samples/행정안전부/2022/export-plan-schema-015031.hwpx	행정안전부	2022	hwpx	7	7		
u_export_plan_schema-015032	export-plan-schema	count_eq	COUNT_OK	samples/국세청/2022/export-plan-schema-015032.hwp	국세청	2022	hwp	8	8		
u_export_plan_schema-015033	export-plan-schema	count_eq	COUNT_OK	samples/대법원/2022/export-plan-schema-015033.hwpx	대법원	2022	hwpx	9	9		
u_export_plan_schema-015034	export-plan-schema	count_eq	COUNT_DRIFT	samples/특허청/2022/export-plan-schema-015034.hwp	특허청	2022	hwp	10	11		
u_export_plan_schema-015035	export-plan-schema	count_eq	COUNT_DRIFT	samples/교육부/2022/export-plan-schema-015035.hwpx	교육부	2022	hwpx	11	10		
u_export_plan_schema-015036	export-plan-schema	count_eq	COUNT_OK	samples/보건복지부/2022/export-plan-schema-015036.hwp	보건복지부	2022	hwp	12	12		
u_export_plan_schema-015037	export-plan-schema	count_eq	COUNT_OK	samples/국토교통부/2022/export-plan-schema-015037.hwpx	국토교통부	2022	hwpx	13	13		
u_export_plan_schema-015038	export-plan-schema	count_eq	COUNT_OK	samples/고용노동부/2022/export-plan-schema-015038.hwp	고용노동부	2022	hwp	14	14		
u_export_plan_schema-015039	export-plan-schema	count_eq	COUNT_OK	samples/외교부/2022/export-plan-schema-015039.hwpx	외교부	2022	hwpx	15	15		
u_export_plan_schema-015040	export-plan-schema	count_eq	COUNT_OK	samples/기획재정부/2022/export-plan-schema-015040.hwp	기획재정부	2022	hwp	16	16		
u_export_plan_schema-015041	export-plan-schema	count_eq	COUNT_DRIFT	samples/공정거래위원회/2022/export-plan-schema-015041.hwpx	공정거래위원회	2022	hwpx	17	18		
u_export_plan_schema-015042	export-plan-schema	count_eq	COUNT_DRIFT	samples/금융위원회/2022/export-plan-schema-015042.hwp	금융위원회	2022	hwp	18	17		
u_export_plan_schema-015043	export-plan-schema	count_eq	COUNT_OK	samples/통계청/2022/export-plan-schema-015043.hwpx	통계청	2022	hwpx	19	19		
u_export_plan_schema-015044	export-plan-schema	count_eq	COUNT_OK	samples/기상청/2022/export-plan-schema-015044.hwp	기상청	2022	hwp	20	20		
u_export_plan_schema-015045	export-plan-schema	count_eq	COUNT_OK	samples/관세청/2022/export-plan-schema-015045.hwpx	관세청	2022	hwpx	21	21		
u_export_plan_schema-015046	export-plan-schema	count_eq	COUNT_OK	samples/검찰청/2022/export-plan-schema-015046.hwp	검찰청	2022	hwp	22	22		
u_export_plan_schema-015047	export-plan-schema	count_eq	COUNT_OK	samples/경찰청/2022/export-plan-schema-015047.hwpx	경찰청	2022	hwpx	23	23		
u_export_plan_schema-015048	export-plan-schema	count_eq	COUNT_DRIFT	samples/소방청/2022/export-plan-schema-015048.hwp	소방청	2022	hwp	0	1		
u_export_plan_schema-015049	export-plan-schema	count_eq	COUNT_DRIFT	samples/병무청/2022/export-plan-schema-015049.hwpx	병무청	2022	hwpx	1	0		
u_export_plan_schema-015050	export-plan-schema	count_eq	COUNT_OK	samples/산림청/2022/export-plan-schema-015050.hwp	산림청	2022	hwp	2	2		
u_export_plan_schema-015051	export-plan-schema	count_eq	COUNT_OK	samples/중소벤처기업부/2022/export-plan-schema-015051.hwpx	중소벤처기업부	2022	hwpx	3	3		
u_export_plan_schema-015052	export-plan-schema	count_eq	COUNT_OK	samples/과학기술정보통신부/2022/export-plan-schema-015052.hwp	과학기술정보통신부	2022	hwp	4	4		
u_export_plan_schema-015053	export-plan-schema	count_eq	COUNT_OK	samples/문화체육관광부/2022/export-plan-schema-015053.hwpx	문화체육관광부	2022	hwpx	5	5		
u_export_plan_schema-015054	export-plan-schema	count_eq	COUNT_OK	samples/환경부/2022/export-plan-schema-015054.hwp	환경부	2022	hwp	6	6		
u_export_plan_schema-015055	export-plan-schema	count_eq	COUNT_DRIFT	samples/해양수산부/2022/export-plan-schema-015055.hwpx	해양수산부	2022	hwpx	7	8		
u_export_plan_schema-015056	export-plan-schema	count_eq	COUNT_DRIFT	samples/서울특별시/2022/export-plan-schema-015056.hwp	서울특별시	2022	hwp	8	7		
u_export_plan_schema-015057	export-plan-schema	count_eq	COUNT_OK	samples/경기도/2022/export-plan-schema-015057.hwpx	경기도	2022	hwpx	9	9		
u_export_plan_schema-015058	export-plan-schema	count_eq	COUNT_OK	samples/부산광역시/2022/export-plan-schema-015058.hwp	부산광역시	2022	hwp	10	10		
u_export_plan_schema-015059	export-plan-schema	count_eq	COUNT_OK	samples/제주특별자치도/2022/export-plan-schema-015059.hwpx	제주특별자치도	2022	hwpx	11	11		
u_export_plan_schema-015060	export-plan-schema	count_eq	COUNT_OK	samples/법제처/2023/export-plan-schema-015060.hwp	법제처	2023	hwp	12	12		
u_export_plan_schema-015061	export-plan-schema	count_eq	COUNT_OK	samples/행정안전부/2023/export-plan-schema-015061.hwpx	행정안전부	2023	hwpx	13	13		
u_export_plan_schema-015062	export-plan-schema	count_eq	COUNT_DRIFT	samples/국세청/2023/export-plan-schema-015062.hwp	국세청	2023	hwp	14	15		
u_export_plan_schema-015063	export-plan-schema	count_eq	COUNT_DRIFT	samples/대법원/2023/export-plan-schema-015063.hwpx	대법원	2023	hwpx	15	14		
u_export_plan_schema-015064	export-plan-schema	count_eq	COUNT_OK	samples/특허청/2023/export-plan-schema-015064.hwp	특허청	2023	hwp	16	16		
u_export_plan_schema-015065	export-plan-schema	count_eq	COUNT_OK	samples/교육부/2023/export-plan-schema-015065.hwpx	교육부	2023	hwpx	17	17		
u_export_plan_schema-015066	export-plan-schema	count_eq	COUNT_OK	samples/보건복지부/2023/export-plan-schema-015066.hwp	보건복지부	2023	hwp	18	18		
u_export_plan_schema-015067	export-plan-schema	count_eq	COUNT_OK	samples/국토교통부/2023/export-plan-schema-015067.hwpx	국토교통부	2023	hwpx	19	19		
u_export_plan_schema-015068	export-plan-schema	count_eq	COUNT_OK	samples/고용노동부/2023/export-plan-schema-015068.hwp	고용노동부	2023	hwp	20	20		
u_export_plan_schema-015069	export-plan-schema	count_eq	COUNT_DRIFT	samples/외교부/2023/export-plan-schema-015069.hwpx	외교부	2023	hwpx	21	22		
u_export_plan_schema-015070	export-plan-schema	count_eq	COUNT_DRIFT	samples/기획재정부/2023/export-plan-schema-015070.hwp	기획재정부	2023	hwp	22	21		
u_export_plan_schema-015071	export-plan-schema	count_eq	COUNT_OK	samples/공정거래위원회/2023/export-plan-schema-015071.hwpx	공정거래위원회	2023	hwpx	23	23		
u_export_plan_schema-015072	export-plan-schema	count_eq	COUNT_OK	samples/금융위원회/2023/export-plan-schema-015072.hwp	금융위원회	2023	hwp	0	0		
u_export_plan_schema-015073	export-plan-schema	count_eq	COUNT_OK	samples/통계청/2023/export-plan-schema-015073.hwpx	통계청	2023	hwpx	1	1		
u_export_plan_schema-015074	export-plan-schema	count_eq	COUNT_OK	samples/기상청/2023/export-plan-schema-015074.hwp	기상청	2023	hwp	2	2		
u_export_plan_schema-015075	export-plan-schema	count_eq	COUNT_OK	samples/관세청/2023/export-plan-schema-015075.hwpx	관세청	2023	hwpx	3	3		
u_export_plan_schema-015076	export-plan-schema	count_eq	COUNT_DRIFT	samples/검찰청/2023/export-plan-schema-015076.hwp	검찰청	2023	hwp	4	5		
u_export_plan_schema-015077	export-plan-schema	count_eq	COUNT_DRIFT	samples/경찰청/2023/export-plan-schema-015077.hwpx	경찰청	2023	hwpx	5	4		
u_export_plan_schema-015078	export-plan-schema	count_eq	COUNT_OK	samples/소방청/2023/export-plan-schema-015078.hwp	소방청	2023	hwp	6	6		
u_export_plan_schema-015079	export-plan-schema	count_eq	COUNT_OK	samples/병무청/2023/export-plan-schema-015079.hwpx	병무청	2023	hwpx	7	7		
u_export_plan_schema-015080	export-plan-schema	count_eq	COUNT_OK	samples/산림청/2023/export-plan-schema-015080.hwp	산림청	2023	hwp	8	8		
u_export_plan_schema-015081	export-plan-schema	count_eq	COUNT_OK	samples/중소벤처기업부/2023/export-plan-schema-015081.hwpx	중소벤처기업부	2023	hwpx	9	9		
u_export_plan_schema-015082	export-plan-schema	count_eq	COUNT_OK	samples/과학기술정보통신부/2023/export-plan-schema-015082.hwp	과학기술정보통신부	2023	hwp	10	10		
u_export_plan_schema-015083	export-plan-schema	count_eq	COUNT_DRIFT	samples/문화체육관광부/2023/export-plan-schema-015083.hwpx	문화체육관광부	2023	hwpx	11	12		
u_export_plan_schema-015084	export-plan-schema	count_eq	COUNT_DRIFT	samples/환경부/2023/export-plan-schema-015084.hwp	환경부	2023	hwp	12	11		
u_export_plan_schema-015085	export-plan-schema	count_eq	COUNT_OK	samples/해양수산부/2023/export-plan-schema-015085.hwpx	해양수산부	2023	hwpx	13	13		
u_export_plan_schema-015086	export-plan-schema	count_eq	COUNT_OK	samples/서울특별시/2023/export-plan-schema-015086.hwp	서울특별시	2023	hwp	14	14		
u_export_plan_schema-015087	export-plan-schema	count_eq	COUNT_OK	samples/경기도/2023/export-plan-schema-015087.hwpx	경기도	2023	hwpx	15	15		
u_export_plan_schema-015088	export-plan-schema	count_eq	COUNT_OK	samples/부산광역시/2023/export-plan-schema-015088.hwp	부산광역시	2023	hwp	16	16		
u_export_plan_schema-015089	export-plan-schema	count_eq	COUNT_OK	samples/제주특별자치도/2023/export-plan-schema-015089.hwpx	제주특별자치도	2023	hwpx	17	17		
u_export_plan_schema-015090	export-plan-schema	count_eq	COUNT_DRIFT	samples/법제처/2024/export-plan-schema-015090.hwp	법제처	2024	hwp	18	19		
u_export_plan_schema-015091	export-plan-schema	count_eq	COUNT_DRIFT	samples/행정안전부/2024/export-plan-schema-015091.hwpx	행정안전부	2024	hwpx	19	18		
u_export_plan_schema-015092	export-plan-schema	count_eq	COUNT_OK	samples/국세청/2024/export-plan-schema-015092.hwp	국세청	2024	hwp	20	20		
u_export_plan_schema-015093	export-plan-schema	count_eq	COUNT_OK	samples/대법원/2024/export-plan-schema-015093.hwpx	대법원	2024	hwpx	21	21		
u_export_plan_schema-015094	export-plan-schema	count_eq	COUNT_OK	samples/특허청/2024/export-plan-schema-015094.hwp	특허청	2024	hwp	22	22		
u_export_plan_schema-015095	export-plan-schema	count_eq	COUNT_OK	samples/교육부/2024/export-plan-schema-015095.hwpx	교육부	2024	hwpx	23	23		
u_export_plan_schema-015096	export-plan-schema	count_eq	COUNT_OK	samples/보건복지부/2024/export-plan-schema-015096.hwp	보건복지부	2024	hwp	0	0		
u_export_plan_schema-015097	export-plan-schema	count_eq	COUNT_DRIFT	samples/국토교통부/2024/export-plan-schema-015097.hwpx	국토교통부	2024	hwpx	1	2		
u_export_plan_schema-015098	export-plan-schema	count_eq	COUNT_DRIFT	samples/고용노동부/2024/export-plan-schema-015098.hwp	고용노동부	2024	hwp	2	1		
