case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_png-015000	export-png	bytes	EMPTY_OUTPUT	samples/법제처/2021/export-png-015000.hwp	법제처	2021	hwp	0	1		
u_export_png-015001	export-png	bytes	BYTES_OK	samples/행정안전부/2021/export-png-015001.hwpx	행정안전부	2021	hwpx	13	0		
u_export_png-015002	export-png	bytes	BYTES_OK	samples/국세청/2021/export-png-015002.hwp	국세청	2021	hwp	14	0		
u_export_png-015003	export-png	bytes	BYTES_OK	samples/대법원/2021/export-png-015003.hwpx	대법원	2021	hwpx	15	0		
u_export_png-015004	export-png	bytes	BYTES_OK	samples/특허청/2021/export-png-015004.hwp	특허청	2021	hwp	16	0		
u_export_png-015005	export-png	bytes	BYTES_OK	samples/교육부/2021/export-png-015005.hwpx	교육부	2021	hwpx	17	0		
u_export_png-015006	export-png	bytes	ZERO_BYTES	samples/보건복지부/2021/export-png-015006.hwp	보건복지부	2021	hwp	0	0		
u_export_png-015007	export-png	bytes	EMPTY_OUTPUT	samples/국토교통부/2021/export-png-015007.hwpx	국토교통부	2021	hwpx	0	1		
u_export_png-015008	export-png	bytes	BYTES_OK	samples/고용노동부/2021/export-png-015008.hwp	고용노동부	2021	hwp	20	0		
u_export_png-015009	export-png	bytes	BYTES_OK	samples/외교부/2021/export-png-015009.hwpx	외교부	2021	hwpx	21	0		
u_export_png-015010	export-png	bytes	BYTES_OK	samples/기획재정부/2021/export-png-015010.hwp	기획재정부	2021	hwp	22	0		
u_export_png-015011	export-png	bytes	BYTES_OK	samples/공정거래위원회/2021/export-png-015011.hwpx	공정거래위원회	2021	hwpx	23	0		
u_export_png-015012	export-png	bytes	BYTES_OK	samples/금융위원회/2021/export-png-015012.hwp	금융위원회	2021	hwp	24	0		
u_export_png-015013	export-png	bytes	ZERO_BYTES	samples/통계청/2021/export-png-015013.hwpx	통계청	2021	hwpx	0	0		
u_export_png-015014	export-png	bytes	EMPTY_OUTPUT	samples/기상청/2021/export-png-015014.hwp	기상청	2021	hwp	0	1		
u_export_png-015015	export-png	bytes	BYTES_OK	samples/관세청/2021/export-png-015015.hwpx	관세청	2021	hwpx	27	0		
u_export_png-015016	export-png	bytes	BYTES_OK	samples/검찰청/2021/export-png-015016.hwp	검찰청	2021	hwp	28	0		
u_export_png-015017	export-png	bytes	BYTES_OK	samples/경찰청/2021/export-png-015017.hwpx	경찰청	2021	hwpx	29	0		
u_export_png-015018	export-png	bytes	BYTES_OK	samples/소방청/2021/export-png-015018.hwp	소방청	2021	hwp	30	0		
u_export_png-015019	export-png	bytes	BYTES_OK	samples/병무청/2021/export-png-015019.hwpx	병무청	2021	hwpx	31	0		
u_export_png-015020	export-png	bytes	ZERO_BYTES	samples/산림청/2021/export-png-015020.hwp	산림청	2021	hwp	0	0		
u_export_png-015021	export-png	bytes	EMPTY_OUTPUT	samples/중소벤처기업부/2021/export-png-015021.hwpx	중소벤처기업부	2021	hwpx	0	1		
u_export_png-015022	export-png	bytes	BYTES_OK	samples/과학기술정보통신부/2021/export-png-015022.hwp	과학기술정보통신부	2021	hwp	34	0		
u_export_png-015023	export-png	bytes	BYTES_OK	samples/문화체육관광부/2021/export-png-015023.hwpx	문화체육관광부	2021	hwpx	35	0		
u_export_png-015024	export-png	bytes	BYTES_OK	samples/환경부/2021/export-png-015024.hwp	환경부	2021	hwp	36	0		
u_export_png-015025	export-png	bytes	BYTES_OK	samples/해양수산부/2021/export-png-015025.hwpx	해양수산부	2021	hwpx	37	0		
u_export_png-015026	export-png	bytes	BYTES_OK	samples/서울특별시/2021/export-png-015026.hwp	서울특별시	2021	hwp	38	0		
u_export_png-015027	export-png	bytes	ZERO_BYTES	samples/경기도/2021/export-png-015027.hwpx	경기도	2021	hwpx	0	0		
u_export_png-015028	export-png	bytes	EMPTY_OUTPUT	samples/부산광역시/2021/export-png-015028.hwp	부산광역시	2021	hwp	0	1		
u_export_png-015029	export-png	bytes	BYTES_OK	samples/제주특별자치도/2021/export-png-015029.hwpx	제주특별자치도	2021	hwpx	41	0		
u_export_png-015030	export-png	bytes	BYTES_OK	samples/법제처/2022/export-png-015030.hwp	법제처	2022	hwp	42	0		
u_export_png-015031	export-png	bytes	BYTES_OK	samples/행정안전부/2022/export-png-015031.hwpx	행정안전부	2022	hwpx	43	0		
u_export_png-015032	export-png	bytes	BYTES_OK	samples/국세청/2022/export-png-015032.hwp	국세청	2022	hwp	44	0		
u_export_png-015033	export-png	bytes	BYTES_OK	samples/대법원/2022/export-png-015033.hwpx	대법원	2022	hwpx	45	0		
u_export_png-015034	export-png	bytes	ZERO_BYTES	samples/특허청/2022/export-png-015034.hwp	특허청	2022	hwp	0	0		
u_export_png-015035	export-png	bytes	EMPTY_OUTPUT	samples/교육부/2022/export-png-015035.hwpx	교육부	2022	hwpx	0	1		
u_export_png-015036	export-png	bytes	BYTES_OK	samples/보건복지부/2022/export-png-015036.hwp	보건복지부	2022	hwp	48	0		
u_export_png-015037	export-png	bytes	BYTES_OK	samples/국토교통부/2022/export-png-015037.hwpx	국토교통부	2022	hwpx	49	0		
u_export_png-015038	export-png	bytes	BYTES_OK	samples/고용노동부/2022/export-png-015038.hwp	고용노동부	2022	hwp	50	0		
u_export_png-015039	export-png	bytes	BYTES_OK	samples/외교부/2022/export-png-015039.hwpx	외교부	2022	hwpx	51	0		
u_export_png-015040	export-png	bytes	BYTES_OK	samples/기획재정부/2022/export-png-015040.hwp	기획재정부	2022	hwp	52	0		
u_export_png-015041	export-png	bytes	ZERO_BYTES	samples/공정거래위원회/2022/export-png-015041.hwpx	공정거래위원회	2022	hwpx	0	0		
u_export_png-015042	export-png	bytes	EMPTY_OUTPUT	samples/금융위원회/2022/export-png-015042.hwp	금융위원회	2022	hwp	0	1		
u_export_png-015043	export-png	bytes	BYTES_OK	samples/통계청/2022/export-png-015043.hwpx	통계청	2022	hwpx	55	0		
u_export_png-015044	export-png	bytes	BYTES_OK	samples/기상청/2022/export-png-015044.hwp	기상청	2022	hwp	56	0		
u_export_png-015045	export-png	bytes	BYTES_OK	samples/관세청/2022/export-png-015045.hwpx	관세청	2022	hwpx	57	0		
u_export_png-015046	export-png	bytes	BYTES_OK	samples/검찰청/2022/export-png-015046.hwp	검찰청	2022	hwp	58	0		
u_export_png-015047	export-png	bytes	BYTES_OK	samples/경찰청/2022/export-png-015047.hwpx	경찰청	2022	hwpx	59	0		
u_export_png-015048	export-png	bytes	ZERO_BYTES	samples/소방청/2022/export-png-015048.hwp	소방청	2022	hwp	0	0		
u_export_png-015049	export-png	bytes	EMPTY_OUTPUT	samples/병무청/2022/export-png-015049.hwpx	병무청	2022	hwpx	0	1		
u_export_png-015050	export-png	bytes	BYTES_OK	samples/산림청/2022/export-png-015050.hwp	산림청	2022	hwp	62	0		
u_export_png-015051	export-png	bytes	BYTES_OK	samples/중소벤처기업부/2022/export-png-015051.hwpx	중소벤처기업부	2022	hwpx	63	0		
u_export_png-015052	export-png	bytes	BYTES_OK	samples/과학기술정보통신부/2022/export-png-015052.hwp	과학기술정보통신부	2022	hwp	64	0		
u_export_png-015053	export-png	bytes	BYTES_OK	samples/문화체육관광부/2022/export-png-015053.hwpx	문화체육관광부	2022	hwpx	65	0		
u_export_png-015054	export-png	bytes	BYTES_OK	samples/환경부/2022/export-png-015054.hwp	환경부	2022	hwp	66	0		
u_export_png-015055	export-png	bytes	ZERO_BYTES	samples/해양수산부/2022/export-png-015055.hwpx	해양수산부	2022	hwpx	0	0		
u_export_png-015056	export-png	bytes	EMPTY_OUTPUT	samples/서울특별시/2022/export-png-015056.hwp	서울특별시	2022	hwp	0	1		
u_export_png-015057	export-png	bytes	BYTES_OK	samples/경기도/2022/export-png-015057.hwpx	경기도	2022	hwpx	69	0		
u_export_png-015058	export-png	bytes	BYTES_OK	samples/부산광역시/2022/export-png-015058.hwp	부산광역시	2022	hwp	70	0		
u_export_png-015059	export-png	bytes	BYTES_OK	samples/제주특별자치도/2022/export-png-015059.hwpx	제주특별자치도	2022	hwpx	71	0		
u_export_png-015060	export-png	bytes	BYTES_OK	samples/법제처/2023/export-png-015060.hwp	법제처	2023	hwp	72	0		
u_export_png-015061	export-png	bytes	BYTES_OK	samples/행정안전부/2023/export-png-015061.hwpx	행정안전부	2023	hwpx	73	0		
u_export_png-015062	export-png	bytes	ZERO_BYTES	samples/국세청/2023/export-png-015062.hwp	국세청	2023	hwp	0	0		
u_export_png-015063	export-png	bytes	EMPTY_OUTPUT	samples/대법원/2023/export-png-015063.hwpx	대법원	2023	hwpx	0	1		
u_export_png-015064	export-png	bytes	BYTES_OK	samples/특허청/2023/export-png-015064.hwp	특허청	2023	hwp	76	0		
u_export_png-015065	export-png	bytes	BYTES_OK	samples/교육부/2023/export-png-015065.hwpx	교육부	2023	hwpx	77	0		
u_export_png-015066	export-png	bytes	BYTES_OK	samples/보건복지부/2023/export-png-015066.hwp	보건복지부	2023	hwp	78	0		
u_export_png-015067	export-png	bytes	BYTES_OK	samples/국토교통부/2023/export-png-015067.hwpx	국토교통부	2023	hwpx	79	0		
u_export_png-015068	export-png	bytes	BYTES_OK	samples/고용노동부/2023/export-png-015068.hwp	고용노동부	2023	hwp	80	0		
u_export_png-015069	export-png	bytes	ZERO_BYTES	samples/외교부/2023/export-png-015069.hwpx	외교부	2023	hwpx	0	0		
u_export_png-015070	export-png	bytes	EMPTY_OUTPUT	samples/기획재정부/2023/export-png-015070.hwp	기획재정부	2023	hwp	0	1		
u_export_png-015071	export-png	bytes	BYTES_OK	samples/공정거래위원회/2023/export-png-015071.hwpx	공정거래위원회	2023	hwpx	83	0		
u_export_png-015072	export-png	bytes	BYTES_OK	samples/금융위원회/2023/export-png-015072.hwp	금융위원회	2023	hwp	84	0		
u_export_png-015073	export-png	bytes	BYTES_OK	samples/통계청/2023/export-png-015073.hwpx	통계청	2023	hwpx	85	0		
u_export_png-015074	export-png	bytes	BYTES_OK	samples/기상청/2023/export-png-015074.hwp	기상청	2023	hwp	86	0		
u_export_png-015075	export-png	bytes	BYTES_OK	samples/관세청/2023/export-png-015075.hwpx	관세청	2023	hwpx	87	0		
u_export_png-015076	export-png	bytes	ZERO_BYTES	samples/검찰청/2023/export-png-015076.hwp	검찰청	2023	hwp	0	0		
u_export_png-015077	export-png	bytes	EMPTY_OUTPUT	samples/경찰청/2023/export-png-015077.hwpx	경찰청	2023	hwpx	0	1		
u_export_png-015078	export-png	bytes	BYTES_OK	samples/소방청/2023/export-png-015078.hwp	소방청	2023	hwp	90	0		
u_export_png-015079	export-png	bytes	BYTES_OK	samples/병무청/2023/export-png-015079.hwpx	병무청	2023	hwpx	91	0		
