case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_png_gpu-000000	export-png-gpu	avail	UNAVAIL_OK	samples/법제처/2016/export-png-gpu-000000.hwp	법제처	2016	hwp	0	2		
u_export_png_gpu-000001	export-png-gpu	avail	UNAVAIL_LIE	samples/행정안전부/2016/export-png-gpu-000001.hwpx	행정안전부	2016	hwpx	0	0		
u_export_png_gpu-000002	export-png-gpu	avail	UNAVAIL_LIE	samples/국세청/2016/export-png-gpu-000002.hwp	국세청	2016	hwp	0	1		
u_export_png_gpu-000003	export-png-gpu	avail	AVAIL_RUN	samples/대법원/2016/export-png-gpu-000003.hwpx	대법원	2016	hwpx	1	0		
u_export_png_gpu-000004	export-png-gpu	avail	AVAIL_RUN	samples/특허청/2016/export-png-gpu-000004.hwp	특허청	2016	hwp	1	3		
u_export_png_gpu-000005	export-png-gpu	avail	FALSE_UNAVAIL	samples/교육부/2016/export-png-gpu-000005.hwpx	교육부	2016	hwpx	1	2		
u_export_png_gpu-000006	export-png-gpu	avail	EXIT_UNKNOWN	samples/보건복지부/2016/export-png-gpu-000006.hwp	보건복지부	2016	hwp	1	9		
u_export_png_gpu-000007	export-png-gpu	avail	UNAVAIL_OK	samples/국토교통부/2016/export-png-gpu-000007.hwpx	국토교통부	2016	hwpx	0	2		
u_export_png_gpu-000008	export-png-gpu	avail	UNAVAIL_LIE	samples/고용노동부/2016/export-png-gpu-000008.hwp	고용노동부	2016	hwp	0	0		
u_export_png_gpu-000009	export-png-gpu	avail	UNAVAIL_LIE	samples/외교부/2016/export-png-gpu-000009.hwpx	외교부	2016	hwpx	0	1		
u_export_png_gpu-000010	export-png-gpu	avail	AVAIL_RUN	samples/기획재정부/2016/export-png-gpu-000010.hwp	기획재정부	2016	hwp	1	0		
u_export_png_gpu-000011	export-png-gpu	avail	AVAIL_RUN	samples/공정거래위원회/2016/export-png-gpu-000011.hwpx	공정거래위원회	2016	hwpx	1	3		
u_export_png_gpu-000012	export-png-gpu	avail	FALSE_UNAVAIL	samples/금융위원회/2016/export-png-gpu-000012.hwp	금융위원회	2016	hwp	1	2		
u_export_png_gpu-000013	export-png-gpu	avail	EXIT_UNKNOWN	samples/통계청/2016/export-png-gpu-000013.hwpx	통계청	2016	hwpx	1	9		
u_export_png_gpu-000014	export-png-gpu	avail	UNAVAIL_OK	samples/기상청/2016/export-png-gpu-000014.hwp	기상청	2016	hwp	0	2		
u_export_png_gpu-000015	export-png-gpu	avail	UNAVAIL_LIE	samples/관세청/2016/export-png-gpu-000015.hwpx	관세청	2016	hwpx	0	0		
u_export_png_gpu-000016	export-png-gpu	avail	UNAVAIL_LIE	samples/검찰청/2016/export-png-gpu-000016.hwp	검찰청	2016	hwp	0	1		
u_export_png_gpu-000017	export-png-gpu	avail	AVAIL_RUN	samples/경찰청/2016/export-png-gpu-000017.hwpx	경찰청	2016	hwpx	1	0		
u_export_png_gpu-000018	export-png-gpu	avail	AVAIL_RUN	samples/소방청/2016/export-png-gpu-000018.hwp	소방청	2016	hwp	1	3		
u_export_png_gpu-000019	export-png-gpu	avail	FALSE_UNAVAIL	samples/병무청/2016/export-png-gpu-000019.hwpx	병무청	2016	hwpx	1	2		
u_export_png_gpu-000020	export-png-gpu	avail	EXIT_UNKNOWN	samples/산림청/2016/export-png-gpu-000020.hwp	산림청	2016	hwp	1	9		
u_export_png_gpu-000021	export-png-gpu	avail	UNAVAIL_OK	samples/중소벤처기업부/2016/export-png-gpu-000021.hwpx	중소벤처기업부	2016	hwpx	0	2		
u_export_png_gpu-000022	export-png-gpu	avail	UNAVAIL_LIE	samples/과학기술정보통신부/2016/export-png-gpu-000022.hwp	과학기술정보통신부	2016	hwp	0	0		
u_export_png_gpu-000023	export-png-gpu	avail	UNAVAIL_LIE	samples/문화체육관광부/2016/export-png-gpu-000023.hwpx	문화체육관광부	2016	hwpx	0	1		
u_export_png_gpu-000024	export-png-gpu	avail	AVAIL_RUN	samples/환경부/2016/export-png-gpu-000024.hwp	환경부	2016	hwp	1	0		
u_export_png_gpu-000025	export-png-gpu	avail	AVAIL_RUN	samples/해양수산부/2016/export-png-gpu-000025.hwpx	해양수산부	2016	hwpx	1	3		
u_export_png_gpu-000026	export-png-gpu	avail	FALSE_UNAVAIL	samples/서울특별시/2016/export-png-gpu-000026.hwp	서울특별시	2016	hwp	1	2		
u_export_png_gpu-000027	export-png-gpu	avail	EXIT_UNKNOWN	samples/경기도/2016/export-png-gpu-000027.hwpx	경기도	2016	hwpx	1	9		
u_export_png_gpu-000028	export-png-gpu	avail	UNAVAIL_OK	samples/부산광역시/2016/export-png-gpu-000028.hwp	부산광역시	2016	hwp	0	2		
u_export_png_gpu-000029	export-png-gpu	avail	UNAVAIL_LIE	samples/제주특별자치도/2016/export-png-gpu-000029.hwpx	제주특별자치도	2016	hwpx	0	0		
u_export_png_gpu-000030	export-png-gpu	avail	UNAVAIL_LIE	samples/법제처/2017/export-png-gpu-000030.hwp	법제처	2017	hwp	0	1		
u_export_png_gpu-000031	export-png-gpu	avail	AVAIL_RUN	samples/행정안전부/2017/export-png-gpu-000031.hwpx	행정안전부	2017	hwpx	1	0		
u_export_png_gpu-000032	export-png-gpu	avail	AVAIL_RUN	samples/국세청/2017/export-png-gpu-000032.hwp	국세청	2017	hwp	1	3		
u_export_png_gpu-000033	export-png-gpu	avail	FALSE_UNAVAIL	samples/대법원/2017/export-png-gpu-000033.hwpx	대법원	2017	hwpx	1	2		
u_export_png_gpu-000034	export-png-gpu	avail	EXIT_UNKNOWN	samples/특허청/2017/export-png-gpu-000034.hwp	특허청	2017	hwp	1	9		
u_export_png_gpu-000035	export-png-gpu	avail	UNAVAIL_OK	samples/교육부/2017/export-png-gpu-000035.hwpx	교육부	2017	hwpx	0	2		
u_export_png_gpu-000036	export-png-gpu	avail	UNAVAIL_LIE	samples/보건복지부/2017/export-png-gpu-000036.hwp	보건복지부	2017	hwp	0	0		
u_export_png_gpu-000037	export-png-gpu	avail	UNAVAIL_LIE	samples/국토교통부/2017/export-png-gpu-000037.hwpx	국토교통부	2017	hwpx	0	1		
u_export_png_gpu-000038	export-png-gpu	avail	AVAIL_RUN	samples/고용노동부/2017/export-png-gpu-000038.hwp	고용노동부	2017	hwp	1	0		
u_export_png_gpu-000039	export-png-gpu	avail	AVAIL_RUN	samples/외교부/2017/export-png-gpu-000039.hwpx	외교부	2017	hwpx	1	3		
u_export_png_gpu-000040	export-png-gpu	avail	FALSE_UNAVAIL	samples/기획재정부/2017/export-png-gpu-000040.hwp	기획재정부	2017	hwp	1	2		
u_export_png_gpu-000041	export-png-gpu	avail	EXIT_UNKNOWN	samples/공정거래위원회/2017/export-png-gpu-000041.hwpx	공정거래위원회	2017	hwpx	1	9		
