case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_provenance_map-000000	export-provenance-map	count_eq	COUNT_OK	samples/법제처/2016/export-provenance-map-000000.hwp	법제처	2016	hwp	0	0		
u_export_provenance_map-000001	export-provenance-map	count_eq	COUNT_OK	samples/행정안전부/2016/export-provenance-map-000001.hwpx	행정안전부	2016	hwpx	1	1		
u_export_provenance_map-000002	export-provenance-map	count_eq	COUNT_OK	samples/국세청/2016/export-provenance-map-000002.hwp	국세청	2016	hwp	2	2		
u_export_provenance_map-000003	export-provenance-map	count_eq	COUNT_OK	samples/대법원/2016/export-provenance-map-000003.hwpx	대법원	2016	hwpx	3	3		
u_export_provenance_map-000004	export-provenance-map	count_eq	COUNT_OK	samples/특허청/2016/export-provenance-map-000004.hwp	특허청	2016	hwp	4	4		
u_export_provenance_map-000005	export-provenance-map	count_eq	COUNT_DRIFT	samples/교육부/2016/export-provenance-map-000005.hwpx	교육부	2016	hwpx	5	6		
u_export_provenance_map-000006	export-provenance-map	count_eq	COUNT_DRIFT	samples/보건복지부/2016/export-provenance-map-000006.hwp	보건복지부	2016	hwp	6	5		
u_export_provenance_map-000007	export-provenance-map	count_eq	COUNT_OK	samples/국토교통부/2016/export-provenance-map-000007.hwpx	국토교통부	2016	hwpx	7	7		
u_export_provenance_map-000008	export-provenance-map	count_eq	COUNT_OK	samples/고용노동부/2016/export-provenance-map-000008.hwp	고용노동부	2016	hwp	8	8		
u_export_provenance_map-000009	export-provenance-map	count_eq	COUNT_OK	samples/외교부/2016/export-provenance-map-000009.hwpx	외교부	2016	hwpx	9	9		
u_export_provenance_map-000010	export-provenance-map	count_eq	COUNT_OK	samples/기획재정부/2016/export-provenance-map-000010.hwp	기획재정부	2016	hwp	10	10		
u_export_provenance_map-000011	export-provenance-map	count_eq	COUNT_OK	samples/공정거래위원회/2016/export-provenance-map-000011.hwpx	공정거래위원회	2016	hwpx	11	11		
u_export_provenance_map-000012	export-provenance-map	count_eq	COUNT_DRIFT	samples/금융위원회/2016/export-provenance-map-000012.hwp	금융위원회	2016	hwp	12	13		
u_export_provenance_map-000013	export-provenance-map	count_eq	COUNT_DRIFT	samples/통계청/2016/export-provenance-map-000013.hwpx	통계청	2016	hwpx	13	12		
u_export_provenance_map-000014	export-provenance-map	count_eq	COUNT_OK	samples/기상청/2016/export-provenance-map-000014.hwp	기상청	2016	hwp	14	14		
u_export_provenance_map-000015	export-provenance-map	count_eq	COUNT_OK	samples/관세청/2016/export-provenance-map-000015.hwpx	관세청	2016	hwpx	15	15		
u_export_provenance_map-000016	export-provenance-map	count_eq	COUNT_OK	samples/검찰청/2016/export-provenance-map-000016.hwp	검찰청	2016	hwp	16	16		
u_export_provenance_map-000017	export-provenance-map	count_eq	COUNT_OK	samples/경찰청/2016/export-provenance-map-000017.hwpx	경찰청	2016	hwpx	17	17		
u_export_provenance_map-000018	export-provenance-map	count_eq	COUNT_OK	samples/소방청/2016/export-provenance-map-000018.hwp	소방청	2016	hwp	18	18		
u_export_provenance_map-000019	export-provenance-map	count_eq	COUNT_DRIFT	samples/병무청/2016/export-provenance-map-000019.hwpx	병무청	2016	hwpx	19	20		
u_export_provenance_map-000020	export-provenance-map	count_eq	COUNT_DRIFT	samples/산림청/2016/export-provenance-map-000020.hwp	산림청	2016	hwp	20	19		
u_export_provenance_map-000021	export-provenance-map	count_eq	COUNT_OK	samples/중소벤처기업부/2016/export-provenance-map-000021.hwpx	중소벤처기업부	2016	hwpx	21	21		
u_export_provenance_map-000022	export-provenance-map	count_eq	COUNT_OK	samples/과학기술정보통신부/2016/export-provenance-map-000022.hwp	과학기술정보통신부	2016	hwp	22	22		
u_export_provenance_map-000023	export-provenance-map	count_eq	COUNT_OK	samples/문화체육관광부/2016/export-provenance-map-000023.hwpx	문화체육관광부	2016	hwpx	23	23		
u_export_provenance_map-000024	export-provenance-map	count_eq	COUNT_OK	samples/환경부/2016/export-provenance-map-000024.hwp	환경부	2016	hwp	0	0		
u_export_provenance_map-000025	export-provenance-map	count_eq	COUNT_OK	samples/해양수산부/2016/export-provenance-map-000025.hwpx	해양수산부	2016	hwpx	1	1		
u_export_provenance_map-000026	export-provenance-map	count_eq	COUNT_DRIFT	samples/서울특별시/2016/export-provenance-map-000026.hwp	서울특별시	2016	hwp	2	3		
u_export_provenance_map-000027	export-provenance-map	count_eq	COUNT_DRIFT	samples/경기도/2016/export-provenance-map-000027.hwpx	경기도	2016	hwpx	3	2		
u_export_provenance_map-000028	export-provenance-map	count_eq	COUNT_OK	samples/부산광역시/2016/export-provenance-map-000028.hwp	부산광역시	2016	hwp	4	4		
u_export_provenance_map-000029	export-provenance-map	count_eq	COUNT_OK	samples/제주특별자치도/2016/export-provenance-map-000029.hwpx	제주특별자치도	2016	hwpx	5	5		
u_export_provenance_map-000030	export-provenance-map	count_eq	COUNT_OK	samples/법제처/2017/export-provenance-map-000030.hwp	법제처	2017	hwp	6	6		
u_export_provenance_map-000031	export-provenance-map	count_eq	COUNT_OK	samples/행정안전부/2017/export-provenance-map-000031.hwpx	행정안전부	2017	hwpx	7	7		
u_export_provenance_map-000032	export-provenance-map	count_eq	COUNT_OK	samples/국세청/2017/export-provenance-map-000032.hwp	국세청	2017	hwp	8	8		
u_export_provenance_map-000033	export-provenance-map	count_eq	COUNT_DRIFT	samples/대법원/2017/export-provenance-map-000033.hwpx	대법원	2017	hwpx	9	10		
u_export_provenance_map-000034	export-provenance-map	count_eq	COUNT_DRIFT	samples/특허청/2017/export-provenance-map-000034.hwp	특허청	2017	hwp	10	9		
u_export_provenance_map-000035	export-provenance-map	count_eq	COUNT_OK	samples/교육부/2017/export-provenance-map-000035.hwpx	교육부	2017	hwpx	11	11		
u_export_provenance_map-000036	export-provenance-map	count_eq	COUNT_OK	samples/보건복지부/2017/export-provenance-map-000036.hwp	보건복지부	2017	hwp	12	12		
u_export_provenance_map-000037	export-provenance-map	count_eq	COUNT_OK	samples/국토교통부/2017/export-provenance-map-000037.hwpx	국토교통부	2017	hwpx	13	13		
u_export_provenance_map-000038	export-provenance-map	count_eq	COUNT_OK	samples/고용노동부/2017/export-provenance-map-000038.hwp	고용노동부	2017	hwp	14	14		
u_export_provenance_map-000039	export-provenance-map	count_eq	COUNT_OK	samples/외교부/2017/export-provenance-map-000039.hwpx	외교부	2017	hwpx	15	15		
u_export_provenance_map-000040	export-provenance-map	count_eq	COUNT_DRIFT	samples/기획재정부/2017/export-provenance-map-000040.hwp	기획재정부	2017	hwp	16	17		
u_export_provenance_map-000041	export-provenance-map	count_eq	COUNT_DRIFT	samples/공정거래위원회/2017/export-provenance-map-000041.hwpx	공정거래위원회	2017	hwpx	17	16		
u_export_provenance_map-000042	export-provenance-map	count_eq	COUNT_OK	samples/금융위원회/2017/export-provenance-map-000042.hwp	금융위원회	2017	hwp	18	18		
u_export_provenance_map-000043	export-provenance-map	count_eq	COUNT_OK	samples/통계청/2017/export-provenance-map-000043.hwpx	통계청	2017	hwpx	19	19		
u_export_provenance_map-000044	export-provenance-map	count_eq	COUNT_OK	samples/기상청/2017/export-provenance-map-000044.hwp	기상청	2017	hwp	20	20		
u_export_provenance_map-000045	export-provenance-map	count_eq	COUNT_OK	samples/관세청/2017/export-provenance-map-000045.hwpx	관세청	2017	hwpx	21	21		
u_export_provenance_map-000046	export-provenance-map	count_eq	COUNT_OK	samples/검찰청/2017/export-provenance-map-000046.hwp	검찰청	2017	hwp	22	22		
u_export_provenance_map-000047	export-provenance-map	count_eq	COUNT_DRIFT	samples/경찰청/2017/export-provenance-map-000047.hwpx	경찰청	2017	hwpx	23	24		
u_export_provenance_map-000048	export-provenance-map	count_eq	USAGE	samples/소방청/2017/export-provenance-map-000048.hwp	소방청	2017	hwp	0	-1		
u_export_provenance_map-000049	export-provenance-map	count_eq	COUNT_OK	samples/병무청/2017/export-provenance-map-000049.hwpx	병무청	2017	hwpx	1	1		
u_export_provenance_map-000050	export-provenance-map	count_eq	COUNT_OK	samples/산림청/2017/export-provenance-map-000050.hwp	산림청	2017	hwp	2	2		
u_export_provenance_map-000051	export-provenance-map	count_eq	COUNT_OK	samples/중소벤처기업부/2017/export-provenance-map-000051.hwpx	중소벤처기업부	2017	hwpx	3	3		
u_export_provenance_map-000052	export-provenance-map	count_eq	COUNT_OK	samples/과학기술정보통신부/2017/export-provenance-map-000052.hwp	과학기술정보통신부	2017	hwp	4	4		
u_export_provenance_map-000053	export-provenance-map	count_eq	COUNT_OK	samples/문화체육관광부/2017/export-provenance-map-000053.hwpx	문화체육관광부	2017	hwpx	5	5		
u_export_provenance_map-000054	export-provenance-map	count_eq	COUNT_DRIFT	samples/환경부/2017/export-provenance-map-000054.hwp	환경부	2017	hwp	6	7		
u_export_provenance_map-000055	export-provenance-map	count_eq	COUNT_DRIFT	samples/해양수산부/2017/export-provenance-map-000055.hwpx	해양수산부	2017	hwpx	7	6		
u_export_provenance_map-000056	export-provenance-map	count_eq	COUNT_OK	samples/서울특별시/2017/export-provenance-map-000056.hwp	서울특별시	2017	hwp	8	8		
