case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_structure-010000	export-structure	count_eq	COUNT_OK	samples/기획재정부/2019/export-structure-010000.hwp	기획재정부	2019	hwp	16	16		
u_export_structure-010001	export-structure	count_eq	COUNT_DRIFT	samples/공정거래위원회/2019/export-structure-010001.hwpx	공정거래위원회	2019	hwpx	17	18		
u_export_structure-010002	export-structure	count_eq	COUNT_DRIFT	samples/금융위원회/2019/export-structure-010002.hwp	금융위원회	2019	hwp	18	17		
u_export_structure-010003	export-structure	count_eq	COUNT_OK	samples/통계청/2019/export-structure-010003.hwpx	통계청	2019	hwpx	19	19		
u_export_structure-010004	export-structure	count_eq	COUNT_OK	samples/기상청/2019/export-structure-010004.hwp	기상청	2019	hwp	20	20		
u_export_structure-010005	export-structure	count_eq	COUNT_OK	samples/관세청/2019/export-structure-010005.hwpx	관세청	2019	hwpx	21	21		
u_export_structure-010006	export-structure	count_eq	COUNT_OK	samples/검찰청/2019/export-structure-010006.hwp	검찰청	2019	hwp	22	22		
u_export_structure-010007	export-structure	count_eq	COUNT_OK	samples/경찰청/2019/export-structure-010007.hwpx	경찰청	2019	hwpx	23	23		
u_export_structure-010008	export-structure	count_eq	COUNT_DRIFT	samples/소방청/2019/export-structure-010008.hwp	소방청	2019	hwp	0	1		
u_export_structure-010009	export-structure	count_eq	COUNT_DRIFT	samples/병무청/2019/export-structure-010009.hwpx	병무청	2019	hwpx	1	0		
u_export_structure-010010	export-structure	count_eq	COUNT_OK	samples/산림청/2019/export-structure-010010.hwp	산림청	2019	hwp	2	2		
u_export_structure-010011	export-structure	count_eq	COUNT_OK	samples/중소벤처기업부/2019/export-structure-010011.hwpx	중소벤처기업부	2019	hwpx	3	3		
u_export_structure-010012	export-structure	count_eq	COUNT_OK	samples/과학기술정보통신부/2019/export-structure-010012.hwp	과학기술정보통신부	2019	hwp	4	4		
u_export_structure-010013	export-structure	count_eq	COUNT_OK	samples/문화체육관광부/2019/export-structure-010013.hwpx	문화체육관광부	2019	hwpx	5	5		
u_export_structure-010014	export-structure	count_eq	COUNT_OK	samples/환경부/2019/export-structure-010014.hwp	환경부	2019	hwp	6	6		
u_export_structure-010015	export-structure	count_eq	COUNT_DRIFT	samples/해양수산부/2019/export-structure-010015.hwpx	해양수산부	2019	hwpx	7	8		
u_export_structure-010016	export-structure	count_eq	COUNT_DRIFT	samples/서울특별시/2019/export-structure-010016.hwp	서울특별시	2019	hwp	8	7		
u_export_structure-010017	export-structure	count_eq	COUNT_OK	samples/경기도/2019/export-structure-010017.hwpx	경기도	2019	hwpx	9	9		
u_export_structure-010018	export-structure	count_eq	COUNT_OK	samples/부산광역시/2019/export-structure-010018.hwp	부산광역시	2019	hwp	10	10		
u_export_structure-010019	export-structure	count_eq	COUNT_OK	samples/제주특별자치도/2019/export-structure-010019.hwpx	제주특별자치도	2019	hwpx	11	11		
u_export_structure-010020	export-structure	count_eq	COUNT_OK	samples/법제처/2020/export-structure-010020.hwp	법제처	2020	hwp	12	12		
u_export_structure-010021	export-structure	count_eq	COUNT_OK	samples/행정안전부/2020/export-structure-010021.hwpx	행정안전부	2020	hwpx	13	13		
u_export_structure-010022	export-structure	count_eq	COUNT_DRIFT	samples/국세청/2020/export-structure-010022.hwp	국세청	2020	hwp	14	15		
u_export_structure-010023	export-structure	count_eq	COUNT_DRIFT	samples/대법원/2020/export-structure-010023.hwpx	대법원	2020	hwpx	15	14		
u_export_structure-010024	export-structure	count_eq	COUNT_OK	samples/특허청/2020/export-structure-010024.hwp	특허청	2020	hwp	16	16		
u_export_structure-010025	export-structure	count_eq	COUNT_OK	samples/교육부/2020/export-structure-010025.hwpx	교육부	2020	hwpx	17	17		
u_export_structure-010026	export-structure	count_eq	COUNT_OK	samples/보건복지부/2020/export-structure-010026.hwp	보건복지부	2020	hwp	18	18		
u_export_structure-010027	export-structure	count_eq	COUNT_OK	samples/국토교통부/2020/export-structure-010027.hwpx	국토교통부	2020	hwpx	19	19		
u_export_structure-010028	export-structure	count_eq	COUNT_OK	samples/고용노동부/2020/export-structure-010028.hwp	고용노동부	2020	hwp	20	20		
