case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_tables-010000	export-tables	span	SPAN_OK	samples/기획재정부/2019/export-tables-010000.hwp	기획재정부	2019	hwp	2	7	1	3
u_export_tables-010001	export-tables	span	SPAN_OK	samples/공정거래위원회/2019/export-tables-010001.hwpx	공정거래위원회	2019	hwpx	3	7	3	3
u_export_tables-010002	export-tables	span	SPAN_OOB	samples/금융위원회/2019/export-tables-010002.hwp	금융위원회	2019	hwp	4	8	5	2
u_export_tables-010003	export-tables	span	SPAN_OK	samples/통계청/2019/export-tables-010003.hwpx	통계청	2019	hwpx	5	8	4	2
u_export_tables-010004	export-tables	span	SPAN_OK	samples/기상청/2019/export-tables-010004.hwp	기상청	2019	hwp	6	8	3	3
u_export_tables-010005	export-tables	span	SPAN_OK	samples/관세청/2019/export-tables-010005.hwpx	관세청	2019	hwpx	7	9	3	8
u_export_tables-010006	export-tables	span	SPAN_OK	samples/검찰청/2019/export-tables-010006.hwp	검찰청	2019	hwp	8	9	7	9
u_export_tables-010007	export-tables	span	SPAN_OK	samples/경찰청/2019/export-tables-010007.hwpx	경찰청	2019	hwpx	9	9	9	9
u_export_tables-010008	export-tables	span	SPAN_OK	samples/소방청/2019/export-tables-010008.hwp	소방청	2019	hwp	2	2	1	1
u_export_tables-010009	export-tables	span	SPAN_OOB	samples/병무청/2019/export-tables-010009.hwpx	병무청	2019	hwpx	3	2	4	1
u_export_tables-010010	export-tables	span	SPAN_OK	samples/산림청/2019/export-tables-010010.hwp	산림청	2019	hwp	4	2	3	2
u_export_tables-010011	export-tables	span	SPAN_OK	samples/중소벤처기업부/2019/export-tables-010011.hwpx	중소벤처기업부	2019	hwpx	5	3	2	2
u_export_tables-010012	export-tables	span	SPAN_OK	samples/과학기술정보통신부/2019/export-tables-010012.hwp	과학기술정보통신부	2019	hwp	6	3	5	3
u_export_tables-010013	export-tables	span	SPAN_OK	samples/문화체육관광부/2019/export-tables-010013.hwpx	문화체육관광부	2019	hwpx	7	3	4	3
u_export_tables-010014	export-tables	span	SPAN_OK	samples/환경부/2019/export-tables-010014.hwp	환경부	2019	hwp	8	4	7	4
u_export_tables-010015	export-tables	span	SPAN_OK	samples/해양수산부/2019/export-tables-010015.hwpx	해양수산부	2019	hwpx	9	4	8	4
u_export_tables-010016	export-tables	span	SPAN_OOB	samples/서울특별시/2019/export-tables-010016.hwp	서울특별시	2019	hwp	2	4	3	1
u_export_tables-010017	export-tables	span	SPAN_OK	samples/경기도/2019/export-tables-010017.hwpx	경기도	2019	hwpx	3	5	1	4
u_export_tables-010018	export-tables	span	SPAN_OK	samples/부산광역시/2019/export-tables-010018.hwp	부산광역시	2019	hwp	4	5	3	5
u_export_tables-010019	export-tables	span	SPAN_OK	samples/제주특별자치도/2019/export-tables-010019.hwpx	제주특별자치도	2019	hwpx	5	5	5	5
u_export_tables-010020	export-tables	span	SPAN_OK	samples/법제처/2020/export-tables-010020.hwp	법제처	2020	hwp	6	6	1	1
u_export_tables-010021	export-tables	span	SPAN_OK	samples/행정안전부/2020/export-tables-010021.hwpx	행정안전부	2020	hwpx	7	6	5	1
u_export_tables-010022	export-tables	span	SPAN_OK	samples/국세청/2020/export-tables-010022.hwp	국세청	2020	hwp	8	6	7	2
u_export_tables-010023	export-tables	span	SPAN_OOB	samples/대법원/2020/export-tables-010023.hwpx	대법원	2020	hwpx	9	7	10	7
u_export_tables-010024	export-tables	span	SPAN_OK	samples/특허청/2020/export-tables-010024.hwp	특허청	2020	hwp	2	7	1	1
u_export_tables-010025	export-tables	span	SPAN_OK	samples/교육부/2020/export-tables-010025.hwpx	교육부	2020	hwpx	3	7	3	1
u_export_tables-010026	export-tables	span	SPAN_OK	samples/보건복지부/2020/export-tables-010026.hwp	보건복지부	2020	hwp	4	8	3	6
u_export_tables-010027	export-tables	span	SPAN_OK	samples/국토교통부/2020/export-tables-010027.hwpx	국토교통부	2020	hwpx	5	8	3	6
u_export_tables-010028	export-tables	span	SPAN_OK	samples/고용노동부/2020/export-tables-010028.hwp	고용노동부	2020	hwp	6	8	3	7
u_export_tables-010029	export-tables	span	SPAN_OK	samples/외교부/2020/export-tables-010029.hwpx	외교부	2020	hwpx	7	9	6	2
u_export_tables-010030	export-tables	span	SPAN_OOB	samples/기획재정부/2020/export-tables-010030.hwp	기획재정부	2020	hwp	8	9	9	3
u_export_tables-010031	export-tables	span	SPAN_OK	samples/공정거래위원회/2020/export-tables-010031.hwpx	공정거래위원회	2020	hwpx	9	9	6	3
u_export_tables-010032	export-tables	span	SPAN_OK	samples/금융위원회/2020/export-tables-010032.hwp	금융위원회	2020	hwp	2	2	1	1
u_export_tables-010033	export-tables	span	SPAN_OK	samples/통계청/2020/export-tables-010033.hwpx	통계청	2020	hwpx	3	2	2	1
u_export_tables-010034	export-tables	span	SPAN_OK	samples/기상청/2020/export-tables-010034.hwp	기상청	2020	hwp	4	2	3	2
u_export_tables-010035	export-tables	span	SPAN_OK	samples/관세청/2020/export-tables-010035.hwpx	관세청	2020	hwpx	5	3	1	2
u_export_tables-010036	export-tables	span	SPAN_OK	samples/검찰청/2020/export-tables-010036.hwp	검찰청	2020	hwp	6	3	5	3
u_export_tables-010037	export-tables	span	SPAN_OOB	samples/경찰청/2020/export-tables-010037.hwpx	경찰청	2020	hwpx	7	3	8	3
u_export_tables-010038	export-tables	span	SPAN_OK	samples/소방청/2020/export-tables-010038.hwp	소방청	2020	hwp	8	4	7	4
u_export_tables-010039	export-tables	span	SPAN_OK	samples/병무청/2020/export-tables-010039.hwpx	병무청	2020	hwpx	9	4	5	4
u_export_tables-010040	export-tables	span	SPAN_OK	samples/산림청/2020/export-tables-010040.hwp	산림청	2020	hwp	2	4	1	1
u_export_tables-010041	export-tables	span	SPAN_OK	samples/중소벤처기업부/2020/export-tables-010041.hwpx	중소벤처기업부	2020	hwpx	3	5	1	1
u_export_tables-010042	export-tables	span	SPAN_OK	samples/과학기술정보통신부/2020/export-tables-010042.hwp	과학기술정보통신부	2020	hwp	4	5	3	2
u_export_tables-010043	export-tables	span	SPAN_OK	samples/문화체육관광부/2020/export-tables-010043.hwpx	문화체육관광부	2020	hwpx	5	5	4	2
u_export_tables-010044	export-tables	span	SPAN_OOB	samples/환경부/2020/export-tables-010044.hwp	환경부	2020	hwp	6	6	7	1
