case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_text-010000	export-text	window	USAGE	samples/기획재정부/2019/export-text-010000.hwp	기획재정부	2019	hwp	12	1	12	
u_export_text-010001	export-text	window	WINDOW_MISS	samples/공정거래위원회/2019/export-text-010001.hwpx	공정거래위원회	2019	hwpx	5	0	13	
u_export_text-010002	export-text	window	WINDOW_LEAK	samples/금융위원회/2019/export-text-010002.hwp	금융위원회	2019	hwp	6	2	14	
u_export_text-010003	export-text	window	WINDOW_OK	samples/통계청/2019/export-text-010003.hwpx	통계청	2019	hwpx	7	1	15	
u_export_text-010004	export-text	window	WINDOW_OK	samples/기상청/2019/export-text-010004.hwp	기상청	2019	hwp	8	1	16	
u_export_text-010005	export-text	window	WINDOW_OK	samples/관세청/2019/export-text-010005.hwpx	관세청	2019	hwpx	9	1	17	
u_export_text-010006	export-text	window	WINDOW_OK	samples/검찰청/2019/export-text-010006.hwp	검찰청	2019	hwp	10	1	18	
u_export_text-010007	export-text	window	USAGE	samples/경찰청/2019/export-text-010007.hwpx	경찰청	2019	hwpx	19	1	19	
u_export_text-010008	export-text	window	WINDOW_MISS	samples/소방청/2019/export-text-010008.hwp	소방청	2019	hwp	4	0	8	
u_export_text-010009	export-text	window	WINDOW_LEAK	samples/병무청/2019/export-text-010009.hwpx	병무청	2019	hwpx	4	2	9	
u_export_text-010010	export-text	window	WINDOW_OK	samples/산림청/2019/export-text-010010.hwp	산림청	2019	hwp	4	1	10	
u_export_text-010011	export-text	window	WINDOW_OK	samples/중소벤처기업부/2019/export-text-010011.hwpx	중소벤처기업부	2019	hwpx	4	1	11	
u_export_text-010012	export-text	window	WINDOW_OK	samples/과학기술정보통신부/2019/export-text-010012.hwp	과학기술정보통신부	2019	hwp	4	1	12	
u_export_text-010013	export-text	window	WINDOW_OK	samples/문화체육관광부/2019/export-text-010013.hwpx	문화체육관광부	2019	hwpx	0	1	13	
u_export_text-010014	export-text	window	USAGE	samples/환경부/2019/export-text-010014.hwp	환경부	2019	hwp	14	1	14	
u_export_text-010015	export-text	window	WINDOW_MISS	samples/해양수산부/2019/export-text-010015.hwpx	해양수산부	2019	hwpx	2	0	15	
u_export_text-010016	export-text	window	WINDOW_LEAK	samples/서울특별시/2019/export-text-010016.hwp	서울특별시	2019	hwp	3	2	16	
u_export_text-010017	export-text	window	WINDOW_OK	samples/경기도/2019/export-text-010017.hwpx	경기도	2019	hwpx	4	1	17	
u_export_text-010018	export-text	window	WINDOW_OK	samples/부산광역시/2019/export-text-010018.hwp	부산광역시	2019	hwp	5	1	18	
u_export_text-010019	export-text	window	WINDOW_OK	samples/제주특별자치도/2019/export-text-010019.hwpx	제주특별자치도	2019	hwpx	6	1	19	
u_export_text-010020	export-text	window	WINDOW_OK	samples/법제처/2020/export-text-010020.hwp	법제처	2020	hwp	7	1	8	
u_export_text-010021	export-text	window	USAGE	samples/행정안전부/2020/export-text-010021.hwpx	행정안전부	2020	hwpx	9	1	9	
u_export_text-010022	export-text	window	WINDOW_MISS	samples/국세청/2020/export-text-010022.hwp	국세청	2020	hwp	9	0	10	
u_export_text-010023	export-text	window	WINDOW_LEAK	samples/대법원/2020/export-text-010023.hwpx	대법원	2020	hwpx	10	2	11	
u_export_text-010024	export-text	window	WINDOW_OK	samples/특허청/2020/export-text-010024.hwp	특허청	2020	hwp	11	1	12	
u_export_text-010025	export-text	window	WINDOW_OK	samples/교육부/2020/export-text-010025.hwpx	교육부	2020	hwpx	12	1	13	
u_export_text-010026	export-text	window	WINDOW_OK	samples/보건복지부/2020/export-text-010026.hwp	보건복지부	2020	hwp	13	1	14	
u_export_text-010027	export-text	window	WINDOW_OK	samples/국토교통부/2020/export-text-010027.hwpx	국토교통부	2020	hwpx	14	1	15	
u_export_text-010028	export-text	window	USAGE	samples/고용노동부/2020/export-text-010028.hwp	고용노동부	2020	hwp	16	1	16	
u_export_text-010029	export-text	window	WINDOW_MISS	samples/외교부/2020/export-text-010029.hwpx	외교부	2020	hwpx	16	0	17	
u_export_text-010030	export-text	window	WINDOW_LEAK	samples/기획재정부/2020/export-text-010030.hwp	기획재정부	2020	hwp	0	2	18	
u_export_text-010031	export-text	window	WINDOW_OK	samples/공정거래위원회/2020/export-text-010031.hwpx	공정거래위원회	2020	hwpx	1	1	19	
u_export_text-010032	export-text	window	WINDOW_OK	samples/금융위원회/2020/export-text-010032.hwp	금융위원회	2020	hwp	2	1	8	
u_export_text-010033	export-text	window	WINDOW_OK	samples/통계청/2020/export-text-010033.hwpx	통계청	2020	hwpx	3	1	9	
