case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_extract_data-010000	extract-data	kind	KIND_OK	samples/기획재정부/2019/extract-data-010000.hwp	기획재정부	2019	hwp	date	4	4	
u_extract_data-010001	extract-data	kind	COUNT_DRIFT	samples/공정거래위원회/2019/extract-data-010001.hwpx	공정거래위원회	2019	hwpx	amount	5	6	
u_extract_data-010002	extract-data	kind	KIND_UNKNOWN	samples/금융위원회/2019/extract-data-010002.hwp	금융위원회	2019	hwp	token	6	6	
u_extract_data-010003	extract-data	kind	KIND_OK	samples/통계청/2019/extract-data-010003.hwpx	통계청	2019	hwpx	date	7	7	
u_extract_data-010004	extract-data	kind	KIND_OK	samples/기상청/2019/extract-data-010004.hwp	기상청	2019	hwp	amount	8	8	
u_extract_data-010005	extract-data	kind	KIND_OK	samples/관세청/2019/extract-data-010005.hwpx	관세청	2019	hwpx	number	9	9	
u_extract_data-010006	extract-data	kind	KIND_OK	samples/검찰청/2019/extract-data-010006.hwp	검찰청	2019	hwp	all	10	10	
u_extract_data-010007	extract-data	kind	KIND_OK	samples/경찰청/2019/extract-data-010007.hwpx	경찰청	2019	hwpx	date	11	11	
u_extract_data-010008	extract-data	kind	COUNT_DRIFT	samples/소방청/2019/extract-data-010008.hwp	소방청	2019	hwp	amount	0	1	
u_extract_data-010009	extract-data	kind	KIND_UNKNOWN	samples/병무청/2019/extract-data-010009.hwpx	병무청	2019	hwpx	token	1	1	
u_extract_data-010010	extract-data	kind	KIND_OK	samples/산림청/2019/extract-data-010010.hwp	산림청	2019	hwp	date	2	2	
u_extract_data-010011	extract-data	kind	KIND_OK	samples/중소벤처기업부/2019/extract-data-010011.hwpx	중소벤처기업부	2019	hwpx	amount	3	3	
u_extract_data-010012	extract-data	kind	KIND_OK	samples/과학기술정보통신부/2019/extract-data-010012.hwp	과학기술정보통신부	2019	hwp	number	4	4	
u_extract_data-010013	extract-data	kind	KIND_OK	samples/문화체육관광부/2019/extract-data-010013.hwpx	문화체육관광부	2019	hwpx	all	5	5	
u_extract_data-010014	extract-data	kind	KIND_OK	samples/환경부/2019/extract-data-010014.hwp	환경부	2019	hwp	date	6	6	
u_extract_data-010015	extract-data	kind	COUNT_DRIFT	samples/해양수산부/2019/extract-data-010015.hwpx	해양수산부	2019	hwpx	amount	7	8	
u_extract_data-010016	extract-data	kind	KIND_UNKNOWN	samples/서울특별시/2019/extract-data-010016.hwp	서울특별시	2019	hwp	token	8	8	
u_extract_data-010017	extract-data	kind	KIND_OK	samples/경기도/2019/extract-data-010017.hwpx	경기도	2019	hwpx	date	9	9	
u_extract_data-010018	extract-data	kind	KIND_OK	samples/부산광역시/2019/extract-data-010018.hwp	부산광역시	2019	hwp	amount	10	10	
u_extract_data-010019	extract-data	kind	KIND_OK	samples/제주특별자치도/2019/extract-data-010019.hwpx	제주특별자치도	2019	hwpx	number	11	11	
u_extract_data-010020	extract-data	kind	KIND_OK	samples/법제처/2020/extract-data-010020.hwp	법제처	2020	hwp	all	0	0	
u_extract_data-010021	extract-data	kind	KIND_OK	samples/행정안전부/2020/extract-data-010021.hwpx	행정안전부	2020	hwpx	date	1	1	
u_extract_data-010022	extract-data	kind	COUNT_DRIFT	samples/국세청/2020/extract-data-010022.hwp	국세청	2020	hwp	amount	2	3	
u_extract_data-010023	extract-data	kind	KIND_UNKNOWN	samples/대법원/2020/extract-data-010023.hwpx	대법원	2020	hwpx	token	3	3	
u_extract_data-010024	extract-data	kind	KIND_OK	samples/특허청/2020/extract-data-010024.hwp	특허청	2020	hwp	date	4	4	
u_extract_data-010025	extract-data	kind	KIND_OK	samples/교육부/2020/extract-data-010025.hwpx	교육부	2020	hwpx	amount	5	5	
u_extract_data-010026	extract-data	kind	KIND_OK	samples/보건복지부/2020/extract-data-010026.hwp	보건복지부	2020	hwp	number	6	6	
u_extract_data-010027	extract-data	kind	KIND_OK	samples/국토교통부/2020/extract-data-010027.hwpx	국토교통부	2020	hwpx	all	7	7	
u_extract_data-010028	extract-data	kind	KIND_OK	samples/고용노동부/2020/extract-data-010028.hwp	고용노동부	2020	hwp	date	8	8	
u_extract_data-010029	extract-data	kind	COUNT_DRIFT	samples/외교부/2020/extract-data-010029.hwpx	외교부	2020	hwpx	amount	9	10	
u_extract_data-010030	extract-data	kind	KIND_UNKNOWN	samples/기획재정부/2020/extract-data-010030.hwp	기획재정부	2020	hwp	token	10	10	
u_extract_data-010031	extract-data	kind	KIND_OK	samples/공정거래위원회/2020/extract-data-010031.hwpx	공정거래위원회	2020	hwpx	date	11	11	
