case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_gate-000000	gate	avail	UNAVAIL_OK	samples/법제처/2016/gate-000000.hwp	법제처	2016	hwp	0	2		
u_gate-000001	gate	avail	UNAVAIL_LIE	samples/행정안전부/2016/gate-000001.hwpx	행정안전부	2016	hwpx	0	0		
u_gate-000002	gate	avail	UNAVAIL_LIE	samples/국세청/2016/gate-000002.hwp	국세청	2016	hwp	0	1		
u_gate-000003	gate	avail	AVAIL_RUN	samples/대법원/2016/gate-000003.hwpx	대법원	2016	hwpx	1	0		
u_gate-000004	gate	avail	AVAIL_RUN	samples/특허청/2016/gate-000004.hwp	특허청	2016	hwp	1	3		
u_gate-000005	gate	avail	FALSE_UNAVAIL	samples/교육부/2016/gate-000005.hwpx	교육부	2016	hwpx	1	2		
u_gate-000006	gate	avail	EXIT_UNKNOWN	samples/보건복지부/2016/gate-000006.hwp	보건복지부	2016	hwp	1	9		
u_gate-000007	gate	avail	UNAVAIL_OK	samples/국토교통부/2016/gate-000007.hwpx	국토교통부	2016	hwpx	0	2		
u_gate-000008	gate	avail	UNAVAIL_LIE	samples/고용노동부/2016/gate-000008.hwp	고용노동부	2016	hwp	0	0		
u_gate-000009	gate	avail	UNAVAIL_LIE	samples/외교부/2016/gate-000009.hwpx	외교부	2016	hwpx	0	1		
u_gate-000010	gate	avail	AVAIL_RUN	samples/기획재정부/2016/gate-000010.hwp	기획재정부	2016	hwp	1	0		
u_gate-000011	gate	avail	AVAIL_RUN	samples/공정거래위원회/2016/gate-000011.hwpx	공정거래위원회	2016	hwpx	1	3		
u_gate-000012	gate	avail	FALSE_UNAVAIL	samples/금융위원회/2016/gate-000012.hwp	금융위원회	2016	hwp	1	2		
u_gate-000013	gate	avail	EXIT_UNKNOWN	samples/통계청/2016/gate-000013.hwpx	통계청	2016	hwpx	1	9		
u_gate-000014	gate	avail	UNAVAIL_OK	samples/기상청/2016/gate-000014.hwp	기상청	2016	hwp	0	2		
u_gate-000015	gate	avail	UNAVAIL_LIE	samples/관세청/2016/gate-000015.hwpx	관세청	2016	hwpx	0	0		
u_gate-000016	gate	avail	UNAVAIL_LIE	samples/검찰청/2016/gate-000016.hwp	검찰청	2016	hwp	0	1		
