case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_gpu_info-010000	gpu-info	avail	AVAIL_RUN	samples/기획재정부/2019/gpu-info-010000.hwp	기획재정부	2019	hwp	1	3		
u_gpu_info-010001	gpu-info	avail	FALSE_UNAVAIL	samples/공정거래위원회/2019/gpu-info-010001.hwpx	공정거래위원회	2019	hwpx	1	2		
u_gpu_info-010002	gpu-info	avail	EXIT_UNKNOWN	samples/금융위원회/2019/gpu-info-010002.hwp	금융위원회	2019	hwp	1	9		
u_gpu_info-010003	gpu-info	avail	UNAVAIL_OK	samples/통계청/2019/gpu-info-010003.hwpx	통계청	2019	hwpx	0	2		
u_gpu_info-010004	gpu-info	avail	UNAVAIL_LIE	samples/기상청/2019/gpu-info-010004.hwp	기상청	2019	hwp	0	0		
u_gpu_info-010005	gpu-info	avail	UNAVAIL_LIE	samples/관세청/2019/gpu-info-010005.hwpx	관세청	2019	hwpx	0	1		
u_gpu_info-010006	gpu-info	avail	AVAIL_RUN	samples/검찰청/2019/gpu-info-010006.hwp	검찰청	2019	hwp	1	0		
u_gpu_info-010007	gpu-info	avail	AVAIL_RUN	samples/경찰청/2019/gpu-info-010007.hwpx	경찰청	2019	hwpx	1	3		
u_gpu_info-010008	gpu-info	avail	FALSE_UNAVAIL	samples/소방청/2019/gpu-info-010008.hwp	소방청	2019	hwp	1	2		
u_gpu_info-010009	gpu-info	avail	EXIT_UNKNOWN	samples/병무청/2019/gpu-info-010009.hwpx	병무청	2019	hwpx	1	9		
u_gpu_info-010010	gpu-info	avail	UNAVAIL_OK	samples/산림청/2019/gpu-info-010010.hwp	산림청	2019	hwp	0	2		
u_gpu_info-010011	gpu-info	avail	UNAVAIL_LIE	samples/중소벤처기업부/2019/gpu-info-010011.hwpx	중소벤처기업부	2019	hwpx	0	0		
u_gpu_info-010012	gpu-info	avail	UNAVAIL_LIE	samples/과학기술정보통신부/2019/gpu-info-010012.hwp	과학기술정보통신부	2019	hwp	0	1		
u_gpu_info-010013	gpu-info	avail	AVAIL_RUN	samples/문화체육관광부/2019/gpu-info-010013.hwpx	문화체육관광부	2019	hwpx	1	0		
u_gpu_info-010014	gpu-info	avail	AVAIL_RUN	samples/환경부/2019/gpu-info-010014.hwp	환경부	2019	hwp	1	3		
u_gpu_info-010015	gpu-info	avail	FALSE_UNAVAIL	samples/해양수산부/2019/gpu-info-010015.hwpx	해양수산부	2019	hwpx	1	2		
u_gpu_info-010016	gpu-info	avail	EXIT_UNKNOWN	samples/서울특별시/2019/gpu-info-010016.hwp	서울특별시	2019	hwp	1	9		
u_gpu_info-010017	gpu-info	avail	UNAVAIL_OK	samples/경기도/2019/gpu-info-010017.hwpx	경기도	2019	hwpx	0	2		
u_gpu_info-010018	gpu-info	avail	UNAVAIL_LIE	samples/부산광역시/2019/gpu-info-010018.hwp	부산광역시	2019	hwp	0	0		
u_gpu_info-010019	gpu-info	avail	UNAVAIL_LIE	samples/제주특별자치도/2019/gpu-info-010019.hwpx	제주특별자치도	2019	hwpx	0	1		
u_gpu_info-010020	gpu-info	avail	AVAIL_RUN	samples/법제처/2020/gpu-info-010020.hwp	법제처	2020	hwp	1	0		
u_gpu_info-010021	gpu-info	avail	AVAIL_RUN	samples/행정안전부/2020/gpu-info-010021.hwpx	행정안전부	2020	hwpx	1	3		
u_gpu_info-010022	gpu-info	avail	FALSE_UNAVAIL	samples/국세청/2020/gpu-info-010022.hwp	국세청	2020	hwp	1	2		
u_gpu_info-010023	gpu-info	avail	EXIT_UNKNOWN	samples/대법원/2020/gpu-info-010023.hwpx	대법원	2020	hwpx	1	9		
u_gpu_info-010024	gpu-info	avail	UNAVAIL_OK	samples/특허청/2020/gpu-info-010024.hwp	특허청	2020	hwp	0	2		
u_gpu_info-010025	gpu-info	avail	UNAVAIL_LIE	samples/교육부/2020/gpu-info-010025.hwpx	교육부	2020	hwpx	0	0		
u_gpu_info-010026	gpu-info	avail	UNAVAIL_LIE	samples/보건복지부/2020/gpu-info-010026.hwp	보건복지부	2020	hwp	0	1		
u_gpu_info-010027	gpu-info	avail	AVAIL_RUN	samples/국토교통부/2020/gpu-info-010027.hwpx	국토교통부	2020	hwpx	1	0		
u_gpu_info-010028	gpu-info	avail	AVAIL_RUN	samples/고용노동부/2020/gpu-info-010028.hwp	고용노동부	2020	hwp	1	3		
u_gpu_info-010029	gpu-info	avail	FALSE_UNAVAIL	samples/외교부/2020/gpu-info-010029.hwpx	외교부	2020	hwpx	1	2		
u_gpu_info-010030	gpu-info	avail	EXIT_UNKNOWN	samples/기획재정부/2020/gpu-info-010030.hwp	기획재정부	2020	hwp	1	9		
u_gpu_info-010031	gpu-info	avail	UNAVAIL_OK	samples/공정거래위원회/2020/gpu-info-010031.hwpx	공정거래위원회	2020	hwpx	0	2		
u_gpu_info-010032	gpu-info	avail	UNAVAIL_LIE	samples/금융위원회/2020/gpu-info-010032.hwp	금융위원회	2020	hwp	0	0		
u_gpu_info-010033	gpu-info	avail	UNAVAIL_LIE	samples/통계청/2020/gpu-info-010033.hwpx	통계청	2020	hwpx	0	1		
u_gpu_info-010034	gpu-info	avail	AVAIL_RUN	samples/기상청/2020/gpu-info-010034.hwp	기상청	2020	hwp	1	0		
u_gpu_info-010035	gpu-info	avail	AVAIL_RUN	samples/관세청/2020/gpu-info-010035.hwpx	관세청	2020	hwpx	1	3		
u_gpu_info-010036	gpu-info	avail	FALSE_UNAVAIL	samples/검찰청/2020/gpu-info-010036.hwp	검찰청	2020	hwp	1	2		
u_gpu_info-010037	gpu-info	avail	EXIT_UNKNOWN	samples/경찰청/2020/gpu-info-010037.hwpx	경찰청	2020	hwpx	1	9		
u_gpu_info-010038	gpu-info	avail	UNAVAIL_OK	samples/소방청/2020/gpu-info-010038.hwp	소방청	2020	hwp	0	2		
u_gpu_info-010039	gpu-info	avail	UNAVAIL_LIE	samples/병무청/2020/gpu-info-010039.hwpx	병무청	2020	hwpx	0	0		
u_gpu_info-010040	gpu-info	avail	UNAVAIL_LIE	samples/산림청/2020/gpu-info-010040.hwp	산림청	2020	hwp	0	1		
u_gpu_info-010041	gpu-info	avail	AVAIL_RUN	samples/중소벤처기업부/2020/gpu-info-010041.hwpx	중소벤처기업부	2020	hwpx	1	0		
u_gpu_info-010042	gpu-info	avail	AVAIL_RUN	samples/과학기술정보통신부/2020/gpu-info-010042.hwp	과학기술정보통신부	2020	hwp	1	3		
u_gpu_info-010043	gpu-info	avail	FALSE_UNAVAIL	samples/문화체육관광부/2020/gpu-info-010043.hwpx	문화체육관광부	2020	hwpx	1	2		
u_gpu_info-010044	gpu-info	avail	EXIT_UNKNOWN	samples/환경부/2020/gpu-info-010044.hwp	환경부	2020	hwp	1	9		
u_gpu_info-010045	gpu-info	avail	UNAVAIL_OK	samples/해양수산부/2020/gpu-info-010045.hwpx	해양수산부	2020	hwpx	0	2		
u_gpu_info-010046	gpu-info	avail	UNAVAIL_LIE	samples/서울특별시/2020/gpu-info-010046.hwp	서울특별시	2020	hwp	0	0		
u_gpu_info-010047	gpu-info	avail	UNAVAIL_LIE	samples/경기도/2020/gpu-info-010047.hwpx	경기도	2020	hwpx	0	1		
u_gpu_info-010048	gpu-info	avail	AVAIL_RUN	samples/부산광역시/2020/gpu-info-010048.hwp	부산광역시	2020	hwp	1	0		
u_gpu_info-010049	gpu-info	avail	AVAIL_RUN	samples/제주특별자치도/2020/gpu-info-010049.hwpx	제주특별자치도	2020	hwpx	1	3		
u_gpu_info-010050	gpu-info	avail	FALSE_UNAVAIL	samples/법제처/2021/gpu-info-010050.hwp	법제처	2021	hwp	1	2		
u_gpu_info-010051	gpu-info	avail	EXIT_UNKNOWN	samples/행정안전부/2021/gpu-info-010051.hwpx	행정안전부	2021	hwpx	1	9		
u_gpu_info-010052	gpu-info	avail	UNAVAIL_OK	samples/국세청/2021/gpu-info-010052.hwp	국세청	2021	hwp	0	2		
u_gpu_info-010053	gpu-info	avail	UNAVAIL_LIE	samples/대법원/2021/gpu-info-010053.hwpx	대법원	2021	hwpx	0	0		
u_gpu_info-010054	gpu-info	avail	UNAVAIL_LIE	samples/특허청/2021/gpu-info-010054.hwp	특허청	2021	hwp	0	1		
u_gpu_info-010055	gpu-info	avail	AVAIL_RUN	samples/교육부/2021/gpu-info-010055.hwpx	교육부	2021	hwpx	1	0		
u_gpu_info-010056	gpu-info	avail	AVAIL_RUN	samples/보건복지부/2021/gpu-info-010056.hwp	보건복지부	2021	hwp	1	3		
u_gpu_info-010057	gpu-info	avail	FALSE_UNAVAIL	samples/국토교통부/2021/gpu-info-010057.hwpx	국토교통부	2021	hwpx	1	2		
u_gpu_info-010058	gpu-info	avail	EXIT_UNKNOWN	samples/고용노동부/2021/gpu-info-010058.hwp	고용노동부	2021	hwp	1	9		
u_gpu_info-010059	gpu-info	avail	UNAVAIL_OK	samples/외교부/2021/gpu-info-010059.hwpx	외교부	2021	hwpx	0	2		
u_gpu_info-010060	gpu-info	avail	UNAVAIL_LIE	samples/기획재정부/2021/gpu-info-010060.hwp	기획재정부	2021	hwp	0	0		
u_gpu_info-010061	gpu-info	avail	UNAVAIL_LIE	samples/공정거래위원회/2021/gpu-info-010061.hwpx	공정거래위원회	2021	hwpx	0	1		
u_gpu_info-010062	gpu-info	avail	AVAIL_RUN	samples/금융위원회/2021/gpu-info-010062.hwp	금융위원회	2021	hwp	1	0		
u_gpu_info-010063	gpu-info	avail	AVAIL_RUN	samples/통계청/2021/gpu-info-010063.hwpx	통계청	2021	hwpx	1	3		
u_gpu_info-010064	gpu-info	avail	FALSE_UNAVAIL	samples/기상청/2021/gpu-info-010064.hwp	기상청	2021	hwp	1	2		
u_gpu_info-010065	gpu-info	avail	EXIT_UNKNOWN	samples/관세청/2021/gpu-info-010065.hwpx	관세청	2021	hwpx	1	9		
u_gpu_info-010066	gpu-info	avail	UNAVAIL_OK	samples/검찰청/2021/gpu-info-010066.hwp	검찰청	2021	hwp	0	2		
u_gpu_info-010067	gpu-info	avail	UNAVAIL_LIE	samples/경찰청/2021/gpu-info-010067.hwpx	경찰청	2021	hwpx	0	0		
u_gpu_info-010068	gpu-info	avail	UNAVAIL_LIE	samples/소방청/2021/gpu-info-010068.hwp	소방청	2021	hwp	0	1		
u_gpu_info-010069	gpu-info	avail	AVAIL_RUN	samples/병무청/2021/gpu-info-010069.hwpx	병무청	2021	hwpx	1	0		
u_gpu_info-010070	gpu-info	avail	AVAIL_RUN	samples/산림청/2021/gpu-info-010070.hwp	산림청	2021	hwp	1	3		
u_gpu_info-010071	gpu-info	avail	FALSE_UNAVAIL	samples/중소벤처기업부/2021/gpu-info-010071.hwpx	중소벤처기업부	2021	hwpx	1	2		
u_gpu_info-010072	gpu-info	avail	EXIT_UNKNOWN	samples/과학기술정보통신부/2021/gpu-info-010072.hwp	과학기술정보통신부	2021	hwp	1	9		
u_gpu_info-010073	gpu-info	avail	UNAVAIL_OK	samples/문화체육관광부/2021/gpu-info-010073.hwpx	문화체육관광부	2021	hwpx	0	2		
u_gpu_info-010074	gpu-info	avail	UNAVAIL_LIE	samples/환경부/2021/gpu-info-010074.hwp	환경부	2021	hwp	0	0		
u_gpu_info-010075	gpu-info	avail	UNAVAIL_LIE	samples/해양수산부/2021/gpu-info-010075.hwpx	해양수산부	2021	hwpx	0	1		
u_gpu_info-010076	gpu-info	avail	AVAIL_RUN	samples/서울특별시/2021/gpu-info-010076.hwp	서울특별시	2021	hwp	1	0		
u_gpu_info-010077	gpu-info	avail	AVAIL_RUN	samples/경기도/2021/gpu-info-010077.hwpx	경기도	2021	hwpx	1	3		
u_gpu_info-010078	gpu-info	avail	FALSE_UNAVAIL	samples/부산광역시/2021/gpu-info-010078.hwp	부산광역시	2021	hwp	1	2		
u_gpu_info-010079	gpu-info	avail	EXIT_UNKNOWN	samples/제주특별자치도/2021/gpu-info-010079.hwpx	제주특별자치도	2021	hwpx	1	9		
u_gpu_info-010080	gpu-info	avail	UNAVAIL_OK	samples/법제처/2022/gpu-info-010080.hwp	법제처	2022	hwp	0	2		
u_gpu_info-010081	gpu-info	avail	UNAVAIL_LIE	samples/행정안전부/2022/gpu-info-010081.hwpx	행정안전부	2022	hwpx	0	0		
u_gpu_info-010082	gpu-info	avail	UNAVAIL_LIE	samples/국세청/2022/gpu-info-010082.hwp	국세청	2022	hwp	0	1		
u_gpu_info-010083	gpu-info	avail	AVAIL_RUN	samples/대법원/2022/gpu-info-010083.hwpx	대법원	2022	hwpx	1	0		
u_gpu_info-010084	gpu-info	avail	AVAIL_RUN	samples/특허청/2022/gpu-info-010084.hwp	특허청	2022	hwp	1	3		
u_gpu_info-010085	gpu-info	avail	FALSE_UNAVAIL	samples/교육부/2022/gpu-info-010085.hwpx	교육부	2022	hwpx	1	2		
u_gpu_info-010086	gpu-info	avail	EXIT_UNKNOWN	samples/보건복지부/2022/gpu-info-010086.hwp	보건복지부	2022	hwp	1	9		
u_gpu_info-010087	gpu-info	avail	UNAVAIL_OK	samples/국토교통부/2022/gpu-info-010087.hwpx	국토교통부	2022	hwpx	0	2		
u_gpu_info-010088	gpu-info	avail	UNAVAIL_LIE	samples/고용노동부/2022/gpu-info-010088.hwp	고용노동부	2022	hwp	0	0		
u_gpu_info-010089	gpu-info	avail	UNAVAIL_LIE	samples/외교부/2022/gpu-info-010089.hwpx	외교부	2022	hwpx	0	1		
u_gpu_info-010090	gpu-info	avail	AVAIL_RUN	samples/기획재정부/2022/gpu-info-010090.hwp	기획재정부	2022	hwp	1	0		
u_gpu_info-010091	gpu-info	avail	AVAIL_RUN	samples/공정거래위원회/2022/gpu-info-010091.hwpx	공정거래위원회	2022	hwpx	1	3		
