case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_header_footer-005000	header-footer	window	WINDOW_OK	samples/산림청/2017/header-footer-005000.hwp	산림청	2017	hwp	2	1	16	
u_header_footer-005001	header-footer	window	WINDOW_OK	samples/중소벤처기업부/2017/header-footer-005001.hwpx	중소벤처기업부	2017	hwpx	3	1	17	
u_header_footer-005002	header-footer	window	USAGE	samples/과학기술정보통신부/2017/header-footer-005002.hwp	과학기술정보통신부	2017	hwp	18	1	18	
u_header_footer-005003	header-footer	window	WINDOW_MISS	samples/문화체육관광부/2017/header-footer-005003.hwpx	문화체육관광부	2017	hwpx	5	0	19	
u_header_footer-005004	header-footer	window	WINDOW_LEAK	samples/환경부/2017/header-footer-005004.hwp	환경부	2017	hwp	6	2	8	
u_header_footer-005005	header-footer	window	WINDOW_OK	samples/해양수산부/2017/header-footer-005005.hwpx	해양수산부	2017	hwpx	7	1	9	
u_header_footer-005006	header-footer	window	WINDOW_OK	samples/서울특별시/2017/header-footer-005006.hwp	서울특별시	2017	hwp	8	1	10	
u_header_footer-005007	header-footer	window	WINDOW_OK	samples/경기도/2017/header-footer-005007.hwpx	경기도	2017	hwpx	9	1	11	
u_header_footer-005008	header-footer	window	WINDOW_OK	samples/부산광역시/2017/header-footer-005008.hwp	부산광역시	2017	hwp	10	1	12	
u_header_footer-005009	header-footer	window	USAGE	samples/제주특별자치도/2017/header-footer-005009.hwpx	제주특별자치도	2017	hwpx	13	1	13	
u_header_footer-005010	header-footer	window	WINDOW_MISS	samples/법제처/2018/header-footer-005010.hwp	법제처	2018	hwp	12	0	14	
u_header_footer-005011	header-footer	window	WINDOW_LEAK	samples/행정안전부/2018/header-footer-005011.hwpx	행정안전부	2018	hwpx	13	2	15	
u_header_footer-005012	header-footer	window	WINDOW_OK	samples/국세청/2018/header-footer-005012.hwp	국세청	2018	hwp	14	1	16	
u_header_footer-005013	header-footer	window	WINDOW_OK	samples/대법원/2018/header-footer-005013.hwpx	대법원	2018	hwpx	15	1	17	
u_header_footer-005014	header-footer	window	WINDOW_OK	samples/특허청/2018/header-footer-005014.hwp	특허청	2018	hwp	16	1	18	
u_header_footer-005015	header-footer	window	WINDOW_OK	samples/교육부/2018/header-footer-005015.hwpx	교육부	2018	hwpx	0	1	19	
u_header_footer-005016	header-footer	window	USAGE	samples/보건복지부/2018/header-footer-005016.hwp	보건복지부	2018	hwp	8	1	8	
u_header_footer-005017	header-footer	window	WINDOW_MISS	samples/국토교통부/2018/header-footer-005017.hwpx	국토교통부	2018	hwpx	2	0	9	
u_header_footer-005018	header-footer	window	WINDOW_LEAK	samples/고용노동부/2018/header-footer-005018.hwp	고용노동부	2018	hwp	3	2	10	
u_header_footer-005019	header-footer	window	WINDOW_OK	samples/외교부/2018/header-footer-005019.hwpx	외교부	2018	hwpx	4	1	11	
u_header_footer-005020	header-footer	window	WINDOW_OK	samples/기획재정부/2018/header-footer-005020.hwp	기획재정부	2018	hwp	5	1	12	
u_header_footer-005021	header-footer	window	WINDOW_OK	samples/공정거래위원회/2018/header-footer-005021.hwpx	공정거래위원회	2018	hwpx	6	1	13	
u_header_footer-005022	header-footer	window	WINDOW_OK	samples/금융위원회/2018/header-footer-005022.hwp	금융위원회	2018	hwp	7	1	14	
u_header_footer-005023	header-footer	window	USAGE	samples/통계청/2018/header-footer-005023.hwpx	통계청	2018	hwpx	15	1	15	
u_header_footer-005024	header-footer	window	WINDOW_MISS	samples/기상청/2018/header-footer-005024.hwp	기상청	2018	hwp	9	0	16	
u_header_footer-005025	header-footer	window	WINDOW_LEAK	samples/관세청/2018/header-footer-005025.hwpx	관세청	2018	hwpx	10	2	17	
u_header_footer-005026	header-footer	window	WINDOW_OK	samples/검찰청/2018/header-footer-005026.hwp	검찰청	2018	hwp	11	1	18	
u_header_footer-005027	header-footer	window	WINDOW_OK	samples/경찰청/2018/header-footer-005027.hwpx	경찰청	2018	hwpx	12	1	19	
u_header_footer-005028	header-footer	window	WINDOW_OK	samples/소방청/2018/header-footer-005028.hwp	소방청	2018	hwp	5	1	8	
u_header_footer-005029	header-footer	window	WINDOW_OK	samples/병무청/2018/header-footer-005029.hwpx	병무청	2018	hwpx	5	1	9	
