case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_hwp5_char_shape_audit-005000	hwp5-char-shape-audit	round	ROUND_OK	samples/산림청/2017/hwp5-char-shape-audit-005000.hwp	산림청	2017	hwp	1	1	1	
u_hwp5_char_shape_audit-005001	hwp5-char-shape-audit	round	ROUND_OK	samples/중소벤처기업부/2017/hwp5-char-shape-audit-005001.hwpx	중소벤처기업부	2017	hwpx	2	2	1	
u_hwp5_char_shape_audit-005002	hwp5-char-shape-audit	round	FORMAT_NA	samples/과학기술정보통신부/2017/hwp5-char-shape-audit-005002.hwp	과학기술정보통신부	2017	hwp	3	3	0	
u_hwp5_char_shape_audit-005003	hwp5-char-shape-audit	round	ROUND_DRIFT	samples/문화체육관광부/2017/hwp5-char-shape-audit-005003.hwpx	문화체육관광부	2017	hwpx	4	5	1	
u_hwp5_char_shape_audit-005004	hwp5-char-shape-audit	round	ROUND_DRIFT	samples/환경부/2017/hwp5-char-shape-audit-005004.hwp	환경부	2017	hwp	5	4	1	
u_hwp5_char_shape_audit-005005	hwp5-char-shape-audit	round	ROUND_OK	samples/해양수산부/2017/hwp5-char-shape-audit-005005.hwpx	해양수산부	2017	hwpx	6	6	1	
u_hwp5_char_shape_audit-005006	hwp5-char-shape-audit	round	ROUND_OK	samples/서울특별시/2017/hwp5-char-shape-audit-005006.hwp	서울특별시	2017	hwp	7	7	1	
u_hwp5_char_shape_audit-005007	hwp5-char-shape-audit	round	ROUND_OK	samples/경기도/2017/hwp5-char-shape-audit-005007.hwpx	경기도	2017	hwpx	8	8	1	
u_hwp5_char_shape_audit-005008	hwp5-char-shape-audit	round	ROUND_OK	samples/부산광역시/2017/hwp5-char-shape-audit-005008.hwp	부산광역시	2017	hwp	9	9	1	
u_hwp5_char_shape_audit-005009	hwp5-char-shape-audit	round	FORMAT_NA	samples/제주특별자치도/2017/hwp5-char-shape-audit-005009.hwpx	제주특별자치도	2017	hwpx	10	10	0	
u_hwp5_char_shape_audit-005010	hwp5-char-shape-audit	round	ROUND_DRIFT	samples/법제처/2018/hwp5-char-shape-audit-005010.hwp	법제처	2018	hwp	11	12	1	
u_hwp5_char_shape_audit-005011	hwp5-char-shape-audit	round	ROUND_DRIFT	samples/행정안전부/2018/hwp5-char-shape-audit-005011.hwpx	행정안전부	2018	hwpx	12	11	1	
