case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_hwp5_inventory-010000	hwp5-inventory	count_eq	COUNT_OK	samples/기획재정부/2019/hwp5-inventory-010000.hwp	기획재정부	2019	hwp	16	16		
u_hwp5_inventory-010001	hwp5-inventory	count_eq	COUNT_DRIFT	samples/공정거래위원회/2019/hwp5-inventory-010001.hwpx	공정거래위원회	2019	hwpx	17	18		
u_hwp5_inventory-010002	hwp5-inventory	count_eq	COUNT_DRIFT	samples/금융위원회/2019/hwp5-inventory-010002.hwp	금융위원회	2019	hwp	18	17		
u_hwp5_inventory-010003	hwp5-inventory	count_eq	COUNT_OK	samples/통계청/2019/hwp5-inventory-010003.hwpx	통계청	2019	hwpx	19	19		
u_hwp5_inventory-010004	hwp5-inventory	count_eq	COUNT_OK	samples/기상청/2019/hwp5-inventory-010004.hwp	기상청	2019	hwp	20	20		
u_hwp5_inventory-010005	hwp5-inventory	count_eq	COUNT_OK	samples/관세청/2019/hwp5-inventory-010005.hwpx	관세청	2019	hwpx	21	21		
u_hwp5_inventory-010006	hwp5-inventory	count_eq	COUNT_OK	samples/검찰청/2019/hwp5-inventory-010006.hwp	검찰청	2019	hwp	22	22		
u_hwp5_inventory-010007	hwp5-inventory	count_eq	COUNT_OK	samples/경찰청/2019/hwp5-inventory-010007.hwpx	경찰청	2019	hwpx	23	23		
u_hwp5_inventory-010008	hwp5-inventory	count_eq	COUNT_DRIFT	samples/소방청/2019/hwp5-inventory-010008.hwp	소방청	2019	hwp	0	1		
u_hwp5_inventory-010009	hwp5-inventory	count_eq	COUNT_DRIFT	samples/병무청/2019/hwp5-inventory-010009.hwpx	병무청	2019	hwpx	1	0		
u_hwp5_inventory-010010	hwp5-inventory	count_eq	COUNT_OK	samples/산림청/2019/hwp5-inventory-010010.hwp	산림청	2019	hwp	2	2		
u_hwp5_inventory-010011	hwp5-inventory	count_eq	COUNT_OK	samples/중소벤처기업부/2019/hwp5-inventory-010011.hwpx	중소벤처기업부	2019	hwpx	3	3		
u_hwp5_inventory-010012	hwp5-inventory	count_eq	COUNT_OK	samples/과학기술정보통신부/2019/hwp5-inventory-010012.hwp	과학기술정보통신부	2019	hwp	4	4		
u_hwp5_inventory-010013	hwp5-inventory	count_eq	COUNT_OK	samples/문화체육관광부/2019/hwp5-inventory-010013.hwpx	문화체육관광부	2019	hwpx	5	5		
u_hwp5_inventory-010014	hwp5-inventory	count_eq	COUNT_OK	samples/환경부/2019/hwp5-inventory-010014.hwp	환경부	2019	hwp	6	6		
u_hwp5_inventory-010015	hwp5-inventory	count_eq	COUNT_DRIFT	samples/해양수산부/2019/hwp5-inventory-010015.hwpx	해양수산부	2019	hwpx	7	8		
u_hwp5_inventory-010016	hwp5-inventory	count_eq	COUNT_DRIFT	samples/서울특별시/2019/hwp5-inventory-010016.hwp	서울특별시	2019	hwp	8	7		
u_hwp5_inventory-010017	hwp5-inventory	count_eq	COUNT_OK	samples/경기도/2019/hwp5-inventory-010017.hwpx	경기도	2019	hwpx	9	9		
u_hwp5_inventory-010018	hwp5-inventory	count_eq	COUNT_OK	samples/부산광역시/2019/hwp5-inventory-010018.hwp	부산광역시	2019	hwp	10	10		
u_hwp5_inventory-010019	hwp5-inventory	count_eq	COUNT_OK	samples/제주특별자치도/2019/hwp5-inventory-010019.hwpx	제주특별자치도	2019	hwpx	11	11		
u_hwp5_inventory-010020	hwp5-inventory	count_eq	COUNT_OK	samples/법제처/2020/hwp5-inventory-010020.hwp	법제처	2020	hwp	12	12		
u_hwp5_inventory-010021	hwp5-inventory	count_eq	COUNT_OK	samples/행정안전부/2020/hwp5-inventory-010021.hwpx	행정안전부	2020	hwpx	13	13		
u_hwp5_inventory-010022	hwp5-inventory	count_eq	COUNT_DRIFT	samples/국세청/2020/hwp5-inventory-010022.hwp	국세청	2020	hwp	14	15		
u_hwp5_inventory-010023	hwp5-inventory	count_eq	COUNT_DRIFT	samples/대법원/2020/hwp5-inventory-010023.hwpx	대법원	2020	hwpx	15	14		
u_hwp5_inventory-010024	hwp5-inventory	count_eq	COUNT_OK	samples/특허청/2020/hwp5-inventory-010024.hwp	특허청	2020	hwp	16	16		
u_hwp5_inventory-010025	hwp5-inventory	count_eq	COUNT_OK	samples/교육부/2020/hwp5-inventory-010025.hwpx	교육부	2020	hwpx	17	17		
u_hwp5_inventory-010026	hwp5-inventory	count_eq	COUNT_OK	samples/보건복지부/2020/hwp5-inventory-010026.hwp	보건복지부	2020	hwp	18	18		
u_hwp5_inventory-010027	hwp5-inventory	count_eq	COUNT_OK	samples/국토교통부/2020/hwp5-inventory-010027.hwpx	국토교통부	2020	hwpx	19	19		
u_hwp5_inventory-010028	hwp5-inventory	count_eq	COUNT_OK	samples/고용노동부/2020/hwp5-inventory-010028.hwp	고용노동부	2020	hwp	20	20		
u_hwp5_inventory-010029	hwp5-inventory	count_eq	COUNT_DRIFT	samples/외교부/2020/hwp5-inventory-010029.hwpx	외교부	2020	hwpx	21	22		
u_hwp5_inventory-010030	hwp5-inventory	count_eq	COUNT_DRIFT	samples/기획재정부/2020/hwp5-inventory-010030.hwp	기획재정부	2020	hwp	22	21		
u_hwp5_inventory-010031	hwp5-inventory	count_eq	COUNT_OK	samples/공정거래위원회/2020/hwp5-inventory-010031.hwpx	공정거래위원회	2020	hwpx	23	23		
u_hwp5_inventory-010032	hwp5-inventory	count_eq	COUNT_OK	samples/금융위원회/2020/hwp5-inventory-010032.hwp	금융위원회	2020	hwp	0	0		
u_hwp5_inventory-010033	hwp5-inventory	count_eq	COUNT_OK	samples/통계청/2020/hwp5-inventory-010033.hwpx	통계청	2020	hwpx	1	1		
u_hwp5_inventory-010034	hwp5-inventory	count_eq	COUNT_OK	samples/기상청/2020/hwp5-inventory-010034.hwp	기상청	2020	hwp	2	2		
