case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_hwp5_inventory_diff-005000	hwp5-inventory-diff	diff	DIFF_OK	samples/산림청/2017/hwp5-inventory-diff-005000.hwp	산림청	2017	hwp	0	0		
u_hwp5_inventory_diff-005001	hwp5-inventory-diff	diff	DIFF_OK	samples/중소벤처기업부/2017/hwp5-inventory-diff-005001.hwpx	중소벤처기업부	2017	hwpx	1	1		
u_hwp5_inventory_diff-005002	hwp5-inventory-diff	diff	DIFF_OK	samples/과학기술정보통신부/2017/hwp5-inventory-diff-005002.hwp	과학기술정보통신부	2017	hwp	2	2		
u_hwp5_inventory_diff-005003	hwp5-inventory-diff	diff	COUNT_DRIFT	samples/문화체육관광부/2017/hwp5-inventory-diff-005003.hwpx	문화체육관광부	2017	hwpx	4	3		
u_hwp5_inventory_diff-005004	hwp5-inventory-diff	diff	COUNT_DRIFT	samples/환경부/2017/hwp5-inventory-diff-005004.hwp	환경부	2017	hwp	5	4		
u_hwp5_inventory_diff-005005	hwp5-inventory-diff	diff	DIFF_OK	samples/해양수산부/2017/hwp5-inventory-diff-005005.hwpx	해양수산부	2017	hwpx	5	5		
u_hwp5_inventory_diff-005006	hwp5-inventory-diff	diff	DIFF_OK	samples/서울특별시/2017/hwp5-inventory-diff-005006.hwp	서울특별시	2017	hwp	6	6		
u_hwp5_inventory_diff-005007	hwp5-inventory-diff	diff	DIFF_OK	samples/경기도/2017/hwp5-inventory-diff-005007.hwpx	경기도	2017	hwpx	7	7		
u_hwp5_inventory_diff-005008	hwp5-inventory-diff	diff	DIFF_OK	samples/부산광역시/2017/hwp5-inventory-diff-005008.hwp	부산광역시	2017	hwp	8	8		
u_hwp5_inventory_diff-005009	hwp5-inventory-diff	diff	DIFF_OK	samples/제주특별자치도/2017/hwp5-inventory-diff-005009.hwpx	제주특별자치도	2017	hwpx	9	9		
u_hwp5_inventory_diff-005010	hwp5-inventory-diff	diff	COUNT_DRIFT	samples/법제처/2018/hwp5-inventory-diff-005010.hwp	법제처	2018	hwp	11	10		
u_hwp5_inventory_diff-005011	hwp5-inventory-diff	diff	COUNT_DRIFT	samples/행정안전부/2018/hwp5-inventory-diff-005011.hwpx	행정안전부	2018	hwpx	12	11		
u_hwp5_inventory_diff-005012	hwp5-inventory-diff	diff	DIFF_OK	samples/국세청/2018/hwp5-inventory-diff-005012.hwp	국세청	2018	hwp	12	12		
u_hwp5_inventory_diff-005013	hwp5-inventory-diff	diff	DIFF_OK	samples/대법원/2018/hwp5-inventory-diff-005013.hwpx	대법원	2018	hwpx	13	13		
u_hwp5_inventory_diff-005014	hwp5-inventory-diff	diff	DIFF_OK	samples/특허청/2018/hwp5-inventory-diff-005014.hwp	특허청	2018	hwp	14	14		
u_hwp5_inventory_diff-005015	hwp5-inventory-diff	diff	DIFF_OK	samples/교육부/2018/hwp5-inventory-diff-005015.hwpx	교육부	2018	hwpx	15	15		
u_hwp5_inventory_diff-005016	hwp5-inventory-diff	diff	DIFF_OK	samples/보건복지부/2018/hwp5-inventory-diff-005016.hwp	보건복지부	2018	hwp	16	16		
u_hwp5_inventory_diff-005017	hwp5-inventory-diff	diff	COUNT_DRIFT	samples/국토교통부/2018/hwp5-inventory-diff-005017.hwpx	국토교통부	2018	hwpx	18	17		
u_hwp5_inventory_diff-005018	hwp5-inventory-diff	diff	COUNT_DRIFT	samples/고용노동부/2018/hwp5-inventory-diff-005018.hwp	고용노동부	2018	hwp	19	18		
u_hwp5_inventory_diff-005019	hwp5-inventory-diff	diff	DIFF_OK	samples/외교부/2018/hwp5-inventory-diff-005019.hwpx	외교부	2018	hwpx	19	19		
u_hwp5_inventory_diff-005020	hwp5-inventory-diff	diff	DIFF_OK	samples/기획재정부/2018/hwp5-inventory-diff-005020.hwp	기획재정부	2018	hwp	0	0		
u_hwp5_inventory_diff-005021	hwp5-inventory-diff	diff	DIFF_OK	samples/공정거래위원회/2018/hwp5-inventory-diff-005021.hwpx	공정거래위원회	2018	hwpx	1	1		
u_hwp5_inventory_diff-005022	hwp5-inventory-diff	diff	DIFF_OK	samples/금융위원회/2018/hwp5-inventory-diff-005022.hwp	금융위원회	2018	hwp	2	2		
u_hwp5_inventory_diff-005023	hwp5-inventory-diff	diff	DIFF_OK	samples/통계청/2018/hwp5-inventory-diff-005023.hwpx	통계청	2018	hwpx	3	3		
u_hwp5_inventory_diff-005024	hwp5-inventory-diff	diff	COUNT_DRIFT	samples/기상청/2018/hwp5-inventory-diff-005024.hwp	기상청	2018	hwp	5	4		
u_hwp5_inventory_diff-005025	hwp5-inventory-diff	diff	COUNT_DRIFT	samples/관세청/2018/hwp5-inventory-diff-005025.hwpx	관세청	2018	hwpx	6	5		
u_hwp5_inventory_diff-005026	hwp5-inventory-diff	diff	DIFF_OK	samples/검찰청/2018/hwp5-inventory-diff-005026.hwp	검찰청	2018	hwp	6	6		
u_hwp5_inventory_diff-005027	hwp5-inventory-diff	diff	DIFF_OK	samples/경찰청/2018/hwp5-inventory-diff-005027.hwpx	경찰청	2018	hwpx	7	7		
u_hwp5_inventory_diff-005028	hwp5-inventory-diff	diff	DIFF_OK	samples/소방청/2018/hwp5-inventory-diff-005028.hwp	소방청	2018	hwp	8	8		
u_hwp5_inventory_diff-005029	hwp5-inventory-diff	diff	DIFF_OK	samples/병무청/2018/hwp5-inventory-diff-005029.hwpx	병무청	2018	hwpx	9	9		
u_hwp5_inventory_diff-005030	hwp5-inventory-diff	diff	DIFF_OK	samples/산림청/2018/hwp5-inventory-diff-005030.hwp	산림청	2018	hwp	10	10		
u_hwp5_inventory_diff-005031	hwp5-inventory-diff	diff	COUNT_DRIFT	samples/중소벤처기업부/2018/hwp5-inventory-diff-005031.hwpx	중소벤처기업부	2018	hwpx	12	11		
u_hwp5_inventory_diff-005032	hwp5-inventory-diff	diff	COUNT_DRIFT	samples/과학기술정보통신부/2018/hwp5-inventory-diff-005032.hwp	과학기술정보통신부	2018	hwp	13	12		
u_hwp5_inventory_diff-005033	hwp5-inventory-diff	diff	DIFF_OK	samples/문화체육관광부/2018/hwp5-inventory-diff-005033.hwpx	문화체육관광부	2018	hwpx	13	13		
u_hwp5_inventory_diff-005034	hwp5-inventory-diff	diff	DIFF_OK	samples/환경부/2018/hwp5-inventory-diff-005034.hwp	환경부	2018	hwp	14	14		
