case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_hwp5_roundtrip-000000	hwp5-roundtrip	round	ROUND_OK	samples/법제처/2016/hwp5-roundtrip-000000.hwp	법제처	2016	hwp	1	1	1	
u_hwp5_roundtrip-000001	hwp5-roundtrip	round	ROUND_OK	samples/행정안전부/2016/hwp5-roundtrip-000001.hwpx	행정안전부	2016	hwpx	2	2	1	
u_hwp5_roundtrip-000002	hwp5-roundtrip	round	ROUND_OK	samples/국세청/2016/hwp5-roundtrip-000002.hwp	국세청	2016	hwp	3	3	1	
u_hwp5_roundtrip-000003	hwp5-roundtrip	round	ROUND_OK	samples/대법원/2016/hwp5-roundtrip-000003.hwpx	대법원	2016	hwpx	4	4	1	
u_hwp5_roundtrip-000004	hwp5-roundtrip	round	FORMAT_NA	samples/특허청/2016/hwp5-roundtrip-000004.hwp	특허청	2016	hwp	5	5	0	
u_hwp5_roundtrip-000005	hwp5-roundtrip	round	ROUND_DRIFT	samples/교육부/2016/hwp5-roundtrip-000005.hwpx	교육부	2016	hwpx	6	7	1	
u_hwp5_roundtrip-000006	hwp5-roundtrip	round	ROUND_DRIFT	samples/보건복지부/2016/hwp5-roundtrip-000006.hwp	보건복지부	2016	hwp	7	6	1	
u_hwp5_roundtrip-000007	hwp5-roundtrip	round	ROUND_OK	samples/국토교통부/2016/hwp5-roundtrip-000007.hwpx	국토교통부	2016	hwpx	8	8	1	
u_hwp5_roundtrip-000008	hwp5-roundtrip	round	ROUND_OK	samples/고용노동부/2016/hwp5-roundtrip-000008.hwp	고용노동부	2016	hwp	9	9	1	
u_hwp5_roundtrip-000009	hwp5-roundtrip	round	ROUND_OK	samples/외교부/2016/hwp5-roundtrip-000009.hwpx	외교부	2016	hwpx	10	10	1	
u_hwp5_roundtrip-000010	hwp5-roundtrip	round	ROUND_OK	samples/기획재정부/2016/hwp5-roundtrip-000010.hwp	기획재정부	2016	hwp	11	11	1	
u_hwp5_roundtrip-000011	hwp5-roundtrip	round	FORMAT_NA	samples/공정거래위원회/2016/hwp5-roundtrip-000011.hwpx	공정거래위원회	2016	hwpx	12	12	0	
u_hwp5_roundtrip-000012	hwp5-roundtrip	round	ROUND_DRIFT	samples/금융위원회/2016/hwp5-roundtrip-000012.hwp	금융위원회	2016	hwp	13	14	1	
u_hwp5_roundtrip-000013	hwp5-roundtrip	round	ROUND_DRIFT	samples/통계청/2016/hwp5-roundtrip-000013.hwpx	통계청	2016	hwpx	14	13	1	
u_hwp5_roundtrip-000014	hwp5-roundtrip	round	ROUND_OK	samples/기상청/2016/hwp5-roundtrip-000014.hwp	기상청	2016	hwp	15	15	1	
u_hwp5_roundtrip-000015	hwp5-roundtrip	round	ROUND_OK	samples/관세청/2016/hwp5-roundtrip-000015.hwpx	관세청	2016	hwpx	16	16	1	
u_hwp5_roundtrip-000016	hwp5-roundtrip	round	ROUND_OK	samples/검찰청/2016/hwp5-roundtrip-000016.hwp	검찰청	2016	hwp	17	17	1	
u_hwp5_roundtrip-000017	hwp5-roundtrip	round	ROUND_OK	samples/경찰청/2016/hwp5-roundtrip-000017.hwpx	경찰청	2016	hwpx	18	18	1	
u_hwp5_roundtrip-000018	hwp5-roundtrip	round	FORMAT_NA	samples/소방청/2016/hwp5-roundtrip-000018.hwp	소방청	2016	hwp	19	19	0	
u_hwp5_roundtrip-000019	hwp5-roundtrip	round	ROUND_DRIFT	samples/병무청/2016/hwp5-roundtrip-000019.hwpx	병무청	2016	hwpx	20	21	1	
u_hwp5_roundtrip-000020	hwp5-roundtrip	round	ROUND_DRIFT	samples/산림청/2016/hwp5-roundtrip-000020.hwp	산림청	2016	hwp	21	20	1	
u_hwp5_roundtrip-000021	hwp5-roundtrip	round	ROUND_OK	samples/중소벤처기업부/2016/hwp5-roundtrip-000021.hwpx	중소벤처기업부	2016	hwpx	22	22	1	
u_hwp5_roundtrip-000022	hwp5-roundtrip	round	ROUND_OK	samples/과학기술정보통신부/2016/hwp5-roundtrip-000022.hwp	과학기술정보통신부	2016	hwp	23	23	1	
u_hwp5_roundtrip-000023	hwp5-roundtrip	round	ROUND_OK	samples/문화체육관광부/2016/hwp5-roundtrip-000023.hwpx	문화체육관광부	2016	hwpx	24	24	1	
u_hwp5_roundtrip-000024	hwp5-roundtrip	round	ROUND_OK	samples/환경부/2016/hwp5-roundtrip-000024.hwp	환경부	2016	hwp	25	25	1	
u_hwp5_roundtrip-000025	hwp5-roundtrip	round	FORMAT_NA	samples/해양수산부/2016/hwp5-roundtrip-000025.hwpx	해양수산부	2016	hwpx	26	26	0	
u_hwp5_roundtrip-000026	hwp5-roundtrip	round	ROUND_DRIFT	samples/서울특별시/2016/hwp5-roundtrip-000026.hwp	서울특별시	2016	hwp	27	28	1	
u_hwp5_roundtrip-000027	hwp5-roundtrip	round	ROUND_DRIFT	samples/경기도/2016/hwp5-roundtrip-000027.hwpx	경기도	2016	hwpx	28	27	1	
u_hwp5_roundtrip-000028	hwp5-roundtrip	round	ROUND_OK	samples/부산광역시/2016/hwp5-roundtrip-000028.hwp	부산광역시	2016	hwp	29	29	1	
u_hwp5_roundtrip-000029	hwp5-roundtrip	round	ROUND_OK	samples/제주특별자치도/2016/hwp5-roundtrip-000029.hwpx	제주특별자치도	2016	hwpx	30	30	1	
u_hwp5_roundtrip-000030	hwp5-roundtrip	round	ROUND_OK	samples/법제처/2017/hwp5-roundtrip-000030.hwp	법제처	2017	hwp	31	31	1	
u_hwp5_roundtrip-000031	hwp5-roundtrip	round	ROUND_OK	samples/행정안전부/2017/hwp5-roundtrip-000031.hwpx	행정안전부	2017	hwpx	32	32	1	
u_hwp5_roundtrip-000032	hwp5-roundtrip	round	FORMAT_NA	samples/국세청/2017/hwp5-roundtrip-000032.hwp	국세청	2017	hwp	33	33	0	
u_hwp5_roundtrip-000033	hwp5-roundtrip	round	ROUND_DRIFT	samples/대법원/2017/hwp5-roundtrip-000033.hwpx	대법원	2017	hwpx	34	35	1	
u_hwp5_roundtrip-000034	hwp5-roundtrip	round	ROUND_DRIFT	samples/특허청/2017/hwp5-roundtrip-000034.hwp	특허청	2017	hwp	35	34	1	
u_hwp5_roundtrip-000035	hwp5-roundtrip	round	ROUND_OK	samples/교육부/2017/hwp5-roundtrip-000035.hwpx	교육부	2017	hwpx	36	36	1	
u_hwp5_roundtrip-000036	hwp5-roundtrip	round	ROUND_OK	samples/보건복지부/2017/hwp5-roundtrip-000036.hwp	보건복지부	2017	hwp	37	37	1	
u_hwp5_roundtrip-000037	hwp5-roundtrip	round	ROUND_OK	samples/국토교통부/2017/hwp5-roundtrip-000037.hwpx	국토교통부	2017	hwpx	38	38	1	
u_hwp5_roundtrip-000038	hwp5-roundtrip	round	ROUND_OK	samples/고용노동부/2017/hwp5-roundtrip-000038.hwp	고용노동부	2017	hwp	39	39	1	
u_hwp5_roundtrip-000039	hwp5-roundtrip	round	FORMAT_NA	samples/외교부/2017/hwp5-roundtrip-000039.hwpx	외교부	2017	hwpx	40	40	0	
u_hwp5_roundtrip-000040	hwp5-roundtrip	round	ROUND_DRIFT	samples/기획재정부/2017/hwp5-roundtrip-000040.hwp	기획재정부	2017	hwp	1	2	1	
u_hwp5_roundtrip-000041	hwp5-roundtrip	round	ROUND_DRIFT	samples/공정거래위원회/2017/hwp5-roundtrip-000041.hwpx	공정거래위원회	2017	hwpx	2	1	1	
u_hwp5_roundtrip-000042	hwp5-roundtrip	round	ROUND_OK	samples/금융위원회/2017/hwp5-roundtrip-000042.hwp	금융위원회	2017	hwp	3	3	1	
u_hwp5_roundtrip-000043	hwp5-roundtrip	round	ROUND_OK	samples/통계청/2017/hwp5-roundtrip-000043.hwpx	통계청	2017	hwpx	4	4	1	
u_hwp5_roundtrip-000044	hwp5-roundtrip	round	ROUND_OK	samples/기상청/2017/hwp5-roundtrip-000044.hwp	기상청	2017	hwp	5	5	1	
u_hwp5_roundtrip-000045	hwp5-roundtrip	round	ROUND_OK	samples/관세청/2017/hwp5-roundtrip-000045.hwpx	관세청	2017	hwpx	6	6	1	
u_hwp5_roundtrip-000046	hwp5-roundtrip	round	FORMAT_NA	samples/검찰청/2017/hwp5-roundtrip-000046.hwp	검찰청	2017	hwp	7	7	0	
u_hwp5_roundtrip-000047	hwp5-roundtrip	round	ROUND_DRIFT	samples/경찰청/2017/hwp5-roundtrip-000047.hwpx	경찰청	2017	hwpx	8	9	1	
u_hwp5_roundtrip-000048	hwp5-roundtrip	round	ROUND_DRIFT	samples/소방청/2017/hwp5-roundtrip-000048.hwp	소방청	2017	hwp	9	8	1	
