case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_hwpx_roundtrip-000000	hwpx-roundtrip	round	ROUND_OK	samples/법제처/2016/hwpx-roundtrip-000000.hwp	법제처	2016	hwp	1	1	1	
u_hwpx_roundtrip-000001	hwpx-roundtrip	round	ROUND_OK	samples/행정안전부/2016/hwpx-roundtrip-000001.hwpx	행정안전부	2016	hwpx	2	2	1	
u_hwpx_roundtrip-000002	hwpx-roundtrip	round	ROUND_OK	samples/국세청/2016/hwpx-roundtrip-000002.hwp	국세청	2016	hwp	3	3	1	
u_hwpx_roundtrip-000003	hwpx-roundtrip	round	ROUND_OK	samples/대법원/2016/hwpx-roundtrip-000003.hwpx	대법원	2016	hwpx	4	4	1	
u_hwpx_roundtrip-000004	hwpx-roundtrip	round	FORMAT_NA	samples/특허청/2016/hwpx-roundtrip-000004.hwp	특허청	2016	hwp	5	5	0	
u_hwpx_roundtrip-000005	hwpx-roundtrip	round	ROUND_DRIFT	samples/교육부/2016/hwpx-roundtrip-000005.hwpx	교육부	2016	hwpx	6	7	1	
u_hwpx_roundtrip-000006	hwpx-roundtrip	round	ROUND_DRIFT	samples/보건복지부/2016/hwpx-roundtrip-000006.hwp	보건복지부	2016	hwp	7	6	1	
u_hwpx_roundtrip-000007	hwpx-roundtrip	round	ROUND_OK	samples/국토교통부/2016/hwpx-roundtrip-000007.hwpx	국토교통부	2016	hwpx	8	8	1	
u_hwpx_roundtrip-000008	hwpx-roundtrip	round	ROUND_OK	samples/고용노동부/2016/hwpx-roundtrip-000008.hwp	고용노동부	2016	hwp	9	9	1	
u_hwpx_roundtrip-000009	hwpx-roundtrip	round	ROUND_OK	samples/외교부/2016/hwpx-roundtrip-000009.hwpx	외교부	2016	hwpx	10	10	1	
u_hwpx_roundtrip-000010	hwpx-roundtrip	round	ROUND_OK	samples/기획재정부/2016/hwpx-roundtrip-000010.hwp	기획재정부	2016	hwp	11	11	1	
u_hwpx_roundtrip-000011	hwpx-roundtrip	round	FORMAT_NA	samples/공정거래위원회/2016/hwpx-roundtrip-000011.hwpx	공정거래위원회	2016	hwpx	12	12	0	
u_hwpx_roundtrip-000012	hwpx-roundtrip	round	ROUND_DRIFT	samples/금융위원회/2016/hwpx-roundtrip-000012.hwp	금융위원회	2016	hwp	13	14	1	
u_hwpx_roundtrip-000013	hwpx-roundtrip	round	ROUND_DRIFT	samples/통계청/2016/hwpx-roundtrip-000013.hwpx	통계청	2016	hwpx	14	13	1	
u_hwpx_roundtrip-000014	hwpx-roundtrip	round	ROUND_OK	samples/기상청/2016/hwpx-roundtrip-000014.hwp	기상청	2016	hwp	15	15	1	
u_hwpx_roundtrip-000015	hwpx-roundtrip	round	ROUND_OK	samples/관세청/2016/hwpx-roundtrip-000015.hwpx	관세청	2016	hwpx	16	16	1	
u_hwpx_roundtrip-000016	hwpx-roundtrip	round	ROUND_OK	samples/검찰청/2016/hwpx-roundtrip-000016.hwp	검찰청	2016	hwp	17	17	1	
u_hwpx_roundtrip-000017	hwpx-roundtrip	round	ROUND_OK	samples/경찰청/2016/hwpx-roundtrip-000017.hwpx	경찰청	2016	hwpx	18	18	1	
u_hwpx_roundtrip-000018	hwpx-roundtrip	round	FORMAT_NA	samples/소방청/2016/hwpx-roundtrip-000018.hwp	소방청	2016	hwp	19	19	0	
u_hwpx_roundtrip-000019	hwpx-roundtrip	round	ROUND_DRIFT	samples/병무청/2016/hwpx-roundtrip-000019.hwpx	병무청	2016	hwpx	20	21	1	
u_hwpx_roundtrip-000020	hwpx-roundtrip	round	ROUND_DRIFT	samples/산림청/2016/hwpx-roundtrip-000020.hwp	산림청	2016	hwp	21	20	1	
u_hwpx_roundtrip-000021	hwpx-roundtrip	round	ROUND_OK	samples/중소벤처기업부/2016/hwpx-roundtrip-000021.hwpx	중소벤처기업부	2016	hwpx	22	22	1	
u_hwpx_roundtrip-000022	hwpx-roundtrip	round	ROUND_OK	samples/과학기술정보통신부/2016/hwpx-roundtrip-000022.hwp	과학기술정보통신부	2016	hwp	23	23	1	
u_hwpx_roundtrip-000023	hwpx-roundtrip	round	ROUND_OK	samples/문화체육관광부/2016/hwpx-roundtrip-000023.hwpx	문화체육관광부	2016	hwpx	24	24	1	
