case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_info-010000	info	count_eq	COUNT_OK	samples/기획재정부/2019/info-010000.hwp	기획재정부	2019	hwp	16	16		
u_info-010001	info	count_eq	COUNT_DRIFT	samples/공정거래위원회/2019/info-010001.hwpx	공정거래위원회	2019	hwpx	17	18		
u_info-010002	info	count_eq	COUNT_DRIFT	samples/금융위원회/2019/info-010002.hwp	금융위원회	2019	hwp	18	17		
u_info-010003	info	count_eq	COUNT_OK	samples/통계청/2019/info-010003.hwpx	통계청	2019	hwpx	19	19		
u_info-010004	info	count_eq	COUNT_OK	samples/기상청/2019/info-010004.hwp	기상청	2019	hwp	20	20		
u_info-010005	info	count_eq	COUNT_OK	samples/관세청/2019/info-010005.hwpx	관세청	2019	hwpx	21	21		
u_info-010006	info	count_eq	COUNT_OK	samples/검찰청/2019/info-010006.hwp	검찰청	2019	hwp	22	22		
u_info-010007	info	count_eq	COUNT_OK	samples/경찰청/2019/info-010007.hwpx	경찰청	2019	hwpx	23	23		
u_info-010008	info	count_eq	COUNT_DRIFT	samples/소방청/2019/info-010008.hwp	소방청	2019	hwp	0	1		
u_info-010009	info	count_eq	COUNT_DRIFT	samples/병무청/2019/info-010009.hwpx	병무청	2019	hwpx	1	0		
u_info-010010	info	count_eq	COUNT_OK	samples/산림청/2019/info-010010.hwp	산림청	2019	hwp	2	2		
u_info-010011	info	count_eq	COUNT_OK	samples/중소벤처기업부/2019/info-010011.hwpx	중소벤처기업부	2019	hwpx	3	3		
u_info-010012	info	count_eq	COUNT_OK	samples/과학기술정보통신부/2019/info-010012.hwp	과학기술정보통신부	2019	hwp	4	4		
u_info-010013	info	count_eq	COUNT_OK	samples/문화체육관광부/2019/info-010013.hwpx	문화체육관광부	2019	hwpx	5	5		
u_info-010014	info	count_eq	COUNT_OK	samples/환경부/2019/info-010014.hwp	환경부	2019	hwp	6	6		
u_info-010015	info	count_eq	COUNT_DRIFT	samples/해양수산부/2019/info-010015.hwpx	해양수산부	2019	hwpx	7	8		
u_info-010016	info	count_eq	COUNT_DRIFT	samples/서울특별시/2019/info-010016.hwp	서울특별시	2019	hwp	8	7		
u_info-010017	info	count_eq	COUNT_OK	samples/경기도/2019/info-010017.hwpx	경기도	2019	hwpx	9	9		
u_info-010018	info	count_eq	COUNT_OK	samples/부산광역시/2019/info-010018.hwp	부산광역시	2019	hwp	10	10		
u_info-010019	info	count_eq	COUNT_OK	samples/제주특별자치도/2019/info-010019.hwpx	제주특별자치도	2019	hwpx	11	11		
u_info-010020	info	count_eq	COUNT_OK	samples/법제처/2020/info-010020.hwp	법제처	2020	hwp	12	12		
u_info-010021	info	count_eq	COUNT_OK	samples/행정안전부/2020/info-010021.hwpx	행정안전부	2020	hwpx	13	13		
u_info-010022	info	count_eq	COUNT_DRIFT	samples/국세청/2020/info-010022.hwp	국세청	2020	hwp	14	15		
u_info-010023	info	count_eq	COUNT_DRIFT	samples/대법원/2020/info-010023.hwpx	대법원	2020	hwpx	15	14		
u_info-010024	info	count_eq	COUNT_OK	samples/특허청/2020/info-010024.hwp	특허청	2020	hwp	16	16		
u_info-010025	info	count_eq	COUNT_OK	samples/교육부/2020/info-010025.hwpx	교육부	2020	hwpx	17	17		
u_info-010026	info	count_eq	COUNT_OK	samples/보건복지부/2020/info-010026.hwp	보건복지부	2020	hwp	18	18		
u_info-010027	info	count_eq	COUNT_OK	samples/국토교통부/2020/info-010027.hwpx	국토교통부	2020	hwpx	19	19		
u_info-010028	info	count_eq	COUNT_OK	samples/고용노동부/2020/info-010028.hwp	고용노동부	2020	hwp	20	20		
u_info-010029	info	count_eq	COUNT_DRIFT	samples/외교부/2020/info-010029.hwpx	외교부	2020	hwpx	21	22		
u_info-010030	info	count_eq	COUNT_DRIFT	samples/기획재정부/2020/info-010030.hwp	기획재정부	2020	hwp	22	21		
u_info-010031	info	count_eq	COUNT_OK	samples/공정거래위원회/2020/info-010031.hwpx	공정거래위원회	2020	hwpx	23	23		
u_info-010032	info	count_eq	COUNT_OK	samples/금융위원회/2020/info-010032.hwp	금융위원회	2020	hwp	0	0		
u_info-010033	info	count_eq	COUNT_OK	samples/통계청/2020/info-010033.hwpx	통계청	2020	hwpx	1	1		
u_info-010034	info	count_eq	COUNT_OK	samples/기상청/2020/info-010034.hwp	기상청	2020	hwp	2	2		
u_info-010035	info	count_eq	COUNT_OK	samples/관세청/2020/info-010035.hwpx	관세청	2020	hwpx	3	3		
u_info-010036	info	count_eq	COUNT_DRIFT	samples/검찰청/2020/info-010036.hwp	검찰청	2020	hwp	4	5		
u_info-010037	info	count_eq	COUNT_DRIFT	samples/경찰청/2020/info-010037.hwpx	경찰청	2020	hwpx	5	4		
u_info-010038	info	count_eq	COUNT_OK	samples/소방청/2020/info-010038.hwp	소방청	2020	hwp	6	6		
u_info-010039	info	count_eq	COUNT_OK	samples/병무청/2020/info-010039.hwpx	병무청	2020	hwpx	7	7		
u_info-010040	info	count_eq	COUNT_OK	samples/산림청/2020/info-010040.hwp	산림청	2020	hwp	8	8		
u_info-010041	info	count_eq	COUNT_OK	samples/중소벤처기업부/2020/info-010041.hwpx	중소벤처기업부	2020	hwpx	9	9		
u_info-010042	info	count_eq	COUNT_OK	samples/과학기술정보통신부/2020/info-010042.hwp	과학기술정보통신부	2020	hwp	10	10		
u_info-010043	info	count_eq	COUNT_DRIFT	samples/문화체육관광부/2020/info-010043.hwpx	문화체육관광부	2020	hwpx	11	12		
u_info-010044	info	count_eq	COUNT_DRIFT	samples/환경부/2020/info-010044.hwp	환경부	2020	hwp	12	11		
u_info-010045	info	count_eq	COUNT_OK	samples/해양수산부/2020/info-010045.hwpx	해양수산부	2020	hwpx	13	13		
u_info-010046	info	count_eq	COUNT_OK	samples/서울특별시/2020/info-010046.hwp	서울특별시	2020	hwp	14	14		
u_info-010047	info	count_eq	COUNT_OK	samples/경기도/2020/info-010047.hwpx	경기도	2020	hwpx	15	15		
u_info-010048	info	count_eq	COUNT_OK	samples/부산광역시/2020/info-010048.hwp	부산광역시	2020	hwp	16	16		
u_info-010049	info	count_eq	COUNT_OK	samples/제주특별자치도/2020/info-010049.hwpx	제주특별자치도	2020	hwpx	17	17		
u_info-010050	info	count_eq	COUNT_DRIFT	samples/법제처/2021/info-010050.hwp	법제처	2021	hwp	18	19		
u_info-010051	info	count_eq	COUNT_DRIFT	samples/행정안전부/2021/info-010051.hwpx	행정안전부	2021	hwpx	19	18		
u_info-010052	info	count_eq	COUNT_OK	samples/국세청/2021/info-010052.hwp	국세청	2021	hwp	20	20		
u_info-010053	info	count_eq	COUNT_OK	samples/대법원/2021/info-010053.hwpx	대법원	2021	hwpx	21	21		
u_info-010054	info	count_eq	COUNT_OK	samples/특허청/2021/info-010054.hwp	특허청	2021	hwp	22	22		
u_info-010055	info	count_eq	COUNT_OK	samples/교육부/2021/info-010055.hwpx	교육부	2021	hwpx	23	23		
u_info-010056	info	count_eq	COUNT_OK	samples/보건복지부/2021/info-010056.hwp	보건복지부	2021	hwp	0	0		
u_info-010057	info	count_eq	COUNT_DRIFT	samples/국토교통부/2021/info-010057.hwpx	국토교통부	2021	hwpx	1	2		
u_info-010058	info	count_eq	COUNT_DRIFT	samples/고용노동부/2021/info-010058.hwp	고용노동부	2021	hwp	2	1		
u_info-010059	info	count_eq	COUNT_OK	samples/외교부/2021/info-010059.hwpx	외교부	2021	hwpx	3	3		
u_info-010060	info	count_eq	COUNT_OK	samples/기획재정부/2021/info-010060.hwp	기획재정부	2021	hwp	4	4		
u_info-010061	info	count_eq	COUNT_OK	samples/공정거래위원회/2021/info-010061.hwpx	공정거래위원회	2021	hwpx	5	5		
u_info-010062	info	count_eq	COUNT_OK	samples/금융위원회/2021/info-010062.hwp	금융위원회	2021	hwp	6	6		
u_info-010063	info	count_eq	COUNT_OK	samples/통계청/2021/info-010063.hwpx	통계청	2021	hwpx	7	7		
u_info-010064	info	count_eq	COUNT_DRIFT	samples/기상청/2021/info-010064.hwp	기상청	2021	hwp	8	9		
u_info-010065	info	count_eq	COUNT_DRIFT	samples/관세청/2021/info-010065.hwpx	관세청	2021	hwpx	9	8		
u_info-010066	info	count_eq	COUNT_OK	samples/검찰청/2021/info-010066.hwp	검찰청	2021	hwp	10	10		
u_info-010067	info	count_eq	COUNT_OK	samples/경찰청/2021/info-010067.hwpx	경찰청	2021	hwpx	11	11		
u_info-010068	info	count_eq	COUNT_OK	samples/소방청/2021/info-010068.hwp	소방청	2021	hwp	12	12		
u_info-010069	info	count_eq	COUNT_OK	samples/병무청/2021/info-010069.hwpx	병무청	2021	hwpx	13	13		
u_info-010070	info	count_eq	COUNT_OK	samples/산림청/2021/info-010070.hwp	산림청	2021	hwp	14	14		
u_info-010071	info	count_eq	COUNT_DRIFT	samples/중소벤처기업부/2021/info-010071.hwpx	중소벤처기업부	2021	hwpx	15	16		
u_info-010072	info	count_eq	COUNT_DRIFT	samples/과학기술정보통신부/2021/info-010072.hwp	과학기술정보통신부	2021	hwp	16	15		
u_info-010073	info	count_eq	COUNT_OK	samples/문화체육관광부/2021/info-010073.hwpx	문화체육관광부	2021	hwpx	17	17		
u_info-010074	info	count_eq	COUNT_OK	samples/환경부/2021/info-010074.hwp	환경부	2021	hwp	18	18		
u_info-010075	info	count_eq	COUNT_OK	samples/해양수산부/2021/info-010075.hwpx	해양수산부	2021	hwpx	19	19		
u_info-010076	info	count_eq	COUNT_OK	samples/서울특별시/2021/info-010076.hwp	서울특별시	2021	hwp	20	20		
u_info-010077	info	count_eq	COUNT_OK	samples/경기도/2021/info-010077.hwpx	경기도	2021	hwpx	21	21		
u_info-010078	info	count_eq	COUNT_DRIFT	samples/부산광역시/2021/info-010078.hwp	부산광역시	2021	hwp	22	23		
u_info-010079	info	count_eq	COUNT_DRIFT	samples/제주특별자치도/2021/info-010079.hwpx	제주특별자치도	2021	hwpx	23	22		
u_info-010080	info	count_eq	COUNT_OK	samples/법제처/2022/info-010080.hwp	법제처	2022	hwp	0	0		
u_info-010081	info	count_eq	COUNT_OK	samples/행정안전부/2022/info-010081.hwpx	행정안전부	2022	hwpx	1	1		
u_info-010082	info	count_eq	COUNT_OK	samples/국세청/2022/info-010082.hwp	국세청	2022	hwp	2	2		
u_info-010083	info	count_eq	COUNT_OK	samples/대법원/2022/info-010083.hwpx	대법원	2022	hwpx	3	3		
u_info-010084	info	count_eq	COUNT_OK	samples/특허청/2022/info-010084.hwp	특허청	2022	hwp	4	4		
u_info-010085	info	count_eq	COUNT_DRIFT	samples/교육부/2022/info-010085.hwpx	교육부	2022	hwpx	5	6		
u_info-010086	info	count_eq	COUNT_DRIFT	samples/보건복지부/2022/info-010086.hwp	보건복지부	2022	hwp	6	5		
u_info-010087	info	count_eq	COUNT_OK	samples/국토교통부/2022/info-010087.hwpx	국토교통부	2022	hwpx	7	7		
u_info-010088	info	count_eq	COUNT_OK	samples/고용노동부/2022/info-010088.hwp	고용노동부	2022	hwp	8	8		
u_info-010089	info	count_eq	COUNT_OK	samples/외교부/2022/info-010089.hwpx	외교부	2022	hwpx	9	9		
u_info-010090	info	count_eq	COUNT_OK	samples/기획재정부/2022/info-010090.hwp	기획재정부	2022	hwp	10	10		
u_info-010091	info	count_eq	COUNT_OK	samples/공정거래위원회/2022/info-010091.hwpx	공정거래위원회	2022	hwpx	11	11		
u_info-010092	info	count_eq	COUNT_DRIFT	samples/금융위원회/2022/info-010092.hwp	금융위원회	2022	hwp	12	13		
u_info-010093	info	count_eq	COUNT_DRIFT	samples/통계청/2022/info-010093.hwpx	통계청	2022	hwpx	13	12		
u_info-010094	info	count_eq	COUNT_OK	samples/기상청/2022/info-010094.hwp	기상청	2022	hwp	14	14		
u_info-010095	info	count_eq	COUNT_OK	samples/관세청/2022/info-010095.hwpx	관세청	2022	hwpx	15	15		
u_info-010096	info	count_eq	COUNT_OK	samples/검찰청/2022/info-010096.hwp	검찰청	2022	hwp	16	16		
u_info-010097	info	count_eq	COUNT_OK	samples/경찰청/2022/info-010097.hwpx	경찰청	2022	hwpx	17	17		
u_info-010098	info	count_eq	COUNT_OK	samples/소방청/2022/info-010098.hwp	소방청	2022	hwp	18	18		
u_info-010099	info	count_eq	COUNT_DRIFT	samples/병무청/2022/info-010099.hwpx	병무청	2022	hwpx	19	20		
u_info-010100	info	count_eq	COUNT_DRIFT	samples/산림청/2022/info-010100.hwp	산림청	2022	hwp	20	19		
u_info-010101	info	count_eq	COUNT_OK	samples/중소벤처기업부/2022/info-010101.hwpx	중소벤처기업부	2022	hwpx	21	21		
u_info-010102	info	count_eq	COUNT_OK	samples/과학기술정보통신부/2022/info-010102.hwp	과학기술정보통신부	2022	hwp	22	22		
u_info-010103	info	count_eq	COUNT_OK	samples/문화체육관광부/2022/info-010103.hwpx	문화체육관광부	2022	hwpx	23	23		
u_info-010104	info	count_eq	COUNT_OK	samples/환경부/2022/info-010104.hwp	환경부	2022	hwp	0	0		
u_info-010105	info	count_eq	COUNT_OK	samples/해양수산부/2022/info-010105.hwpx	해양수산부	2022	hwpx	1	1		
u_info-010106	info	count_eq	COUNT_DRIFT	samples/서울특별시/2022/info-010106.hwp	서울특별시	2022	hwp	2	3		
u_info-010107	info	count_eq	COUNT_DRIFT	samples/경기도/2022/info-010107.hwpx	경기도	2022	hwpx	3	2		
u_info-010108	info	count_eq	COUNT_OK	samples/부산광역시/2022/info-010108.hwp	부산광역시	2022	hwp	4	4		
