case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_inspect_hidden-010000	inspect-hidden	signal	ANOMALY	samples/기획재정부/2019/inspect-hidden-010000.hwp	기획재정부	2019	hwp	2	1		
u_inspect_hidden-010001	inspect-hidden	signal	ANOMALY	samples/공정거래위원회/2019/inspect-hidden-010001.hwpx	공정거래위원회	2019	hwpx	3	1		
u_inspect_hidden-010002	inspect-hidden	signal	SIGNAL_LIE	samples/금융위원회/2019/inspect-hidden-010002.hwp	금융위원회	2019	hwp	4	0		
u_inspect_hidden-010003	inspect-hidden	signal	CLEAN	samples/통계청/2019/inspect-hidden-010003.hwpx	통계청	2019	hwpx	0	0		
u_inspect_hidden-010004	inspect-hidden	signal	CLEAN	samples/기상청/2019/inspect-hidden-010004.hwp	기상청	2019	hwp	0	0		
u_inspect_hidden-010005	inspect-hidden	signal	CLEAN	samples/관세청/2019/inspect-hidden-010005.hwpx	관세청	2019	hwpx	0	0		
u_inspect_hidden-010006	inspect-hidden	signal	ANOMALY	samples/검찰청/2019/inspect-hidden-010006.hwp	검찰청	2019	hwp	8	1		
u_inspect_hidden-010007	inspect-hidden	signal	ANOMALY	samples/경찰청/2019/inspect-hidden-010007.hwpx	경찰청	2019	hwpx	9	1		
u_inspect_hidden-010008	inspect-hidden	signal	ANOMALY	samples/소방청/2019/inspect-hidden-010008.hwp	소방청	2019	hwp	1	1		
u_inspect_hidden-010009	inspect-hidden	signal	SIGNAL_LIE	samples/병무청/2019/inspect-hidden-010009.hwpx	병무청	2019	hwpx	2	0		
u_inspect_hidden-010010	inspect-hidden	signal	CLEAN	samples/산림청/2019/inspect-hidden-010010.hwp	산림청	2019	hwp	0	0		
u_inspect_hidden-010011	inspect-hidden	signal	CLEAN	samples/중소벤처기업부/2019/inspect-hidden-010011.hwpx	중소벤처기업부	2019	hwpx	0	0		
u_inspect_hidden-010012	inspect-hidden	signal	CLEAN	samples/과학기술정보통신부/2019/inspect-hidden-010012.hwp	과학기술정보통신부	2019	hwp	0	0		
u_inspect_hidden-010013	inspect-hidden	signal	ANOMALY	samples/문화체육관광부/2019/inspect-hidden-010013.hwpx	문화체육관광부	2019	hwpx	6	1		
u_inspect_hidden-010014	inspect-hidden	signal	ANOMALY	samples/환경부/2019/inspect-hidden-010014.hwp	환경부	2019	hwp	7	1		
u_inspect_hidden-010015	inspect-hidden	signal	ANOMALY	samples/해양수산부/2019/inspect-hidden-010015.hwpx	해양수산부	2019	hwpx	8	1		
u_inspect_hidden-010016	inspect-hidden	signal	SIGNAL_LIE	samples/서울특별시/2019/inspect-hidden-010016.hwp	서울특별시	2019	hwp	9	0		
u_inspect_hidden-010017	inspect-hidden	signal	CLEAN	samples/경기도/2019/inspect-hidden-010017.hwpx	경기도	2019	hwpx	0	0		
u_inspect_hidden-010018	inspect-hidden	signal	CLEAN	samples/부산광역시/2019/inspect-hidden-010018.hwp	부산광역시	2019	hwp	0	0		
u_inspect_hidden-010019	inspect-hidden	signal	CLEAN	samples/제주특별자치도/2019/inspect-hidden-010019.hwpx	제주특별자치도	2019	hwpx	0	0		
u_inspect_hidden-010020	inspect-hidden	signal	ANOMALY	samples/법제처/2020/inspect-hidden-010020.hwp	법제처	2020	hwp	4	1		
u_inspect_hidden-010021	inspect-hidden	signal	ANOMALY	samples/행정안전부/2020/inspect-hidden-010021.hwpx	행정안전부	2020	hwpx	5	1		
u_inspect_hidden-010022	inspect-hidden	signal	ANOMALY	samples/국세청/2020/inspect-hidden-010022.hwp	국세청	2020	hwp	6	1		
u_inspect_hidden-010023	inspect-hidden	signal	SIGNAL_LIE	samples/대법원/2020/inspect-hidden-010023.hwpx	대법원	2020	hwpx	7	0		
u_inspect_hidden-010024	inspect-hidden	signal	CLEAN	samples/특허청/2020/inspect-hidden-010024.hwp	특허청	2020	hwp	0	0		
u_inspect_hidden-010025	inspect-hidden	signal	CLEAN	samples/교육부/2020/inspect-hidden-010025.hwpx	교육부	2020	hwpx	0	0		
u_inspect_hidden-010026	inspect-hidden	signal	CLEAN	samples/보건복지부/2020/inspect-hidden-010026.hwp	보건복지부	2020	hwp	0	0		
u_inspect_hidden-010027	inspect-hidden	signal	ANOMALY	samples/국토교통부/2020/inspect-hidden-010027.hwpx	국토교통부	2020	hwpx	2	1		
u_inspect_hidden-010028	inspect-hidden	signal	ANOMALY	samples/고용노동부/2020/inspect-hidden-010028.hwp	고용노동부	2020	hwp	3	1		
u_inspect_hidden-010029	inspect-hidden	signal	ANOMALY	samples/외교부/2020/inspect-hidden-010029.hwpx	외교부	2020	hwpx	4	1		
u_inspect_hidden-010030	inspect-hidden	signal	SIGNAL_LIE	samples/기획재정부/2020/inspect-hidden-010030.hwp	기획재정부	2020	hwp	5	0		
u_inspect_hidden-010031	inspect-hidden	signal	CLEAN	samples/공정거래위원회/2020/inspect-hidden-010031.hwpx	공정거래위원회	2020	hwpx	0	0		
u_inspect_hidden-010032	inspect-hidden	signal	CLEAN	samples/금융위원회/2020/inspect-hidden-010032.hwp	금융위원회	2020	hwp	0	0		
u_inspect_hidden-010033	inspect-hidden	signal	CLEAN	samples/통계청/2020/inspect-hidden-010033.hwpx	통계청	2020	hwpx	0	0		
u_inspect_hidden-010034	inspect-hidden	signal	ANOMALY	samples/기상청/2020/inspect-hidden-010034.hwp	기상청	2020	hwp	9	1		
u_inspect_hidden-010035	inspect-hidden	signal	ANOMALY	samples/관세청/2020/inspect-hidden-010035.hwpx	관세청	2020	hwpx	1	1		
u_inspect_hidden-010036	inspect-hidden	signal	ANOMALY	samples/검찰청/2020/inspect-hidden-010036.hwp	검찰청	2020	hwp	2	1		
u_inspect_hidden-010037	inspect-hidden	signal	SIGNAL_LIE	samples/경찰청/2020/inspect-hidden-010037.hwpx	경찰청	2020	hwpx	3	0		
u_inspect_hidden-010038	inspect-hidden	signal	CLEAN	samples/소방청/2020/inspect-hidden-010038.hwp	소방청	2020	hwp	0	0		
u_inspect_hidden-010039	inspect-hidden	signal	CLEAN	samples/병무청/2020/inspect-hidden-010039.hwpx	병무청	2020	hwpx	0	0		
u_inspect_hidden-010040	inspect-hidden	signal	CLEAN	samples/산림청/2020/inspect-hidden-010040.hwp	산림청	2020	hwp	0	0		
u_inspect_hidden-010041	inspect-hidden	signal	ANOMALY	samples/중소벤처기업부/2020/inspect-hidden-010041.hwpx	중소벤처기업부	2020	hwpx	7	1		
u_inspect_hidden-010042	inspect-hidden	signal	ANOMALY	samples/과학기술정보통신부/2020/inspect-hidden-010042.hwp	과학기술정보통신부	2020	hwp	8	1		
u_inspect_hidden-010043	inspect-hidden	signal	ANOMALY	samples/문화체육관광부/2020/inspect-hidden-010043.hwpx	문화체육관광부	2020	hwpx	9	1		
u_inspect_hidden-010044	inspect-hidden	signal	SIGNAL_LIE	samples/환경부/2020/inspect-hidden-010044.hwp	환경부	2020	hwp	1	0		
u_inspect_hidden-010045	inspect-hidden	signal	CLEAN	samples/해양수산부/2020/inspect-hidden-010045.hwpx	해양수산부	2020	hwpx	0	0		
u_inspect_hidden-010046	inspect-hidden	signal	CLEAN	samples/서울특별시/2020/inspect-hidden-010046.hwp	서울특별시	2020	hwp	0	0		
u_inspect_hidden-010047	inspect-hidden	signal	CLEAN	samples/경기도/2020/inspect-hidden-010047.hwpx	경기도	2020	hwpx	0	0		
u_inspect_hidden-010048	inspect-hidden	signal	ANOMALY	samples/부산광역시/2020/inspect-hidden-010048.hwp	부산광역시	2020	hwp	5	1		
u_inspect_hidden-010049	inspect-hidden	signal	ANOMALY	samples/제주특별자치도/2020/inspect-hidden-010049.hwpx	제주특별자치도	2020	hwpx	6	1		
u_inspect_hidden-010050	inspect-hidden	signal	ANOMALY	samples/법제처/2021/inspect-hidden-010050.hwp	법제처	2021	hwp	7	1		
u_inspect_hidden-010051	inspect-hidden	signal	SIGNAL_LIE	samples/행정안전부/2021/inspect-hidden-010051.hwpx	행정안전부	2021	hwpx	8	0		
u_inspect_hidden-010052	inspect-hidden	signal	CLEAN	samples/국세청/2021/inspect-hidden-010052.hwp	국세청	2021	hwp	0	0		
u_inspect_hidden-010053	inspect-hidden	signal	CLEAN	samples/대법원/2021/inspect-hidden-010053.hwpx	대법원	2021	hwpx	0	0		
u_inspect_hidden-010054	inspect-hidden	signal	CLEAN	samples/특허청/2021/inspect-hidden-010054.hwp	특허청	2021	hwp	0	0		
u_inspect_hidden-010055	inspect-hidden	signal	ANOMALY	samples/교육부/2021/inspect-hidden-010055.hwpx	교육부	2021	hwpx	3	1		
u_inspect_hidden-010056	inspect-hidden	signal	ANOMALY	samples/보건복지부/2021/inspect-hidden-010056.hwp	보건복지부	2021	hwp	4	1		
u_inspect_hidden-010057	inspect-hidden	signal	ANOMALY	samples/국토교통부/2021/inspect-hidden-010057.hwpx	국토교통부	2021	hwpx	5	1		
u_inspect_hidden-010058	inspect-hidden	signal	SIGNAL_LIE	samples/고용노동부/2021/inspect-hidden-010058.hwp	고용노동부	2021	hwp	6	0		
u_inspect_hidden-010059	inspect-hidden	signal	CLEAN	samples/외교부/2021/inspect-hidden-010059.hwpx	외교부	2021	hwpx	0	0		
u_inspect_hidden-010060	inspect-hidden	signal	CLEAN	samples/기획재정부/2021/inspect-hidden-010060.hwp	기획재정부	2021	hwp	0	0		
u_inspect_hidden-010061	inspect-hidden	signal	CLEAN	samples/공정거래위원회/2021/inspect-hidden-010061.hwpx	공정거래위원회	2021	hwpx	0	0		
u_inspect_hidden-010062	inspect-hidden	signal	ANOMALY	samples/금융위원회/2021/inspect-hidden-010062.hwp	금융위원회	2021	hwp	1	1		
u_inspect_hidden-010063	inspect-hidden	signal	ANOMALY	samples/통계청/2021/inspect-hidden-010063.hwpx	통계청	2021	hwpx	2	1		
u_inspect_hidden-010064	inspect-hidden	signal	ANOMALY	samples/기상청/2021/inspect-hidden-010064.hwp	기상청	2021	hwp	3	1		
u_inspect_hidden-010065	inspect-hidden	signal	SIGNAL_LIE	samples/관세청/2021/inspect-hidden-010065.hwpx	관세청	2021	hwpx	4	0		
u_inspect_hidden-010066	inspect-hidden	signal	CLEAN	samples/검찰청/2021/inspect-hidden-010066.hwp	검찰청	2021	hwp	0	0		
u_inspect_hidden-010067	inspect-hidden	signal	CLEAN	samples/경찰청/2021/inspect-hidden-010067.hwpx	경찰청	2021	hwpx	0	0		
u_inspect_hidden-010068	inspect-hidden	signal	CLEAN	samples/소방청/2021/inspect-hidden-010068.hwp	소방청	2021	hwp	0	0		
u_inspect_hidden-010069	inspect-hidden	signal	ANOMALY	samples/병무청/2021/inspect-hidden-010069.hwpx	병무청	2021	hwpx	8	1		
u_inspect_hidden-010070	inspect-hidden	signal	ANOMALY	samples/산림청/2021/inspect-hidden-010070.hwp	산림청	2021	hwp	9	1		
u_inspect_hidden-010071	inspect-hidden	signal	ANOMALY	samples/중소벤처기업부/2021/inspect-hidden-010071.hwpx	중소벤처기업부	2021	hwpx	1	1		
u_inspect_hidden-010072	inspect-hidden	signal	SIGNAL_LIE	samples/과학기술정보통신부/2021/inspect-hidden-010072.hwp	과학기술정보통신부	2021	hwp	2	0		
u_inspect_hidden-010073	inspect-hidden	signal	CLEAN	samples/문화체육관광부/2021/inspect-hidden-010073.hwpx	문화체육관광부	2021	hwpx	0	0		
u_inspect_hidden-010074	inspect-hidden	signal	CLEAN	samples/환경부/2021/inspect-hidden-010074.hwp	환경부	2021	hwp	0	0		
u_inspect_hidden-010075	inspect-hidden	signal	CLEAN	samples/해양수산부/2021/inspect-hidden-010075.hwpx	해양수산부	2021	hwpx	0	0		
u_inspect_hidden-010076	inspect-hidden	signal	ANOMALY	samples/서울특별시/2021/inspect-hidden-010076.hwp	서울특별시	2021	hwp	6	1		
u_inspect_hidden-010077	inspect-hidden	signal	ANOMALY	samples/경기도/2021/inspect-hidden-010077.hwpx	경기도	2021	hwpx	7	1		
u_inspect_hidden-010078	inspect-hidden	signal	ANOMALY	samples/부산광역시/2021/inspect-hidden-010078.hwp	부산광역시	2021	hwp	8	1		
u_inspect_hidden-010079	inspect-hidden	signal	SIGNAL_LIE	samples/제주특별자치도/2021/inspect-hidden-010079.hwpx	제주특별자치도	2021	hwpx	9	0		
u_inspect_hidden-010080	inspect-hidden	signal	CLEAN	samples/법제처/2022/inspect-hidden-010080.hwp	법제처	2022	hwp	0	0		
u_inspect_hidden-010081	inspect-hidden	signal	CLEAN	samples/행정안전부/2022/inspect-hidden-010081.hwpx	행정안전부	2022	hwpx	0	0		
u_inspect_hidden-010082	inspect-hidden	signal	CLEAN	samples/국세청/2022/inspect-hidden-010082.hwp	국세청	2022	hwp	0	0		
u_inspect_hidden-010083	inspect-hidden	signal	ANOMALY	samples/대법원/2022/inspect-hidden-010083.hwpx	대법원	2022	hwpx	4	1		
u_inspect_hidden-010084	inspect-hidden	signal	ANOMALY	samples/특허청/2022/inspect-hidden-010084.hwp	특허청	2022	hwp	5	1		
u_inspect_hidden-010085	inspect-hidden	signal	ANOMALY	samples/교육부/2022/inspect-hidden-010085.hwpx	교육부	2022	hwpx	6	1		
u_inspect_hidden-010086	inspect-hidden	signal	SIGNAL_LIE	samples/보건복지부/2022/inspect-hidden-010086.hwp	보건복지부	2022	hwp	7	0		
u_inspect_hidden-010087	inspect-hidden	signal	CLEAN	samples/국토교통부/2022/inspect-hidden-010087.hwpx	국토교통부	2022	hwpx	0	0		
u_inspect_hidden-010088	inspect-hidden	signal	CLEAN	samples/고용노동부/2022/inspect-hidden-010088.hwp	고용노동부	2022	hwp	0	0		
u_inspect_hidden-010089	inspect-hidden	signal	CLEAN	samples/외교부/2022/inspect-hidden-010089.hwpx	외교부	2022	hwpx	0	0		
u_inspect_hidden-010090	inspect-hidden	signal	ANOMALY	samples/기획재정부/2022/inspect-hidden-010090.hwp	기획재정부	2022	hwp	2	1		
u_inspect_hidden-010091	inspect-hidden	signal	ANOMALY	samples/공정거래위원회/2022/inspect-hidden-010091.hwpx	공정거래위원회	2022	hwpx	3	1		
u_inspect_hidden-010092	inspect-hidden	signal	ANOMALY	samples/금융위원회/2022/inspect-hidden-010092.hwp	금융위원회	2022	hwp	4	1		
u_inspect_hidden-010093	inspect-hidden	signal	SIGNAL_LIE	samples/통계청/2022/inspect-hidden-010093.hwpx	통계청	2022	hwpx	5	0		
