case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_inspect_injection-000000	inspect-injection	signal	CLEAN	samples/법제처/2016/inspect-injection-000000.hwp	법제처	2016	hwp	0	0		
u_inspect_injection-000001	inspect-injection	signal	CLEAN	samples/행정안전부/2016/inspect-injection-000001.hwpx	행정안전부	2016	hwpx	0	0		
u_inspect_injection-000002	inspect-injection	signal	CLEAN	samples/국세청/2016/inspect-injection-000002.hwp	국세청	2016	hwp	0	0		
u_inspect_injection-000003	inspect-injection	signal	ANOMALY	samples/대법원/2016/inspect-injection-000003.hwpx	대법원	2016	hwpx	4	1		
u_inspect_injection-000004	inspect-injection	signal	ANOMALY	samples/특허청/2016/inspect-injection-000004.hwp	특허청	2016	hwp	5	1		
u_inspect_injection-000005	inspect-injection	signal	ANOMALY	samples/교육부/2016/inspect-injection-000005.hwpx	교육부	2016	hwpx	6	1		
u_inspect_injection-000006	inspect-injection	signal	SIGNAL_LIE	samples/보건복지부/2016/inspect-injection-000006.hwp	보건복지부	2016	hwp	7	0		
u_inspect_injection-000007	inspect-injection	signal	CLEAN	samples/국토교통부/2016/inspect-injection-000007.hwpx	국토교통부	2016	hwpx	0	0		
u_inspect_injection-000008	inspect-injection	signal	CLEAN	samples/고용노동부/2016/inspect-injection-000008.hwp	고용노동부	2016	hwp	0	0		
u_inspect_injection-000009	inspect-injection	signal	CLEAN	samples/외교부/2016/inspect-injection-000009.hwpx	외교부	2016	hwpx	0	0		
u_inspect_injection-000010	inspect-injection	signal	ANOMALY	samples/기획재정부/2016/inspect-injection-000010.hwp	기획재정부	2016	hwp	2	1		
u_inspect_injection-000011	inspect-injection	signal	ANOMALY	samples/공정거래위원회/2016/inspect-injection-000011.hwpx	공정거래위원회	2016	hwpx	3	1		
u_inspect_injection-000012	inspect-injection	signal	ANOMALY	samples/금융위원회/2016/inspect-injection-000012.hwp	금융위원회	2016	hwp	4	1		
u_inspect_injection-000013	inspect-injection	signal	SIGNAL_LIE	samples/통계청/2016/inspect-injection-000013.hwpx	통계청	2016	hwpx	5	0		
u_inspect_injection-000014	inspect-injection	signal	CLEAN	samples/기상청/2016/inspect-injection-000014.hwp	기상청	2016	hwp	0	0		
u_inspect_injection-000015	inspect-injection	signal	CLEAN	samples/관세청/2016/inspect-injection-000015.hwpx	관세청	2016	hwpx	0	0		
u_inspect_injection-000016	inspect-injection	signal	CLEAN	samples/검찰청/2016/inspect-injection-000016.hwp	검찰청	2016	hwp	0	0		
u_inspect_injection-000017	inspect-injection	signal	ANOMALY	samples/경찰청/2016/inspect-injection-000017.hwpx	경찰청	2016	hwpx	9	1		
u_inspect_injection-000018	inspect-injection	signal	ANOMALY	samples/소방청/2016/inspect-injection-000018.hwp	소방청	2016	hwp	1	1		
u_inspect_injection-000019	inspect-injection	signal	ANOMALY	samples/병무청/2016/inspect-injection-000019.hwpx	병무청	2016	hwpx	2	1		
u_inspect_injection-000020	inspect-injection	signal	SIGNAL_LIE	samples/산림청/2016/inspect-injection-000020.hwp	산림청	2016	hwp	3	0		
u_inspect_injection-000021	inspect-injection	signal	CLEAN	samples/중소벤처기업부/2016/inspect-injection-000021.hwpx	중소벤처기업부	2016	hwpx	0	0		
u_inspect_injection-000022	inspect-injection	signal	CLEAN	samples/과학기술정보통신부/2016/inspect-injection-000022.hwp	과학기술정보통신부	2016	hwp	0	0		
u_inspect_injection-000023	inspect-injection	signal	CLEAN	samples/문화체육관광부/2016/inspect-injection-000023.hwpx	문화체육관광부	2016	hwpx	0	0		
u_inspect_injection-000024	inspect-injection	signal	ANOMALY	samples/환경부/2016/inspect-injection-000024.hwp	환경부	2016	hwp	7	1		
u_inspect_injection-000025	inspect-injection	signal	ANOMALY	samples/해양수산부/2016/inspect-injection-000025.hwpx	해양수산부	2016	hwpx	8	1		
u_inspect_injection-000026	inspect-injection	signal	ANOMALY	samples/서울특별시/2016/inspect-injection-000026.hwp	서울특별시	2016	hwp	9	1		
u_inspect_injection-000027	inspect-injection	signal	SIGNAL_LIE	samples/경기도/2016/inspect-injection-000027.hwpx	경기도	2016	hwpx	1	0		
u_inspect_injection-000028	inspect-injection	signal	CLEAN	samples/부산광역시/2016/inspect-injection-000028.hwp	부산광역시	2016	hwp	0	0		
u_inspect_injection-000029	inspect-injection	signal	CLEAN	samples/제주특별자치도/2016/inspect-injection-000029.hwpx	제주특별자치도	2016	hwpx	0	0		
u_inspect_injection-000030	inspect-injection	signal	CLEAN	samples/법제처/2017/inspect-injection-000030.hwp	법제처	2017	hwp	0	0		
u_inspect_injection-000031	inspect-injection	signal	ANOMALY	samples/행정안전부/2017/inspect-injection-000031.hwpx	행정안전부	2017	hwpx	5	1		
u_inspect_injection-000032	inspect-injection	signal	ANOMALY	samples/국세청/2017/inspect-injection-000032.hwp	국세청	2017	hwp	6	1		
u_inspect_injection-000033	inspect-injection	signal	ANOMALY	samples/대법원/2017/inspect-injection-000033.hwpx	대법원	2017	hwpx	7	1		
u_inspect_injection-000034	inspect-injection	signal	SIGNAL_LIE	samples/특허청/2017/inspect-injection-000034.hwp	특허청	2017	hwp	8	0		
u_inspect_injection-000035	inspect-injection	signal	CLEAN	samples/교육부/2017/inspect-injection-000035.hwpx	교육부	2017	hwpx	0	0		
u_inspect_injection-000036	inspect-injection	signal	CLEAN	samples/보건복지부/2017/inspect-injection-000036.hwp	보건복지부	2017	hwp	0	0		
u_inspect_injection-000037	inspect-injection	signal	CLEAN	samples/국토교통부/2017/inspect-injection-000037.hwpx	국토교통부	2017	hwpx	0	0		
u_inspect_injection-000038	inspect-injection	signal	ANOMALY	samples/고용노동부/2017/inspect-injection-000038.hwp	고용노동부	2017	hwp	3	1		
u_inspect_injection-000039	inspect-injection	signal	ANOMALY	samples/외교부/2017/inspect-injection-000039.hwpx	외교부	2017	hwpx	4	1		
u_inspect_injection-000040	inspect-injection	signal	ANOMALY	samples/기획재정부/2017/inspect-injection-000040.hwp	기획재정부	2017	hwp	5	1		
u_inspect_injection-000041	inspect-injection	signal	SIGNAL_LIE	samples/공정거래위원회/2017/inspect-injection-000041.hwpx	공정거래위원회	2017	hwpx	6	0		
u_inspect_injection-000042	inspect-injection	signal	CLEAN	samples/금융위원회/2017/inspect-injection-000042.hwp	금융위원회	2017	hwp	0	0		
u_inspect_injection-000043	inspect-injection	signal	CLEAN	samples/통계청/2017/inspect-injection-000043.hwpx	통계청	2017	hwpx	0	0		
u_inspect_injection-000044	inspect-injection	signal	CLEAN	samples/기상청/2017/inspect-injection-000044.hwp	기상청	2017	hwp	0	0		
u_inspect_injection-000045	inspect-injection	signal	ANOMALY	samples/관세청/2017/inspect-injection-000045.hwpx	관세청	2017	hwpx	1	1		
u_inspect_injection-000046	inspect-injection	signal	ANOMALY	samples/검찰청/2017/inspect-injection-000046.hwp	검찰청	2017	hwp	2	1		
u_inspect_injection-000047	inspect-injection	signal	ANOMALY	samples/경찰청/2017/inspect-injection-000047.hwpx	경찰청	2017	hwpx	3	1		
u_inspect_injection-000048	inspect-injection	signal	SIGNAL_LIE	samples/소방청/2017/inspect-injection-000048.hwp	소방청	2017	hwp	4	0		
u_inspect_injection-000049	inspect-injection	signal	CLEAN	samples/병무청/2017/inspect-injection-000049.hwpx	병무청	2017	hwpx	0	0		
u_inspect_injection-000050	inspect-injection	signal	CLEAN	samples/산림청/2017/inspect-injection-000050.hwp	산림청	2017	hwp	0	0		
u_inspect_injection-000051	inspect-injection	signal	CLEAN	samples/중소벤처기업부/2017/inspect-injection-000051.hwpx	중소벤처기업부	2017	hwpx	0	0		
u_inspect_injection-000052	inspect-injection	signal	ANOMALY	samples/과학기술정보통신부/2017/inspect-injection-000052.hwp	과학기술정보통신부	2017	hwp	8	1		
u_inspect_injection-000053	inspect-injection	signal	ANOMALY	samples/문화체육관광부/2017/inspect-injection-000053.hwpx	문화체육관광부	2017	hwpx	9	1		
u_inspect_injection-000054	inspect-injection	signal	ANOMALY	samples/환경부/2017/inspect-injection-000054.hwp	환경부	2017	hwp	1	1		
u_inspect_injection-000055	inspect-injection	signal	SIGNAL_LIE	samples/해양수산부/2017/inspect-injection-000055.hwpx	해양수산부	2017	hwpx	2	0		
u_inspect_injection-000056	inspect-injection	signal	CLEAN	samples/서울특별시/2017/inspect-injection-000056.hwp	서울특별시	2017	hwp	0	0		
u_inspect_injection-000057	inspect-injection	signal	CLEAN	samples/경기도/2017/inspect-injection-000057.hwpx	경기도	2017	hwpx	0	0		
u_inspect_injection-000058	inspect-injection	signal	CLEAN	samples/부산광역시/2017/inspect-injection-000058.hwp	부산광역시	2017	hwp	0	0		
u_inspect_injection-000059	inspect-injection	signal	ANOMALY	samples/제주특별자치도/2017/inspect-injection-000059.hwpx	제주특별자치도	2017	hwpx	6	1		
u_inspect_injection-000060	inspect-injection	signal	ANOMALY	samples/법제처/2018/inspect-injection-000060.hwp	법제처	2018	hwp	7	1		
u_inspect_injection-000061	inspect-injection	signal	ANOMALY	samples/행정안전부/2018/inspect-injection-000061.hwpx	행정안전부	2018	hwpx	8	1		
u_inspect_injection-000062	inspect-injection	signal	SIGNAL_LIE	samples/국세청/2018/inspect-injection-000062.hwp	국세청	2018	hwp	9	0		
u_inspect_injection-000063	inspect-injection	signal	CLEAN	samples/대법원/2018/inspect-injection-000063.hwpx	대법원	2018	hwpx	0	0		
u_inspect_injection-000064	inspect-injection	signal	CLEAN	samples/특허청/2018/inspect-injection-000064.hwp	특허청	2018	hwp	0	0		
u_inspect_injection-000065	inspect-injection	signal	CLEAN	samples/교육부/2018/inspect-injection-000065.hwpx	교육부	2018	hwpx	0	0		
u_inspect_injection-000066	inspect-injection	signal	ANOMALY	samples/보건복지부/2018/inspect-injection-000066.hwp	보건복지부	2018	hwp	4	1		
u_inspect_injection-000067	inspect-injection	signal	ANOMALY	samples/국토교통부/2018/inspect-injection-000067.hwpx	국토교통부	2018	hwpx	5	1		
u_inspect_injection-000068	inspect-injection	signal	ANOMALY	samples/고용노동부/2018/inspect-injection-000068.hwp	고용노동부	2018	hwp	6	1		
u_inspect_injection-000069	inspect-injection	signal	SIGNAL_LIE	samples/외교부/2018/inspect-injection-000069.hwpx	외교부	2018	hwpx	7	0		
u_inspect_injection-000070	inspect-injection	signal	CLEAN	samples/기획재정부/2018/inspect-injection-000070.hwp	기획재정부	2018	hwp	0	0		
u_inspect_injection-000071	inspect-injection	signal	CLEAN	samples/공정거래위원회/2018/inspect-injection-000071.hwpx	공정거래위원회	2018	hwpx	0	0		
u_inspect_injection-000072	inspect-injection	signal	CLEAN	samples/금융위원회/2018/inspect-injection-000072.hwp	금융위원회	2018	hwp	0	0		
