case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_inspect_unicode-010000	inspect-unicode	signal	ANOMALY	samples/기획재정부/2019/inspect-unicode-010000.hwp	기획재정부	2019	hwp	2	1		
u_inspect_unicode-010001	inspect-unicode	signal	ANOMALY	samples/공정거래위원회/2019/inspect-unicode-010001.hwpx	공정거래위원회	2019	hwpx	3	1		
u_inspect_unicode-010002	inspect-unicode	signal	SIGNAL_LIE	samples/금융위원회/2019/inspect-unicode-010002.hwp	금융위원회	2019	hwp	4	0		
u_inspect_unicode-010003	inspect-unicode	signal	CLEAN	samples/통계청/2019/inspect-unicode-010003.hwpx	통계청	2019	hwpx	0	0		
u_inspect_unicode-010004	inspect-unicode	signal	CLEAN	samples/기상청/2019/inspect-unicode-010004.hwp	기상청	2019	hwp	0	0		
u_inspect_unicode-010005	inspect-unicode	signal	CLEAN	samples/관세청/2019/inspect-unicode-010005.hwpx	관세청	2019	hwpx	0	0		
u_inspect_unicode-010006	inspect-unicode	signal	ANOMALY	samples/검찰청/2019/inspect-unicode-010006.hwp	검찰청	2019	hwp	8	1		
u_inspect_unicode-010007	inspect-unicode	signal	ANOMALY	samples/경찰청/2019/inspect-unicode-010007.hwpx	경찰청	2019	hwpx	9	1		
u_inspect_unicode-010008	inspect-unicode	signal	ANOMALY	samples/소방청/2019/inspect-unicode-010008.hwp	소방청	2019	hwp	1	1		
u_inspect_unicode-010009	inspect-unicode	signal	SIGNAL_LIE	samples/병무청/2019/inspect-unicode-010009.hwpx	병무청	2019	hwpx	2	0		
u_inspect_unicode-010010	inspect-unicode	signal	CLEAN	samples/산림청/2019/inspect-unicode-010010.hwp	산림청	2019	hwp	0	0		
u_inspect_unicode-010011	inspect-unicode	signal	CLEAN	samples/중소벤처기업부/2019/inspect-unicode-010011.hwpx	중소벤처기업부	2019	hwpx	0	0		
u_inspect_unicode-010012	inspect-unicode	signal	CLEAN	samples/과학기술정보통신부/2019/inspect-unicode-010012.hwp	과학기술정보통신부	2019	hwp	0	0		
u_inspect_unicode-010013	inspect-unicode	signal	ANOMALY	samples/문화체육관광부/2019/inspect-unicode-010013.hwpx	문화체육관광부	2019	hwpx	6	1		
u_inspect_unicode-010014	inspect-unicode	signal	ANOMALY	samples/환경부/2019/inspect-unicode-010014.hwp	환경부	2019	hwp	7	1		
u_inspect_unicode-010015	inspect-unicode	signal	ANOMALY	samples/해양수산부/2019/inspect-unicode-010015.hwpx	해양수산부	2019	hwpx	8	1		
u_inspect_unicode-010016	inspect-unicode	signal	SIGNAL_LIE	samples/서울특별시/2019/inspect-unicode-010016.hwp	서울특별시	2019	hwp	9	0		
u_inspect_unicode-010017	inspect-unicode	signal	CLEAN	samples/경기도/2019/inspect-unicode-010017.hwpx	경기도	2019	hwpx	0	0		
