case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_ir_diff-010000	ir-diff	diff	DIFF_OK	samples/기획재정부/2019/ir-diff-010000.hwp	기획재정부	2019	hwp	0	0		
u_ir_diff-010001	ir-diff	diff	COUNT_DRIFT	samples/공정거래위원회/2019/ir-diff-010001.hwpx	공정거래위원회	2019	hwpx	2	1		
u_ir_diff-010002	ir-diff	diff	COUNT_DRIFT	samples/금융위원회/2019/ir-diff-010002.hwp	금융위원회	2019	hwp	3	2		
u_ir_diff-010003	ir-diff	diff	DIFF_OK	samples/통계청/2019/ir-diff-010003.hwpx	통계청	2019	hwpx	3	3		
u_ir_diff-010004	ir-diff	diff	DIFF_OK	samples/기상청/2019/ir-diff-010004.hwp	기상청	2019	hwp	4	4		
u_ir_diff-010005	ir-diff	diff	DIFF_OK	samples/관세청/2019/ir-diff-010005.hwpx	관세청	2019	hwpx	5	5		
u_ir_diff-010006	ir-diff	diff	DIFF_OK	samples/검찰청/2019/ir-diff-010006.hwp	검찰청	2019	hwp	6	6		
u_ir_diff-010007	ir-diff	diff	DIFF_OK	samples/경찰청/2019/ir-diff-010007.hwpx	경찰청	2019	hwpx	7	7		
u_ir_diff-010008	ir-diff	diff	COUNT_DRIFT	samples/소방청/2019/ir-diff-010008.hwp	소방청	2019	hwp	9	8		
u_ir_diff-010009	ir-diff	diff	COUNT_DRIFT	samples/병무청/2019/ir-diff-010009.hwpx	병무청	2019	hwpx	10	9		
u_ir_diff-010010	ir-diff	diff	DIFF_OK	samples/산림청/2019/ir-diff-010010.hwp	산림청	2019	hwp	10	10		
u_ir_diff-010011	ir-diff	diff	DIFF_OK	samples/중소벤처기업부/2019/ir-diff-010011.hwpx	중소벤처기업부	2019	hwpx	11	11		
u_ir_diff-010012	ir-diff	diff	DIFF_OK	samples/과학기술정보통신부/2019/ir-diff-010012.hwp	과학기술정보통신부	2019	hwp	12	12		
u_ir_diff-010013	ir-diff	diff	DIFF_OK	samples/문화체육관광부/2019/ir-diff-010013.hwpx	문화체육관광부	2019	hwpx	13	13		
u_ir_diff-010014	ir-diff	diff	DIFF_OK	samples/환경부/2019/ir-diff-010014.hwp	환경부	2019	hwp	14	14		
u_ir_diff-010015	ir-diff	diff	COUNT_DRIFT	samples/해양수산부/2019/ir-diff-010015.hwpx	해양수산부	2019	hwpx	16	15		
u_ir_diff-010016	ir-diff	diff	COUNT_DRIFT	samples/서울특별시/2019/ir-diff-010016.hwp	서울특별시	2019	hwp	17	16		
u_ir_diff-010017	ir-diff	diff	DIFF_OK	samples/경기도/2019/ir-diff-010017.hwpx	경기도	2019	hwpx	17	17		
u_ir_diff-010018	ir-diff	diff	DIFF_OK	samples/부산광역시/2019/ir-diff-010018.hwp	부산광역시	2019	hwp	18	18		
u_ir_diff-010019	ir-diff	diff	DIFF_OK	samples/제주특별자치도/2019/ir-diff-010019.hwpx	제주특별자치도	2019	hwpx	19	19		
u_ir_diff-010020	ir-diff	diff	DIFF_OK	samples/법제처/2020/ir-diff-010020.hwp	법제처	2020	hwp	0	0		
u_ir_diff-010021	ir-diff	diff	DIFF_OK	samples/행정안전부/2020/ir-diff-010021.hwpx	행정안전부	2020	hwpx	1	1		
u_ir_diff-010022	ir-diff	diff	COUNT_DRIFT	samples/국세청/2020/ir-diff-010022.hwp	국세청	2020	hwp	3	2		
u_ir_diff-010023	ir-diff	diff	COUNT_DRIFT	samples/대법원/2020/ir-diff-010023.hwpx	대법원	2020	hwpx	4	3		
u_ir_diff-010024	ir-diff	diff	DIFF_OK	samples/특허청/2020/ir-diff-010024.hwp	특허청	2020	hwp	4	4		
u_ir_diff-010025	ir-diff	diff	DIFF_OK	samples/교육부/2020/ir-diff-010025.hwpx	교육부	2020	hwpx	5	5		
u_ir_diff-010026	ir-diff	diff	DIFF_OK	samples/보건복지부/2020/ir-diff-010026.hwp	보건복지부	2020	hwp	6	6		
u_ir_diff-010027	ir-diff	diff	DIFF_OK	samples/국토교통부/2020/ir-diff-010027.hwpx	국토교통부	2020	hwpx	7	7		
u_ir_diff-010028	ir-diff	diff	DIFF_OK	samples/고용노동부/2020/ir-diff-010028.hwp	고용노동부	2020	hwp	8	8		
u_ir_diff-010029	ir-diff	diff	COUNT_DRIFT	samples/외교부/2020/ir-diff-010029.hwpx	외교부	2020	hwpx	10	9		
u_ir_diff-010030	ir-diff	diff	COUNT_DRIFT	samples/기획재정부/2020/ir-diff-010030.hwp	기획재정부	2020	hwp	11	10		
u_ir_diff-010031	ir-diff	diff	DIFF_OK	samples/공정거래위원회/2020/ir-diff-010031.hwpx	공정거래위원회	2020	hwpx	11	11		
u_ir_diff-010032	ir-diff	diff	DIFF_OK	samples/금융위원회/2020/ir-diff-010032.hwp	금융위원회	2020	hwp	12	12		
u_ir_diff-010033	ir-diff	diff	DIFF_OK	samples/통계청/2020/ir-diff-010033.hwpx	통계청	2020	hwpx	13	13		
u_ir_diff-010034	ir-diff	diff	DIFF_OK	samples/기상청/2020/ir-diff-010034.hwp	기상청	2020	hwp	14	14		
u_ir_diff-010035	ir-diff	diff	DIFF_OK	samples/관세청/2020/ir-diff-010035.hwpx	관세청	2020	hwpx	15	15		
u_ir_diff-010036	ir-diff	diff	COUNT_DRIFT	samples/검찰청/2020/ir-diff-010036.hwp	검찰청	2020	hwp	17	16		
u_ir_diff-010037	ir-diff	diff	COUNT_DRIFT	samples/경찰청/2020/ir-diff-010037.hwpx	경찰청	2020	hwpx	18	17		
