case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_ir_sweep-010000	ir-sweep	count_eq	COUNT_OK	samples/기획재정부/2019/ir-sweep-010000.hwp	기획재정부	2019	hwp	16	16		
u_ir_sweep-010001	ir-sweep	count_eq	COUNT_DRIFT	samples/공정거래위원회/2019/ir-sweep-010001.hwpx	공정거래위원회	2019	hwpx	17	18		
u_ir_sweep-010002	ir-sweep	count_eq	COUNT_DRIFT	samples/금융위원회/2019/ir-sweep-010002.hwp	금융위원회	2019	hwp	18	17		
u_ir_sweep-010003	ir-sweep	count_eq	COUNT_OK	samples/통계청/2019/ir-sweep-010003.hwpx	통계청	2019	hwpx	19	19		
u_ir_sweep-010004	ir-sweep	count_eq	COUNT_OK	samples/기상청/2019/ir-sweep-010004.hwp	기상청	2019	hwp	20	20		
u_ir_sweep-010005	ir-sweep	count_eq	COUNT_OK	samples/관세청/2019/ir-sweep-010005.hwpx	관세청	2019	hwpx	21	21		
u_ir_sweep-010006	ir-sweep	count_eq	COUNT_OK	samples/검찰청/2019/ir-sweep-010006.hwp	검찰청	2019	hwp	22	22		
u_ir_sweep-010007	ir-sweep	count_eq	COUNT_OK	samples/경찰청/2019/ir-sweep-010007.hwpx	경찰청	2019	hwpx	23	23		
u_ir_sweep-010008	ir-sweep	count_eq	COUNT_DRIFT	samples/소방청/2019/ir-sweep-010008.hwp	소방청	2019	hwp	0	1		
u_ir_sweep-010009	ir-sweep	count_eq	COUNT_DRIFT	samples/병무청/2019/ir-sweep-010009.hwpx	병무청	2019	hwpx	1	0		
u_ir_sweep-010010	ir-sweep	count_eq	COUNT_OK	samples/산림청/2019/ir-sweep-010010.hwp	산림청	2019	hwp	2	2		
u_ir_sweep-010011	ir-sweep	count_eq	COUNT_OK	samples/중소벤처기업부/2019/ir-sweep-010011.hwpx	중소벤처기업부	2019	hwpx	3	3		
u_ir_sweep-010012	ir-sweep	count_eq	COUNT_OK	samples/과학기술정보통신부/2019/ir-sweep-010012.hwp	과학기술정보통신부	2019	hwp	4	4		
u_ir_sweep-010013	ir-sweep	count_eq	COUNT_OK	samples/문화체육관광부/2019/ir-sweep-010013.hwpx	문화체육관광부	2019	hwpx	5	5		
u_ir_sweep-010014	ir-sweep	count_eq	COUNT_OK	samples/환경부/2019/ir-sweep-010014.hwp	환경부	2019	hwp	6	6		
u_ir_sweep-010015	ir-sweep	count_eq	COUNT_DRIFT	samples/해양수산부/2019/ir-sweep-010015.hwpx	해양수산부	2019	hwpx	7	8		
u_ir_sweep-010016	ir-sweep	count_eq	COUNT_DRIFT	samples/서울특별시/2019/ir-sweep-010016.hwp	서울특별시	2019	hwp	8	7		
u_ir_sweep-010017	ir-sweep	count_eq	COUNT_OK	samples/경기도/2019/ir-sweep-010017.hwpx	경기도	2019	hwpx	9	9		
u_ir_sweep-010018	ir-sweep	count_eq	COUNT_OK	samples/부산광역시/2019/ir-sweep-010018.hwp	부산광역시	2019	hwp	10	10		
u_ir_sweep-010019	ir-sweep	count_eq	COUNT_OK	samples/제주특별자치도/2019/ir-sweep-010019.hwpx	제주특별자치도	2019	hwpx	11	11		
u_ir_sweep-010020	ir-sweep	count_eq	COUNT_OK	samples/법제처/2020/ir-sweep-010020.hwp	법제처	2020	hwp	12	12		
u_ir_sweep-010021	ir-sweep	count_eq	COUNT_OK	samples/행정안전부/2020/ir-sweep-010021.hwpx	행정안전부	2020	hwpx	13	13		
u_ir_sweep-010022	ir-sweep	count_eq	COUNT_DRIFT	samples/국세청/2020/ir-sweep-010022.hwp	국세청	2020	hwp	14	15		
u_ir_sweep-010023	ir-sweep	count_eq	COUNT_DRIFT	samples/대법원/2020/ir-sweep-010023.hwpx	대법원	2020	hwpx	15	14		
u_ir_sweep-010024	ir-sweep	count_eq	COUNT_OK	samples/특허청/2020/ir-sweep-010024.hwp	특허청	2020	hwp	16	16		
u_ir_sweep-010025	ir-sweep	count_eq	COUNT_OK	samples/교육부/2020/ir-sweep-010025.hwpx	교육부	2020	hwpx	17	17		
u_ir_sweep-010026	ir-sweep	count_eq	COUNT_OK	samples/보건복지부/2020/ir-sweep-010026.hwp	보건복지부	2020	hwp	18	18		
u_ir_sweep-010027	ir-sweep	count_eq	COUNT_OK	samples/국토교통부/2020/ir-sweep-010027.hwpx	국토교통부	2020	hwpx	19	19		
u_ir_sweep-010028	ir-sweep	count_eq	COUNT_OK	samples/고용노동부/2020/ir-sweep-010028.hwp	고용노동부	2020	hwp	20	20		
u_ir_sweep-010029	ir-sweep	count_eq	COUNT_DRIFT	samples/외교부/2020/ir-sweep-010029.hwpx	외교부	2020	hwpx	21	22		
u_ir_sweep-010030	ir-sweep	count_eq	COUNT_DRIFT	samples/기획재정부/2020/ir-sweep-010030.hwp	기획재정부	2020	hwp	22	21		
u_ir_sweep-010031	ir-sweep	count_eq	COUNT_OK	samples/공정거래위원회/2020/ir-sweep-010031.hwpx	공정거래위원회	2020	hwpx	23	23		
u_ir_sweep-010032	ir-sweep	count_eq	COUNT_OK	samples/금융위원회/2020/ir-sweep-010032.hwp	금융위원회	2020	hwp	0	0		
u_ir_sweep-010033	ir-sweep	count_eq	COUNT_OK	samples/통계청/2020/ir-sweep-010033.hwpx	통계청	2020	hwpx	1	1		
u_ir_sweep-010034	ir-sweep	count_eq	COUNT_OK	samples/기상청/2020/ir-sweep-010034.hwp	기상청	2020	hwp	2	2		
u_ir_sweep-010035	ir-sweep	count_eq	COUNT_OK	samples/관세청/2020/ir-sweep-010035.hwpx	관세청	2020	hwpx	3	3		
u_ir_sweep-010036	ir-sweep	count_eq	COUNT_DRIFT	samples/검찰청/2020/ir-sweep-010036.hwp	검찰청	2020	hwp	4	5		
u_ir_sweep-010037	ir-sweep	count_eq	COUNT_DRIFT	samples/경찰청/2020/ir-sweep-010037.hwpx	경찰청	2020	hwpx	5	4		
u_ir_sweep-010038	ir-sweep	count_eq	COUNT_OK	samples/소방청/2020/ir-sweep-010038.hwp	소방청	2020	hwp	6	6		
u_ir_sweep-010039	ir-sweep	count_eq	COUNT_OK	samples/병무청/2020/ir-sweep-010039.hwpx	병무청	2020	hwpx	7	7		
u_ir_sweep-010040	ir-sweep	count_eq	COUNT_OK	samples/산림청/2020/ir-sweep-010040.hwp	산림청	2020	hwp	8	8		
u_ir_sweep-010041	ir-sweep	count_eq	COUNT_OK	samples/중소벤처기업부/2020/ir-sweep-010041.hwpx	중소벤처기업부	2020	hwpx	9	9		
