case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_keygen-010000	keygen	bytes	BYTES_OK	samples/기획재정부/2019/keygen-010000.hwp	기획재정부	2019	hwp	12	0		
u_keygen-010001	keygen	bytes	ZERO_BYTES	samples/공정거래위원회/2019/keygen-010001.hwpx	공정거래위원회	2019	hwpx	0	0		
u_keygen-010002	keygen	bytes	EMPTY_OUTPUT	samples/금융위원회/2019/keygen-010002.hwp	금융위원회	2019	hwp	0	1		
u_keygen-010003	keygen	bytes	BYTES_OK	samples/통계청/2019/keygen-010003.hwpx	통계청	2019	hwpx	15	0		
u_keygen-010004	keygen	bytes	BYTES_OK	samples/기상청/2019/keygen-010004.hwp	기상청	2019	hwp	16	0		
u_keygen-010005	keygen	bytes	BYTES_OK	samples/관세청/2019/keygen-010005.hwpx	관세청	2019	hwpx	17	0		
u_keygen-010006	keygen	bytes	BYTES_OK	samples/검찰청/2019/keygen-010006.hwp	검찰청	2019	hwp	18	0		
u_keygen-010007	keygen	bytes	BYTES_OK	samples/경찰청/2019/keygen-010007.hwpx	경찰청	2019	hwpx	19	0		
u_keygen-010008	keygen	bytes	ZERO_BYTES	samples/소방청/2019/keygen-010008.hwp	소방청	2019	hwp	0	0		
u_keygen-010009	keygen	bytes	EMPTY_OUTPUT	samples/병무청/2019/keygen-010009.hwpx	병무청	2019	hwpx	0	1		
u_keygen-010010	keygen	bytes	BYTES_OK	samples/산림청/2019/keygen-010010.hwp	산림청	2019	hwp	22	0		
u_keygen-010011	keygen	bytes	BYTES_OK	samples/중소벤처기업부/2019/keygen-010011.hwpx	중소벤처기업부	2019	hwpx	23	0		
u_keygen-010012	keygen	bytes	BYTES_OK	samples/과학기술정보통신부/2019/keygen-010012.hwp	과학기술정보통신부	2019	hwp	24	0		
u_keygen-010013	keygen	bytes	BYTES_OK	samples/문화체육관광부/2019/keygen-010013.hwpx	문화체육관광부	2019	hwpx	25	0		
u_keygen-010014	keygen	bytes	BYTES_OK	samples/환경부/2019/keygen-010014.hwp	환경부	2019	hwp	26	0		
u_keygen-010015	keygen	bytes	ZERO_BYTES	samples/해양수산부/2019/keygen-010015.hwpx	해양수산부	2019	hwpx	0	0		
u_keygen-010016	keygen	bytes	EMPTY_OUTPUT	samples/서울특별시/2019/keygen-010016.hwp	서울특별시	2019	hwp	0	1		
u_keygen-010017	keygen	bytes	BYTES_OK	samples/경기도/2019/keygen-010017.hwpx	경기도	2019	hwpx	29	0		
u_keygen-010018	keygen	bytes	BYTES_OK	samples/부산광역시/2019/keygen-010018.hwp	부산광역시	2019	hwp	30	0		
u_keygen-010019	keygen	bytes	BYTES_OK	samples/제주특별자치도/2019/keygen-010019.hwpx	제주특별자치도	2019	hwpx	31	0		
u_keygen-010020	keygen	bytes	BYTES_OK	samples/법제처/2020/keygen-010020.hwp	법제처	2020	hwp	32	0		
u_keygen-010021	keygen	bytes	BYTES_OK	samples/행정안전부/2020/keygen-010021.hwpx	행정안전부	2020	hwpx	33	0		
u_keygen-010022	keygen	bytes	ZERO_BYTES	samples/국세청/2020/keygen-010022.hwp	국세청	2020	hwp	0	0		
u_keygen-010023	keygen	bytes	EMPTY_OUTPUT	samples/대법원/2020/keygen-010023.hwpx	대법원	2020	hwpx	0	1		
u_keygen-010024	keygen	bytes	BYTES_OK	samples/특허청/2020/keygen-010024.hwp	특허청	2020	hwp	36	0		
u_keygen-010025	keygen	bytes	BYTES_OK	samples/교육부/2020/keygen-010025.hwpx	교육부	2020	hwpx	37	0		
u_keygen-010026	keygen	bytes	BYTES_OK	samples/보건복지부/2020/keygen-010026.hwp	보건복지부	2020	hwp	38	0		
u_keygen-010027	keygen	bytes	BYTES_OK	samples/국토교통부/2020/keygen-010027.hwpx	국토교통부	2020	hwpx	39	0		
u_keygen-010028	keygen	bytes	BYTES_OK	samples/고용노동부/2020/keygen-010028.hwp	고용노동부	2020	hwp	40	0		
u_keygen-010029	keygen	bytes	ZERO_BYTES	samples/외교부/2020/keygen-010029.hwpx	외교부	2020	hwpx	0	0		
u_keygen-010030	keygen	bytes	EMPTY_OUTPUT	samples/기획재정부/2020/keygen-010030.hwp	기획재정부	2020	hwp	0	1		
u_keygen-010031	keygen	bytes	BYTES_OK	samples/공정거래위원회/2020/keygen-010031.hwpx	공정거래위원회	2020	hwpx	43	0		
u_keygen-010032	keygen	bytes	BYTES_OK	samples/금융위원회/2020/keygen-010032.hwp	금융위원회	2020	hwp	44	0		
u_keygen-010033	keygen	bytes	BYTES_OK	samples/통계청/2020/keygen-010033.hwpx	통계청	2020	hwpx	45	0		
u_keygen-010034	keygen	bytes	BYTES_OK	samples/기상청/2020/keygen-010034.hwp	기상청	2020	hwp	46	0		
u_keygen-010035	keygen	bytes	BYTES_OK	samples/관세청/2020/keygen-010035.hwpx	관세청	2020	hwpx	47	0		
u_keygen-010036	keygen	bytes	ZERO_BYTES	samples/검찰청/2020/keygen-010036.hwp	검찰청	2020	hwp	0	0		
u_keygen-010037	keygen	bytes	EMPTY_OUTPUT	samples/경찰청/2020/keygen-010037.hwpx	경찰청	2020	hwpx	0	1		
u_keygen-010038	keygen	bytes	BYTES_OK	samples/소방청/2020/keygen-010038.hwp	소방청	2020	hwp	50	0		
u_keygen-010039	keygen	bytes	BYTES_OK	samples/병무청/2020/keygen-010039.hwpx	병무청	2020	hwpx	51	0		
u_keygen-010040	keygen	bytes	BYTES_OK	samples/산림청/2020/keygen-010040.hwp	산림청	2020	hwp	52	0		
u_keygen-010041	keygen	bytes	BYTES_OK	samples/중소벤처기업부/2020/keygen-010041.hwpx	중소벤처기업부	2020	hwpx	53	0		
u_keygen-010042	keygen	bytes	BYTES_OK	samples/과학기술정보통신부/2020/keygen-010042.hwp	과학기술정보통신부	2020	hwp	54	0		
u_keygen-010043	keygen	bytes	ZERO_BYTES	samples/문화체육관광부/2020/keygen-010043.hwpx	문화체육관광부	2020	hwpx	0	0		
u_keygen-010044	keygen	bytes	EMPTY_OUTPUT	samples/환경부/2020/keygen-010044.hwp	환경부	2020	hwp	0	1		
u_keygen-010045	keygen	bytes	BYTES_OK	samples/해양수산부/2020/keygen-010045.hwpx	해양수산부	2020	hwpx	57	0		
u_keygen-010046	keygen	bytes	BYTES_OK	samples/서울특별시/2020/keygen-010046.hwp	서울특별시	2020	hwp	58	0		
u_keygen-010047	keygen	bytes	BYTES_OK	samples/경기도/2020/keygen-010047.hwpx	경기도	2020	hwpx	59	0		
u_keygen-010048	keygen	bytes	BYTES_OK	samples/부산광역시/2020/keygen-010048.hwp	부산광역시	2020	hwp	60	0		
u_keygen-010049	keygen	bytes	BYTES_OK	samples/제주특별자치도/2020/keygen-010049.hwpx	제주특별자치도	2020	hwpx	61	0		
u_keygen-010050	keygen	bytes	ZERO_BYTES	samples/법제처/2021/keygen-010050.hwp	법제처	2021	hwp	0	0		
u_keygen-010051	keygen	bytes	EMPTY_OUTPUT	samples/행정안전부/2021/keygen-010051.hwpx	행정안전부	2021	hwpx	0	1		
u_keygen-010052	keygen	bytes	BYTES_OK	samples/국세청/2021/keygen-010052.hwp	국세청	2021	hwp	64	0		
u_keygen-010053	keygen	bytes	BYTES_OK	samples/대법원/2021/keygen-010053.hwpx	대법원	2021	hwpx	65	0		
u_keygen-010054	keygen	bytes	BYTES_OK	samples/특허청/2021/keygen-010054.hwp	특허청	2021	hwp	66	0		
u_keygen-010055	keygen	bytes	BYTES_OK	samples/교육부/2021/keygen-010055.hwpx	교육부	2021	hwpx	67	0		
u_keygen-010056	keygen	bytes	BYTES_OK	samples/보건복지부/2021/keygen-010056.hwp	보건복지부	2021	hwp	68	0		
u_keygen-010057	keygen	bytes	ZERO_BYTES	samples/국토교통부/2021/keygen-010057.hwpx	국토교통부	2021	hwpx	0	0		
u_keygen-010058	keygen	bytes	EMPTY_OUTPUT	samples/고용노동부/2021/keygen-010058.hwp	고용노동부	2021	hwp	0	1		
