case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_layout_anomaly-005000	layout-anomaly	layout	CLEAN	samples/산림청/2017/layout-anomaly-005000.hwp	산림청	2017	hwp	0	0	0	0
u_layout_anomaly-005001	layout-anomaly	layout	ANOMALY	samples/중소벤처기업부/2017/layout-anomaly-005001.hwpx	중소벤처기업부	2017	hwpx	7	0	0	1
u_layout_anomaly-005002	layout-anomaly	layout	ANOMALY	samples/과학기술정보통신부/2017/layout-anomaly-005002.hwp	과학기술정보통신부	2017	hwp	8	8	1	1
u_layout_anomaly-005003	layout-anomaly	layout	ANOMALY	samples/문화체육관광부/2017/layout-anomaly-005003.hwpx	문화체육관광부	2017	hwpx	9	9	1	1
u_layout_anomaly-005004	layout-anomaly	layout	SIGNAL_LIE	samples/환경부/2017/layout-anomaly-005004.hwp	환경부	2017	hwp	1	1	1	0
u_layout_anomaly-005005	layout-anomaly	layout	CLEAN	samples/해양수산부/2017/layout-anomaly-005005.hwpx	해양수산부	2017	hwpx	0	0	0	0
u_layout_anomaly-005006	layout-anomaly	layout	CLEAN	samples/서울특별시/2017/layout-anomaly-005006.hwp	서울특별시	2017	hwp	0	0	0	0
u_layout_anomaly-005007	layout-anomaly	layout	CLEAN	samples/경기도/2017/layout-anomaly-005007.hwpx	경기도	2017	hwpx	0	0	0	0
u_layout_anomaly-005008	layout-anomaly	layout	ANOMALY	samples/부산광역시/2017/layout-anomaly-005008.hwp	부산광역시	2017	hwp	5	0	0	1
u_layout_anomaly-005009	layout-anomaly	layout	ANOMALY	samples/제주특별자치도/2017/layout-anomaly-005009.hwpx	제주특별자치도	2017	hwpx	6	6	1	1
u_layout_anomaly-005010	layout-anomaly	layout	ANOMALY	samples/법제처/2018/layout-anomaly-005010.hwp	법제처	2018	hwp	7	7	1	1
u_layout_anomaly-005011	layout-anomaly	layout	SIGNAL_LIE	samples/행정안전부/2018/layout-anomaly-005011.hwpx	행정안전부	2018	hwpx	8	8	1	0
u_layout_anomaly-005012	layout-anomaly	layout	CLEAN	samples/국세청/2018/layout-anomaly-005012.hwp	국세청	2018	hwp	0	0	0	0
u_layout_anomaly-005013	layout-anomaly	layout	CLEAN	samples/대법원/2018/layout-anomaly-005013.hwpx	대법원	2018	hwpx	0	0	0	0
u_layout_anomaly-005014	layout-anomaly	layout	CLEAN	samples/특허청/2018/layout-anomaly-005014.hwp	특허청	2018	hwp	0	0	0	0
u_layout_anomaly-005015	layout-anomaly	layout	ANOMALY	samples/교육부/2018/layout-anomaly-005015.hwpx	교육부	2018	hwpx	3	0	0	1
u_layout_anomaly-005016	layout-anomaly	layout	ANOMALY	samples/보건복지부/2018/layout-anomaly-005016.hwp	보건복지부	2018	hwp	4	4	1	1
u_layout_anomaly-005017	layout-anomaly	layout	ANOMALY	samples/국토교통부/2018/layout-anomaly-005017.hwpx	국토교통부	2018	hwpx	5	5	1	1
u_layout_anomaly-005018	layout-anomaly	layout	SIGNAL_LIE	samples/고용노동부/2018/layout-anomaly-005018.hwp	고용노동부	2018	hwp	6	6	1	0
u_layout_anomaly-005019	layout-anomaly	layout	CLEAN	samples/외교부/2018/layout-anomaly-005019.hwpx	외교부	2018	hwpx	0	0	0	0
u_layout_anomaly-005020	layout-anomaly	layout	CLEAN	samples/기획재정부/2018/layout-anomaly-005020.hwp	기획재정부	2018	hwp	0	0	0	0
u_layout_anomaly-005021	layout-anomaly	layout	CLEAN	samples/공정거래위원회/2018/layout-anomaly-005021.hwpx	공정거래위원회	2018	hwpx	0	0	0	0
u_layout_anomaly-005022	layout-anomaly	layout	ANOMALY	samples/금융위원회/2018/layout-anomaly-005022.hwp	금융위원회	2018	hwp	1	0	0	1
u_layout_anomaly-005023	layout-anomaly	layout	ANOMALY	samples/통계청/2018/layout-anomaly-005023.hwpx	통계청	2018	hwpx	2	2	1	1
u_layout_anomaly-005024	layout-anomaly	layout	ANOMALY	samples/기상청/2018/layout-anomaly-005024.hwp	기상청	2018	hwp	3	3	1	1
u_layout_anomaly-005025	layout-anomaly	layout	SIGNAL_LIE	samples/관세청/2018/layout-anomaly-005025.hwpx	관세청	2018	hwpx	4	4	1	0
u_layout_anomaly-005026	layout-anomaly	layout	CLEAN	samples/검찰청/2018/layout-anomaly-005026.hwp	검찰청	2018	hwp	0	0	0	0
u_layout_anomaly-005027	layout-anomaly	layout	CLEAN	samples/경찰청/2018/layout-anomaly-005027.hwpx	경찰청	2018	hwpx	0	0	0	0
u_layout_anomaly-005028	layout-anomaly	layout	CLEAN	samples/소방청/2018/layout-anomaly-005028.hwp	소방청	2018	hwp	0	0	0	0
u_layout_anomaly-005029	layout-anomaly	layout	ANOMALY	samples/병무청/2018/layout-anomaly-005029.hwpx	병무청	2018	hwpx	8	0	0	1
u_layout_anomaly-005030	layout-anomaly	layout	ANOMALY	samples/산림청/2018/layout-anomaly-005030.hwp	산림청	2018	hwp	9	9	1	1
u_layout_anomaly-005031	layout-anomaly	layout	ANOMALY	samples/중소벤처기업부/2018/layout-anomaly-005031.hwpx	중소벤처기업부	2018	hwpx	1	1	1	1
u_layout_anomaly-005032	layout-anomaly	layout	SIGNAL_LIE	samples/과학기술정보통신부/2018/layout-anomaly-005032.hwp	과학기술정보통신부	2018	hwp	2	2	1	0
u_layout_anomaly-005033	layout-anomaly	layout	CLEAN	samples/문화체육관광부/2018/layout-anomaly-005033.hwpx	문화체육관광부	2018	hwpx	0	0	0	0
u_layout_anomaly-005034	layout-anomaly	layout	CLEAN	samples/환경부/2018/layout-anomaly-005034.hwp	환경부	2018	hwp	0	0	0	0
u_layout_anomaly-005035	layout-anomaly	layout	CLEAN	samples/해양수산부/2018/layout-anomaly-005035.hwpx	해양수산부	2018	hwpx	0	0	0	0
u_layout_anomaly-005036	layout-anomaly	layout	ANOMALY	samples/서울특별시/2018/layout-anomaly-005036.hwp	서울특별시	2018	hwp	6	0	0	1
u_layout_anomaly-005037	layout-anomaly	layout	ANOMALY	samples/경기도/2018/layout-anomaly-005037.hwpx	경기도	2018	hwpx	7	7	1	1
u_layout_anomaly-005038	layout-anomaly	layout	ANOMALY	samples/부산광역시/2018/layout-anomaly-005038.hwp	부산광역시	2018	hwp	8	8	1	1
u_layout_anomaly-005039	layout-anomaly	layout	SIGNAL_LIE	samples/제주특별자치도/2018/layout-anomaly-005039.hwpx	제주특별자치도	2018	hwpx	9	9	1	0
u_layout_anomaly-005040	layout-anomaly	layout	CLEAN	samples/법제처/2019/layout-anomaly-005040.hwp	법제처	2019	hwp	0	0	0	0
u_layout_anomaly-005041	layout-anomaly	layout	CLEAN	samples/행정안전부/2019/layout-anomaly-005041.hwpx	행정안전부	2019	hwpx	0	0	0	0
u_layout_anomaly-005042	layout-anomaly	layout	CLEAN	samples/국세청/2019/layout-anomaly-005042.hwp	국세청	2019	hwp	0	0	0	0
u_layout_anomaly-005043	layout-anomaly	layout	ANOMALY	samples/대법원/2019/layout-anomaly-005043.hwpx	대법원	2019	hwpx	4	0	0	1
u_layout_anomaly-005044	layout-anomaly	layout	ANOMALY	samples/특허청/2019/layout-anomaly-005044.hwp	특허청	2019	hwp	5	5	1	1
u_layout_anomaly-005045	layout-anomaly	layout	ANOMALY	samples/교육부/2019/layout-anomaly-005045.hwpx	교육부	2019	hwpx	6	6	1	1
u_layout_anomaly-005046	layout-anomaly	layout	SIGNAL_LIE	samples/보건복지부/2019/layout-anomaly-005046.hwp	보건복지부	2019	hwp	7	7	1	0
u_layout_anomaly-005047	layout-anomaly	layout	CLEAN	samples/국토교통부/2019/layout-anomaly-005047.hwpx	국토교통부	2019	hwpx	0	0	0	0
u_layout_anomaly-005048	layout-anomaly	layout	CLEAN	samples/고용노동부/2019/layout-anomaly-005048.hwp	고용노동부	2019	hwp	0	0	0	0
u_layout_anomaly-005049	layout-anomaly	layout	CLEAN	samples/외교부/2019/layout-anomaly-005049.hwpx	외교부	2019	hwpx	0	0	0	0
u_layout_anomaly-005050	layout-anomaly	layout	ANOMALY	samples/기획재정부/2019/layout-anomaly-005050.hwp	기획재정부	2019	hwp	2	0	0	1
u_layout_anomaly-005051	layout-anomaly	layout	ANOMALY	samples/공정거래위원회/2019/layout-anomaly-005051.hwpx	공정거래위원회	2019	hwpx	3	3	1	1
u_layout_anomaly-005052	layout-anomaly	layout	ANOMALY	samples/금융위원회/2019/layout-anomaly-005052.hwp	금융위원회	2019	hwp	4	4	1	1
u_layout_anomaly-005053	layout-anomaly	layout	SIGNAL_LIE	samples/통계청/2019/layout-anomaly-005053.hwpx	통계청	2019	hwpx	5	5	1	0
u_layout_anomaly-005054	layout-anomaly	layout	CLEAN	samples/기상청/2019/layout-anomaly-005054.hwp	기상청	2019	hwp	0	0	0	0
u_layout_anomaly-005055	layout-anomaly	layout	CLEAN	samples/관세청/2019/layout-anomaly-005055.hwpx	관세청	2019	hwpx	0	0	0	0
u_layout_anomaly-005056	layout-anomaly	layout	CLEAN	samples/검찰청/2019/layout-anomaly-005056.hwp	검찰청	2019	hwp	0	0	0	0
u_layout_anomaly-005057	layout-anomaly	layout	ANOMALY	samples/경찰청/2019/layout-anomaly-005057.hwpx	경찰청	2019	hwpx	9	0	0	1
u_layout_anomaly-005058	layout-anomaly	layout	ANOMALY	samples/소방청/2019/layout-anomaly-005058.hwp	소방청	2019	hwp	1	1	1	1
u_layout_anomaly-005059	layout-anomaly	layout	ANOMALY	samples/병무청/2019/layout-anomaly-005059.hwpx	병무청	2019	hwpx	2	2	1	1
u_layout_anomaly-005060	layout-anomaly	layout	SIGNAL_LIE	samples/산림청/2019/layout-anomaly-005060.hwp	산림청	2019	hwp	3	3	1	0
u_layout_anomaly-005061	layout-anomaly	layout	CLEAN	samples/중소벤처기업부/2019/layout-anomaly-005061.hwpx	중소벤처기업부	2019	hwpx	0	0	0	0
u_layout_anomaly-005062	layout-anomaly	layout	CLEAN	samples/과학기술정보통신부/2019/layout-anomaly-005062.hwp	과학기술정보통신부	2019	hwp	0	0	0	0
u_layout_anomaly-005063	layout-anomaly	layout	CLEAN	samples/문화체육관광부/2019/layout-anomaly-005063.hwpx	문화체육관광부	2019	hwpx	0	0	0	0
u_layout_anomaly-005064	layout-anomaly	layout	ANOMALY	samples/환경부/2019/layout-anomaly-005064.hwp	환경부	2019	hwp	7	0	0	1
u_layout_anomaly-005065	layout-anomaly	layout	ANOMALY	samples/해양수산부/2019/layout-anomaly-005065.hwpx	해양수산부	2019	hwpx	8	8	1	1
u_layout_anomaly-005066	layout-anomaly	layout	ANOMALY	samples/서울특별시/2019/layout-anomaly-005066.hwp	서울특별시	2019	hwp	9	9	1	1
u_layout_anomaly-005067	layout-anomaly	layout	SIGNAL_LIE	samples/경기도/2019/layout-anomaly-005067.hwpx	경기도	2019	hwpx	1	1	1	0
u_layout_anomaly-005068	layout-anomaly	layout	CLEAN	samples/부산광역시/2019/layout-anomaly-005068.hwp	부산광역시	2019	hwp	0	0	0	0
u_layout_anomaly-005069	layout-anomaly	layout	CLEAN	samples/제주특별자치도/2019/layout-anomaly-005069.hwpx	제주특별자치도	2019	hwpx	0	0	0	0
u_layout_anomaly-005070	layout-anomaly	layout	CLEAN	samples/법제처/2020/layout-anomaly-005070.hwp	법제처	2020	hwp	0	0	0	0
u_layout_anomaly-005071	layout-anomaly	layout	ANOMALY	samples/행정안전부/2020/layout-anomaly-005071.hwpx	행정안전부	2020	hwpx	5	0	0	1
u_layout_anomaly-005072	layout-anomaly	layout	ANOMALY	samples/국세청/2020/layout-anomaly-005072.hwp	국세청	2020	hwp	6	6	1	1
u_layout_anomaly-005073	layout-anomaly	layout	ANOMALY	samples/대법원/2020/layout-anomaly-005073.hwpx	대법원	2020	hwpx	7	7	1	1
u_layout_anomaly-005074	layout-anomaly	layout	SIGNAL_LIE	samples/특허청/2020/layout-anomaly-005074.hwp	특허청	2020	hwp	8	8	1	0
u_layout_anomaly-005075	layout-anomaly	layout	CLEAN	samples/교육부/2020/layout-anomaly-005075.hwpx	교육부	2020	hwpx	0	0	0	0
u_layout_anomaly-005076	layout-anomaly	layout	CLEAN	samples/보건복지부/2020/layout-anomaly-005076.hwp	보건복지부	2020	hwp	0	0	0	0
u_layout_anomaly-005077	layout-anomaly	layout	CLEAN	samples/국토교통부/2020/layout-anomaly-005077.hwpx	국토교통부	2020	hwpx	0	0	0	0
u_layout_anomaly-005078	layout-anomaly	layout	ANOMALY	samples/고용노동부/2020/layout-anomaly-005078.hwp	고용노동부	2020	hwp	3	0	0	1
u_layout_anomaly-005079	layout-anomaly	layout	ANOMALY	samples/외교부/2020/layout-anomaly-005079.hwpx	외교부	2020	hwpx	4	4	1	1
u_layout_anomaly-005080	layout-anomaly	layout	ANOMALY	samples/기획재정부/2020/layout-anomaly-005080.hwp	기획재정부	2020	hwp	5	5	1	1
u_layout_anomaly-005081	layout-anomaly	layout	SIGNAL_LIE	samples/공정거래위원회/2020/layout-anomaly-005081.hwpx	공정거래위원회	2020	hwpx	6	6	1	0
u_layout_anomaly-005082	layout-anomaly	layout	CLEAN	samples/금융위원회/2020/layout-anomaly-005082.hwp	금융위원회	2020	hwp	0	0	0	0
u_layout_anomaly-005083	layout-anomaly	layout	CLEAN	samples/통계청/2020/layout-anomaly-005083.hwpx	통계청	2020	hwpx	0	0	0	0
u_layout_anomaly-005084	layout-anomaly	layout	CLEAN	samples/기상청/2020/layout-anomaly-005084.hwp	기상청	2020	hwp	0	0	0	0
u_layout_anomaly-005085	layout-anomaly	layout	ANOMALY	samples/관세청/2020/layout-anomaly-005085.hwpx	관세청	2020	hwpx	1	0	0	1
u_layout_anomaly-005086	layout-anomaly	layout	ANOMALY	samples/검찰청/2020/layout-anomaly-005086.hwp	검찰청	2020	hwp	2	2	1	1
u_layout_anomaly-005087	layout-anomaly	layout	ANOMALY	samples/경찰청/2020/layout-anomaly-005087.hwpx	경찰청	2020	hwpx	3	3	1	1
u_layout_anomaly-005088	layout-anomaly	layout	SIGNAL_LIE	samples/소방청/2020/layout-anomaly-005088.hwp	소방청	2020	hwp	4	4	1	0
u_layout_anomaly-005089	layout-anomaly	layout	CLEAN	samples/병무청/2020/layout-anomaly-005089.hwpx	병무청	2020	hwpx	0	0	0	0
u_layout_anomaly-005090	layout-anomaly	layout	CLEAN	samples/산림청/2020/layout-anomaly-005090.hwp	산림청	2020	hwp	0	0	0	0
u_layout_anomaly-005091	layout-anomaly	layout	CLEAN	samples/중소벤처기업부/2020/layout-anomaly-005091.hwpx	중소벤처기업부	2020	hwpx	0	0	0	0
u_layout_anomaly-005092	layout-anomaly	layout	ANOMALY	samples/과학기술정보통신부/2020/layout-anomaly-005092.hwp	과학기술정보통신부	2020	hwp	8	0	0	1
u_layout_anomaly-005093	layout-anomaly	layout	ANOMALY	samples/문화체육관광부/2020/layout-anomaly-005093.hwpx	문화체육관광부	2020	hwpx	9	9	1	1
u_layout_anomaly-005094	layout-anomaly	layout	ANOMALY	samples/환경부/2020/layout-anomaly-005094.hwp	환경부	2020	hwp	1	1	1	1
u_layout_anomaly-005095	layout-anomaly	layout	SIGNAL_LIE	samples/해양수산부/2020/layout-anomaly-005095.hwpx	해양수산부	2020	hwpx	2	2	1	0
u_layout_anomaly-005096	layout-anomaly	layout	CLEAN	samples/서울특별시/2020/layout-anomaly-005096.hwp	서울특별시	2020	hwp	0	0	0	0
u_layout_anomaly-005097	layout-anomaly	layout	CLEAN	samples/경기도/2020/layout-anomaly-005097.hwpx	경기도	2020	hwpx	0	0	0	0
u_layout_anomaly-005098	layout-anomaly	layout	CLEAN	samples/부산광역시/2020/layout-anomaly-005098.hwp	부산광역시	2020	hwp	0	0	0	0
u_layout_anomaly-005099	layout-anomaly	layout	ANOMALY	samples/제주특별자치도/2020/layout-anomaly-005099.hwpx	제주특별자치도	2020	hwpx	6	0	0	1
u_layout_anomaly-005100	layout-anomaly	layout	ANOMALY	samples/법제처/2021/layout-anomaly-005100.hwp	법제처	2021	hwp	7	7	1	1
u_layout_anomaly-005101	layout-anomaly	layout	ANOMALY	samples/행정안전부/2021/layout-anomaly-005101.hwpx	행정안전부	2021	hwpx	8	8	1	1
u_layout_anomaly-005102	layout-anomaly	layout	SIGNAL_LIE	samples/국세청/2021/layout-anomaly-005102.hwp	국세청	2021	hwp	9	9	1	0
u_layout_anomaly-005103	layout-anomaly	layout	CLEAN	samples/대법원/2021/layout-anomaly-005103.hwpx	대법원	2021	hwpx	0	0	0	0
u_layout_anomaly-005104	layout-anomaly	layout	CLEAN	samples/특허청/2021/layout-anomaly-005104.hwp	특허청	2021	hwp	0	0	0	0
u_layout_anomaly-005105	layout-anomaly	layout	CLEAN	samples/교육부/2021/layout-anomaly-005105.hwpx	교육부	2021	hwpx	0	0	0	0
u_layout_anomaly-005106	layout-anomaly	layout	ANOMALY	samples/보건복지부/2021/layout-anomaly-005106.hwp	보건복지부	2021	hwp	4	0	0	1
u_layout_anomaly-005107	layout-anomaly	layout	ANOMALY	samples/국토교통부/2021/layout-anomaly-005107.hwpx	국토교통부	2021	hwpx	5	5	1	1
